% site name: AASI
% Time      North     err   East      err    Up       err
% year      mm        mm    mm        mm     mm       mm
2005.7490   -72.8     2.7   128.1     2.6   -41.9     4.5
2005.7520   -75.7     3.0   126.0     2.8   -44.8     5.0
2005.7542   -74.5     3.0   127.3     2.8   -44.9     5.1
2005.7570   -74.5     2.8   126.7     2.7   -42.7     4.5
2005.7600   -73.4     2.8   127.4     2.7   -44.7     4.5
2005.7624   -72.1     3.0   126.6     2.8   -43.3     5.0
2005.7652   -74.2     2.7   128.8     2.5   -36.8     4.3
2005.7680   -75.5     2.8   127.6     2.7   -42.5     4.6
2005.7710   -72.9     2.9   128.7     2.8   -39.5     4.7
2005.7734   -73.1     2.8   129.0     2.7   -41.6     4.5
2005.7761   -72.8     2.7   128.2     2.7   -41.0     4.5
2005.7790   -72.2     2.9   127.2     2.7   -39.9     4.6
2005.7820   -70.6     2.7   129.7     2.6   -38.0     4.5
2005.7844   -72.8     2.8   128.5     2.7   -43.8     4.6
2005.7871   -76.4     5.2   128.1     4.8   -55.2     9.9
2005.8200   -74.5     2.7   126.1     2.6   -43.6     4.4
2005.8230   -72.8     2.9   124.9     2.8   -40.8     4.7
2005.8254   -73.8     2.8   126.2     2.7   -42.4     4.7
2005.8282   -73.2     2.6   126.0     2.6   -36.6     4.3
2005.8310   -74.4     2.7   126.1     2.6   -40.9     4.4
2005.8340   -72.7     2.8   125.1     2.7   -42.5     4.7
2005.8364   -74.5     2.8   125.6     2.7   -43.5     4.7
2005.8391   -73.7     2.8   126.5     2.7   -45.3     4.7
2005.8474   -69.5     9.1   126.0     8.5   -40.0     4.7
2005.8500   -69.5     2.8   123.9     2.7   -44.1     5.2
2005.8530   -70.6     3.0   126.3     2.9   -44.2     4.6
2005.8560   -69.3     2.8   125.6     2.7   -40.8     4.5
2005.8582   -70.6     2.7   126.1     2.6   -39.5     4.6
2005.8610   -71.5     2.8   124.2     2.7   -42.7     4.5
2005.8640   -70.9     2.8   125.6     2.7   -42.7     4.5
2005.8670   -70.8     2.8   124.6     2.7   -40.9     4.9
2005.8692   -71.5     2.9   124.7     2.8   -37.6     5.3
2005.8720   -72.6     3.1   124.9     2.9   -43.5     4.8
2005.8860   -69.3     3.0   124.9     2.9   -36.2     4.6
2005.8884   -71.0     2.8   125.1     2.7   -41.1     4.5
2005.8911   -70.2     2.8   124.9     2.7   -39.3     4.5
2005.8940   -70.1     2.8   124.9     2.7   -51.0     4.9
2005.8970   -67.9     2.9   125.2     2.8   -50.7     4.8
2005.8994   -67.8     3.0   124.3     2.7   -57.3     5.6
2005.9020   -71.6     3.3   124.9     3.0   -50.7     4.9
2005.9050   -70.1     2.9   125.9     2.7   -47.2     4.8
2005.9080   -71.3     2.9   126.2     2.7   -47.6     4.4
2005.9102   -71.5     2.7   124.5     2.5   -37.6     6.1
2005.9350   -69.4     3.6   122.5     3.3   -34.9     4.2
2005.9380   -73.1     2.6   123.0     2.5   -37.2     5.1
2005.9432   -70.7     3.0   124.1     2.8   -38.9    39.5
2005.9460   -71.0    26.3   123.5    44.9   -44.2     4.7
2005.9490   -68.5     2.8   120.1     2.7   -24.8     4.7
2005.9624   -71.3     2.8   124.3     2.7   -44.8    16.9
2005.9650   -70.7     8.4   123.3     6.9   -39.0     4.4
2005.9680   -68.8     2.7   122.5     2.5   -39.9     4.2
2005.9710   -70.5     2.6   121.7     2.5   -43.8     4.3
2005.9732   -70.2     2.6   122.7     2.6   -41.2     5.0
2005.9760   -71.3     2.9   123.0     3.0   -45.9     4.8
2005.9790   -72.1     2.9   121.9     2.8   -47.8     4.6
2005.9820   -71.1     2.8   123.2     2.7   -44.5     4.4
2005.9842   -71.3     2.7   122.8     2.6   -42.0     4.6
2005.9870   -69.9     2.8   124.1     2.7   -35.1     4.7
2005.9900   -70.4     2.8   124.5     2.7   -40.0     4.5
2005.9924   -69.0     2.8   122.1     2.7   -39.1     5.1
2005.9952   -68.1     3.0   123.9     2.8   -38.7     5.6
2005.9980   -66.0     3.3   123.6     3.1   -34.6     4.9
2006.0010   -66.6     2.9   125.4     2.9   -32.2     4.9
2006.0061   -68.3     2.9   122.8     2.8   -39.7     5.1
2006.0090   -67.8     2.9   122.9     2.9   -39.9     4.6
2006.0120   -67.7     2.8   123.7     2.7   -37.9     4.4
2006.0144   -70.0     2.7   121.8     2.6   -42.0     4.3
2006.0170   -68.6     2.6   123.1     2.6   -43.7     4.5
2006.0200   -68.5     2.8   123.1     2.7   -42.0     4.9
2006.0230   -67.3     2.9   123.3     2.8   -36.0     4.8
2006.0252   -69.0     2.9   122.8     2.8   -35.4     4.5
2006.0280   -70.4     2.8   122.0     2.7   -29.9     4.4
2006.0310   -70.3     2.7   121.9     2.7   -34.4     4.5
2006.0340   -70.1     2.8   123.2     2.7   -36.8     4.4
2006.0362   -70.0     2.7   122.3     2.6   -36.0     4.5
2006.0390   -71.1     2.7   121.8     2.6   -39.9     4.4
2006.0420   -74.3     2.7   123.4     2.5   -46.0     4.5
2006.0444   -73.3     2.7   122.0     2.6   -48.0     4.5
2006.0500   -75.2     2.8   123.0     2.7   -38.0     4.8
2006.0530   -74.9     2.8   122.6     2.7   -40.7     4.7
2006.0554   -73.8     2.9   120.5     2.7   -23.9     4.9
2006.0610   -74.7     2.9   120.1     2.7   -20.2     4.6
2006.0640   -73.1     2.8   121.6     3.1   -24.3     5.5
2006.0690   -72.7     2.7   123.7     2.7   -24.5     4.3
2006.0720   -75.0     2.9   122.5     2.7   -28.1     5.0
2006.0773   -75.1     2.8   123.6     2.9   -23.4     4.4
2006.0800   -75.2     2.7   122.9     2.7   -24.1     5.1
2006.0830   -75.3     3.1   122.4     2.7   -25.0     4.5
2006.0910   -75.1     2.8   124.4     2.5   -22.7     4.3
2006.1540   -69.7     2.8   121.5     2.5   -46.1     4.7
2006.1570   -67.2     2.6   120.2     2.7   -50.4     4.4
2006.1594   -67.5     2.7   121.0     2.5   -50.0     4.6
2006.1622   -68.2     3.0   120.6     2.7   -52.0     4.3
2006.1650   -68.4     2.8   121.3     2.5   -49.2     4.7
2006.1680   -69.2     2.7   120.7     2.5   -50.3     4.2
2006.1704   -69.7     2.7   120.0     2.6   -45.6     4.4
2006.1732   -69.9     2.6   119.7     2.5   -44.4     4.4
2006.1760   -69.4     2.9   119.3     2.5   -38.8     4.4
2006.1790   -70.1     2.7   121.3     2.5   -39.0     4.3
2006.1813   -70.6     2.7   120.8     2.5   -39.9     4.2
2006.1840   -67.4     2.7   120.3     2.6   -35.1     4.3
2006.1870   -69.5     2.7   120.9     2.6   -39.7     4.5
2006.1900   -67.4     2.6   121.5     2.5   -39.5     4.5
2006.1923   -66.6     2.7   120.1     2.5   -45.8     4.2
2006.1950   -66.7     2.7   121.1     2.6   -44.1     4.4
2006.1980   -67.0     2.7   121.3     2.7   -44.1     4.4
2006.2010   -66.6     2.7   120.4     2.5   -44.1     4.6
2006.2032   -65.9     2.8   121.5     2.5   -47.3     4.3
2006.2060   -66.4     2.7   120.2     2.5   -46.0     4.3
2006.2090   -68.3     2.6   120.2     2.7   -48.2     4.2
2006.2120   -67.2     2.7   119.8     2.7   -50.8     4.3
2006.2142   -67.3     3.0   121.1     2.6   -45.7     4.6
2006.2170   -68.0     2.8   121.4     2.8   -50.3     4.5
2006.2200   -68.6     2.9   118.7     3.1   -48.4     4.9
2006.2224   -70.6     2.7   118.0     2.8   -48.4     5.5
2006.2252   -68.2     2.8   117.2     2.8   -42.6     5.0
2006.2280   -68.3     2.7   118.3     2.7   -43.3     5.0
2006.2310   -68.6     2.8   118.4     2.7   -46.9     4.7
2006.2333   -68.0     2.6   118.1     2.7   -46.0     4.6
2006.2360   -69.1     2.7   117.9     2.7   -46.1     4.8
2006.2390   -70.6     2.7   119.3     2.7   -49.3     4.8
2006.2420   -70.7     2.7   119.1     2.7   -50.7     4.6
2006.2443   -70.3     2.7   119.9     2.5   -46.1     4.7
2006.2470   -70.9     2.6   119.4     2.5   -45.6     4.3
2006.2500   -69.8     2.7   120.2     2.5   -47.1     4.3
2006.2530   -69.4     2.7   120.1     2.5   -48.5     4.5
2006.2552   -69.1     2.7   120.6     2.5   -46.8     4.5
2006.2580   -70.1     2.6   121.2     2.5   -46.7     4.3
2006.2610   -68.4     2.7   118.2     2.5   -42.0     4.3
2006.2640   -69.1     2.7   118.6     2.7   -47.8     4.2
2006.2662   -69.1     2.9   117.9     2.7   -46.1     4.6
2006.2690   -70.2     2.7   118.4     2.7   -48.4     4.8
2006.2720   -68.1     2.7   117.7     2.5   -36.9     4.5
2006.2744   -68.5     2.6   117.4     2.5   -36.0     4.5
2006.2772   -67.9     2.7   116.6     2.9   -41.0     4.3
2006.2830   -68.8     2.8   116.1     2.8   -38.4     4.9
2006.2854   -65.9     2.7   117.7     2.7   -39.5     4.7
2006.2882   -67.8     2.9   118.3     2.7   -43.7     4.4
2006.2910   -67.5     3.4   119.2     2.8   -40.2     4.4
2006.2940   -68.7     3.0   118.6     3.0   -43.7     5.1
2006.2963   -67.2     3.0   118.4     2.8   -42.8     5.3
2006.2990   -67.4     2.8   117.6     2.5   -45.2     4.7
2006.3020   -68.0     2.8   117.4     2.5   -43.7     4.4
2006.3050   -67.6     2.9   117.0     2.5   -40.8     4.5
2006.3073   -67.0     2.9   120.7     2.5   -35.6     4.3
2006.3100   -67.9     2.8   121.3     2.5   -37.6     4.3
2006.3130   -67.3     2.8   120.3     2.7   -34.8     4.3
2006.3160   -68.7     2.7   119.9     2.5   -39.2     4.7
2006.3182   -69.6     2.7   119.9     2.7   -36.4     4.3
2006.3210   -71.8     2.7   118.1     2.5   -35.4     4.5
2006.3270   -69.1     2.7   117.4     2.5   -45.1     4.3
2006.3292   -67.9     2.7   117.8     2.6   -44.4     4.4
2006.3320   -68.2     2.6   117.2     2.7   -43.3     4.4
2006.3350   -67.6     2.8   117.5     2.5   -43.8     4.2
2006.3374   -65.3     2.9   117.1     2.5   -41.7     4.1
2006.3402   -66.4     2.8   117.1     2.5   -43.7     4.1
2006.3430   -66.6     2.7   116.8     2.5   -48.6     4.2
2006.3460   -67.8     2.7   117.4     2.5   -42.1     4.2
2006.3483   -63.4     3.0   117.4     2.7   -45.8     4.5
2006.3510   -65.8     2.9   117.2     2.5   -54.0     4.4
2006.3540   -67.8     2.7   117.8     2.7   -52.7     4.7
2006.3570   -66.7     2.7   117.9     2.8   -51.5     4.9
2006.3593   -68.7     3.0   119.1     2.7   -51.0     4.4
2006.3620   -66.9     3.2   118.5     2.7   -51.5     4.5
2006.3650   -67.3     2.9   117.6     2.5   -47.3     4.2
2006.3680   -68.0     2.7   116.3     2.7   -48.8     4.6
2006.3702   -66.9     2.7   116.7     2.8   -49.3     4.7
2006.3730   -65.2     2.7   117.2     2.7   -45.9     4.5
2006.3760   -65.8     2.7   118.2     2.7   -45.9     4.4
2006.3790   -65.5     2.7   117.5     2.5   -49.2     4.2
2006.3812   -65.9     2.8   117.4     2.5   -46.8     4.3
2006.3840   -66.6     2.7   118.3     2.6   -49.4     4.4
2006.3870   -66.4     2.8   117.1     2.5   -44.5     4.4
2006.3894   -66.5     2.6   116.7     2.7   -46.0     4.5
2006.3922   -67.7     2.7   116.2     2.7   -48.9     4.7
2006.3950   -67.4     2.7   116.4     2.7   -40.7     4.8
