% site name: ASKY
% Time      North     err   East      err    Up       err
% year      mm        mm    mm        mm     mm       mm
2007.6324   -61.8     3.2   124.3     3.0   -94.2     7.5
2007.6351   -60.4     2.2   125.4     2.0   -97.4     4.4
2007.6380   -60.0     2.2   125.2     2.0   -94.0     4.4
2007.6410   -60.7     2.2   125.4     2.0   -96.3     4.4
2007.6434   -60.1     2.2   125.6     2.0   -96.5     4.3
2007.6461   -61.0     2.2   125.6     2.0   -95.7     4.5
2007.6490   -60.0     2.2   125.0     2.0   -94.0     4.4
2007.6520   -60.0     2.2   126.3     2.0   -98.7     4.6
2007.6542   -60.1     2.3   126.1     2.2   -96.7     4.7
2007.6571   -59.0     2.2   126.3     2.0   -97.9     4.4
2007.6600   -58.6     2.2   124.9     2.0   -92.5     4.5
2007.6630   -60.9     2.2   124.1     2.0   -91.3     4.4
2007.6652   -62.0     2.2   124.3     2.0   -91.1     4.5
2007.6680   -58.0     2.2   124.7     2.0   -96.1     4.4
2007.6710   -59.9     2.2   125.9     2.0   -96.6     4.6
2007.6734   -60.4     2.2   125.4     2.0   -90.4     4.6
2007.6762   -59.9     2.2   125.0     2.0   -85.9     4.4
2007.6790   -62.1     2.2   124.8     2.0   -91.9     4.5
2007.6820   -60.8     2.2   124.7     2.0   -90.8     4.5
2007.6844   -59.8     2.2   124.0     2.0   -93.4     4.5
2007.6872   -60.5     2.2   123.4     2.0   -91.4     4.5
2007.6900   -59.5     2.2   123.9     2.0   -89.2     4.5
2007.6930   -59.3     2.2   124.0     2.0   -91.0     4.4
2007.6954   -59.3     2.2   126.1     2.0   -89.6     4.5
2007.6981   -59.6     2.2   124.9     2.0   -91.8     4.4
2007.7010   -59.2     2.2   125.4     2.0   -92.6     4.4
2007.7040   -58.4     2.2   123.8     2.0   -90.6     4.4
2007.7064   -58.6     2.3   123.0     2.1   -87.9     4.7
2007.7091   -58.4     2.2   123.3     2.0   -89.8     4.5
2007.7120   -60.1     2.2   122.2     2.0   -88.2     4.5
2007.7150   -60.0     2.2   123.3     2.0   -85.0     4.4
2007.7172   -59.0     2.2   123.3     2.0   -88.9     4.4
2007.7200   -58.6     2.2   124.0     2.0   -86.9     4.4
2007.7230   -59.3     2.2   123.5     2.0   -84.4     4.4
2007.7260   -58.3     2.2   123.2     2.0   -86.9     4.6
2007.7282   -59.3     2.2   124.4     2.0   -90.4     4.6
2007.7310   -57.9     2.2   123.7     2.0   -92.7     4.5
2007.7340   -58.5     2.2   125.0     2.0   -91.9     4.4
2007.7364   -58.5     2.2   122.8     2.0   -91.2     4.3
