% site name: BLAS
% Time      North     err   East      err    Up       err
% year      mm        mm    mm        mm     mm       mm
2008.5170  -103.1     1.6    59.5     3.1   -39.0    10.6
2008.5200  -100.5     1.3    59.6     2.0   -35.6     5.2
2008.5222  -102.2     1.3    60.2     2.0   -37.9     5.2
2008.5250  -101.8     1.3    60.9     2.1   -39.9     5.4
2008.5280  -101.9     1.3    59.7     2.1   -39.0     5.3
2008.5310  -101.3     1.3    60.6     2.0   -38.5     5.4
2008.5332  -101.6     1.3    61.4     2.1   -33.0     5.7
2008.5390  -101.6     1.3    61.4     2.1   -35.6     5.5
2008.5413  -102.6     1.3    58.6     2.1   -38.2     5.6
2008.5441  -101.3     1.3    60.7     2.1   -32.5     5.4
2008.5470  -101.7     1.3    59.8     2.0   -33.1     5.4
2008.5500  -101.7     1.2    58.4     2.0   -34.9     5.2
2008.5550  -101.1     1.4    61.4     2.0   -35.2     5.4
2008.5580  -101.1     1.3    59.3     2.1   -35.5     5.4
2008.5610  -101.6     1.3    60.1     2.1   -32.4     5.5
2008.5633  -101.8     1.3    59.6     2.1   -31.4     5.4
2008.5660  -102.2     1.3    59.6     2.1   -35.0     5.5
2008.5690  -101.0     1.3    59.2     2.0   -35.1     5.3
2008.5720  -101.3     1.3    59.5     2.0   -37.9     5.5
2008.5742  -103.3     1.3    58.3     2.0   -41.6     5.4
2008.5770  -101.5     1.3    57.7     2.0   -39.6     5.2
2008.5800  -102.0     1.3    58.6     2.0   -39.0     5.3
2008.5830  -102.3     1.3    58.3     2.1   -39.9     5.3
2008.5880  -101.2     1.3    57.6     2.0   -42.2     5.2
2008.5910  -101.8     1.3    56.5     2.1   -31.1     5.5
2008.5933  -101.5     1.3    57.5     2.0   -36.3     5.3
2008.5961  -100.5     1.3    58.0     2.0   -39.1     5.2
2008.5990  -101.5     1.2    59.4     2.0   -35.9     5.3
2008.6020  -102.2     1.3    58.6     2.1   -37.1     5.6
2008.6043  -101.4     1.3    57.0     2.1   -37.8     5.3
2008.6071  -101.9     1.3    59.0     2.1   -28.0     5.6
2008.6100  -101.6     1.3    59.1     2.1   -38.1     5.6
2008.6130  -104.6     1.3    60.9     2.1   -29.6     5.6
2008.6153  -100.4     1.3    59.3     2.1   -33.8     5.5
2008.6180  -101.7     1.2    58.6     2.0   -31.3     5.3
2008.6210  -101.3     1.3    59.8     2.0   -31.2     5.3
2008.6240  -101.4     1.3    59.8     2.0   -33.0     5.3
2008.6263  -101.1     1.3    59.0     2.0   -31.2     5.2
2008.6290  -101.3     1.3    60.2     2.0   -33.3     5.4
2008.6320  -102.6     1.3    60.0     2.1   -33.6     5.6
2008.6350  -101.9     1.3    60.0     2.1   -33.7     5.5
2008.6372  -101.6     1.3    60.0     2.0   -30.4     5.4
2008.6400  -102.1     1.3    58.4     2.1   -30.1     6.2
2008.6430  -101.7     1.3    61.2     2.0   -35.3     5.5
2008.6460  -100.0     1.2    60.0     2.0   -25.8     5.3
2008.6481  -101.8     1.3    60.0     2.0   -32.0     5.4
2008.6510  -100.6     1.2    58.7     2.0   -26.6     5.3
2008.6540  -102.5     1.3    58.6     2.0   -34.4     5.2
2008.6563  -100.7     1.3    58.0     2.0   -33.0     5.1
2008.6591  -102.6     1.3    59.4     2.0   -33.3     5.3
2008.6620  -100.9     1.3    57.3     2.0   -34.2     5.2
2008.6650  -102.1     1.3    57.0     2.0   -33.8     5.2
2008.6673  -100.2     1.3    58.7     2.0   -34.5     5.3
2008.6700  -100.2     1.3    57.7     2.0   -32.7     5.2
2008.6730   -99.4     1.3    57.0     2.0   -32.0     5.2
2008.6760  -100.1     1.3    58.7     2.1   -34.0     5.6
2008.6783   -99.3     1.3    58.2     2.1   -32.3     5.7
2008.6810   -99.7     1.4    57.8     2.0   -30.3     5.5
2008.6840  -100.2     1.3    59.0     2.1   -34.9     5.5
2008.6870   -99.0     1.4    59.1     2.0   -30.9     5.4
2008.6892   -96.9     1.3    57.5     2.0   -32.8     5.4
