% site name: DANE
% Time      North     err   East      err    Up       err
% year      mm        mm    mm        mm     mm       mm
2009.6230   -84.5     1.6    45.2     2.5    -4.9     6.8
2009.6260   -84.7     1.3    44.8     2.0   -11.6     4.7
2009.6282   -84.8     1.3    44.0     2.0   -11.4     4.7
2009.6311   -86.1     1.3    45.6     2.0    -8.4     4.7
2009.6340   -85.9     1.3    45.6     2.0   -11.6     4.8
2009.6370   -82.9     1.4    44.3     2.1    -8.4     5.0
2009.6392   -80.6     1.4    50.7     2.1   -20.8     5.2
2009.6420   -84.1     1.3    45.9     2.0   -14.4     4.8
2009.6450   -84.1     1.3    45.8     2.0   -12.6     4.7
2009.6474   -82.2     1.3    45.5     2.0   -13.4     4.8
2009.6502   -83.8     1.3    44.6     2.0    -9.9     4.8
2009.6530   -84.7     1.3    43.3     2.0    -6.3     4.8
2009.6560   -83.2     1.4    44.5     2.1   -13.3     5.0
2009.6584   -83.6     1.3    43.2     2.0    -6.6     4.8
2009.6611   -83.4     1.4    43.1     2.0   -11.5     4.6
2009.6640   -83.8     1.4    43.7     2.0    -6.9     4.8
2009.6670   -83.7     1.3    44.4     2.0    -9.8     4.8
2009.6694   -84.1     1.4    45.8     2.0    -5.7     4.6
2009.6721   -83.4     1.3    45.6     2.0    -9.8     4.8
2009.6750   -83.3     1.4    45.7     2.0    -9.6     4.7
2009.6780   -83.5     1.4    45.8     2.1    -8.6     4.7
2009.6802   -83.2     1.3    46.7     2.0   -13.1     4.8
2009.6831   -83.4     1.3    46.4     2.0    -9.1     4.8
2009.6860   -83.9     1.3    46.4     2.0   -12.8     4.8
2009.6890   -84.8     1.3    45.6     2.0   -11.5     4.8
2009.6912   -85.1     1.3    46.3     2.0    -5.6     4.8
2009.6940   -84.2     1.3    44.7     2.0   -13.8     4.8
2009.6970   -85.0     1.4    44.5     2.0    -8.6     4.8
2009.6994   -83.6     1.3    45.5     2.0    -9.5     4.8
2009.7022   -83.2     1.4    45.0     2.1    -9.2     4.8
2009.7050   -83.0     1.4    45.9     2.0   -11.9     4.8
