% site name: DGJG
% Time      North     err   East      err    Up       err
% year      mm        mm    mm        mm     mm       mm
2009.6120   -89.5     2.1    65.6     3.1   -26.1     6.8
2009.6150   -88.9     1.6    65.5     2.2   -29.2     4.4
2009.6174   -88.2     1.5    66.0     2.2   -29.9     4.4
2009.6201   -87.8     1.6    65.0     2.2   -24.0     4.4
2009.6230   -88.4     1.6    65.2     2.2   -30.1     4.3
2009.6260   -87.4     1.6    64.7     2.2   -27.6     4.4
2009.6282   -87.4     1.6    64.5     2.2   -27.8     4.4
2009.6311   -87.0     1.6    65.9     2.2   -23.8     4.3
2009.6340   -88.5     1.5    65.5     2.2   -26.7     4.4
2009.6370   -87.4     1.6    64.7     2.3   -30.2     4.4
2009.6392   -86.1     1.6    66.5     2.3   -28.1     4.4
2009.6420   -87.1     1.5    65.9     2.2   -26.2     4.4
2009.6450   -86.5     1.6    65.4     2.2   -31.1     4.5
2009.6474   -84.4     1.5    65.6     2.2   -28.1     4.4
2009.6502   -85.8     1.5    65.1     2.2   -27.5     4.4
2009.6530   -86.8     1.6    63.8     2.2   -24.7     4.5
2009.6560   -85.3     1.6    64.2     2.3   -29.0     4.6
2009.6584   -85.9     1.6    63.3     2.2   -26.5     4.3
2009.6611   -85.7     1.6    63.8     2.2   -23.9     4.3
2009.6640   -86.1     1.6    63.9     2.3   -22.8     4.6
2009.6670   -87.0     1.6    64.6     2.3   -24.3     4.4
2009.6694   -86.6     1.6    65.6     2.2   -23.8     4.3
2009.6721   -86.1     1.5    64.7     2.2   -22.1     4.4
2009.6750   -85.3     1.6    64.8     2.3   -24.9     4.4
2009.6780   -85.9     1.6    65.3     2.3   -24.0     4.4
2009.6802   -86.2     1.6    66.7     2.2   -25.4     4.5
2009.6831   -86.1     1.5    66.1     2.2   -22.9     4.4
2009.6860   -86.5     1.6    66.0     2.2   -26.1     4.3
2009.6890   -86.0     1.6    66.3     2.2   -24.4     4.4
2009.6912   -87.8     1.6    66.1     2.2   -22.5     4.4
2009.6940   -86.3     1.5    64.6     2.2   -25.2     4.4
2009.6970   -87.1     1.6    64.9     2.3   -26.3     4.5
2009.6994   -85.6     1.6    65.4     2.2   -26.1     4.3
2009.7022   -85.5     1.6    64.0     2.3   -32.3     4.5
2009.7050   -84.9     1.5    66.2     2.2   -30.8     4.4
2009.7080   -86.0     1.6    66.5     2.2   -34.2     4.3
2009.7104   -85.6     1.6    65.9     2.2   -28.1     4.3
2009.7132   -86.8     1.6    65.3     2.2   -25.1     4.3
2009.7160   -86.4     1.6    65.6     2.2   -26.9     4.2
2009.7214   -86.5     1.6    66.6     2.2   -24.0     4.2
2009.7241   -85.5     1.6    66.2     2.2   -25.8     4.4
2009.7270   -85.0     1.6    66.0     2.3   -23.6     4.5
2009.7300   -87.1     1.6    64.9     2.2   -23.8     4.4
2009.7324   -86.2     1.6    65.4     2.2   -21.2     4.3
2009.7351   -86.1     1.6    64.5     2.2   -19.2     4.3
2009.7380   -85.2     1.5    65.4     2.2   -21.1     4.4
2009.7410   -85.8     1.6    64.4     2.4   -23.7     4.7
2009.7432   -84.4     1.6    64.8     2.3   -30.5     4.5
2009.7460   -83.8     1.6    64.7     2.2   -27.0     4.4
2009.7490   -84.8     1.5    64.2     2.2   -31.4     4.4
2009.7520   -84.8     1.6    65.2     2.2   -27.1     4.3
2009.7542   -83.9     1.6    65.5     2.2   -27.8     4.3
2009.7570   -84.0     1.5    63.8     2.2   -24.9     4.3
2009.7600   -84.7     1.6    64.2     2.3   -25.6     4.4
2009.7624   -84.8     1.6    65.4     2.2   -25.4     4.3
2009.7652   -83.6     1.6    65.5     2.2   -27.2     4.3
2009.7680   -82.5     1.6    65.9     2.2   -29.4     4.4
2009.7710   -82.5     1.7    64.7     2.3   -27.3     4.5
2009.7734   -83.1     1.6    64.0     2.2   -30.5     4.3
2009.7761   -81.5     1.6    64.9     2.3   -32.3     4.4
2009.7790   -82.5     1.6    66.0     2.2   -30.6     4.3
2009.7820   -82.5     1.6    66.8     2.2   -27.3     4.3
2009.7844   -83.5     1.5    65.2     2.2   -27.8     4.3
2009.7871   -83.4     1.6    65.9     2.2   -30.4     4.4
2009.7900   -82.8     1.5    65.2     2.2   -28.9     4.4
2009.7930   -84.4     1.5    64.5     2.2   -29.0     4.3
2009.7952   -84.8     1.6    65.7     2.2   -26.1     4.4
2009.7980   -83.8     1.5    64.6     2.2   -28.3     4.4
2009.8010   -83.5     1.5    64.7     2.2   -29.5     4.4
2009.8040   -83.6     1.6    64.7     2.2   -30.2     4.4
2009.8062   -83.4     1.5    63.9     2.2   -31.8     4.4
2009.8090   -82.3     1.7    65.2     2.5   -29.3     5.0
2009.8120   -82.2     1.6    65.9     2.3   -30.4     4.5
2009.8144   -82.2     1.6    65.9     2.3   -32.5     4.5
2009.8172   -82.6     1.6    65.2     2.3   -31.8     4.6
2009.8200   -82.7     1.6    65.6     2.3   -30.4     4.6
2009.8230   -83.8     1.6    65.1     2.3   -29.1     4.5
2009.8254   -82.0     1.6    64.2     2.3   -29.7     4.5
2009.8282   -82.9     1.6    64.7     2.3   -32.3     4.5
2009.8310   -83.4     1.7    65.4     2.3   -34.2     4.8
2009.8340   -83.8     1.6    65.7     2.3   -31.0     4.3
2009.8364   -83.2     1.6    64.3     2.2   -26.8     4.3
2009.8391   -83.2     1.5    64.0     2.2   -22.8     4.3
2009.8420   -82.5     1.6    63.4     2.2   -26.6     4.3
2009.8450   -83.1     1.6    63.3     2.2   -28.3     4.3
2009.8474   -83.0     1.5    64.6     2.2   -32.8     4.4
2009.8500   -83.0     1.5    64.7     2.2   -31.6     4.3
2009.8530   -82.5     1.6    65.1     2.3   -30.3     4.4
2009.8560   -83.1     1.6    65.0     2.3   -28.8     4.6
2009.8582   -82.2     1.5    65.5     2.2   -26.6     4.4
2009.8610   -81.9     1.6    64.0     2.3   -22.9     4.4
2009.8640   -83.1     1.6    64.1     2.2   -26.6     4.3
2009.8670   -80.8     1.6    64.4     2.3   -26.4     4.6
2009.8692   -82.6     1.6    64.3     2.3   -28.1     4.5
2009.8720   -82.6     1.6    64.5     2.3   -26.7     4.6
2009.8750   -81.8     1.6    64.1     2.3   -21.9     4.5
2009.8774   -82.2     1.6    64.1     2.3   -24.1     4.4
2009.8802   -81.6     1.6    62.6     2.3   -25.9     4.6
2009.8830   -82.0     1.5    64.0     2.2   -24.0     4.4
2009.8860   -81.0     1.6    65.0     2.3   -25.8     4.4
2009.8884   -82.2     1.5    63.8     2.2   -22.8     4.4
2009.8911   -83.3     1.6    64.1     2.4   -23.0     4.6
2009.8940   -83.3     1.6    62.8     2.3   -27.4     4.5
2009.8970   -83.1     1.6    63.5     2.2   -28.2     4.3
2009.8994   -80.4     1.6    62.6     2.3   -25.3     4.6
2009.9020   -82.4     1.7    62.5     2.3   -21.8     4.5
