% site name: DKSG
% Time      North     err   East      err    Up       err
% year      mm        mm    mm        mm     mm       mm
2007.6380   -52.2     4.6   115.5     4.0   -95.9    10.5
2007.6410   -48.6     2.2   114.6     2.0   -86.5     4.5
2007.6434   -49.5     2.3   115.6     2.0   -90.5     4.7
2007.6461   -49.0     2.3   115.2     2.0   -89.0     4.6
2007.6490   -49.3     2.3   114.7     2.0   -92.2     4.6
2007.6520   -48.1     2.4   115.8     2.0   -88.6     4.7
2007.6542   -48.0     2.4   115.6     2.0   -82.3     4.8
2007.6571   -48.2     2.3   116.0     2.0   -94.7     4.6
2007.6600   -48.2     2.4   115.4     2.0   -97.0     4.7
2007.6630   -49.5     2.2   113.7     2.0   -89.5     4.5
2007.6652   -50.3     2.3   114.6     2.0   -86.4     4.6
2007.6680   -47.2     2.4   114.3     2.0   -92.6     4.7
2007.6710   -48.0     2.3   115.9     2.0   -91.2     4.7
2007.6734   -49.2     2.3   115.2     2.0   -86.2     4.6
2007.6762   -48.4     2.2   114.7     2.0   -86.9     4.5
2007.6790   -49.0     2.5   113.8     2.2   -81.2     5.2
2007.6820   -49.1     4.4   114.9     3.7   -86.2    10.1
2007.6844   -48.3     2.3   113.9     2.0   -83.6     4.6
2007.6872   -49.3     2.3   113.5     2.0   -83.8     4.6
2007.6900   -48.5     2.3   113.8     2.0   -84.6     4.6
2007.6930   -48.2     2.2   113.5     2.0   -84.8     4.5
2007.6954   -47.7     2.3   115.4     2.0   -80.8     4.6
2007.6981   -48.6     2.2   115.0     2.0   -83.7     4.5
2007.7010   -47.7     2.2   115.5     2.0   -83.1     4.5
2007.7040   -47.9     2.2   113.5     2.0   -84.8     4.5
2007.7064   -48.4     2.4   113.3     2.0   -83.5     4.7
2007.7091   -48.5     2.3   113.6     2.0   -84.7     4.6
2007.7120   -49.3     2.3   113.2     2.0   -82.9     4.6
2007.7150   -48.3     2.2   112.9     2.0   -80.9     4.5
2007.7172   -48.7     2.2   113.1     2.0   -81.3     4.5
2007.7200   -48.4     2.2   113.7     2.0   -80.1     4.5
2007.7230   -48.5     2.3   113.7     2.0   -82.5     4.6
2007.7260   -47.4     2.3   113.5     2.0   -81.7     4.6
2007.7282   -47.7     2.3   113.2     2.0   -83.7     4.6
2007.7310   -47.2     2.2   114.0     2.0   -88.4     4.5
2007.7340   -48.0     2.2   114.8     2.0   -86.6     4.5
2007.7364   -47.1     2.2   112.5     2.0   -84.2     4.5
2007.7392   -47.3     2.4   113.1     2.0   -82.6     4.7
2007.7420   -46.5     2.3   112.3     2.0   -82.8     4.6
2007.7450   -47.6     2.2   112.8     2.0   -80.0     4.5
2007.7474   -46.3     2.2   114.7     2.0   -82.0     4.5
2007.7501   -48.3     2.3   114.5     2.0   -80.7     4.6
2007.7530   -48.2     2.4   112.8     2.1   -82.1     5.0
2007.7560   -47.4     2.3   114.0     2.0   -86.8     4.6
2007.7584   -45.7     2.4   113.4     2.0   -86.0     4.7
2007.7611   -46.3     2.2   113.4     2.0   -85.5     4.5
2007.7640   -46.9     2.2   114.8     2.0   -87.9     4.5
2007.7670   -45.1     2.2   115.4     2.0   -82.9     4.5
2007.7692   -44.8     2.4   112.1     2.0   -83.9     4.8
2007.7720   -46.0     2.4   114.5     2.0   -84.8     4.9
2007.7750   -46.6     2.3   111.3     2.0   -84.1     4.7
2007.7780   -46.5     2.2   111.6     2.0   -87.7     4.5
2007.7802   -46.9     2.3   112.6     2.0   -86.9     4.6
2007.7830   -46.7     2.2   112.5     2.0   -83.5     4.5
2007.7860   -46.3     2.2   112.7     2.0   -79.9     4.5
2007.7884   -47.7     2.3   112.7     2.0   -79.6     4.6
2007.7912   -45.6     2.2   112.5     2.0   -85.7     4.5
2007.7940   -46.1     2.3   111.7     2.0   -82.8     4.6
2007.7970   -47.2     2.4   111.5     2.0   -84.4     4.8
2007.7994   -45.7     2.3   112.2     2.0   -85.6     4.7
2007.8022   -45.0     2.3   112.4     2.0   -81.9     4.6
2007.8050   -46.3     2.2   111.6     2.0   -87.6     4.5
2007.8080   -48.1     2.3   112.0     2.0   -87.8     4.6
2007.8104   -45.7     2.3   111.8     2.0   -86.0     4.6
2007.8131   -45.8     2.3   110.5     2.0   -78.1     4.6
2007.8160   -44.8     2.4   111.2     2.0   -83.0     4.7
2007.8190   -44.5     2.3   111.9     2.0   -82.2     4.6
2007.8214   -46.3     2.2   111.7     2.0   -80.9     4.5
2007.8240   -45.7     2.2   110.9     2.0   -80.6     4.5
2007.8270   -45.5     2.3   111.6     2.0   -83.1     4.6
2007.8300   -44.9     2.3   111.5     2.0   -80.1     4.6
2007.8322   -46.7     2.3   111.1     2.0   -83.1     4.6
2007.8350   -45.5     2.2   112.9     2.0   -87.5     4.5
2007.8380   -47.2     2.2   110.9     2.0   -88.7     4.5
2007.8410   -46.3     2.2   111.0     2.0   -86.5     4.5
2007.8432   -45.9     2.2   109.7     2.0   -87.6     4.5
2007.8460   -45.8     2.2   109.9     2.0   -87.4     4.5
2007.8490   -47.2     2.2   109.2     2.0   -91.1     4.5
2007.8514   -47.1     2.2   109.7     2.0   -94.3     4.5
2007.8542   -46.4     2.3   110.6     2.0   -84.6     4.6
2007.8600   -46.7     2.3   112.0     2.0   -84.2     4.6
2007.8624   -45.9     2.2   110.7     2.0   -82.6     4.4
2007.8651   -46.2     2.2   110.6     2.0   -84.9     4.5
2007.8680   -46.1     2.3   111.1     2.0   -83.1     4.6
2007.8710   -47.0     2.2   110.0     2.0   -82.6     4.5
2007.8760   -46.1     2.2   110.3     2.0   -87.1     4.5
2007.8790   -45.2     2.3   110.3     2.0   -87.7     4.6
2007.8820   -47.7     2.2   110.1     2.0   -85.1     4.5
2007.8842   -47.4     2.2   110.3     2.0   -83.7     4.4
2007.8870   -47.2     2.3   108.5     2.0   -87.7     4.6
2007.8900   -47.5     2.2   108.8     2.0   -88.9     4.5
2007.8930   -47.7     2.2   108.4     2.0   -85.3     4.5
2007.8952   -47.8     2.3   108.1     2.0   -80.9     4.6
2007.8980   -47.2     2.3   110.4     2.0   -85.9     4.6
2007.9010   -47.0     2.2   110.4     2.0   -84.9     4.5
2007.9034   -47.8     2.3   110.1     2.0   -84.4     4.6
2007.9062   -47.1     2.2   109.8     2.0   -79.3     4.5
2007.9090   -46.7     2.2   109.3     2.0   -81.7     4.5
2007.9120   -46.2     2.3   108.5     2.0   -85.2     4.6
2007.9144   -44.7     2.2   108.4     2.0   -84.8     4.5
2007.9200   -46.4     2.2   108.7     2.0   -84.4     4.5
2007.9230   -47.2     2.3   108.2     2.0   -82.9     4.6
2007.9254   -47.0     2.2   108.2     2.0   -76.1     4.5
2007.9281   -45.1     2.2   108.7     2.0   -77.1     4.5
2007.9310   -46.7     2.2   108.0     2.0   -82.9     4.5
