% site name: DMHN
% Time      North     err   East      err    Up       err
% year      mm        mm    mm        mm     mm       mm
2010.5870   -84.0     1.4    41.8     2.8   -16.1     8.0
2010.5893   -81.4     1.3    42.4     2.2   -21.1     5.7
2010.5920   -81.1     1.3    42.4     2.2   -16.6     5.9
2010.5950   -82.6     1.3    42.5     2.2   -17.5     5.6
2010.5980   -82.6     1.4    42.8     2.2   -26.3     5.4
2010.6002   -81.5     1.3    42.2     2.1   -20.1     5.4
2010.6030   -81.6     1.3    42.7     2.1   -20.5     5.3
2010.6060   -82.3     1.4    40.3     2.1   -24.8     5.5
2010.6090   -79.4     1.3    40.8     2.1   -23.1     5.4
2010.6112   -81.7     1.3    43.7     2.2   -17.1     5.7
2010.6140   -80.1     1.3    43.2     2.1   -18.8     5.4
2010.6170   -79.8     1.3    43.5     2.1   -20.0     5.3
2010.6193   -82.1     1.3    41.9     2.1   -18.0     5.2
2010.6221   -81.9     1.4    42.0     2.2   -17.3     5.4
2010.6250   -82.0     1.5    40.0     2.2   -27.7     5.8
2010.6280   -79.3     1.4    40.7     2.1   -19.2     5.5
2010.6303   -79.7     1.3    40.2     2.1   -15.7     5.4
2010.6331   -79.5     1.3    42.4     2.2   -23.2     5.7
2010.6360   -80.4     1.3    40.8     2.2   -16.6     5.6
2010.6390   -79.6     1.3    42.6     2.1   -15.4     5.3
2010.6413   -80.6     1.3    42.2     2.1   -19.2     5.4
2010.6440   -80.0     1.3    41.0     2.1   -25.0     5.3
2010.6470   -80.5     1.4    42.0     2.3   -22.5     6.2
2010.6500   -80.7     1.3    42.4     2.2    -8.9     6.0
2010.6523   -81.8     1.4    42.2     2.2   -17.4     5.9
2010.6550   -81.9     1.4    42.5     2.2   -18.2     5.9
2010.6580   -80.8     1.3    43.0     2.2   -17.1     5.7
2010.6610   -80.5     1.3    43.1     2.1   -20.5     5.3
2010.6632   -81.0     1.3    42.9     2.1   -18.0     5.2
2010.6660   -80.8     1.3    44.2     2.1   -20.7     5.3
2010.6690   -80.7     1.3    42.6     2.2   -14.7     5.5
2010.6720   -79.6     1.4    43.6     2.2   -11.8     5.4
2010.6741   -78.9     1.3    42.5     2.1   -16.2     5.4
2010.6770   -79.5     1.3    42.2     2.1   -16.4     5.2
2010.6800   -79.2     1.3    43.3     2.1   -19.5     5.4
2010.6823   -81.2     1.3    43.1     2.1   -25.2     5.4
2010.6851   -79.8     1.3    43.2     2.1   -20.8     5.7
2010.6880   -79.7     1.3    42.9     2.1   -19.2     5.2
2010.6910   -78.0     1.3    42.6     2.1   -19.9     5.3
2010.6933   -78.7     1.3    42.7     2.1   -16.0     5.3
2010.6960   -79.4     1.3    41.9     2.2   -18.5     5.3
2010.6990   -78.4     1.3    42.3     2.1   -20.8     5.2
2010.7020   -79.0     1.3    41.6     2.1   -19.6     5.4
2010.7043   -78.2     1.4    41.2     2.2   -14.4     5.6
2010.7070   -80.1     1.3    41.5     2.1   -15.5     5.4
2010.7100   -78.8     1.3    41.0     2.2   -17.5     5.6
2010.7130   -79.7     1.3    42.4     2.1   -14.4     5.4
2010.7152   -76.5     1.3    42.1     2.1   -13.6     5.3
2010.7180   -78.1     1.4    41.6     2.1   -15.9     5.5
2010.7210   -78.7     1.3    42.5     2.1   -20.0     5.2
2010.7240   -78.2     1.3    43.0     2.2   -17.9     5.7
2010.7261   -78.2     1.3    43.0     2.1   -23.0     5.4
2010.7290   -77.4     1.2    41.9     2.1   -22.6     5.5
2010.7320   -79.4     1.3    42.4     2.2   -16.6     5.7
2010.7343   -77.8     1.3    43.2     2.1   -16.4     5.6
2010.7371   -78.3     1.4    43.8     2.1   -19.4     5.5
2010.7400   -78.5     1.2    42.6     2.1   -18.4     5.5
2010.7430   -78.4     1.3    41.2     2.2   -14.8     5.7
2010.7453   -78.7     1.4    42.8     2.2   -21.5     5.7
2010.7481   -78.4     1.3    43.5     2.1   -20.1     5.6
2010.7510   -79.3     1.3    42.2     2.1   -18.5     5.6
2010.7540   -79.6     1.3    42.8     2.1   -14.3     5.3
2010.7563   -77.6     1.2    42.8     2.1   -19.0     5.5
2010.7590   -78.9     1.3    42.9     2.1   -21.1     5.4
2010.7620   -79.1     1.4    42.5     2.1   -16.1     5.5
2010.7650   -79.5     1.4    43.4     2.2   -18.4     5.8
2010.7673   -80.3     1.4    43.2     2.2   -19.0     5.5
2010.7700   -79.9     1.3    43.2     2.1   -21.7     5.4
2010.7730   -78.6     1.4    41.8     2.1   -26.1     5.5
2010.7760   -77.9     1.4    41.1     2.1   -21.1     5.6
2010.7781   -78.4     1.4    41.2     2.1   -19.5     5.6
2010.7810   -77.5     1.4    40.3     2.1   -18.0     5.6
2010.7840   -78.5     1.3    41.0     2.1   -22.2     5.3
2010.7891   -77.7     1.4    41.3     2.2   -22.7     5.7
2010.7920   -78.1     1.4    42.3     2.2   -22.6     5.4
2010.7950   -76.3     1.4    41.0     2.2   -22.9     5.7
2010.7973   -75.1     1.3    40.9     2.1   -22.5     5.7
2010.8001   -74.9     1.3    40.0     2.2   -24.6     5.7
2010.8060   -76.6     1.3    42.0     2.1    -8.3     5.4
2010.8083   -77.4     1.3    41.8     2.2   -19.0     5.7
2010.8110   -75.4     1.3    40.2     2.2   -14.5     6.0
2010.8140   -76.7     1.3    41.8     2.3    -6.2     6.2
2010.8170   -76.3     1.4    42.7     2.2    -5.6     5.7
2010.8193   -76.2     1.3    43.5     2.2   -10.0     5.7
2010.8220   -75.5     1.3    43.3     2.2   -10.0     5.6
2010.8250   -77.4     1.4    42.5     2.1    -9.1     5.4
2010.8280   -77.4     1.3    42.7     2.1    -9.3     5.3
2010.8302   -77.5     1.3    43.2     2.1    -6.8     5.3
2010.8330   -77.4     1.3    43.2     2.1    -3.6     5.5
2010.8360   -76.2     1.4    44.0     2.2    -3.0     5.5
2010.8390   -76.8     1.4    43.6     2.1   -11.1     5.3
2010.8411   -76.5     1.3    43.9     2.1    -6.5     5.4
2010.8440   -79.3     1.3    42.4     2.1    -8.3     5.4
2010.8470   -76.6     1.3    42.2     2.1    -8.9     5.3
2010.8493   -76.1     1.3    43.5     2.1    -8.1     5.4
2010.8521   -75.3     1.3    42.1     2.1   -12.5     5.5
2010.8550   -75.7     1.4    43.3     2.2   -11.4     5.6
2010.8580   -75.1     1.4    41.3     2.1   -14.8     5.4
2010.8603   -75.8     1.3    42.7     2.1   -10.6     5.3
2010.8631   -75.7     1.3    41.0     2.2    -2.8     5.7
2010.8660   -75.6     1.3    41.0     2.1    -5.8     5.5
2010.8690   -75.1     1.4    40.3     2.2    -2.6     5.5
2010.8713   -74.7     1.4    41.8     2.2    -5.0     5.7
2010.8740   -76.2     1.3    42.9     2.2   -11.6     5.6
2010.8770   -76.2     1.3    44.1     2.2   -13.7     5.7
2010.8800   -73.8     1.3    40.8     2.1    -8.4     5.5
2010.8823   -75.3     1.4    42.1     2.2    -6.7     5.6
2010.8850   -75.1     1.3    42.1     2.1   -22.0     5.5
2010.8880   -74.1     1.4    41.0     2.2   -21.3     5.5
2010.8910   -73.1     1.4    40.8     2.2   -14.0     5.8
2010.8931   -73.0     1.4    40.2     2.2   -14.3     6.1
2010.8960   -72.2     1.3    38.8     2.1   -12.1     5.5
2010.8990   -73.8     1.4    40.6     2.2   -14.7     5.5
2010.9014   -75.0     1.4    39.4     2.1   -13.4     5.4
2010.9041   -73.8     1.3    39.4     2.1   -16.3     5.5
2010.9070   -73.8     1.4    40.6     2.2   -16.8     5.7
2010.9100   -75.3     1.3    40.1     2.1   -14.1     5.6
