% site name: GMMA
% Time      North     err   East      err    Up       err
% year      mm        mm    mm        mm     mm       mm
2009.6340   -81.9     1.5    42.9     2.4   -15.2     7.4
2009.6370   -80.4     1.3    42.3     2.0   -23.3     5.2
2009.6392   -80.5     1.4    44.6     1.9   -25.1     5.2
2009.6474   -78.9     1.4    43.5     2.0   -23.1     5.4
2009.6502   -80.7     1.3    42.5     1.9   -22.4     5.1
2009.6530   -80.6     1.4    41.2     1.9   -20.4     5.2
2009.6560   -78.8     1.4    41.3     1.9   -18.1     5.1
2009.6584   -80.2     1.4    40.3     1.9   -19.2     5.2
2009.6611   -80.9     1.4    41.5     1.9   -19.4     5.0
2009.6640   -80.8     1.3    40.6     1.9   -18.5     4.9
2009.6670   -80.8     1.3    42.1     1.9   -16.7     5.1
2009.6694   -80.9     1.4    43.4     1.9   -18.4     5.2
2009.6721   -79.6     1.4    42.8     1.9   -19.4     5.1
2009.6750   -79.0     1.4    43.4     1.9   -17.6     5.0
2009.6780   -79.7     1.3    43.5     1.9   -17.4     5.1
2009.6802   -79.8     1.4    44.4     1.9   -21.2     5.2
2009.6831   -79.9     1.4    44.0     1.9   -20.9     5.1
2009.6860   -79.6     1.4    43.9     1.9   -18.5     5.0
2009.6890   -80.0     1.3    43.6     1.8   -18.3     5.0
2009.6912   -81.7     1.3    44.6     1.8   -22.3     5.0
2009.6940   -81.1     1.3    42.7     1.8   -22.4     4.9
2009.6970   -80.2     1.3    42.8     1.9   -17.8     5.1
2009.6994   -79.9     1.4    42.2     1.9   -20.8     5.1
2009.7022   -79.2     1.4    41.6     1.9   -18.1     5.1
2009.7050   -78.7     1.4    43.1     1.9   -23.6     5.1
2009.7080   -79.1     1.4    43.5     1.9   -26.4     5.1
2009.7104   -79.4     1.4    43.4     1.9   -25.5     5.2
2009.7132   -80.0     1.4    43.1     1.9   -25.0     5.1
2009.7160   -80.3     1.4    44.9     1.9   -18.1     5.1
2009.7214   -80.5     1.4    45.4     1.9   -19.3     4.9
2009.7241   -83.2     1.3    46.1     1.9   -28.2     5.1
2009.7270   -85.8     1.4    48.3     1.9   -29.8     4.9
2009.7432   -84.4     1.3    45.7     1.9   -23.1     5.2
2009.7490   -84.9     1.4    42.9     1.9   -32.6     5.1
2009.7520   -83.4     1.3    43.9     1.9   -25.3     5.0
2009.7542   -81.7     1.3    43.1     1.9   -27.7     5.0
2009.7570   -81.4     1.3    42.0     1.9   -26.6     4.9
2009.7600   -78.6     1.4    41.7     1.8   -20.7     4.9
2009.7624   -78.6     1.3    42.4     1.9   -25.0     5.0
2009.7652   -77.5     1.4    43.0     1.9   -25.4     4.9
2009.7680   -77.2     1.4    43.5     1.8   -25.8     4.9
2009.7710   -76.4     1.3    43.4     1.8   -27.5     4.9
2009.7734   -77.7     1.3    41.0     1.8   -28.7     5.0
2009.7761   -76.9     1.3    42.6     1.9   -28.2     5.0
2009.7790   -77.1     1.3    42.4     1.9   -26.8     5.1
2009.7820   -76.5     1.3    43.3     1.9   -22.7     5.1
2009.7844   -77.7     1.3    42.4     1.9   -25.0     4.9
2009.7871   -76.6     1.3    44.9     1.8   -27.5     5.0
2009.7900   -77.7     1.3    43.2     1.9   -24.0     5.0
2009.7930   -77.7     1.3    42.8     1.9   -25.4     5.2
2009.7952   -77.6     1.3    43.4     1.9   -26.0     5.1
2009.7980   -77.5     1.4    41.9     1.9   -24.8     5.1
2009.8010   -77.3     1.4    42.3     1.9   -27.3     5.2
2009.8040   -77.3     1.3    42.8     1.9   -26.2     5.2
2009.8062   -77.5     1.3    43.4     1.9   -31.8     5.1
2009.8090   -77.0     1.3    42.9     1.9   -32.6     5.1
