% site name: GROK
% Time      North     err   East      err    Up       err
% year      mm        mm    mm        mm     mm       mm
2008.5170  -101.0     1.8    65.8     3.3   -40.7    11.0
2008.5200  -100.1     1.3    65.8     2.0   -40.7     5.0
2008.5222  -101.8     1.3    67.6     2.1   -43.2     5.2
2008.5250  -101.1     1.3    67.5     2.1   -36.3     5.2
2008.5280   -99.7     1.4    66.3     2.1   -37.1     5.4
2008.5310  -101.8     1.4    67.2     2.1   -42.3     5.5
2008.5332  -101.0     1.4    68.5     2.2   -44.8     5.8
2008.5390  -101.3     1.4    66.5     2.2   -39.1     5.6
2008.5413  -101.4     1.4    66.0     2.1   -36.2     5.3
2008.5441   -99.6     1.4    67.1     2.1   -37.1     5.3
2008.5470  -102.3     1.3    65.4     2.1   -43.6     5.2
2008.5500  -101.2     1.3    63.7     2.1   -42.2     5.4
2008.5550  -100.2     1.4    66.9     2.1   -41.1     5.3
2008.5580   -99.9     1.4    64.9     2.1   -41.3     5.5
2008.5610  -101.4     1.3    65.6     2.1   -37.7     5.6
2008.5633  -100.5     1.5    65.6     2.2   -37.4     6.2
2008.5660  -102.5     1.3    66.4     2.1   -43.6     5.2
2008.5690  -102.2     1.4    64.7     2.1   -43.1     5.3
2008.5720  -100.1     1.4    64.9     2.1   -41.3     5.5
2008.5742  -100.6     1.4    65.4     2.1   -45.3     5.3
2008.5770  -101.0     1.3    63.3     2.0   -45.1     5.1
2008.5800  -100.9     1.3    63.9     2.0   -43.3     5.2
2008.5830  -101.8     1.3    63.9     2.1   -44.2     5.1
2008.5880  -100.8     1.3    62.5     2.0   -48.7     5.0
2008.5910  -101.6     1.3    62.3     2.1   -37.9     5.2
2008.5933  -100.9     1.3    63.2     2.1   -39.9     5.1
2008.5961   -98.7     1.3    63.7     2.1   -36.2     5.2
2008.5990   -99.1     1.4    63.6     2.1   -40.2     5.3
2008.6020  -101.2     1.4    63.9     2.1   -41.5     5.4
2008.6043  -101.0     1.4    63.4     2.1   -35.9     5.4
2008.6071   -95.8     1.4    58.9     2.2   -38.6     5.8
2008.6100  -102.1     1.3    62.2     2.1   -37.7     5.6
2008.6130   -99.9     1.3    61.1     2.1   -27.4     5.6
2008.6153  -101.1     1.4    63.4     2.1   -40.4     5.6
2008.6180   -99.3     1.4    65.0     2.1   -34.5     5.3
2008.6210  -101.4     1.3    65.6     2.1   -33.7     5.2
2008.6240  -101.6     1.3    64.1     2.1   -35.5     5.2
2008.6263  -100.8     1.4    63.7     2.1   -35.9     5.3
2008.6290  -101.0     1.4    64.2     2.1   -35.5     5.4
2008.6320  -102.2     1.4    65.3     2.1   -31.7     5.6
2008.6350  -101.4     1.3    65.6     2.1   -36.6     5.6
2008.6372  -100.6     1.3    65.5     2.1   -31.2     5.4
2008.6400  -100.5     1.4    63.7     2.1   -37.2     5.3
2008.6430   -99.6     1.4    66.0     2.1   -34.1     5.4
2008.6460   -99.1     1.3    65.7     2.1   -32.1     5.2
2008.6481  -100.0     1.4    64.7     2.1   -30.1     5.3
2008.6510  -100.2     1.3    63.9     2.0   -34.6     5.2
2008.6540  -100.6     1.3    64.8     2.0   -35.7     5.2
2008.6563  -100.0     1.3    63.0     2.0   -35.0     5.1
2008.6591  -100.6     1.3    64.0     2.0   -40.5     5.2
2008.6620  -100.8     1.3    62.7     2.0   -37.6     5.1
2008.6650  -101.1     1.3    62.8     2.0   -35.9     5.1
2008.6673   -99.9     1.3    63.9     2.1   -40.5     5.1
2008.6700   -99.9     1.3    62.9     2.0   -38.5     5.1
2008.6730  -100.3     1.4    61.8     2.1   -35.2     5.3
2008.6760   -99.8     1.4    64.1     2.1   -32.4     5.4
2008.6783  -100.1     1.4    65.1     2.1   -30.6     5.7
2008.6810   -99.0     1.4    63.6     2.1   -32.8     5.4
2008.6840   -99.7     1.4    63.6     2.1   -34.1     5.6
2008.6870   -99.2     1.4    63.2     2.1   -34.2     5.4
2008.6892   -99.8     1.4    63.8     2.1   -36.7     5.5
2008.6920   -99.6     1.3    63.0     2.1   -33.9     5.2
2008.6950   -99.5     1.3    63.2     2.1   -33.8     5.2
2008.6980  -100.2     1.3    61.7     2.1   -33.1     5.5
2008.7001   -98.7     1.3    63.9     2.1   -39.1     5.1
2008.7030   -99.0     1.3    64.2     2.0   -35.7     5.1
2008.7060   -99.4     1.3    64.0     2.1   -37.3     5.2
2008.7083   -98.2     1.4    64.1     2.1   -33.9     5.4
2008.7111  -100.3     1.4    64.8     2.1   -39.0     5.5
2008.7140   -99.7     1.4    63.3     2.1   -34.1     5.4
2008.7170   -99.0     1.3    63.8     2.0   -37.7     5.3
2008.7193  -100.9     1.4    61.9     2.1   -40.2     5.5
2008.7221   -96.2     1.3    62.6     2.1   -33.3     5.2
2008.7250  -102.8     1.3    58.0     2.1   -34.2     5.6
2008.7280  -101.8     1.3    57.2     2.0   -28.5     5.3
2008.7303   -99.5     1.3    59.6     2.1   -35.1     5.2
2008.7330   -98.0     1.4    61.0     2.1   -33.1     5.3
2008.7360   -97.9     1.3    61.3     2.0   -34.3     5.2
2008.7390   -97.7     1.3    62.5     2.0   -36.8     5.2
2008.7413   -98.2     1.3    61.9     2.1   -36.7     5.2
2008.7440   -98.4     1.3    59.9     2.1   -35.5     5.2
2008.7470   -99.1     1.3    58.8     2.1   -36.9     5.2
2008.7500   -97.5     1.4    60.0     2.1   -35.1     5.3
2008.7521   -97.2     1.3    59.0     2.1   -37.1     5.6
2008.7550   -97.2     1.3    58.2     2.1   -36.1     5.7
2008.7604   -99.0     1.3    61.9     2.2   -37.0     6.0
2008.7631   -97.7     1.4    62.9     2.1   -30.1     5.3
2008.7660   -96.5     1.3    63.1     2.0   -36.1     5.2
2008.7690   -97.8     1.3    63.3     2.0   -34.1     5.2
2008.7713   -97.6     1.3    62.8     2.1   -33.6     5.2
2008.7741   -97.5     1.3    62.9     2.0   -39.2     5.1
2008.7770   -97.3     1.3    62.3     2.0   -30.7     5.2
2008.7800   -97.0     1.3    62.0     2.0   -33.2     5.1
2008.7823   -96.5     1.4    63.2     2.1   -41.1     5.5
2008.7850   -96.6     1.4    63.4     2.2   -37.7     5.9
2008.7880   -97.2     1.4    63.7     2.1   -41.6     5.3
2008.7910   -98.6     1.4    62.6     2.1   -39.8     5.3
2008.7933   -96.3     1.3    62.4     2.1   -33.9     5.2
2008.7960   -96.7     1.3    62.0     2.1   -38.3     5.2
2008.7990   -96.0     1.3    61.6     2.0   -38.5     5.0
2008.8020   -97.7     1.3    62.5     2.1   -35.2     5.1
2008.8041   -96.6     1.4    61.8     2.1   -33.5     5.3
2008.8070   -96.9     1.3    61.3     2.1   -29.0     5.2
2008.8100   -97.8     1.3    64.5     2.0   -34.8     5.2
2008.8124   -97.0     1.3    62.2     2.0   -34.6     5.1
2008.8151   -97.5     1.3    62.2     2.0   -34.5     5.1
2008.8180   -97.0     1.3    62.6     2.0   -37.4     5.1
2008.8210   -97.3     1.3    63.2     2.1   -36.3     5.2
2008.8233   -98.8     1.3    60.5     2.0   -42.2     5.1
2008.8261   -97.0     1.4    60.8     2.1   -38.3     5.3
2008.8290   -96.8     1.4    60.2     2.1   -35.5     5.4
2008.8320   -96.5     1.4    61.7     2.1   -44.6     5.5
2008.8343   -96.7     1.4    61.2     2.1   -32.1     5.4
2008.8371   -98.6     1.3    64.2     2.1   -36.2     5.2
2008.8400   -97.5     1.3    62.1     2.0   -38.8     5.0
2008.8430   -94.7     1.4    63.1     2.1   -35.7     5.3
2008.8453   -96.3     1.3    62.0     2.0   -41.0     5.2
2008.8510   -95.7     1.3    63.2     2.0   -35.8     5.1
2008.8540   -95.2     1.4    61.6     2.1   -34.2     5.3
2008.8563   -96.4     1.3    60.8     2.0   -39.9     5.2
