% site name: HEL2
% Time      North     err   East      err    Up       err
% year      mm        mm    mm        mm     mm       mm
2007.6461   -92.8     2.4    99.0     3.1   -71.3     5.3
2007.6490   -91.2     2.0    97.4     2.5   -78.7     3.9
2007.6520   -92.7     2.0    99.1     2.5   -85.5     4.1
2007.6542   -92.9     2.0    98.1     2.7   -82.3     4.3
2007.6571   -93.4     2.0    98.9     2.5   -87.0     3.8
2007.6600   -92.2     2.0    98.7     2.5   -82.5     3.9
2007.6630   -94.1     2.0    97.8     2.5   -90.1     3.8
2007.6652   -96.0     2.0    99.0     2.4   -82.8     4.0
2007.6680   -94.3     2.0   100.3     2.5   -78.1     4.1
2007.6710   -92.7     2.0    99.5     2.7   -77.8     4.3
2007.6734   -95.7     1.9   100.8     2.4   -79.8     3.9
2007.6762   -93.4     1.9   100.1     2.4   -69.2     3.9
2007.6790   -93.0     2.0    97.1     2.5   -71.2     4.1
2007.6820   -94.3     2.0    97.8     2.7   -79.5     4.3
2007.6844   -92.5     2.0    98.7     2.5   -76.7     3.8
2007.6872   -92.8     1.9    97.2     2.5   -79.2     4.0
2007.6900   -93.6     1.9    97.8     2.4   -76.9     3.9
2007.6930   -95.7     2.0    98.8     2.5   -70.7     3.9
2007.6954   -93.9     2.0    97.5     2.5   -78.4     3.9
2007.6981   -94.6     2.0    98.7     2.5   -78.0     3.8
2007.7010   -92.2     1.9    99.2     2.4   -77.0     3.8
2007.7040   -93.2     2.0    99.7     2.5   -73.5     3.9
2007.7064   -93.1     2.0    98.0     2.5   -74.8     3.9
2007.7091   -91.7     2.0    99.6     2.5   -74.1     3.8
2007.7120   -93.9     1.9    98.4     2.4   -72.3     3.8
2007.7150   -92.5     2.0   100.0     2.5   -67.1     3.8
2007.7172   -93.5     1.9    98.7     2.3   -72.5     3.7
2007.7200   -90.2     1.9    97.8     2.4   -68.2     3.9
2007.7230   -90.3     1.9    97.8     2.4   -71.8     3.8
2007.7260   -90.9     2.0    98.0     2.5   -74.0     3.8
2007.7282   -91.0     2.0    97.8     2.5   -75.0     3.8
2007.7310   -91.8     1.9    98.1     2.5   -77.1     4.0
2007.7340   -94.2     1.8    99.7     2.4   -80.2     3.7
2007.7364   -91.9     1.9    98.8     2.4   -80.3     3.8
2007.7392   -92.8     2.0    99.2     2.5   -83.0     3.8
2007.7420   -93.9     2.0    99.1     2.5   -84.1     4.1
2007.7450   -91.6     2.0    99.3     2.7   -69.5     4.3
2007.7474   -92.2     2.0   100.8     2.5   -71.3     3.8
2007.7501   -93.1     2.0   101.3     2.6   -72.9     4.0
2007.7530   -91.7     2.0    99.0     2.5   -71.1     3.8
2007.7560   -92.5     2.0    99.2     2.6   -75.9     4.0
2007.7584   -90.0     1.9    98.8     2.5   -78.1     3.8
2007.7611   -90.3     2.0    98.2     2.5   -78.9     3.8
2007.7640   -90.9     1.9    98.3     2.4   -79.6     3.8
2007.7670   -89.6     1.9    98.0     2.4   -80.0     3.8
2007.7692   -91.0     2.1    95.9     2.5   -84.0     4.0
2007.7720   -91.5     1.9    98.1     2.5   -80.2     4.0
