% site name: HJOR
% Time      North     err   East      err    Up       err
% year      mm        mm    mm        mm     mm       mm
2007.6160   -85.6     2.9    83.5     3.5   -34.6     5.3
2007.6190   -86.7     2.1    83.7     2.5   -44.8     3.7
2007.6214   -86.5     2.1    84.5     2.6   -39.1     3.7
2007.6242   -86.9     2.1    86.6     2.6   -36.1     3.7
2007.6270   -87.2     2.1    85.0     2.5   -37.0     3.5
2007.6300   -85.8     2.1    85.6     2.5   -41.2     3.6
2007.6324   -87.5     2.1    84.1     2.5   -36.4     3.6
2007.6351   -88.0     2.1    85.7     2.5   -38.9     3.6
2007.6380   -86.7     2.1    85.8     2.5   -40.5     3.5
2007.6410   -87.2     2.1    86.8     2.5   -37.5     3.5
2007.6434   -87.4     2.0    87.2     2.5   -39.5     3.4
2007.6461   -88.1     2.1    85.8     2.5   -34.8     3.6
2007.6490   -86.1     2.1    85.6     2.5   -37.5     3.6
2007.6520   -86.2     2.1    87.0     2.6   -36.3     3.7
2007.6542   -86.6     2.2    86.4     2.7   -32.6     4.0
2007.6571   -87.3     2.1    86.6     2.5   -42.0     3.6
2007.6600   -87.1     2.1    86.2     2.5   -46.2     3.7
2007.6630   -88.0     2.1    86.2     2.5   -39.6     3.6
2007.6652   -88.1     2.1    85.5     2.5   -36.6     3.6
2007.6680   -87.9     2.1    86.5     2.5   -36.8     3.7
2007.6710   -88.1     2.1    86.3     2.6   -36.3     3.7
2007.6734   -89.0     2.1    87.5     2.5   -27.3     3.6
2007.6762   -87.0     2.1    86.5     2.5   -30.9     3.7
2007.6790   -87.9     2.1    85.6     2.6   -32.2     3.7
2007.6820   -87.3     2.1    86.1     2.5   -36.7     3.7
2007.6844   -86.0     2.1    85.8     2.5   -31.9     3.6
2007.6872   -86.9     2.1    84.4     2.5   -32.6     3.6
2007.6900   -86.6     2.1    84.6     2.5   -38.6     3.6
2007.6930   -86.7     2.1    84.8     2.5   -32.5     3.5
2007.6954   -86.9     2.1    85.8     2.5   -33.2     3.5
2007.6981   -87.1     2.1    85.3     2.5   -33.4     3.5
2007.7010   -85.4     2.1    86.0     2.5   -32.1     3.6
2007.7040   -86.2     2.1    85.4     2.5   -33.0     3.6
2007.7064   -85.9     2.1    84.7     2.6   -29.5     3.7
2007.7091   -85.5     2.1    85.8     2.5   -30.9     3.6
2007.7120   -88.0     2.1    84.8     2.5   -34.9     3.5
2007.7150   -87.0     2.1    85.7     2.5   -27.8     3.5
2007.7172   -87.1     2.1    85.7     2.5   -34.6     3.5
2007.7200   -84.7     2.1    86.0     2.5   -32.4     3.5
2007.7230   -85.4     2.0    84.6     2.5   -35.1     3.4
2007.7260   -85.0     2.1    85.4     2.5   -31.6     3.5
2007.7282   -85.0     2.1    85.2     2.5   -35.0     3.5
2007.7310   -84.1     2.1    85.5     2.5   -35.8     3.5
2007.7340   -86.3     2.0    87.2     2.5   -33.7     3.4
2007.7364   -86.7     2.1    83.8     2.5   -37.5     3.5
2007.7392   -86.6     2.1    83.3     2.5   -29.5     3.7
2007.7420   -84.8     2.1    86.1     2.5   -32.0     3.7
2007.7450   -85.1     2.1    85.3     2.7   -32.0     3.8
2007.7474   -86.4     2.1    86.5     2.5   -35.1     3.5
2007.7501   -88.0     2.1    87.2     2.5   -34.9     3.6
2007.7530   -86.7     2.1    86.4     2.5   -33.2     3.6
2007.7560   -86.8     2.1    87.1     2.5   -32.6     3.5
2007.7584   -82.9     2.1    86.5     2.5   -36.1     3.6
2007.7611   -84.0     2.1    85.8     2.5   -37.8     3.5
2007.7640   -84.5     2.0    85.3     2.5   -36.0     3.4
2007.7670   -83.3     2.0    85.1     2.5   -37.2     3.4
2007.7692   -83.9     2.1    83.4     2.5   -32.5     3.7
2007.7720   -85.7     2.1    84.6     2.6   -39.7     3.7
2007.7750   -83.4     2.1    83.4     2.5   -35.6     3.6
2007.7780   -84.7     2.0    84.7     2.5   -35.3     3.4
