% site name: HMBG
% Time      North     err   East      err    Up       err
% year      mm        mm    mm        mm     mm       mm
2009.6150   -89.8     2.1    59.7     2.8   -10.7     7.7
2009.6174   -89.8     1.6    60.4     2.0   -16.1     4.7
2009.6201   -89.6     1.6    60.2     2.0   -13.0     4.7
2009.6230   -88.4     1.6    60.0     2.0   -13.9     4.7
2009.6260   -88.3     1.6    59.3     2.0   -14.4     4.7
2009.6282   -88.8     1.6    59.5     2.0   -13.8     4.7
2009.6311   -88.2     1.6    60.8     2.0   -12.3     4.7
2009.6340   -90.1     1.6    60.6     2.0   -13.8     4.7
2009.6370   -88.2     1.6    59.1     2.2   -16.5     4.8
2009.6392   -87.8     1.6    60.8     2.2   -15.5     4.9
2009.6420   -87.7     1.6    59.5     2.0   -15.5     4.8
2009.6450   -87.5     1.6    60.1     2.0   -11.1     4.7
2009.6474   -86.8     1.6    60.3     2.0   -17.8     4.7
2009.6502   -87.0     1.6    59.3     2.0   -14.6     4.7
2009.6530   -88.0     1.7    59.0     2.1   -16.2     4.9
2009.6560   -86.4     1.6    58.2     2.2   -15.2     5.0
2009.6611   -88.2     1.6    58.1     2.0   -13.4     4.6
2009.6640   -89.2     1.6    58.1     2.0   -14.3     4.7
2009.6670   -89.0     1.7    58.5     2.1   -13.9     4.8
2009.6694   -87.5     1.6    59.9     2.1    -8.8     4.6
2009.6721   -87.2     1.6    59.1     2.0   -12.2     4.8
2009.6750   -87.8     1.6    59.3     2.0   -13.1     4.8
2009.6780   -87.4     1.7    59.6     2.0   -10.9     4.8
2009.6802   -87.5     1.6    61.0     2.1   -13.2     4.7
2009.6831   -87.4     1.6    60.2     2.0   -10.1     4.7
2009.6860   -87.6     1.6    60.0     2.0   -12.6     4.6
2009.6890   -88.3     1.6    59.4     2.0   -12.5     4.6
2009.6912   -87.8     1.6    59.5     2.0    -6.0     4.7
2009.6940   -88.4     1.7    58.8     2.0   -14.3     4.8
2009.6970   -87.9     1.6    58.5     2.1   -12.8     4.8
2009.6994   -86.2     1.6    59.2     2.0   -10.2     4.7
2009.7022   -86.6     1.7    59.7     2.0   -15.0     4.8
2009.7050   -87.0     1.6    59.8     2.1   -15.4     4.7
2009.7080   -88.4     1.6    60.1     2.0   -23.7     4.7
2009.7104   -88.1     1.6    59.8     2.1   -18.5     4.7
2009.7132   -88.0     1.6    59.9     2.0   -13.3     4.8
2009.7160   -88.4     1.6    60.0     2.0   -10.7     4.7
2009.7214   -88.4     1.6    60.6     2.0   -12.1     4.7
2009.7241   -87.4     1.6    60.8     2.0    -9.9     4.7
2009.7270   -87.4     1.6    60.4     2.0   -10.4     4.8
2009.7300   -88.7     1.7    60.0     2.2   -12.2     4.8
2009.7324   -87.8     1.6    60.1     2.1   -10.0     4.6
2009.7351   -87.7     1.6    59.2     2.0    -8.0     4.7
2009.7380   -87.2     1.6    60.4     2.0    -9.0     4.7
2009.7410   -87.9     1.6    58.2     2.1   -10.6     5.0
2009.7432   -86.5     1.7    59.5     2.2   -16.3     4.8
2009.7460   -86.8     1.6    59.3     2.1   -13.2     4.7
2009.7490   -86.9     1.6    58.8     2.0   -19.3     4.7
2009.7520   -86.2     1.6    59.8     2.0   -16.4     4.7
2009.7542   -85.4     1.6    60.2     2.0   -15.9     4.7
2009.7570   -86.7     1.6    58.5     2.0   -13.5     4.7
2009.7600   -86.0     1.5    58.7     2.0   -13.0     4.8
2009.7624   -86.4     1.6    60.1     2.1   -13.5     4.7
2009.7652   -85.3     1.6    60.3     2.0   -13.1     4.7
2009.7680   -84.9     1.6    60.3     2.1   -18.8     4.6
2009.7710   -84.7     1.7    59.3     2.0   -14.7     4.8
2009.7734   -86.3     1.6    58.4     2.1   -19.5     4.7
2009.7761   -84.7     1.7    59.6     2.0   -20.6     4.8
2009.7790   -85.2     1.7    60.4     2.1   -20.0     4.8
2009.7820   -85.4     1.6    61.6     2.1   -15.5     4.7
2009.7844   -86.0     1.6    59.9     2.0   -13.2     4.6
2009.7871   -85.6     1.6    60.9     2.0   -16.5     4.7
2009.7900   -85.5     1.6    59.7     2.0   -17.8     4.8
2009.7930   -86.5     1.6    59.0     2.2   -13.5     4.7
2009.7952   -86.5     1.6    59.3     2.0   -14.8     4.7
2009.7980   -85.9     1.7    59.1     2.0   -16.4     4.8
2009.8010   -85.1     1.6    59.8     2.1   -16.6     4.7
2009.8040   -86.0     1.6    59.3     2.1   -20.1     4.8
2009.8062   -84.8     1.6    59.7     2.0   -19.1     4.8
2009.8090   -84.0     1.7    59.0     2.0   -19.1     5.2
2009.8120   -84.9     1.6    60.7     2.2   -20.0     4.8
2009.8144   -84.6     1.6    61.1     2.2   -19.9     4.9
2009.8172   -84.6     1.7    59.9     2.2   -18.9     5.1
2009.8200   -85.0     1.6    60.0     2.2   -18.9     4.9
2009.8230   -86.2     1.7    60.1     2.2   -19.1     4.8
2009.8254   -84.5     1.6    59.0     2.1   -17.9     4.9
2009.8282   -84.3     1.6    59.7     2.2   -20.7     4.9
2009.8310   -85.2     1.7    60.2     2.2   -17.7     5.0
2009.8340   -84.9     1.7    60.6     2.1   -17.0     4.9
2009.8364   -85.3     1.6    58.9     2.1   -14.7     4.7
2009.8391   -85.2     1.6    58.0     2.0   -10.2     4.7
2009.8420   -84.8     1.6    57.8     2.2   -14.0     4.7
2009.8450   -85.1     1.6    58.2     2.0   -17.7     4.7
2009.8474   -84.8     1.7    59.5     2.1   -15.8     4.8
2009.8500   -85.7     1.7    58.8     2.1   -14.1     4.8
2009.8530   -84.5     1.6    59.2     2.1   -14.8     4.7
2009.8560   -85.6     1.6    59.5     2.0   -17.0     4.8
2009.8582   -84.5     1.6    59.8     2.2   -15.1     4.8
2009.8610   -83.9     1.6    59.1     2.2   -12.1     4.8
2009.8640   -84.7     1.7    58.8     2.2   -12.4     4.8
2009.8670   -82.7     1.6    59.2     2.1   -14.6     5.0
2009.8692   -84.8     1.6    59.4     2.2   -15.2     4.8
2009.8720   -84.5     1.7    59.1     2.2   -12.8     5.1
2009.8750   -84.8     1.6    59.4     2.2   -13.4     4.9
2009.8774   -84.8     1.5    59.6     2.2   -11.8     4.8
2009.8802   -84.7     1.7    57.7     2.1   -12.1     4.9
2009.8830   -83.3     1.6    56.8     2.1   -13.5     4.8
2009.8860   -83.0     1.7    59.7     2.2   -13.4     4.8
2009.8884   -84.9     1.6    58.9     2.1   -12.3     4.8
2009.8911   -85.4     1.6    59.2     2.2   -12.1     5.0
2009.8940   -85.5     1.6    57.8     2.2   -11.9     4.9
2009.8970   -84.5     1.6    58.6     2.2   -16.8     4.7
2009.8994   -83.4     1.6    58.1     2.0   -15.6     4.9
2009.9020   -84.2     1.6    58.0     2.2   -12.3     4.9
2009.9050   -83.7     1.6    57.2     2.2    -8.4     5.0
