% site name: HRDG
% Time      North     err   East      err    Up       err
% year      mm        mm    mm        mm     mm       mm
2008.5250   -71.2     2.2    93.6     3.1   -38.9     8.8
2008.5280   -71.0     1.6    92.3     2.1   -39.6     5.5
2008.5310   -69.4     1.6    92.7     2.0   -37.7     5.3
2008.5332   -69.6     1.7    92.5     2.1   -38.2     5.2
2008.5390   -68.7     1.6    92.7     2.1   -35.1     5.5
2008.5413   -70.5     1.7    91.3     2.1   -39.1     5.3
2008.5441   -70.2     1.6    93.4     2.1   -36.9     5.5
2008.5470   -69.7     1.6    92.7     2.1   -36.4     5.5
2008.5500   -72.4     1.6    91.6     2.1   -39.4     5.5
2008.5550   -69.9     1.6    92.5     2.0   -38.8     5.4
2008.5580   -70.4     1.7    91.7     2.1   -36.6     5.3
2008.5610   -68.9     1.6    92.0     2.1   -31.9     5.6
2008.5633   -69.3     1.6    92.2     2.0   -29.5     5.4
2008.5660   -69.9     1.6    92.0     2.1   -31.4     5.5
2008.5690   -70.5     1.7    91.0     2.1   -33.1     5.3
2008.5720   -70.7     1.6    91.2     2.1   -36.5     5.4
2008.5742   -72.3     1.6    91.0     2.1   -36.6     5.6
2008.5770   -71.4     1.6    90.5     2.1   -36.9     5.6
2008.5800   -69.5     1.6    91.2     2.1   -32.2     5.5
2008.5830   -70.4     1.7    90.8     2.1   -38.3     5.8
2008.5880   -70.1     1.6    90.1     2.0   -36.0     5.4
2008.5910   -72.0     1.6    89.8     2.1   -34.7     5.5
2008.5933   -72.3     1.7    90.0     2.1   -36.9     5.3
2008.5961   -71.7     1.6    90.2     2.1   -41.5     5.4
2008.5990   -71.8     1.5    90.9     2.1   -40.5     5.4
2008.6020   -71.2     1.6    90.9     2.1   -33.1     5.6
2008.6043   -71.3     1.6    89.5     2.1   -33.7     5.5
2008.6071   -72.4     1.7    91.2     2.1   -39.4     6.1
2008.6100   -71.0     1.6    90.0     2.1   -39.6     5.5
2008.6130   -71.8     1.6    89.6     2.1   -42.6     5.5
2008.6153   -71.0     1.6    88.9     2.1   -45.0     5.5
2008.6180   -70.4     1.6    89.8     2.1   -32.2     5.5
2008.6210   -71.4     1.6    90.0     2.1   -30.4     5.4
2008.6240   -72.1     1.5    90.0     2.1   -37.0     5.4
2008.6263   -70.3     1.6    90.8     2.2   -32.1     6.1
2008.6290   -69.8     1.5    90.0     2.1   -35.1     5.3
2008.6320   -71.0     1.5    91.4     2.1   -33.0     5.4
2008.6350   -70.1     1.6    90.7     2.1   -33.7     5.4
2008.6372   -69.2     1.6    90.5     2.1   -30.6     5.5
2008.6400   -70.7     1.6    89.9     2.1   -32.5     5.5
2008.6430   -69.2     1.6    89.8     2.1   -31.6     5.5
2008.6460   -69.0     1.6    90.5     2.1   -30.6     5.6
2008.6481   -70.3     1.6    90.9     2.1   -30.2     5.6
2008.6510   -71.2     1.6    90.2     2.1   -32.7     5.5
2008.6540   -71.8     1.6    90.4     2.1   -32.8     5.5
2008.6563   -69.8     1.6    89.1     2.1   -30.6     5.4
2008.6591   -70.4     1.6    90.4     2.0   -33.3     5.5
2008.6620   -70.6     1.6    89.8     2.1   -35.7     5.5
2008.6650   -71.5     1.6    88.6     2.0   -32.7     5.3
2008.6673   -69.9     1.6    90.1     2.1   -37.0     5.5
2008.6700   -70.7     1.6    89.1     2.0   -35.2     5.3
2008.6730   -69.2     1.7    88.8     2.1   -23.5     5.3
2008.6760   -70.8     1.7    89.4     2.1   -32.7     6.0
2008.6783   -70.2     1.7    89.1     2.1   -31.5     6.0
2008.6810   -68.9     1.7    87.8     2.1   -29.1     5.3
2008.6840   -70.5     1.6    89.1     2.0   -34.2     5.4
2008.6870   -70.2     1.6    88.3     2.0   -31.8     5.4
2008.6892   -70.1     1.7    88.1     2.1   -29.9     5.3
2008.6920   -70.3     1.5    89.3     2.1   -35.3     5.3
2008.6950   -69.6     1.6    88.8     2.0   -33.4     5.4
2008.6980   -72.0     1.6    87.9     2.0   -33.1     5.4
2008.7001   -69.3     1.7    89.4     2.1   -33.1     5.4
2008.7030   -69.0     1.6    88.6     2.0   -33.9     5.4
2008.7060   -70.2     1.6    89.1     2.0   -35.2     5.3
2008.7083   -70.5     1.7    88.4     2.1   -35.7     5.3
2008.7111   -68.7     1.7    89.4     2.1   -34.8     5.7
2008.7140   -70.3     1.7    88.6     2.1   -33.3     5.7
2008.7170   -69.6     1.6    88.8     2.1   -33.1     5.5
2008.7193   -69.7     1.5    88.5     2.1   -29.8     5.4
2008.7221   -69.1     1.6    88.6     2.1   -30.8     5.6
2008.7250   -69.9     1.6    87.9     2.0   -36.5     5.4
2008.7280   -70.0     1.6    87.6     2.0   -34.5     5.4
2008.7303   -68.5     1.6    89.6     2.1   -37.2     5.6
2008.7330   -68.4     1.5    89.9     2.1   -38.7     5.4
2008.7360   -68.6     1.6    89.8     2.1   -35.6     5.4
2008.7390   -67.7     1.6    89.3     2.1   -36.5     5.5
2008.7413   -68.8     1.6    89.3     2.1   -37.9     5.4
2008.7440   -69.2     1.6    88.9     2.1   -38.6     5.6
2008.7470   -69.3     1.6    87.8     2.1   -33.2     5.5
2008.7500   -67.7     1.6    89.6     2.1   -36.4     5.5
2008.7521   -68.8     1.6    87.6     2.1   -36.8     5.5
2008.7550   -70.5     1.6    87.5     2.1   -37.2     5.5
2008.7604   -68.2     1.6    88.9     2.1   -29.0     5.5
2008.7631   -68.7     1.5    87.4     2.1   -30.6     5.4
2008.7660   -68.2     1.6    88.4     2.1   -33.3     5.6
2008.7690   -68.1     1.6    89.4     2.1   -33.8     5.5
2008.7713   -68.7     1.6    86.9     2.1   -32.7     5.4
2008.7741   -69.3     1.7    87.7     2.1   -39.2     5.4
2008.7770   -69.1     1.5    87.3     2.1   -32.5     5.3
2008.7800   -68.7     1.6    86.6     2.1   -26.6     5.5
2008.7823   -68.5     1.7    88.0     2.1   -35.9     5.3
2008.7850   -67.8     1.6    88.0     2.0   -37.4     5.4
2008.7880   -67.8     1.6    87.9     2.0   -36.0     5.4
2008.7910   -68.7     1.7    87.4     2.1   -36.5     5.3
2008.7933   -67.6     1.6    86.5     2.1   -28.7     5.5
2008.7960   -68.0     1.6    86.9     2.0   -37.9     5.4
2008.7990   -66.0     1.7    87.7     2.1   -31.2     5.3
2008.8020   -67.6     1.6    87.4     2.0   -28.1     5.4
2008.8041   -67.9     1.7    87.4     2.1   -28.2     5.3
2008.8070   -68.7     1.6    86.6     2.0   -30.2     5.3
2008.8100   -67.7     1.6    88.5     2.0   -32.9     5.4
2008.8124   -68.1     1.7    87.4     2.1   -33.9     5.3
2008.8151   -68.3     1.7    86.9     2.1   -37.5     5.3
2008.8180   -67.8     1.7    87.3     2.1   -32.8     5.3
2008.8210   -67.8     1.7    87.3     2.1   -33.0     5.3
2008.8233   -69.2     1.6    86.8     2.1   -38.5     5.5
2008.8261   -69.3     1.8    86.9     2.2   -36.0     6.2
