% site name: ILUL
% Time      North     err   East      err    Up       err
% year      mm        mm    mm        mm     mm       mm
2006.0882   -82.0     3.7   129.6     3.9   -59.0     7.1
2006.0910   -77.1     2.6   129.9     2.6   -54.2     4.6
2006.0940   -76.4     2.5   130.0     2.5   -56.4     4.5
2006.0970   -78.0     2.6   130.3     2.5   -59.3     4.4
2006.0992   -78.7     2.5   128.8     2.5   -58.2     4.4
2006.1020   -78.1     2.9   130.4     2.7   -61.3     5.0
2006.1050   -78.1     2.5   128.2     2.5   -56.8     4.4
2006.1074   -77.7     2.5   128.7     2.5   -55.3     4.5
2006.1102   -80.0     2.5   127.3     2.5   -50.5     4.3
2006.1130   -78.7     2.6   126.8     2.6   -54.4     4.6
2006.1160   -77.7     2.5   126.1     2.5   -59.1     4.4
2006.1184   -76.1     2.6   127.4     2.5   -59.7     4.5
2006.1210   -75.1     2.5   126.8     2.5   -56.1     4.4
2006.1240   -75.5     2.5   126.4     2.5   -55.3     4.3
2006.1270   -75.5     2.6   125.7     2.6   -55.7     4.5
2006.1293   -76.8     2.6   124.8     2.6   -60.2     4.7
2006.1320   -76.2     2.6   125.3     2.5   -60.7     4.4
2006.1350   -75.7     2.5   126.0     2.5   -57.2     4.4
2006.1380   -74.8     2.6   126.1     2.6   -56.8     4.5
2006.1402   -73.7     2.8   125.7     2.8   -52.7     5.0
2006.1430   -76.6     2.9   125.4     3.0   -55.9     5.1
2006.1460   -75.4     2.8   126.6     2.8   -62.2     4.9
2006.1490   -76.9     2.6   124.5     2.6   -63.1     4.6
2006.1512   -77.7     2.6   123.5     2.6   -74.8     4.7
2006.1540   -74.2     2.6   124.8     2.5   -65.7     4.5
2006.1570   -74.6     2.6   124.3     2.6   -68.3     4.7
2006.1594   -74.8     2.5   125.6     2.5   -62.4     4.4
2006.1622   -76.0     2.7   126.4     2.5   -65.1     4.5
2006.1650   -76.4     2.6   126.1     2.6   -63.9     4.6
2006.1680   -75.8     2.6   124.8     2.5   -63.3     4.4
2006.1704   -77.2     2.5   125.1     2.6   -63.2     4.4
2006.1732   -76.7     2.5   124.6     2.5   -56.6     4.3
2006.1760   -76.8     2.5   124.0     2.5   -53.8     4.3
2006.1790   -77.7     2.7   125.3     2.5   -53.3     4.5
2006.1813   -76.9     2.6   123.9     2.6   -50.7     4.5
2006.1840   -75.1     2.5   123.8     2.5   -50.0     4.3
2006.1870   -75.9     2.5   124.9     2.5   -54.8     4.4
2006.1900   -75.0     2.6   125.8     2.6   -56.2     4.6
2006.1923   -74.4     2.7   124.8     2.7   -61.8     4.6
2006.1950   -74.4     2.5   124.7     2.5   -57.7     4.3
2006.1980   -75.4     2.5   124.9     2.5   -57.5     4.3
2006.2010   -74.5     2.5   125.1     2.5   -57.5     4.4
2006.2032   -74.2     2.6   126.1     2.6   -60.5     4.5
2006.2060   -74.0     2.7   125.8     2.7   -60.8     4.6
2006.2090   -76.8     2.6   124.8     2.5   -58.7     4.4
2006.2120   -75.7     2.8   124.6     2.8   -66.6     4.8
2006.2142   -77.1     3.2   126.1     3.0   -61.2     5.5
2006.2170   -77.1     2.8   126.1     2.8   -68.5     5.0
2006.2200   -76.6     2.9   123.5     2.7   -63.1     5.0
2006.2224   -78.1     2.8   122.9     2.7   -63.4     4.8
2006.2252   -75.8     2.6   122.1     2.6   -59.7     4.7
2006.2280   -75.8     2.6   122.4     2.6   -58.8     4.7
2006.2310   -77.1     2.7   123.7     2.6   -62.6     4.7
2006.2333   -76.1     2.7   123.4     2.6   -63.7     4.7
2006.2360   -76.7     2.6   122.6     2.6   -62.1     4.7
2006.2390   -77.3     2.5   123.5     2.5   -61.5     4.4
2006.2420   -77.1     2.5   123.3     2.5   -61.4     4.4
2006.2443   -77.4     2.6   124.4     2.5   -60.8     4.5
2006.2470   -77.9     2.6   124.2     2.5   -56.2     4.4
2006.2500   -77.2     2.5   125.0     2.5   -62.6     4.3
2006.2530   -77.0     2.5   125.4     2.5   -58.7     4.4
2006.2552   -77.7     2.5   124.8     2.5   -59.3     4.3
2006.2580   -77.2     2.6   125.0     2.5   -59.3     4.4
2006.2610   -77.7     2.7   122.8     2.6   -62.9     4.7
2006.2640   -76.1     2.6   123.5     2.6   -60.0     4.6
2006.2662   -77.0     2.6   123.5     2.6   -63.7     4.6
2006.2690   -77.7     2.6   123.8     2.5   -61.7     4.4
2006.2720   -77.6     2.8   123.7     2.8   -58.2     4.9
2006.2744   -75.8     2.7   122.9     2.8   -49.9     4.7
2006.2772   -75.6     2.6   122.2     2.6   -54.9     4.5
2006.2830   -77.1     2.6   121.9     2.6   -55.0     4.6
2006.2854   -72.0     2.8   123.3     2.8   -55.8     5.0
2006.2882   -76.9     2.9   123.7     2.9   -65.5     5.2
2006.2910   -74.8     2.8   126.0     2.8   -62.4     4.8
2006.2940   -75.8     2.6   124.0     2.6   -58.5     4.5
2006.2963   -74.9     2.6   122.8     2.5   -56.4     4.4
2006.2990   -74.7     2.5   122.5     2.5   -55.2     4.4
2006.3020   -73.9     2.6   123.1     2.5   -56.8     4.4
2006.3050   -75.3     2.6   122.4     2.5   -59.1     4.4
2006.3073   -76.7     2.7   120.4     2.7   -54.7     4.6
2006.3100   -75.5     2.6   120.1     2.5   -52.7     4.4
2006.3130   -74.6     2.6   119.6     2.5   -53.3     4.4
2006.3160   -74.3     2.6   120.8     2.5   -59.1     4.4
2006.3182   -75.0     2.5   121.0     2.5   -58.3     4.4
2006.3210   -75.1     2.6   120.6     2.5   -60.5     4.4
2006.3240   -75.6     2.6   122.2     2.6   -60.9     4.5
2006.3270   -75.7     2.5   121.8     2.5   -58.3     4.3
2006.3292   -74.3     2.5   122.8     2.5   -56.6     4.3
2006.3320   -74.3     2.5   122.7     2.5   -59.0     4.3
2006.3350   -74.5     2.5   122.0     2.5   -59.4     4.3
2006.3374   -73.3     2.5   122.1     2.5   -57.1     4.3
2006.3402   -73.4     2.7   122.5     2.7   -59.0     4.5
2006.3430   -73.3     2.6   122.6     2.5   -63.1     4.4
2006.3460   -74.0     2.8   121.9     2.7   -59.0     4.7
2006.3483   -74.7     2.7   123.8     2.8   -68.3     4.8
2006.3510   -74.5     2.6   122.6     2.5   -68.0     4.4
2006.3540   -75.3     2.6   122.4     2.5   -65.3     4.4
2006.3570   -74.9     2.6   122.7     2.5   -63.8     4.3
2006.3593   -75.0     2.7   123.3     2.8   -67.0     4.8
2006.3620   -74.1     2.8   122.6     2.8   -66.6     4.8
2006.3650   -73.5     2.7   122.0     2.8   -62.0     4.6
2006.3680   -74.1     2.6   123.9     2.6   -68.0     4.7
2006.3702   -74.7     2.6   122.6     2.5   -63.6     4.4
2006.3730   -73.3     2.6   123.1     2.5   -61.1     4.4
2006.3760   -73.9     2.6   124.2     2.6   -63.5     4.6
2006.3790   -72.9     2.7   123.0     2.5   -63.5     4.5
2006.3812   -73.3     2.6   122.2     2.6   -64.4     4.6
2006.3840   -73.2     2.7   123.9     2.7   -62.5     4.6
2006.3870   -74.3     2.7   125.2     2.6   -72.1     4.7
2006.3894   -75.2     2.8   122.4     2.7   -67.6     4.8
2006.3922   -76.5     3.2   123.9     3.2   -71.0     5.8
2006.4140   -70.3     3.9   116.1     3.6   -51.6     7.0
2006.4170   -71.6     2.8   121.2     2.7   -59.0     4.7
2006.4200   -71.1     2.8   118.8     2.7   -59.6     4.7
2006.4223   -73.1     2.6   120.3     2.6   -63.0     4.6
2006.4250   -72.6     2.7   119.0     2.5   -61.0     4.5
2006.4280   -72.8     2.6   120.2     2.6   -58.8     4.6
2006.4310   -73.9     2.8   120.6     2.7   -59.3     4.8
2006.4332   -73.2     2.8   120.7     2.9   -55.3     5.1
2006.4360   -73.4     2.8   120.6     2.9   -56.4     5.0
2006.4390   -73.4     2.7   120.6     2.8   -62.6     4.8
2006.4420   -72.2     2.7   121.2     2.6   -62.8     4.7
2006.4442   -71.7     2.8   120.1     2.7   -60.4     4.7
2006.4470   -70.6     2.6   119.9     2.5   -59.6     4.4
2006.4500   -70.7     2.7   118.5     2.5   -52.0     4.5
2006.4523   -70.4     2.6   118.3     2.6   -57.2     4.6
2006.4552   -72.2     2.9   120.1     2.8   -58.3     5.1
2006.4580   -72.7     2.8   120.6     2.7   -64.5     4.7
2006.4610   -72.2     2.8   119.1     2.7   -55.8     4.7
2006.4633   -71.1     2.6   121.4     2.6   -58.5     4.7
2006.4660   -71.8     2.6   119.0     2.6   -56.0     4.6
2006.4690   -71.5     2.6   119.8     2.6   -56.6     4.6
2006.4743   -72.2     2.6   119.5     2.6   -57.5     4.7
2006.4770   -72.0     2.6   119.5     2.6   -59.0     4.7
2006.4800   -72.3     2.6   119.6     2.6   -54.7     4.6
2006.4830   -72.8     2.6   118.6     2.6   -55.8     4.6
2006.4852   -69.5     2.8   119.1     2.7   -54.3     4.7
2006.4880   -70.5     2.6   117.8     2.6   -54.4     4.7
2006.4910   -72.5     2.9   118.2     2.8   -53.7     5.1
2006.4940   -69.6     2.8   118.0     2.7   -55.0     4.7
2006.4962   -69.6     2.6   119.1     2.6   -58.9     4.7
2006.4990   -70.2     2.6   119.7     2.5   -57.4     4.4
2006.5020   -71.8     2.6   119.8     2.5   -65.0     4.4
2006.5043   -72.3     2.6   118.5     2.5   -61.0     4.4
2006.5072   -71.1     2.6   116.9     2.6   -55.9     4.6
2006.5100   -70.7     2.8   118.1     2.7   -52.9     4.8
2006.5130   -72.1     2.6   118.1     2.6   -58.0     4.6
2006.5153   -71.3     2.7   118.2     2.7   -53.8     4.5
2006.5181   -71.4     2.6   117.2     2.6   -55.7     4.5
2006.5210   -70.7     2.6   118.4     2.5   -53.6     4.4
2006.5240   -71.5     2.6   119.2     2.6   -59.9     4.5
2006.5263   -71.9     2.6   119.6     2.7   -61.4     4.7
2006.5290   -71.6     2.7   118.2     2.7   -59.1     4.6
2006.5320   -72.2     2.6   117.3     2.6   -58.0     4.5
2006.5350   -73.1     2.6   118.7     2.6   -61.8     4.6
2006.5373   -73.4     2.7   118.8     2.7   -59.8     4.6
2006.5400   -71.2     2.6   119.2     2.5   -60.6     4.4
2006.5430   -72.3     2.6   118.2     2.6   -59.5     4.6
2006.5460   -74.3     2.5   119.9     2.5   -60.4     4.4
2006.5482   -71.7     2.5   119.3     2.5   -59.4     4.3
2006.5510   -75.1     2.6   118.8     2.5   -66.3     4.4
2006.5540   -71.0     2.5   117.5     2.5   -57.2     4.4
2006.5570   -70.9     2.5   117.3     2.5   -60.0     4.3
2006.5592   -71.2     2.5   117.4     2.5   -52.6     4.4
2006.5620   -70.0     2.6   118.0     2.5   -61.0     4.4
2006.5650   -70.8     2.6   117.9     2.5   -58.9     4.4
2006.5673   -69.6     2.6   118.7     2.5   -62.3     4.3
2006.5701   -69.4     2.6   117.9     2.5   -64.8     4.4
2006.5730   -71.3     2.8   118.5     2.7   -66.0     4.8
2006.5760   -71.9     2.5   118.9     2.5   -60.7     4.4
2006.5783   -71.6     2.6   118.1     2.5   -61.4     4.4
2006.5810   -71.3     2.6   118.1     2.6   -60.0     4.5
2006.5840   -70.1     2.7   118.3     2.7   -64.7     4.5
2006.5870   -70.0     2.7   117.5     2.7   -58.5     4.6
2006.5893   -71.2     2.6   116.4     2.6   -55.6     4.6
2006.5920   -70.5     2.6   116.6     2.6   -59.1     4.6
2006.5950   -69.7     2.6   117.1     2.6   -55.7     4.5
2006.5980   -69.8     2.6   115.9     2.5   -56.7     4.4
2006.6002   -70.6     2.9   116.7     3.0   -59.6     5.1
2006.6030   -70.7     2.7   115.2     2.8   -61.8     4.8
2006.6060   -72.9     2.8   113.2     2.7   -65.8     4.7
