% site name: ISOR
% Time      North     err   East      err    Up       err
% year      mm        mm    mm        mm     mm       mm
2007.6461  -101.9     2.0   102.4     2.5   -57.5     3.8
2007.6490  -100.5     2.0   101.5     2.5   -58.2     3.9
2007.6520  -100.6     2.0   102.9     2.5   -59.2     3.9
2007.6542  -100.0     2.2   102.0     2.7   -62.7     4.3
2007.6571  -100.8     2.0   102.5     2.5   -58.7     3.9
2007.6600   -99.9     2.0   102.6     2.5   -63.0     3.9
2007.6630  -101.9     2.0   101.6     2.5   -63.8     3.9
2007.6652  -103.1     2.0   101.6     2.5   -63.1     3.8
2007.6680  -100.6     2.0   102.6     2.5   -61.8     3.9
2007.6710  -101.3     2.0   102.3     2.7   -63.2     4.0
2007.6734  -101.8     2.0   103.0     2.5   -57.8     3.9
2007.6762  -100.3     2.0   102.9     2.5   -55.8     3.7
2007.6790  -101.8     2.0   101.1     2.5   -52.1     3.9
2007.6820  -102.0     2.1   102.2     2.7   -60.0     4.1
2007.6844  -100.7     2.0   102.0     2.5   -63.4     3.8
2007.6872   -99.0     2.0   100.6     2.5   -57.4     3.9
2007.6900  -100.1     2.0   100.8     2.5   -54.2     3.8
2007.6930  -100.6     2.0   101.5     2.5   -53.2     3.8
2007.6954   -99.9     2.0   102.7     2.5   -57.3     3.7
2007.6981  -100.7     2.0   101.8     2.5   -59.5     3.7
2007.7010   -99.1     1.9   102.5     2.4   -56.1     3.8
2007.7040   -99.1     2.0   101.4     2.5   -54.8     3.9
2007.7064   -98.9     2.0   100.7     2.5   -52.6     3.9
2007.7091  -101.1     2.0   100.9     2.5   -53.6     3.7
2007.7120  -103.0     1.9   102.2     2.4   -55.0     3.8
2007.7150  -101.8     2.0   101.5     2.5   -47.8     3.7
2007.7172  -100.8     1.9   101.6     2.4   -54.5     3.7
2007.7200   -99.3     2.0   102.0     2.5   -54.0     3.9
2007.7230  -103.0     2.0    99.5     2.5   -55.7     3.7
2007.7260  -101.1     2.0   101.2     2.5   -57.3     3.9
2007.7282   -98.8     2.0   101.7     2.5   -58.5     3.7
2007.7310   -97.3     2.0   102.1     2.5   -58.6     3.9
2007.7340  -102.7     1.9   102.0     2.4   -60.2     3.7
2007.7364   -99.8     1.9   101.8     2.4   -59.8     3.7
2007.7392   -99.1     2.0   102.1     2.5   -59.1     3.8
2007.7420   -98.4     2.0   101.8     2.5   -59.0     3.9
2007.7450   -98.8     2.1   100.5     2.8   -55.8     4.2
2007.7474   -98.8     2.0   101.8     2.5   -59.4     3.8
2007.7501   -99.9     1.9   103.5     2.5   -55.0     3.8
2007.7530  -100.1     2.0   102.6     2.5   -53.1     3.7
2007.7560  -101.9     2.0   101.5     2.5   -62.2     3.9
2007.7584   -97.9     2.0   103.5     2.5   -64.0     3.7
2007.7611   -97.8     2.0   102.6     2.5   -59.3     3.7
2007.7640   -97.4     2.0   102.2     2.5   -61.0     3.7
2007.7670   -95.7     1.9   101.1     2.4   -59.5     3.8
2007.7692   -95.9     2.0    99.6     2.5   -59.9     3.9
2007.7720   -97.7     2.0   102.1     2.5   -60.7     3.9
2007.7750   -99.0     2.0   101.3     2.5   -55.0     3.8
2007.7780   -98.9     2.0   101.1     2.3   -56.4     3.6
2007.7802   -99.7     1.9   101.9     2.4   -59.7     3.7
2007.7830   -98.6     1.9   101.7     2.4   -63.2     3.7
2007.7860   -98.6     1.9   102.2     2.4   -58.7     3.7
2007.7884   -97.2     2.0    99.7     2.5   -58.0     3.6
2007.7912   -97.8     1.9   100.8     2.4   -59.4     3.7
2007.7940   -97.6     1.9   100.3     2.4   -54.3     3.8
2007.7970  -100.2     2.1   101.2     2.6   -57.2     4.0
2007.8022   -97.1     1.9   103.0     2.7   -63.2     3.8
2007.8050   -96.9     1.9   102.2     2.5   -57.2     3.7
2007.8080   -99.9     2.0   101.7     2.4   -56.8     3.6
2007.8104   -95.8     1.9   102.3     2.5   -58.7     3.8
2007.8131   -96.7     1.9   101.5     2.4   -56.3     3.8
2007.8160   -95.6     2.0   102.6     2.4   -55.9     3.9
2007.8190   -96.5     2.0   102.8     2.5   -55.4     4.0
2007.8214   -97.1     2.0   101.8     2.7   -52.5     3.7
2007.8240   -96.6     2.0   101.2     2.5   -54.4     3.7
2007.8270   -95.9     2.0   101.9     2.5   -57.8     3.9
2007.8300   -95.5     2.0   100.8     2.5   -55.4     3.8
2007.8322   -95.6     2.0   100.1     2.5   -56.4     3.6
2007.8350   -95.1     1.9   101.6     2.5   -57.1     3.7
2007.8380   -97.4     2.3   100.2     2.4   -60.6     4.8
2007.8410   -96.5     1.9   100.1     3.0   -54.7     3.7
2007.8432   -98.5     2.0    99.4     2.4   -62.8     3.7
2007.8460   -94.6     2.0    99.7     2.5   -64.0     3.6
2007.8490   -96.8     1.9   100.1     2.3   -55.9     3.7
2007.8514   -96.2     1.9    99.2     2.4   -61.8     3.7
2007.8542   -96.2     1.9    99.3     2.4   -58.7     3.7
2007.8600   -95.1     1.9    99.0     2.4   -58.8     3.7
2007.8624   -96.3     1.9   100.2     2.4   -58.0     3.8
2007.8651   -98.4     1.9   101.6     2.4   -56.3     3.7
2007.8680   -98.3     2.0   100.1     2.4   -58.8     3.7
2007.8710   -97.0     2.0    99.8     2.5   -55.0     3.7
2007.8760   -94.4     1.9   103.1     2.5   -59.0     3.7
2007.8790   -93.2     1.9   103.4     2.4   -62.7     3.8
2007.8820   -94.0     1.9   101.9     2.4   -59.1     3.7
2007.8842   -94.6     1.9   100.0     2.4   -56.7     3.7
2007.8870   -95.5     2.0    98.3     2.4   -53.0     4.2
2007.8900   -95.4     1.9    98.6     2.7   -59.4     3.8
2007.8930   -95.2     2.1    98.6     2.5   -54.8     4.0
2007.8952   -97.8     2.0    99.7     2.6   -55.8     3.9
2007.8980   -96.0     2.0    99.7     2.5   -54.6     3.7
2007.9010   -97.0     1.9   101.3     2.5   -54.8     3.7
2007.9034   -97.3     2.0   101.7     2.4   -50.7     3.7
2007.9062   -96.4     1.9    99.5     2.5   -51.4     3.7
2007.9090   -95.8     1.9    99.3     2.4   -55.7     3.8
2007.9120   -97.3     1.9   101.1     2.4   -53.2     3.7
2007.9144   -94.0     1.9    99.6     2.4   -60.8     3.6
2007.9200   -94.4     1.9    98.3     2.4   -62.1     3.5
2007.9230   -96.2     1.9    97.4     2.3   -58.7     3.7
2007.9254   -96.6     1.9    99.9     2.4   -55.1     3.7
2007.9281   -95.9     2.0   100.9     2.4   -55.6     3.7
2007.9310   -97.5     1.9    99.1     2.5   -57.0     3.5
2007.9340   -96.8     1.9    97.5     2.3   -55.5     3.7
2007.9364   -96.8     1.9    97.7     2.4   -57.3     3.6
2007.9390   -96.1     2.0    98.3     2.4   -56.6     3.6
2007.9420   -95.7     2.0    99.2     2.5   -56.1     3.7
2007.9450   -95.6     2.0   101.1     2.5   -60.7     4.0
2007.9472   -94.9     2.0    98.0     2.7   -61.5     3.9
2007.9500   -97.5     1.9    99.6     2.5   -59.0     3.8
2007.9530   -94.0     2.0    99.5     2.5   -54.7     3.7
2007.9560   -93.2     1.9    96.9     2.5   -55.5     3.8
