% site name: JGBL
% Time      North     err   East      err    Up       err
% year      mm        mm    mm        mm     mm       mm
2008.5250   -92.1     1.8    71.1     3.4   -30.7    12.1
2008.5280   -93.2     1.4    72.1     2.1   -22.6     5.7
2008.5310   -90.3     1.3    72.1     2.0   -20.9     5.6
2008.5332   -91.6     1.4    72.8     2.1   -22.0     5.6
2008.5390   -90.9     1.3    71.8     2.0   -26.1     5.6
2008.5413   -91.7     1.3    69.8     2.0   -26.6     5.5
2008.5441   -91.0     1.3    72.7     2.0   -24.4     5.6
2008.5470   -91.5     1.3    71.2     2.0   -24.5     5.6
2008.5500   -91.6     1.3    70.2     2.1   -27.6     5.8
2008.5550   -90.5     1.3    72.2     2.0   -28.3     5.7
2008.5580   -90.8     1.3    70.2     2.0   -26.4     5.6
2008.5610   -91.4     1.4    71.3     2.1   -25.6     6.3
2008.5633   -91.0     1.3    71.2     2.0   -25.4     5.5
2008.5660   -91.6     1.3    71.3     2.0   -28.0     5.6
2008.5690   -91.0     1.3    70.3     2.0   -28.1     5.6
2008.5720   -90.4     1.3    70.9     2.0   -32.2     5.6
2008.5742   -92.2     1.3    70.3     2.0   -27.8     5.6
2008.5770   -91.8     1.3    70.2     2.0   -27.9     5.7
2008.5800   -91.4     1.3    70.8     2.0   -31.5     5.6
2008.5830   -92.0     1.3    70.9     2.0   -22.4     5.6
2008.5880   -89.7     1.3    67.9     2.0   -35.2     5.5
2008.5910   -90.7     1.3    68.6     2.0   -25.0     5.7
2008.5933   -92.0     1.3    70.2     2.0   -31.2     5.6
2008.5961   -92.8     1.3    70.0     2.0   -21.4     5.6
2008.5990   -91.8     1.3    70.6     2.0   -30.4     5.7
2008.6020   -92.9     1.4    71.4     2.1   -27.8     5.9
2008.6043   -94.9     1.4    72.8     2.1   -24.2     5.7
2008.6071   -91.3     1.4    71.1     2.1   -23.0     5.8
2008.6100   -91.4     1.3    68.9     2.0   -20.8     5.7
2008.6130   -92.4     1.3    70.1     2.0   -22.7     5.6
2008.6153   -90.8     1.3    69.1     2.0   -25.4     5.7
2008.6180   -91.0     1.4    70.5     2.1   -20.9     5.7
2008.6210   -90.4     1.3    69.5     2.0   -32.8     5.5
2008.6240   -89.9     1.4    70.0     2.1   -23.1     5.6
2008.6263   -90.5     1.3    68.8     2.0   -22.8     5.5
2008.6290   -90.1     1.3    70.8     2.0   -28.2     5.6
2008.6320   -91.2     1.3    71.4     2.0   -23.9     5.7
2008.6350   -90.8     1.3    70.5     2.0   -29.3     5.6
2008.6372   -90.4     1.3    70.1     2.0   -22.1     5.6
2008.6400   -90.3     1.3    69.6     2.0   -20.7     5.6
2008.6430   -89.3     1.3    71.0     2.0   -23.0     5.5
2008.6460   -89.1     1.3    70.5     2.0   -23.6     5.6
2008.6481   -89.9     1.4    70.9     2.1   -27.1     5.9
2008.6510   -90.8     1.4    69.4     2.1   -29.8     5.7
2008.6540   -91.1     1.3    69.9     2.0   -28.6     5.5
2008.6563   -89.3     1.3    68.2     2.0   -21.8     5.7
2008.6591   -90.7     1.3    70.0     2.0   -27.1     5.7
2008.6620   -90.0     1.3    68.8     2.0   -25.8     5.8
2008.6650   -90.8     1.3    68.3     2.0   -29.4     5.6
2008.6673   -90.2     1.3    69.5     2.0   -30.5     5.4
2008.6700   -90.0     1.3    68.5     2.0   -25.0     5.6
2008.6730   -89.2     1.3    67.7     2.0   -22.0     5.5
2008.6760   -88.0     1.4    69.4     2.1   -23.6     5.9
2008.6783   -88.3     1.4    68.0     2.1   -22.9     5.8
2008.6810   -88.9     1.3    68.3     2.0   -25.4     5.7
2008.6840   -89.9     1.3    69.1     2.0   -25.0     5.5
2008.6870   -89.7     1.3    68.7     2.0   -22.8     5.6
2008.6892   -88.8     1.3    68.7     2.0   -24.1     5.6
2008.6920   -89.5     1.4    69.4     2.1   -29.4     5.7
2008.6950   -89.8     1.3    68.7     2.0   -29.9     5.6
2008.6980   -90.9     1.3    68.0     2.0   -26.5     5.6
2008.7001   -89.6     1.4    68.5     2.1   -23.3     5.7
2008.7030   -88.7     1.3    70.2     2.0   -26.5     5.6
2008.7060   -89.4     1.3    69.3     2.0   -28.3     5.7
2008.7083   -89.5     1.3    68.5     2.0   -31.3     5.7
2008.7111   -88.8     1.4    69.9     2.1   -29.4     5.6
2008.7140   -89.5     1.4    68.6     2.1   -21.9     5.9
2008.7170   -89.6     1.3    69.1     2.1   -31.2     6.1
2008.7193   -88.7     1.3    68.2     2.0   -23.6     5.6
2008.7221   -89.4     1.4    69.0     2.1   -27.9     6.8
2008.7250   -90.6     1.3    67.3     2.0   -36.5     5.6
2008.7280   -88.4     1.3    65.7     2.0   -36.4     5.6
2008.7303   -86.8     1.3    68.9     2.0   -30.6     5.6
2008.7330   -86.3     1.3    69.2     2.0   -34.6     5.7
2008.7360   -86.9     1.3    69.4     2.0   -31.5     5.6
2008.7390   -88.9     1.3    69.6     2.0   -32.9     5.5
2008.7413   -88.0     1.3    69.3     2.0   -33.4     5.4
2008.7440   -88.7     1.3    68.5     2.0   -31.9     5.5
2008.7470   -88.6     1.3    66.9     2.0   -31.8     5.5
2008.7500   -86.5     1.4    68.5     2.1   -33.0     5.7
2008.7521   -87.0     1.4    66.5     2.1   -30.0     6.6
2008.7550   -88.4     1.3    66.7     2.0   -38.7     5.5
2008.7604   -88.3     1.3    67.8     2.0   -28.1     5.6
2008.7631   -87.7     1.3    67.8     2.0   -29.8     5.5
2008.7660   -88.0     1.3    68.6     2.0   -29.9     5.5
2008.7690   -88.2     1.3    69.5     2.0   -31.0     5.6
2008.7713   -86.8     1.3    68.9     2.0   -21.1     5.7
2008.7741   -88.0     1.3    69.9     2.0   -21.1     5.6
2008.7770   -87.9     1.3    67.0     2.0   -26.8     5.4
2008.7800   -87.0     1.3    67.2     2.1   -26.7     5.5
2008.7823   -88.1     1.4    68.7     2.1   -33.4     5.6
2008.7850   -87.3     1.3    69.1     2.0   -31.7     5.4
2008.7880   -87.0     1.3    68.4     2.0   -36.5     5.5
2008.7910   -87.4     1.3    67.4     2.0   -28.9     5.7
2008.7933   -86.8     1.3    67.5     2.0   -26.4     5.6
2008.7960   -87.0     1.3    67.4     2.0   -31.3     5.5
2008.7990   -86.6     1.3    68.1     2.0   -31.0     5.5
2008.8020   -87.6     1.3    68.2     2.0   -27.3     5.5
2008.8041   -87.1     1.3    68.1     2.0   -26.4     5.6
2008.8070   -87.4     1.3    66.8     2.0   -20.8     5.6
2008.8100   -88.6     1.4    69.2     2.1   -24.5     5.7
2008.8124   -87.8     1.3    68.7     2.0   -25.9     5.7
2008.8151   -88.2     1.3    68.2     2.0   -30.4     5.5
2008.8180   -87.0     1.3    68.2     2.0   -27.1     5.5
2008.8210   -87.5     1.3    69.3     2.0   -32.4     5.5
2008.8233   -87.4     1.3    66.5     2.0   -29.3     5.5
2008.8261   -87.8     1.4    67.0     2.1   -25.1     5.7
2008.8290   -88.1     1.4    66.1     2.1   -29.3     5.8
2008.8320   -87.1     1.3    66.9     2.0   -35.0     5.5
2008.8343   -86.9     1.3    65.2     2.0   -27.6     5.6
2008.8371   -87.9     1.3    67.0     2.0   -25.6     5.6
2008.8400   -87.1     1.3    67.1     2.0   -23.8     5.6
2008.8430   -86.8     1.3    68.1     2.1   -34.9     5.5
2008.8453   -86.3     1.3    67.2     2.0   -32.9     5.5
2008.8510   -85.6     1.3    68.3     2.0   -25.5     5.6
2008.8540   -86.2     1.5    66.9     2.2   -25.2     7.0
2008.8563   -87.0     1.3    66.4     2.0   -31.9     5.6
2008.8590   -86.0     1.3    66.6     2.0   -29.9     5.7
2008.8620   -86.5     1.3    66.3     2.0   -29.3     5.6
2008.8650   -87.1     1.3    66.3     2.0   -24.6     5.6
2008.8671   -87.1     1.3    67.4     2.0   -22.5     5.6
2008.8700   -87.4     1.3    67.7     2.0   -22.2     5.6
2008.8730   -86.3     1.3    67.1     2.0   -27.7     5.7
2008.8754   -86.0     1.3    67.0     2.0   -30.8     5.6
2008.8781   -85.6     1.3    67.3     2.0   -28.2     5.6
2008.8810   -87.1     1.4    70.0     2.1   -17.5     5.9
2008.8840   -84.6     1.4    66.4     2.0   -22.4     5.6
2008.8863   -86.5     1.4    65.9     2.0   -26.4     5.6
2008.8891   -87.6     1.4    65.8     2.0   -21.0     5.7
2008.8920   -86.4     1.4    64.5     2.0   -29.3     5.5
2008.8950   -86.5     1.4    65.6     2.0   -18.1     5.6
2008.8973   -86.2     1.3    66.4     2.0   -27.1     5.7
2008.9000   -85.5     1.3    66.9     2.0   -26.1     5.8
2008.9030   -86.4     1.4    66.7     2.0   -25.7     5.7
2008.9060   -86.4     1.4    64.8     2.0   -26.1     5.6
2008.9083   -86.2     1.4    64.5     2.0   -23.3     5.6
2008.9110   -85.3     1.4    66.7     2.0   -21.9     5.6
2008.9140   -86.4     1.4    66.5     2.0   -19.8     5.6
2008.9170   -85.1     1.3    66.4     2.0   -24.5     5.7
2008.9191   -84.2     1.4    66.5     2.0   -26.2     5.6
2008.9220   -83.8     1.4    66.2     2.0   -27.6     5.5
2008.9250   -86.6     1.9    66.5     3.2   -18.5    11.5
2008.9274   -84.6     1.4    66.2     2.0   -15.9     5.6
2008.9301   -84.8     1.4    66.5     2.0   -17.7     5.5
2008.9330   -85.2     1.4    66.3     2.0   -21.4     5.7
2008.9360   -85.2     1.4    66.0     2.0   -21.6     5.6
2008.9383   -84.4     1.4    65.8     2.0   -28.9     5.5
2008.9411   -83.8     1.4    66.4     2.0   -16.3     5.6
2008.9440   -83.5     1.4    65.8     2.0   -11.7     5.6
2008.9470   -83.1     1.4    66.9     2.0   -22.4     5.7
2008.9493   -83.2     1.4    66.4     2.0   -20.9     5.5
2008.9521   -83.5     1.4    65.1     2.0   -27.7     5.4
2008.9550   -84.1     1.4    65.3     2.0   -22.8     5.4
2008.9580   -82.4     1.4    66.0     2.0   -15.2     5.5
2008.9603   -82.5     1.4    65.5     2.0   -21.3     5.5
2008.9630   -84.8     1.4    65.1     2.0   -24.1     5.5
2008.9660   -84.7     1.4    65.2     2.0   -21.6     5.5
2008.9690   -84.3     1.4    65.8     2.0   -20.2     5.7
2008.9713   -83.4     1.4    66.5     2.0   -20.2     5.5
2008.9740   -82.7     1.4    66.2     2.0   -21.8     5.6
2008.9770   -83.2     1.4    66.0     2.0   -25.1     5.5
2008.9794   -82.6     1.4    65.7     2.0   -31.2     5.6
2008.9821   -82.3     1.4    67.2     2.0   -29.9     5.5
2008.9850   -84.2     1.4    66.6     2.0   -29.9     5.5
2008.9880   -84.5     1.4    67.1     2.0   -20.9     5.5
2008.9904   -82.8     1.4    66.1     2.0   -24.8     5.5
2008.9931   -85.7     1.4    68.3     2.0   -27.7     5.5
2008.9990   -83.5     1.4    64.8     2.0   -35.0     5.5
2009.0013   -82.8     1.4    65.6     2.0   -28.0     5.6
2009.0041   -83.7     1.4    65.8     2.0   -30.5     5.5
2009.0070   -83.8     1.4    65.6     2.0   -29.3     5.6
2009.0100   -83.4     1.4    65.7     2.0   -26.8     5.7
2009.0123   -84.9     1.4    65.6     2.0   -20.7     5.6
2009.0150   -84.9     1.4    68.7     2.0   -18.3     5.6
2009.0180   -83.9     1.3    66.6     2.0   -25.2     5.6
2009.0210   -81.4     1.3    66.4     2.0   -18.8     5.6
2009.0233   -81.9     1.4    66.5     2.0   -23.7     5.7
2009.0260   -81.8     1.4    64.7     2.0   -22.7     5.6
2009.0290   -82.3     1.4    65.9     2.0   -24.9     5.6
2009.0314   -82.4     1.4    66.8     2.0   -19.4     5.5
2009.0341   -84.8     1.4    67.5     2.0   -19.6     5.5
2009.0370   -85.7     1.4    67.5     2.0   -23.4     5.6
2009.0400   -85.5     1.4    67.6     2.0   -19.2     5.6
2009.0424   -84.7     1.4    67.8     2.0   -21.4     5.5
2009.0451   -80.6     1.4    67.1     2.0   -23.9     5.5
2009.0480   -81.4     1.4    66.2     2.0   -22.1     5.5
