% site name: JWLF
% Time      North     err   East      err    Up       err
% year      mm        mm    mm        mm     mm       mm
2008.5413   -77.2     2.1    91.8     2.8   -28.8     9.1
2008.5441   -76.0     1.6    93.7     2.0   -25.1     5.7
2008.5470   -76.6     1.6    92.3     2.1   -22.2     6.0
2008.5500   -75.9     1.6    90.6     2.1   -15.3     5.9
2008.5550   -74.9     1.6    93.7     2.0   -29.7     5.7
2008.5580   -76.2     1.6    92.3     2.0   -25.9     5.6
2008.5610   -75.5     1.6    92.7     2.0   -22.2     5.8
2008.5633   -76.6     1.6    92.8     2.0   -26.8     5.8
2008.5660   -75.5     1.6    92.4     2.0   -25.7     5.7
2008.5690   -76.1     1.6    91.8     2.0   -24.4     5.8
2008.5720   -75.5     1.6    92.5     2.0   -23.6     5.7
2008.5742   -77.8     1.6    91.8     2.0   -23.7     5.9
2008.5770   -76.9     1.6    91.2     2.0   -24.5     5.9
2008.5800   -76.3     1.6    92.1     2.0   -27.7     5.8
2008.5830   -76.4     1.6    92.3     2.0   -16.3     5.8
2008.5880   -77.8     1.6    88.4     2.0   -33.9     5.7
2008.5910   -77.8     1.7    89.4     2.1   -21.7     6.0
2008.5933   -75.7     1.7    90.9     2.1   -28.1     6.9
2008.5961   -75.5     1.6    90.2     2.0   -30.0     5.7
2008.5990   -75.4     1.6    91.7     2.0   -29.4     5.8
2008.6020   -76.8     1.6    91.6     2.1   -33.1     6.0
2008.6043   -76.7     1.7    90.8     2.3   -33.1     7.4
2008.6071   -75.5     1.6    91.4     2.0   -27.1     5.9
2008.6100   -75.5     1.6    91.0     2.0   -28.2     5.8
2008.6130   -75.8     1.6    90.3     2.0   -39.1     5.9
2008.6153   -75.4     1.6    90.1     2.0   -28.6     5.7
2008.6180   -75.6     1.6    90.5     2.0   -28.2     5.8
2008.6210   -74.7     1.7    90.4     2.1   -25.2     5.9
2008.6240   -75.1     1.6    91.0     2.0   -25.8     5.8
2008.6263   -74.9     1.6    90.4     2.0   -33.4     5.7
