% site name: KAGA
% Time      North     err   East      err    Up       err
% year      mm        mm    mm        mm     mm       mm
2006.4031   -75.8     2.2   130.8     2.3  -136.1    10.2
2006.4060   -76.4     2.3   130.7     2.3  -138.4     3.9
2006.4090   -75.8     2.3   128.8     2.3  -138.9     3.9
2006.4140   -75.1     2.3   129.3     2.3  -136.4     3.9
2006.4170   -73.9     2.3   130.1     2.4  -138.7     3.8
2006.4200   -74.8     2.3   128.3     2.3  -138.5     3.9
2006.4223   -76.3     2.3   129.3     2.3  -137.4     3.8
2006.4250   -74.8     2.3   128.8     2.3  -135.0     3.9
2006.4360   -76.0     2.4   128.7     2.5  -135.0     4.0
2006.4390   -73.9     2.4   129.6     2.3  -138.1     3.9
2006.4420   -74.1     2.3   129.1     2.3  -143.3     3.9
2006.4442   -74.7     2.3   128.9     2.4  -133.3     3.8
2006.4552   -75.6     2.3   129.1     2.5  -150.1     4.0
2006.4990   -73.8     2.4   127.6     2.3  -138.7     4.4
2006.5020   -73.7     2.3   128.5     2.3  -149.0     4.1
2006.5043   -75.4     2.3   126.7     2.3  -131.9     4.1
2006.5072   -73.9     2.2   125.1     2.3  -135.4     4.0
2006.5100   -74.9     2.3   126.5     2.4  -128.4     4.0
2006.5130   -76.2     2.3   126.5     2.3  -132.2     3.8
2006.5153   -75.5     2.3   128.0     2.3  -132.3     3.8
2006.5181   -75.1     2.3   126.4     2.3  -127.7     3.9
2006.5210   -74.1     2.3   127.4     2.3  -128.0     4.2
2006.5240   -75.1     2.2   126.8     2.3  -131.1     3.8
2006.5263   -76.4     2.3   127.2     2.4  -139.7     3.8
2006.5290   -73.5     2.2   127.0     2.3  -138.8     3.8
2006.5320   -75.5     2.3   126.2     2.3  -133.8     3.8
2006.5350   -76.4     2.3   126.7     2.3  -132.1     4.0
2006.5373   -76.9     2.3   126.7     2.3  -135.5     3.9
2006.5400   -74.8     2.3   127.1     2.3  -132.6     3.8
2006.5430   -76.1     2.2   127.3     2.3  -135.2     3.8
2006.5460   -76.4     2.3   128.5     2.3  -138.7     3.7
2006.5482   -76.0     2.3   128.3     2.3  -132.5     3.8
2006.5510   -73.0     2.2   128.1     2.3  -124.9     4.0
2006.5540   -74.6     2.3   125.4     2.3  -131.0     3.9
2006.5570   -74.4     2.2   125.7     2.3  -132.2     3.8
2006.5592   -74.3     2.2   126.3     2.3  -129.1     3.9
2006.5620   -74.1     2.2   125.9     2.3  -131.9     3.9
2006.5650   -73.6     2.3   126.4     2.3  -130.5     3.7
2006.5673   -73.6     2.3   126.5     2.3  -133.3     3.9
2006.5701   -73.6     2.2   125.9     2.3  -140.5     3.8
2006.5730   -73.9     2.3   126.2     2.4  -133.8     3.8
2006.5760   -75.2     2.4   127.2     2.3  -134.5     3.8
2006.5783   -76.6     2.2   127.4     2.3  -138.4     3.9
2006.5810   -74.3     2.2   126.2     2.3  -135.3     3.8
2006.5840   -74.4     2.3   126.7     2.3  -136.3     3.8
2006.5870   -74.1     2.3   125.0     2.3  -135.4     3.8
