% site name: KAGZ
% Time      North     err   East      err    Up       err
% year      mm        mm    mm        mm     mm       mm
2007.6600   -40.1     3.3   144.7     2.9   -61.8     8.9
2007.6630   -41.7     2.2   141.6     2.0   -65.9     4.7
2007.6652   -42.5     2.2   141.9     2.0   -69.5     4.8
2007.6680   -39.5     2.1   141.8     1.9   -63.5     4.7
2007.6710   -41.2     2.2   143.2     2.0   -63.2     4.7
2007.6734   -40.6     2.1   143.2     1.9   -62.5     4.8
2007.6762   -39.8     2.1   142.8     1.9   -63.3     4.7
2007.6790   -41.4     2.2   142.1     2.0   -60.9     4.7
2007.6820   -40.4     2.2   142.7     2.0   -61.8     4.7
2007.6844   -40.2     2.2   141.4     2.0   -65.5     4.7
2007.6872   -40.6     2.2   141.1     2.0   -60.9     4.7
2007.6900   -40.3     2.2   140.8     2.0   -64.5     4.7
2007.6930   -40.3     2.2   140.7     2.0   -63.6     4.7
2007.6954   -40.6     2.2   141.9     2.0   -62.4     4.6
2007.6981   -40.3     2.1   141.5     1.9   -62.2     4.7
2007.7010   -39.9     2.1   142.3     1.9   -63.1     4.7
2007.7040   -40.1     2.1   141.4     1.9   -62.1     4.8
2007.7064   -39.5     2.2   140.6     2.0   -57.5     4.8
2007.7091   -40.1     2.1   140.8     1.9   -60.1     4.8
2007.7120   -40.3     2.2   140.6     2.0   -64.2     4.7
2007.7150   -40.0     2.1   140.4     1.8   -60.2     4.8
2007.7172   -39.9     2.1   140.6     1.8   -57.7     4.7
2007.7200   -39.5     2.1   140.8     1.8   -57.3     4.8
2007.7230   -40.6     2.5   141.0     2.1   -59.7     5.7
2007.7260   -40.0     2.2   141.1     2.0   -58.9     4.8
2007.7310   -38.9     2.4   140.6     2.0   -66.3     5.2
2007.7340   -40.3     2.9   141.7     2.5   -63.8     7.6
2007.7364   -38.7     2.1   140.0     1.8   -61.9     4.7
2007.7392   -39.0     2.2   140.2     2.0   -64.4     4.7
2007.7420   -39.3     2.1   140.1     1.9   -63.8     4.8
2007.7450   -39.9     2.1   140.1     1.8   -59.9     4.7
2007.7474   -38.4     2.1   141.5     1.8   -60.0     4.7
2007.7501   -39.1     2.1   141.9     1.9   -58.4     4.8
2007.7530   -39.6     2.2   140.9     2.0   -59.5     4.7
2007.7560   -38.5     2.1   142.0     1.9   -64.8     4.8
2007.7584   -37.7     2.1   141.2     1.8   -64.7     4.8
2007.7611   -37.6     2.1   141.2     1.8   -64.0     4.7
2007.7640   -38.4     2.2   141.5     2.0   -63.0     4.7
2007.7670   -37.9     2.1   141.3     1.8   -62.2     4.7
2007.7692   -38.3     2.2   139.1     2.0   -65.4     4.9
2007.7720   -39.0     2.2   141.1     2.0   -61.7     5.0
2007.7750   -39.2     2.2   138.8     2.0   -65.2     4.8
2007.7780   -37.7     2.1   138.9     1.8   -63.7     4.7
2007.7802   -38.6     2.1   140.0     1.9   -64.8     4.8
2007.7830   -38.5     2.1   139.2     1.8   -63.8     4.8
2007.7860   -38.4     2.1   140.4     1.8   -62.1     4.7
2007.7884   -38.9     2.1   139.4     1.8   -60.0     4.8
2007.7912   -38.1     2.1   139.9     1.8   -65.9     4.8
2007.7940   -38.0     2.2   139.3     2.0   -62.8     4.7
2007.7970   -38.1     2.2   139.2     2.0   -60.6     4.8
2007.7994   -35.9     2.1   139.7     1.8   -61.5     4.7
2007.8022   -35.8     2.1   138.4     1.8   -62.9     4.7
2007.8050   -37.3     2.1   139.1     1.8   -67.2     4.7
2007.8080   -38.6     2.2   139.3     1.9   -62.8     4.7
2007.8104   -36.0     2.2   139.2     2.0   -60.5     4.7
2007.8131   -37.4     2.1   138.5     1.9   -58.9     4.7
2007.8160   -36.2     2.2   138.4     2.0   -62.1     4.7
2007.8190   -36.2     2.2   138.7     2.0   -63.5     4.7
2007.8214   -38.1     2.1   139.1     1.9   -61.9     4.8
2007.8240   -37.8     2.1   138.9     1.9   -59.8     4.8
2007.8270   -36.7     2.2   139.2     2.0   -59.9     4.7
2007.8300   -37.6     2.1   139.1     1.9   -63.5     4.7
2007.8322   -38.3     2.1   139.0     1.9   -61.5     4.7
2007.8350   -37.4     2.1   140.1     1.8   -65.6     4.7
2007.8380   -38.1     2.1   138.7     1.8   -67.0     4.7
2007.8410   -37.5     2.1   138.1     1.8   -64.2     4.8
2007.8432   -37.3     2.1   137.1     1.8   -66.9     4.7
2007.8460   -37.5     2.1   136.9     1.8   -68.3     4.7
2007.8490   -38.9     2.1   136.7     1.8   -69.1     4.7
2007.8514   -38.5     2.1   137.2     1.8   -69.6     4.7
2007.8542   -38.4     2.1   138.0     1.9   -65.6     4.9
2007.8600   -38.3     2.1   138.8     1.8   -61.0     4.8
2007.8624   -38.0     2.1   138.1     1.8   -63.2     4.7
2007.8651   -38.2     2.1   138.3     1.8   -62.1     4.7
2007.8680   -37.8     2.1   138.2     1.8   -63.2     4.8
2007.8710   -38.7     2.1   138.1     1.8   -61.6     4.8
2007.8760   -37.3     2.1   137.7     1.8   -66.2     4.7
2007.8790   -36.8     2.1   137.9     1.8   -66.2     4.7
2007.8820   -37.9     2.1   137.2     1.8   -64.9     4.7
2007.8842   -37.3     2.1   137.0     1.8   -64.5     4.7
2007.8870   -37.6     2.2   136.2     2.0   -62.8     4.7
2007.8900   -38.2     2.1   135.2     1.8   -59.1     4.8
2007.8930   -38.7     2.1   134.8     1.8   -59.3     4.8
2007.8952   -40.0     2.2   136.0     2.0   -60.2     4.7
2007.8980   -38.9     2.2   137.2     2.0   -59.0     4.7
2007.9010   -38.3     2.1   137.5     1.9   -59.5     4.8
2007.9034   -37.6     2.1   136.3     1.9   -56.0     4.8
2007.9062   -37.6     2.1   136.0     1.9   -56.8     4.8
2007.9090   -37.9     2.1   136.7     1.9   -60.3     4.8
2007.9120   -37.2     2.1   136.2     1.9   -63.8     4.8
2007.9144   -36.7     2.1   135.9     1.9   -63.3     4.8
2007.9200   -38.8     2.1   136.7     1.8   -61.7     4.8
2007.9230   -39.3     2.2   136.1     2.0   -58.3     4.7
2007.9254   -37.9     2.1   136.4     1.9   -56.0     4.7
2007.9281   -36.5     2.2   135.8     2.0   -54.3     4.7
2007.9310   -37.5     2.1   135.9     1.9   -59.4     4.8
2007.9340   -38.8     2.1   135.0     1.9   -55.0     4.8
2007.9364   -38.1     2.2   135.3     2.0   -58.6     4.7
2007.9390   -38.5     2.1   135.8     1.9   -61.6     4.8
2007.9420   -36.1     2.2   135.6     2.0   -57.9     4.7
2007.9450   -36.9     2.2   137.0     1.9   -58.8     4.7
2007.9472   -36.4     2.1   134.6     1.9   -61.2     4.8
2007.9500   -37.5     2.1   136.7     1.9   -61.8     4.9
2007.9530   -35.9     2.1   135.6     1.9   -60.8     4.8
2007.9560   -36.7     2.1   134.6     1.9   -58.8     4.8
2007.9582   -36.6     2.1   135.4     1.9   -61.7     4.8
2007.9610   -36.7     2.2   135.0     2.0   -63.3     4.8
2007.9640   -35.6     2.2   135.6     2.0   -61.9     4.8
2007.9664   -35.7     2.1   136.0     1.9   -56.8     4.8
2007.9692   -36.9     2.1   136.4     1.9   -58.1     4.8
2007.9720   -37.5     2.1   135.5     1.9   -58.7     4.7
2007.9750   -36.7     2.1   135.6     1.9   -61.1     4.8
2007.9774   -37.3     2.1   135.2     1.9   -52.2     4.8
2007.9801   -36.0     2.1   134.1     1.9   -52.2     4.8
2007.9830   -35.2     2.1   134.1     1.9   -52.3     4.8
2007.9860   -35.8     2.1   134.4     1.9   -55.7     4.8
2007.9884   -34.1     2.1   133.9     1.9   -55.4     4.9
2007.9910   -36.8     2.1   134.3     1.9   -54.2     4.8
2007.9940   -37.4     2.2   133.9     2.0   -58.4     4.8
2007.9970   -36.7     2.2   134.5     2.0   -55.9     4.8
2007.9992   -36.1     2.1   134.4     1.9   -60.4     4.8
2008.0020   -37.0     2.1   134.4     1.9   -57.8     4.7
2008.0050   -36.6     2.1   134.8     1.9   -56.0     4.8
2008.0102   -36.0     2.1   135.1     1.8   -56.7     4.7
2008.0130   -35.8     2.1   135.2     1.9   -61.6     4.9
2008.0160   -36.0     2.1   134.7     1.8   -60.9     4.8
2008.0184   -37.0     2.1   135.6     1.8   -60.0     4.7
2008.0212   -37.0     2.1   134.4     1.9   -58.9     4.8
2008.0240   -35.1     2.1   134.7     1.9   -60.7     4.8
2008.0270   -36.2     2.1   134.8     1.8   -61.0     4.7
2008.0294   -35.2     2.1   134.0     1.8   -61.9     4.7
2008.0322   -35.7     2.1   133.0     1.9   -60.4     4.8
2008.0350   -37.5     2.1   133.1     1.9   -56.0     4.8
2008.0380   -36.3     2.1   132.9     1.9   -57.9     4.8
2008.0404   -36.7     2.1   133.3     1.9   -58.1     4.7
2008.0430   -36.3     2.2   132.3     2.0   -53.9     4.8
2008.0460   -37.4     2.1   132.6     1.9   -59.8     4.9
2008.0490   -36.2     2.2   131.8     2.0   -57.9     4.7
2008.0513   -36.7     2.1   132.4     1.9   -54.4     4.7
2008.0540   -37.6     2.1   132.2     1.9   -58.9     4.8
2008.0570   -37.0     2.1   133.1     1.8   -59.5     4.7
2008.0600   -38.0     2.1   133.2     1.8   -61.7     4.7
2008.0622   -36.8     2.1   132.8     1.8   -53.5     4.8
2008.0650   -36.8     2.1   133.2     1.8   -54.7     4.8
2008.0680   -36.1     2.1   132.9     1.8   -53.8     4.8
2008.0710   -37.1     2.1   132.6     1.8   -58.7     4.7
2008.0732   -36.4     2.1   132.6     1.8   -59.5     4.8
2008.0760   -35.2     2.1   133.1     1.8   -61.1     4.8
2008.0790   -37.0     2.2   133.5     2.0   -55.3     4.8
2008.0814   -38.1     2.2   133.0     2.0   -61.3     4.8
2008.0842   -38.2     2.1   133.8     1.9   -59.7     4.8
2008.0870   -38.0     2.1   133.7     1.9   -55.4     4.8
2008.0900   -38.6     2.1   134.4     1.9   -55.2     4.8
2008.0924   -38.8     2.1   134.1     1.8   -56.4     4.8
2008.0950   -37.7     2.1   133.1     1.9   -61.2     4.8
2008.0980   -35.3     2.2   131.5     2.0   -58.9     4.8
2008.1010   -33.5     2.2   131.6     2.0   -57.2     4.7
2008.1033   -34.9     2.2   132.4     2.0   -60.9     4.7
2008.1060   -36.2     2.1   132.3     1.8   -58.3     4.8
2008.1090   -35.0     2.1   131.3     1.8   -58.6     4.7
2008.1120   -34.7     2.2   131.4     2.0   -55.8     4.7
2008.1142   -34.1     2.1   132.1     1.8   -60.1     4.7
2008.1170   -35.0     2.1   130.9     1.9   -57.1     4.7
2008.1200   -35.5     2.1   133.1     1.8   -60.9     4.8
2008.1230   -33.8     2.1   132.5     1.8   -54.0     4.8
2008.1252   -35.0     2.2   133.0     2.0   -53.4     4.7
2008.1280   -35.1     2.1   133.0     1.8   -49.7     4.7
2008.1310   -36.0     2.1   132.7     1.9   -51.5     4.7
2008.1334   -34.4     2.1   133.8     1.8   -55.7     4.7
2008.1362   -34.1     2.1   132.1     1.8   -50.4     4.7
2008.1390   -33.0     2.1   130.8     1.8   -46.5     4.8
2008.1420   -33.4     2.1   130.5     1.8   -42.1     4.7
2008.1444   -34.3     2.1   131.3     1.8   -51.4     4.8
2008.1472   -34.3     2.1   131.6     1.9   -56.8     4.7
2008.1500   -35.6     2.1   130.9     1.8   -58.2     4.8
2008.1530   -35.4     2.1   130.9     1.8   -50.9     4.8
2008.1553   -35.2     2.1   130.1     1.8   -54.7     4.8
2008.1580   -35.5     2.1   131.3     1.9   -55.7     4.8
2008.1610   -35.8     2.1   131.6     1.8   -57.4     4.8
2008.1640   -34.0     2.1   130.1     1.9   -51.1     4.8
2008.1663   -36.2     2.1   132.1     1.8   -57.0     4.8
2008.1690   -36.0     2.1   131.6     1.8   -53.0     4.8
2008.1720   -34.7     2.1   131.6     1.8   -55.3     4.7
2008.1750   -34.3     2.1   131.4     1.8   -57.2     4.8
2008.1772   -34.8     2.2   131.6     2.0   -58.3     4.8
2008.1800   -35.8     2.1   130.7     1.8   -56.4     4.7
2008.1830   -35.7     2.1   130.7     1.8   -52.7     4.8
2008.1860   -35.1     2.1   131.1     1.8   -52.8     4.8
2008.1882   -37.5     2.1   130.1     1.8   -52.3     4.8
2008.1910   -34.8     2.1   131.0     1.9   -48.3     4.8
2008.1940   -36.2     2.1   130.5     1.8   -50.0     4.8
2008.1964   -36.7     2.1   130.7     1.9   -55.6     4.8
2008.1992   -35.1     2.1   130.9     1.9   -58.7     4.8
2008.2020   -36.4     2.2   130.3     2.0   -57.9     4.7
2008.2050   -38.1     2.1   132.1     1.9   -59.5     4.8
2008.2073   -37.0     2.1   130.3     1.9   -57.5     4.8
2008.2100   -37.6     2.2   130.7     2.0   -61.9     4.8
2008.2130   -37.1     2.2   130.7     2.0   -60.2     4.9
2008.2160   -36.0     2.2   132.1     1.9   -63.6     4.7
2008.2183   -36.5     2.2   129.3     2.0   -63.5     4.8
2008.2210   -37.3     2.2   128.5     2.0   -58.8     4.8
2008.2240   -37.0     2.2   128.1     1.9   -60.1     4.7
2008.2270   -36.7     2.2   128.8     1.9   -58.7     4.7
2008.2292   -38.3     2.2   128.1     2.0   -62.3     4.8
2008.2320   -37.3     2.2   130.5     2.0   -59.4     4.8
2008.2350   -37.5     2.2   130.8     2.0   -57.4     4.9
2008.2380   -36.3     2.2   130.0     2.0   -59.1     4.9
2008.2402   -36.3     2.2   130.4     2.0   -58.1     4.9
2008.2430   -36.0     2.2   130.5     2.0   -58.3     4.7
2008.2460   -35.6     2.2   130.7     2.0   -62.7     4.7
2008.2484   -36.0     2.2   130.0     2.0   -61.9     4.8
2008.2512   -36.0     2.2   130.2     2.0   -66.6     4.8
2008.2540   -35.2     2.2   130.9     2.0   -65.8     4.8
2008.2570   -35.6     2.2   129.0     2.0   -66.0     4.8
2008.2593   -36.7     2.2   128.7     2.0   -65.8     4.9
2008.2622   -35.6     2.2   129.5     2.0   -64.7     4.9
2008.2650   -36.8     2.2   130.4     2.0   -65.6     4.8
2008.2680   -36.1     2.2   129.4     2.0   -63.3     4.8
2008.2703   -36.1     2.2   129.1     2.0   -64.6     4.8
2008.2730   -37.2     2.2   129.9     2.0   -64.3     4.8
2008.2760   -36.8     2.2   129.2     2.0   -62.1     4.8
2008.2790   -37.5     2.2   129.2     2.0   -64.8     4.8
2008.2813   -37.2     2.2   129.1     2.0   -62.9     4.8
2008.2840   -36.5     2.2   129.4     2.0   -61.6     4.8
2008.2870   -36.3     2.2   130.3     2.0   -60.5     4.8
2008.2900   -34.6     2.2   130.3     2.0   -59.0     4.9
2008.2922   -36.6     2.2   128.9     2.0   -58.9     4.9
2008.2950   -35.2     2.2   129.0     2.0   -59.6     4.8
2008.2980   -35.0     2.2   128.0     2.0   -64.4     4.8
2008.3010   -36.1     2.2   129.5     2.0   -66.1     4.8
2008.3032   -36.4     2.2   127.5     2.0   -66.0     4.7
2008.3060   -35.1     2.2   128.7     2.0   -64.5     4.8
2008.3090   -35.7     2.2   127.8     2.0   -66.7     4.8
2008.3114   -36.2     2.2   128.5     2.0   -68.3     5.0
2008.3142   -36.2     2.2   127.7     2.0   -65.6     4.9
2008.3170   -36.3     2.2   127.7     2.0   -69.2     4.8
2008.3200   -36.4     2.2   127.2     2.0   -63.8     4.9
2008.3223   -36.4     2.2   127.3     2.0   -65.6     4.9
2008.3250   -35.7     2.2   128.7     2.0   -68.0     5.0
2008.3280   -36.1     2.2   128.6     2.0   -68.2     4.9
2008.3310   -35.5     2.2   127.7     2.0   -68.8     4.8
2008.3333   -36.9     2.2   127.1     2.0   -69.4     4.8
2008.3360   -36.4     2.2   127.7     2.0   -67.6     4.8
2008.3390   -36.0     2.2   127.8     2.0   -67.1     4.8
2008.3420   -37.2     2.2   127.1     2.0   -66.3     5.0
2008.3442   -37.3     2.2   127.7     2.0   -64.2     4.8
2008.3470   -36.7     2.2   126.6     2.0   -67.2     4.8
2008.3500   -37.0     2.2   126.7     2.0   -64.1     4.8
2008.3530   -35.4     2.2   127.3     2.0   -67.6     4.8
2008.3552   -36.5     2.2   127.9     2.0   -65.5     4.8
2008.3580   -37.2     2.2   126.9     2.0   -63.4     4.8
2008.3610   -36.3     2.2   127.4     2.0   -62.6     4.8
2008.3634   -35.6     2.2   128.9     2.0   -63.4     4.8
2008.3662   -36.8     2.2   128.0     2.0   -62.4     4.8
2008.3690   -35.3     2.2   126.1     2.0   -63.9     4.8
2008.3720   -36.0     2.2   126.9     2.0   -61.8     4.8
2008.3743   -36.3     2.2   127.0     2.0   -62.2     4.8
2008.3771   -35.9     2.2   126.9     2.0   -63.5     4.8
2008.3800   -35.2     2.2   127.3     2.0   -63.1     4.8
2008.3830   -35.5     2.2   126.7     2.0   -60.9     4.8
2008.3853   -35.9     2.2   127.1     2.0   -62.7     4.8
2008.3880   -35.3     2.2   126.7     2.0   -61.0     4.8
2008.3910   -35.6     2.2   127.7     2.0   -63.8     4.9
2008.3940   -35.4     2.2   125.9     2.0   -63.0     4.8
2008.3963   -36.9     2.2   126.4     2.0   -62.4     4.8
