% site name: KAPI
% Time      North     err   East      err    Up       err
% year      mm        mm    mm        mm     mm       mm
2009.4694   -54.3     2.4    85.5     2.5   -29.6     3.5
2009.4722   -54.7     2.4    84.5     2.5   -27.3     3.5
2009.4750   -54.0     2.4    84.4     2.3   -28.5     3.4
2009.4780   -55.5     2.5    84.2     2.4   -30.7     3.4
2009.4804   -54.7     2.5    85.1     2.5   -32.4     3.7
2009.4832   -54.6     2.5    84.7     2.5   -33.6     3.6
2009.4860   -53.8     2.5    85.5     2.5   -38.0     3.6
2009.4890   -55.7     2.5    84.6     2.4   -34.6     3.5
2009.4914   -53.3     2.5    84.2     2.6   -30.6     3.7
2009.4941   -53.8     2.4    85.7     2.5   -31.7     3.5
2009.4970   -53.6     2.5    84.0     2.5   -32.7     3.6
2009.5000   -54.4     2.4    84.5     2.5   -32.1     3.4
2009.5024   -54.0     2.4    83.9     2.3   -32.3     3.4
2009.5051   -54.8     2.4    84.8     2.5   -27.2     3.4
2009.5080   -52.5     2.4    83.4     2.5   -30.5     3.4
2009.5110   -54.2     2.4    83.4     2.5   -29.9     3.4
2009.5133   -53.9     2.4    84.3     2.5   -28.7     3.4
2009.5161   -54.7     2.5    84.3     2.4   -30.9     3.4
2009.5190   -53.1     2.4    82.2     2.5   -27.0     3.4
2009.5220   -57.1     2.4    82.1     2.5   -25.0     3.5
2009.5242   -55.3     3.0    82.1     3.0   -26.8     4.7
2009.5270   -53.9     2.5    84.3     2.4   -27.8     3.4
2009.5300   -54.9     2.5    84.1     2.4   -33.1     3.4
2009.5324   -53.7     2.4    83.8     2.5   -32.2     3.5
2009.5352   -55.2     2.4    84.0     2.5   -30.7     3.5
2009.5380   -53.1     2.4    83.1     2.5   -31.1     3.5
2009.5410   -53.3     2.4    83.6     2.5   -31.6     3.5
2009.5434   -53.8     2.4    83.8     2.3   -29.7     3.4
2009.5461   -56.4     2.5    83.1     2.4   -35.7     3.4
2009.5490   -55.6     2.4    83.1     2.3   -28.2     3.4
2009.5520   -55.0     2.5    82.8     2.4   -28.0     3.4
2009.5544   -55.4     2.5    84.0     2.4   -32.6     3.4
2009.5571   -55.6     2.6    81.7     2.7   -28.7     3.8
2009.5600   -56.3     2.4    81.8     2.5   -31.4     3.5
2009.5630   -57.0     2.4    82.9     2.5   -28.2     3.4
2009.5653   -56.3     2.4    81.7     2.5   -24.4     3.4
2009.5681   -56.7     2.4    82.1     2.5   -26.1     3.5
2009.5710   -56.9     2.4    82.0     2.5   -26.0     3.5
2009.5740   -55.9     2.4    84.3     2.5   -29.7     3.5
2009.5762   -58.2     2.4    82.6     2.5   -24.3     3.4
2009.5791   -55.1     2.4    83.0     2.5   -18.2     3.5
2009.5820   -56.8     2.4    82.3     2.5   -24.2     3.5
2009.5844   -55.8     2.4    81.6     2.5   -28.0     3.5
2009.5872   -56.4     2.5    83.3     2.4   -30.5     3.4
2009.5900   -55.9     2.4    84.3     2.5   -26.5     3.5
2009.5930   -55.8     2.5    83.0     2.4   -25.0     3.4
2009.5954   -56.5     2.4    82.5     2.5   -29.7     3.5
2009.5982   -56.3     2.5    83.7     2.5   -26.3     3.6
2009.6010   -59.4     2.5    81.3     2.5   -25.0     3.6
2009.6040   -58.0     2.5    82.0     2.4   -25.1     3.4
2009.6064   -56.7     2.4    80.6     2.5   -24.6     3.4
2009.6091   -57.3     2.5    81.7     2.4   -27.7     3.4
2009.6120   -57.7     2.4    81.7     2.5   -22.2     3.4
2009.6150   -57.4     2.4    82.2     2.5   -25.3     3.5
2009.6174   -56.5     2.4    82.1     2.5   -26.6     3.5
2009.6201   -56.0     2.4    82.0     2.5   -23.4     3.5
2009.6230   -55.9     2.4    81.7     2.3   -24.2     3.4
2009.6260   -56.2     2.4    80.7     2.5   -26.1     3.4
2009.6282   -55.8     2.4    81.2     2.5   -23.8     3.4
2009.6311   -55.2     2.4    82.4     2.5   -22.4     3.5
2009.6340   -55.6     2.4    82.8     2.5   -20.4     3.4
2009.6370   -55.2     2.4    80.1     2.5   -25.3     3.5
2009.6392   -53.9     2.5    80.6     2.5   -25.7     3.6
2009.6420   -54.4     2.4    80.6     2.5   -23.3     3.5
2009.6450   -54.4     2.5    81.0     2.5   -23.1     3.6
