% site name: KBUG
% Time      North     err   East      err    Up       err
% year      mm        mm    mm        mm     mm       mm
2007.6571   -90.5     8.8    98.6    28.2   -81.4     3.9
2007.6600   -90.1     2.1    99.0     2.5   -80.6     3.9
2007.6630   -89.3     2.1    98.2     2.5   -75.3     3.8
2007.6652   -91.1     2.0    97.2     2.5   -76.5     3.9
2007.6680   -87.7     2.1    96.6     2.5   -81.3     4.0
2007.6710   -90.5     2.2    98.4     2.6   -74.4     4.1
2007.6734   -91.3     2.2    97.4     2.7   -79.7     3.9
2007.6762   -90.0     2.1    96.5     2.5   -67.2     3.9
2007.6790   -90.0     2.1    97.5     2.5   -70.4     3.9
2007.6820   -89.5     2.1    98.7     2.5   -77.4     4.2
2007.6844   -89.4     2.2    98.7     2.7   -71.5     3.9
2007.6872   -88.9     2.1    95.5     2.5   -76.1     4.1
2007.6900   -87.6     2.2    96.1     2.6   -76.4     3.9
2007.6930   -89.3     2.1    95.6     2.5   -68.0     3.9
2007.6954   -87.2     2.1    98.1     2.5   -72.1     3.9
2007.6981   -88.7     2.1    98.0     2.5   -78.0     3.8
2007.7010   -87.4     2.1    98.5     2.5   -73.2     3.8
2007.7040   -87.1     2.1    98.2     2.5   -73.1     4.0
2007.7064   -87.1     2.1    96.8     2.5   -66.9     4.0
2007.7091   -87.8     2.1    98.1     2.5   -69.3     3.9
2007.7120   -90.1     2.1    97.3     2.5   -71.5     3.8
2007.7150   -88.4     2.1    95.3     2.5   -72.4     3.9
2007.7172   -88.3     2.1    98.1     2.5   -72.6     3.8
2007.7200   -86.3     2.1    97.9     2.5   -66.0     3.9
2007.7230   -86.2     2.1    97.4     2.5   -67.5     3.8
2007.7260   -86.6     2.1    98.5     2.5   -68.0     3.9
2007.7282   -86.2     2.1    97.7     2.5   -74.6     3.8
2007.7310   -86.0     2.1    97.3     2.5   -75.2     3.9
2007.7340   -89.8     2.1    98.8     2.5   -75.1     3.8
2007.7364   -88.8     2.1    97.0     2.5   -72.4     3.7
2007.7392   -87.1     2.1    98.1     2.5   -70.5     3.8
2007.7420   -86.9     2.0    97.2     2.5   -71.2     3.9
2007.7450   -86.5     2.1    97.0     2.6   -73.3     4.2
2007.7474   -86.2     2.2    98.9     2.8   -69.6     3.9
