% site name: KELY
% Time      North     err   East      err    Up       err
% year      mm        mm    mm        mm     mm       mm
2002.0034   -97.1     3.2   155.2     3.8   -25.2     5.5
2002.0061   -95.6     3.0   152.4     3.8   -32.2     5.4
2002.0090  -103.1     2.8   157.1     3.1   -42.5     4.6
2002.0120   -99.7     3.4   158.8     4.0   -34.4     5.8
2002.0144   -99.6     2.8   157.2     3.2   -39.0     4.8
2002.0170  -100.3     2.8   156.5     3.0   -41.5     4.6
2002.0200  -102.2     3.1   160.2     3.8   -32.6     5.4
2002.0230   -98.5     3.2   157.7     3.8   -47.5     5.4
2002.0252  -101.8     2.6   157.6     2.9   -33.8     4.4
2002.0444  -104.8     8.1   156.5     9.1   -40.5    11.2
2002.0472   -99.4     5.8   154.4     6.8   -35.4    10.0
2002.0500  -102.4     5.6   158.9     6.5   -38.0     6.7
2002.0530  -100.7     3.5   158.5     4.9   -33.3     4.8
2002.0664   -97.9     2.8   154.2     5.5   -39.8     7.0
2002.0750   -98.1     3.2   155.7     4.3   -34.4     7.7
2002.0773   -95.8     4.7   153.7     5.1   -33.4     5.7
2002.0830   -96.7     4.0   153.7     3.8   -22.4     7.1
2002.0860   -97.5     2.9   153.8     4.6   -35.4     5.1
2002.0910   -99.0     4.3   152.6     3.4   -43.6     5.1
2002.0992  -100.4     3.2   155.8    16.2   -41.2    20.4
2002.1050   -96.8     3.2   157.1     7.4   -41.9    13.6
2002.1074   -98.4     3.9   155.8     6.6   -33.0     8.1
2002.1130   -99.2     3.0   154.8     4.3   -37.1     5.5
2002.1184  -100.2     8.3   154.2     7.2   -32.7     4.9
2002.1210   -99.5     6.9   152.8     3.4   -18.3    15.5
2002.1240   -98.4     3.9   155.7    16.6   -24.3     5.0
2002.1270   -99.2     4.0   154.2     3.4   -27.4     6.2
2002.1293   -98.4     3.1   152.6     4.5   -33.2     4.7
2002.1320   -97.4     5.3   153.8     3.1   -38.6     5.2
2002.1350   -98.4     2.9   156.3     3.6   -35.7     4.7
2002.1380  -100.5     6.0   152.7     3.2   -30.5     6.2
2002.1402   -98.7     2.9   150.3     3.9   -50.2     6.1
2002.1430   -94.9     3.4   150.7     4.0   -40.1     6.4
2002.1460   -98.6     2.8   155.1     4.6   -41.3    10.2
2002.1490   -99.9     3.0   154.3     8.1   -38.1     9.9
2002.1570   -96.7     2.7   152.2     8.0   -30.7     5.3
2002.1594   -98.1     3.4   149.3     3.7   -34.1     6.5
2002.1622   -97.6     3.6   155.7     4.4   -37.4     7.5
2002.1650   -99.4     3.6   152.0     5.2   -38.2     6.6
2002.1680  -102.3     5.6   153.2     4.4   -21.7     7.0
2002.1704  -102.4     4.8   152.5     4.5   -37.6     5.1
2002.1732   -99.3     3.1   153.9     3.3   -40.2     5.0
2002.1790  -101.2     3.7   157.2     5.2   -24.5     7.3
2002.1813   -97.1     4.3   150.7     3.9   -38.6     5.7
2002.1840  -100.7     3.9   151.2    13.6   -37.9    18.1
2002.1870   -96.9     3.8   151.5     5.4   -39.1     7.7
2002.1900   -96.3     2.9   151.4     3.8   -38.8     5.2
2002.1923  -101.5     3.0   151.1     3.2   -23.2     4.9
2002.1950   -96.4     3.8   153.2     3.3   -35.5     4.8
2002.1980   -96.5     3.2   152.2     3.4   -33.8     5.0
2002.2010   -95.2     7.8   151.6     8.4   -34.7    12.2
2002.2032   -97.6     4.3   151.6     3.8   -41.1     5.4
2002.2060   -96.2     3.0   148.9     3.2   -43.9     4.7
2002.2090   -97.9     2.8   150.9     3.0   -42.3     4.5
2002.2120   -98.6     2.8   150.1     3.3   -42.9     4.8
2002.2142   -97.5     2.9   150.0     3.1   -45.0     4.6
2002.2170   -97.9     6.5   149.5     3.2   -45.6     4.7
2002.2200   -97.9     3.1   150.6     3.9   -41.0     6.1
2002.2224   -97.3     2.7   150.8     3.4   -47.1     5.6
2002.2252   -97.7     2.7   153.4     3.4   -43.0     5.1
2002.2280   -95.5     2.9   149.3     3.1   -47.8     4.7
2002.2310   -98.9     2.8   149.9     3.3   -40.8     4.9
2002.2390   -97.1     3.6   150.9     3.1   -38.8     7.1
2002.2420   -98.7     3.1   150.8     4.1   -41.7     4.6
2002.2443   -97.9     2.9   148.3     3.0   -46.4     8.0
2002.2470   -99.5     2.8   151.2     4.8   -46.6     4.8
2002.2500   -99.1     2.9   148.8     3.0   -42.8     4.4
2002.2530   -97.7     2.8   148.1     3.0   -40.6     9.8
2002.2552   -99.3     3.8   151.6     5.5   -40.9     5.7
2002.2580   -98.2     2.7   149.3     3.8   -43.5     4.7
2002.2610   -95.6     4.1   148.8     3.2   -37.8     5.1
2002.2640   -97.6     2.8   151.5     3.5   -36.1     5.4
2002.2662   -97.2     2.7   150.5     3.3   -41.3     4.6
2002.2690   -95.3     4.8   148.8     3.0   -43.3     4.3
2002.2720   -98.0     3.3   148.6     2.8   -38.2     4.5
2002.2744   -95.0     2.9   148.5     3.0   -45.8     4.4
2002.2772   -96.5     2.9   148.0     2.8   -40.5     4.6
2002.2800   -97.7     3.0   149.0     3.1   -39.7     4.4
2002.2830   -95.7     2.8   147.6     2.9   -42.8     4.4
2002.2854   -95.6     2.6   148.8     2.9   -42.1     5.0
2002.2882   -97.6     2.7   150.7     3.5   -43.5     4.4
2002.2963   -94.6     2.5   149.3     2.8   -36.9     4.6
2002.2990   -96.0     2.8   150.4     3.0   -49.2     4.4
2002.3020   -91.9     2.7   149.9     2.9   -36.5     5.7
2002.3073   -95.8     2.6   146.8     3.4   -35.4     6.1
2002.3100   -94.1     2.9   149.5     3.4   -39.9     6.6
2002.3130   -96.3     2.5   148.1     4.0   -46.0     7.0
2002.3160   -95.2     2.8   147.4     4.1   -41.4     6.6
2002.3182   -97.2     2.6   148.3     4.1   -37.8     5.8
2002.3210   -97.3     3.3   149.4     3.7   -42.3     4.4
2002.3240   -94.8     3.5   147.2     2.9   -46.5     4.2
2002.3270   -96.2     3.8   148.7     2.7   -44.7     4.9
2002.3292   -96.8     3.9   148.7     3.1   -46.6     4.8
2002.3320   -95.6     3.6   147.2     3.3   -39.5     4.6
2002.3350   -96.2     3.3   147.5     3.0   -43.0     5.2
2002.3374   -96.5     2.6   149.1     3.7   -34.6     4.8
2002.3402   -95.8     2.5   148.0     3.1   -45.3     4.3
2002.3430   -96.9     2.9   147.7     2.8   -38.2     4.3
2002.3460   -96.8     2.9   148.2     2.8   -44.7     4.9
2002.3483   -96.4     2.8   148.0     3.3   -41.5     4.4
2002.3510   -94.4     3.2   147.4     2.9   -45.8     4.3
2002.3570   -94.7     2.8   146.8     2.8   -43.2     4.6
2002.3593   -95.4     2.6   147.1     3.0   -48.7     4.7
2002.3620   -97.1     2.5   147.5     2.9   -40.5     4.4
2002.3650   -98.6     2.9   149.1     2.8   -46.5     5.5
2002.3680   -95.9     2.6   150.8     3.3   -37.3     5.9
2002.3702   -95.2     2.5   148.4     3.6   -43.9     4.4
