% site name: KLSQ
% Time      North     err   East      err    Up       err
% year      mm        mm    mm        mm     mm       mm
2014.4552   -22.6     2.3    36.0     2.3   -12.8     3.6
2014.4580   -24.8     2.3    35.9     2.3   -13.4     3.5
2014.4610   -24.9     2.4    35.3     2.3   -15.9     3.7
2014.4633   -24.3     2.4    34.4     2.5   -14.2     3.7
2014.4660   -23.5     2.5    34.7     2.5   -15.8     3.8
2014.4690   -23.0     2.4    34.1     2.4   -16.6     3.6
2014.4720   -23.4     2.3    35.0     2.3   -17.4     3.5
2014.4743   -23.0     2.3    34.9     2.3   -10.7     3.6
2014.4800   -22.3     2.3    34.2     2.3   -11.3     3.5
2014.4830   -24.1     2.3    34.2     2.3   -22.1     3.6
2014.4852   -23.7     2.2    34.1     2.3   -10.2     3.4
2014.4910   -24.8     2.3    35.0     2.3   -20.8     3.6
2014.4940   -23.2     2.3    34.7     2.3   -12.6     3.5
2014.4962   -22.5     2.3    33.8     2.3   -10.4     3.5
2014.4990   -21.5     2.2    34.2     2.3   -10.9     3.4
2014.5020   -22.1     2.2    35.2     2.3   -11.6     3.4
2014.5043   -23.9     2.4    32.9     2.3   -11.7     3.7
2014.5072   -22.3     2.3    33.3     2.3   -12.5     3.6
2014.5100   -22.5     2.3    33.6     2.3   -11.1     3.5
2014.5130   -21.9     2.3    33.4     2.3   -13.2     3.4
2014.5153   -21.9     2.4    34.6     2.5   -10.1     3.7
2014.5181   -23.2     2.3    33.7     2.3   -12.7     3.5
2014.5210   -23.8     2.3    34.7     2.3   -13.2     3.5
2014.5240   -21.2     2.3    35.3     2.3   -11.8     3.6
2014.5263   -22.6     2.3    33.9     2.3   -12.4     3.5
2014.5290   -21.6     2.3    34.7     2.3    -9.0     3.5
2014.5320   -22.6     2.2    34.2     2.3   -12.1     3.4
2014.5350   -22.5     2.3    34.0     2.3   -11.9     3.5
2014.5373   -21.4     2.4    34.2     2.4   -11.2     3.7
2014.5400   -23.9     2.3    34.0     2.3    -6.7     3.6
2014.5430   -23.6     2.2    32.8     2.2    -8.2     3.4
2014.5460   -23.7     2.2    34.1     2.2    -9.8     3.4
2014.5482   -22.5     2.2    33.2     2.3   -11.7     3.4
2014.5510   -22.6     2.3    33.5     2.3    -5.8     3.5
2014.5540   -23.6     2.3    32.0     2.3   -10.6     3.6
2014.5570   -24.0     2.3    31.8     2.3    -3.9     3.5
2014.5592   -23.7     2.3    30.2     2.3   -10.3     3.5
2014.5620   -22.0     2.2    34.3     2.3    -6.6     3.4
2014.5650   -23.5     2.3    32.1     2.3   -10.0     3.5
2014.5673   -22.9     2.4    32.5     2.3    -6.7     3.7
2014.5701   -22.4     2.3    31.7     2.3    -6.5     3.5
2014.5730   -21.4     2.3    31.6     2.3    -7.6     3.6
2014.5760   -24.4     2.3    32.8     2.3   -12.7     3.5
2014.5783   -22.0     2.3    32.3     2.3    -9.7     3.6
2014.5810   -22.6     2.3    30.3     2.3    -8.7     3.6
2014.5840   -22.7     2.4    31.4     2.5    -8.6     3.8
2014.5870   -22.7     2.3    32.7     2.3    -4.4     3.6
2014.5893   -22.6     2.4    31.4     2.5   -12.8     3.9
