% site name: KMJP
% Time      North     err   East      err    Up       err
% year      mm        mm    mm        mm     mm       mm
2008.5390   -93.1     1.6    74.6     2.7   -23.2     9.2
2008.5413   -93.2     1.3    72.8     2.0   -18.4     6.0
2008.5441   -92.7     1.2    75.1     2.0   -20.0     5.7
2008.5470   -93.3     1.2    73.5     2.0   -20.9     5.7
2008.5500   -92.5     1.2    72.5     2.0   -22.3     5.7
2008.5550   -91.8     1.3    75.5     2.0   -20.2     5.7
2008.5580   -92.4     1.3    73.2     2.0   -25.6     5.7
2008.5610   -92.0     1.2    74.0     2.0   -22.8     5.6
2008.5633   -92.4     1.3    74.1     2.0   -26.7     5.6
2008.5660   -91.7     1.2    73.8     2.0   -22.6     5.7
2008.5690   -93.0     1.3    74.4     2.1   -24.5     5.9
2008.5720   -91.5     1.3    74.2     2.1   -19.4     6.0
2008.5742   -92.5     1.2    73.1     2.0   -17.7     5.7
2008.5770   -92.5     1.3    73.4     2.0   -27.7     5.7
2008.5800   -92.7     1.3    74.1     2.0   -22.5     5.8
2008.5830   -92.8     1.3    72.6     2.0   -25.4     5.7
2008.5880   -92.1     1.3    71.6     2.0   -23.3     5.9
2008.5910   -92.3     1.3    71.8     2.0   -22.1     5.8
2008.5933   -91.3     1.3    71.5     2.0   -19.3     5.6
2008.5961   -91.6     1.3    71.7     2.0   -28.1     5.7
2008.5990   -90.8     1.3    73.4     2.0   -25.5     5.8
2008.6020   -91.1     1.3    72.7     2.1   -23.2     5.9
2008.6043   -91.1     1.3    71.8     2.1   -25.0     5.8
2008.6071   -93.1     1.4    72.6     2.1   -30.2     7.0
2008.6100   -91.9     1.3    72.5     2.0   -21.7     5.8
2008.6130   -92.2     1.2    72.0     2.0   -23.4     5.7
2008.6153   -91.3     1.3    72.3     2.0   -25.5     5.8
2008.6180   -90.2     1.3    73.0     2.0   -18.3     5.8
2008.6210   -90.4     1.3    72.8     2.0   -18.2     5.8
2008.6240   -90.7     1.3    72.0     2.0   -21.7     5.6
2008.6263   -90.7     1.2    72.4     2.0   -28.2     5.7
2008.6290   -90.3     1.2    73.4     2.0   -23.2     5.7
2008.6320   -91.2     1.3    74.4     2.0   -20.3     5.8
2008.6350   -89.8     1.2    73.6     2.0   -24.1     5.7
2008.6372   -90.1     1.2    73.5     2.0   -20.7     5.7
2008.6400   -90.6     1.3    73.4     2.2   -21.2     6.4
2008.6430   -88.6     1.3    74.3     2.0   -23.9     5.9
2008.6460   -88.9     1.2    73.8     2.0   -15.7     5.7
2008.6481   -89.7     1.3    73.9     2.0   -17.4     5.8
2008.6510   -90.2     1.3    72.7     2.0   -14.4     5.9
2008.6540   -91.1     1.2    72.8     2.0   -22.2     5.7
2008.6563   -90.1     1.4    72.5     2.1   -22.6     6.8
2008.6591   -91.4     1.2    72.8     2.0   -22.9     5.7
2008.6620   -90.9     1.2    71.9     2.0   -21.0     5.6
2008.6650   -91.4     1.2    71.1     2.0   -18.5     5.6
2008.6673   -89.7     1.3    73.2     2.0   -23.0     5.7
2008.6700   -90.6     1.3    72.0     2.0   -23.8     5.7
2008.6730   -90.1     1.3    70.5     2.0   -12.2     5.6
2008.6760   -88.9     1.3    72.7     2.1   -25.5     6.0
2008.6783   -88.5     1.3    71.6     2.1   -17.2     6.1
2008.6810   -88.4     1.3    71.2     2.0   -16.8     5.8
2008.6840   -89.5     1.2    72.4     2.0   -23.6     5.7
2008.6870   -89.4     1.2    72.0     2.0   -21.6     5.7
2008.6892   -89.3     1.3    71.5     2.0   -19.5     5.8
2008.6920   -89.6     1.2    72.0     2.0   -23.4     5.6
2008.6950   -89.6     1.2    71.5     2.0   -20.1     5.7
2008.6980   -91.0     1.3    71.4     2.0   -25.1     5.6
2008.7001   -88.1     1.3    72.7     2.0   -21.6     5.7
2008.7030   -88.7     1.3    72.2     2.0   -26.9     5.6
2008.7060   -89.4     1.3    72.6     2.0   -22.6     5.6
2008.7083   -89.0     1.3    71.2     2.0   -21.3     5.7
2008.7111   -90.2     1.3    72.7     2.1   -25.9     5.9
2008.7140   -92.3     1.3    71.2     2.1   -18.3     6.0
2008.7170   -91.7     1.2    71.4     2.0   -19.8     5.7
2008.7193   -92.0     1.3    70.5     2.0   -17.7     5.8
2008.7221   -91.4     1.2    71.6     2.0   -21.5     5.7
2008.7250   -91.0     1.2    70.7     2.0   -24.3     5.7
2008.7280   -90.2     1.2    70.5     2.0   -23.0     5.7
2008.7303   -89.6     1.3    72.7     2.0   -27.3     5.6
2008.7330   -89.1     1.3    73.3     2.0   -21.7     5.6
2008.7360   -89.2     1.3    73.1     2.0   -26.9     5.8
2008.7390   -88.7     1.2    72.8     2.0   -25.0     5.7
2008.7413   -88.9     1.2    73.0     2.0   -25.8     5.6
2008.7440   -88.4     1.3    71.7     2.0   -23.8     5.7
2008.7470   -89.6     1.3    71.1     2.0   -23.9     5.8
2008.7500   -88.0     1.2    72.8     2.0   -24.8     5.7
2008.7521   -89.0     1.2    70.5     2.0   -24.1     5.7
2008.7550   -90.4     1.2    70.2     2.0   -25.8     5.7
2008.7604   -88.8     1.2    71.1     2.0   -18.7     5.7
2008.7631   -88.0     1.3    70.7     2.0   -20.4     5.7
2008.7660   -88.1     1.2    71.5     2.0   -22.1     5.7
2008.7690   -88.2     1.2    71.9     2.0   -22.8     5.7
2008.7713   -86.9     1.2    71.3     2.0   -22.0     5.7
2008.7741   -87.7     1.3    70.1     2.0   -24.1     5.5
2008.7770   -88.4     1.3    70.1     2.0   -22.0     5.6
2008.7800   -88.1     1.3    70.3     2.1   -17.0     5.8
2008.7823   -88.2     1.3    71.6     2.0   -21.3     5.6
2008.7850   -87.3     1.3    72.0     2.0   -25.2     5.7
2008.7880   -87.2     1.3    71.0     2.0   -26.5     5.7
2008.7910   -87.6     1.3    70.4     2.0   -23.6     5.8
2008.7933   -87.2     1.3    70.2     2.0   -23.1     5.8
2008.7960   -87.0     1.2    70.5     2.0   -25.0     5.7
