% site name: KMOR
% Time      North     err   East      err    Up       err
% year      mm        mm    mm        mm     mm       mm
2007.6734   -44.5     2.8   119.7     2.7   -45.9     8.4
2007.6762   -41.7     2.0   118.6     1.9   -41.8     5.1
2007.6790   -43.3     2.0   117.2     1.9   -40.6     5.1
2007.6820   -41.9     2.0   118.4     1.9   -45.9     5.1
2007.6844   -41.1     2.0   117.1     1.9   -42.9     5.2
2007.6872   -42.5     2.0   116.7     1.9   -38.8     5.1
2007.6900   -41.5     2.0   117.3     1.9   -48.0     5.2
2007.6930   -41.6     1.9   117.2     1.9   -44.3     5.0
2007.6954   -40.9     2.1   117.6     2.0   -40.9     5.2
2007.6981   -42.0     2.0   118.1     1.9   -47.8     5.1
2007.7010   -41.4     1.9   117.7     1.9   -44.0     5.0
2007.7040   -42.1     1.9   116.1     1.9   -40.6     5.0
2007.7064   -41.6     2.1   116.2     2.0   -44.8     5.3
2007.7091   -41.8     2.1   116.2     2.0   -42.3     5.2
2007.7120   -41.1     2.0   117.2     1.9   -43.3     5.1
2007.7150   -41.7     2.0   116.4     1.9   -41.1     5.1
2007.7172   -42.1     2.0   117.0     1.8   -44.8     5.0
2007.7200   -41.1     2.0   116.5     1.8   -37.7     5.2
2007.7230   -42.1     2.0   116.8     1.8   -41.7     5.1
2007.7260   -41.2     2.0   117.1     1.8   -42.6     5.0
2007.7282   -41.6     2.0   117.0     1.8   -46.2     5.1
2007.7310   -41.4     2.0   117.3     1.8   -45.5     5.1
2007.7340   -41.3     2.0   117.7     1.9   -44.7     5.1
2007.7364   -40.1     2.0   115.8     1.8   -43.5     5.1
2007.7392   -40.4     2.1   116.0     2.0   -46.5     5.2
2007.7420   -39.6     2.0   116.4     1.9   -44.7     5.1
2007.7450   -41.2     2.0   116.1     1.9   -43.9     5.1
2007.7474   -40.0     2.0   117.6     1.8   -43.2     5.1
2007.7501   -40.5     2.0   118.4     1.9   -42.8     5.1
2007.7530   -41.8     2.1   116.3     2.0   -44.2     5.2
2007.7560   -39.7     2.1   117.4     2.0   -42.5     5.2
2007.7584   -39.5     2.0   117.3     1.8   -45.1     5.1
2007.7611   -39.5     2.0   117.5     1.8   -44.8     5.0
2007.7640   -40.1     2.0   117.3     1.8   -42.8     5.0
2007.7670   -39.4     2.0   116.7     1.8   -45.9     5.1
2007.7692   -39.9     2.1   114.1     2.0   -44.5     5.4
2007.7720   -39.7     2.1   117.7     2.0   -46.6     5.5
2007.7750   -41.9     2.1   115.9     2.0   -49.3     5.2
2007.7780   -41.3     2.0   115.4     1.8   -46.2     5.1
2007.7802   -42.1     2.0   116.0     1.9   -47.6     5.2
2007.7830   -42.2     2.0   115.2     1.9   -46.2     5.2
2007.7860   -42.4     2.0   116.4     1.8   -43.9     5.1
2007.7884   -43.1     2.0   116.5     1.8   -43.3     5.2
2007.7912   -42.0     2.0   117.2     1.8   -45.0     5.1
2007.7940   -42.3     2.0   116.6     2.0   -42.6     5.1
2007.7970   -42.8     2.1   116.3     2.0   -45.8     5.3
2007.7994   -40.1     2.0   117.0     1.9   -46.9     5.1
2007.8022   -38.9     2.0   116.4     1.8   -46.5     5.1
2007.8050   -40.8     2.0   116.4     1.8   -42.7     5.1
2007.8080   -41.6     2.1   116.8     2.0   -46.8     5.2
2007.8104   -40.3     2.1   116.0     2.0   -41.6     5.2
2007.8131   -41.4     2.0   115.3     1.9   -41.7     5.1
2007.8160   -40.0     2.1   116.3     2.0   -40.1     5.2
2007.8190   -40.1     2.1   117.3     2.0   -45.9     5.2
2007.8214   -42.3     2.0   116.7     1.9   -39.3     5.1
2007.8240   -42.5     2.0   116.9     1.9   -42.4     5.1
2007.8270   -42.0     2.0   117.1     1.9   -41.4     5.1
2007.8300   -42.1     2.0   116.4     1.9   -41.9     5.1
2007.8322   -42.7     1.9   116.9     1.9   -45.1     5.0
2007.8350   -40.9     2.0   117.6     1.8   -46.5     5.0
2007.8380   -41.6     2.0   115.7     1.9   -43.7     5.1
2007.8410   -41.5     2.0   115.4     1.8   -43.4     5.1
2007.8432   -40.6     2.0   114.2     1.8   -46.5     5.1
2007.8460   -40.6     2.0   113.9     1.9   -49.7     5.2
2007.8490   -40.9     2.0   113.7     1.8   -46.8     5.1
2007.8514   -41.2     2.0   113.8     1.9   -47.7     5.1
2007.8542   -42.0     2.0   114.4     1.9   -43.4     5.2
2007.8600   -41.7     2.0   115.4     1.8   -40.3     5.1
2007.8624   -40.7     2.0   113.9     1.9   -42.1     5.1
2007.8651   -40.4     2.0   112.4     1.8   -46.7     5.1
2007.8680   -39.0     2.0   112.5     1.9   -42.1     5.1
2007.8710   -40.8     2.0   112.3     1.8   -41.0     5.1
2007.8760   -39.5     2.0   112.1     1.8   -44.5     5.1
2007.8790   -37.4     2.0   112.4     1.9   -48.0     5.2
2007.8820   -39.2     2.0   110.8     1.9   -42.6     5.1
2007.8842   -38.7     2.0   111.4     1.8   -35.5     5.0
2007.8870   -39.4     2.0   110.8     1.9   -39.1     5.1
2007.8900   -40.7     2.0   110.5     1.8   -40.5     5.1
2007.8930   -41.4     2.0   110.1     1.9   -38.5     5.2
2007.8952   -42.2     2.1   112.1     2.0   -39.3     5.4
2007.8980   -41.9     2.1   111.4     2.0   -33.8     5.2
2007.9010   -41.4     2.0   112.5     1.9   -38.9     5.1
2007.9034   -42.0     2.0   114.3     1.8   -40.0     5.1
2007.9062   -42.3     2.0   115.0     1.9   -38.7     5.1
2007.9090   -42.1     2.0   115.2     1.9   -43.9     5.1
2007.9120   -41.1     2.0   114.6     1.9   -45.5     5.1
2007.9144   -40.8     2.0   114.5     1.9   -42.2     5.1
2007.9200   -43.3     2.0   114.6     1.9   -41.8     5.2
2007.9230   -41.6     2.0   112.2     1.9   -35.0     5.2
2007.9254   -40.3     2.1   112.7     2.0   -35.4     5.2
2007.9281   -38.7     2.0   113.2     1.9   -32.2     5.1
2007.9310   -40.5     2.0   113.2     1.9   -37.8     5.1
2007.9340   -42.5     2.0   112.3     1.9   -34.1     5.1
2007.9364   -41.6     2.0   112.0     1.9   -40.0     5.1
2007.9390   -41.0     2.0   112.6     1.9   -40.6     5.1
2007.9420   -38.9     2.1   112.2     2.0   -38.9     5.2
2007.9450   -40.3     2.0   113.6     1.9   -38.0     5.1
2007.9472   -40.5     2.0   113.4     1.9   -43.2     5.1
2007.9500   -41.4     2.0   115.1     1.9   -43.9     5.2
2007.9530   -39.4     2.0   113.4     1.9   -39.6     5.1
