% site name: KSNB
% Time      North     err   East      err    Up       err
% year      mm        mm    mm        mm     mm       mm
2007.6380  -106.2     2.4    82.2     2.4   -76.6     4.0
2007.6410  -106.3     1.9    82.4     2.4   -71.4     3.9
2007.6434  -106.9     1.8    82.3     2.4   -74.1     3.9
2007.6461  -106.7     1.8    82.0     2.4   -69.7     3.9
2007.6490  -105.6     1.8    81.5     2.5   -73.3     4.0
2007.6520  -105.6     1.9    82.7     2.5   -74.3     4.2
2007.6600  -104.6     1.9    81.5     2.5   -81.0     4.1
2007.6630  -105.9     2.0    81.0     2.5   -70.6     4.0
2007.6680  -105.1     1.9    82.3     2.5   -71.3     4.2
2007.6710  -106.3     1.9    81.9     2.8   -69.4     4.5
2007.6734  -106.8     1.9    82.2     2.4   -63.6     4.0
2007.6762  -105.8     1.8    81.4     2.4   -65.6     4.0
2007.6790  -106.0     1.9    80.5     2.5   -64.9     4.1
2007.6820  -105.4     2.0    80.8     2.7   -68.6     4.4
2007.6844  -103.9     1.9    81.4     2.4   -67.5     4.0
2007.6872  -104.4     1.9    80.2     2.5   -63.9     4.0
2007.6900  -104.5     1.9    81.2     2.5   -67.5     4.0
2007.6930  -105.4     2.0    81.5     2.4   -69.1     4.0
2007.6954  -104.9     1.8    81.3     2.5   -63.5     4.0
2007.6981  -103.6     1.9    81.3     2.4   -68.0     4.0
2007.7010  -103.7     1.9    82.0     2.4   -64.4     4.0
2007.7040  -103.2     1.9    81.7     2.5   -65.8     4.1
2007.7064  -103.4     1.9    81.1     2.5   -64.3     4.0
2007.7091  -102.7     1.9    81.3     2.4   -64.0     4.0
2007.7120  -104.1     1.9    80.8     2.4   -64.6     3.9
2007.7150  -103.5     1.9    81.8     2.4   -59.3     3.9
2007.7172  -104.0     1.9    82.4     2.4   -63.4     3.8
2007.7200  -102.3     1.8    81.9     2.4   -61.7     4.0
2007.7230  -101.9     1.8    81.2     2.4   -64.4     3.9
2007.7260  -101.1     1.8    82.3     2.5   -65.2     4.1
2007.7282  -101.6     1.8    81.9     2.5   -68.9     4.0
2007.7310  -101.3     1.8    83.1     2.4   -65.7     4.0
2007.7340  -102.5     1.8    82.8     2.4   -66.3     3.9
2007.7364  -102.7     1.9    83.1     2.4   -66.9     3.9
2007.7392  -101.5     1.9    82.8     2.4   -67.0     4.0
2007.7420  -102.3     1.8    82.5     2.4   -64.6     3.9
2007.7450  -101.9     1.8    81.9     2.7   -67.0     4.4
2007.7474  -102.3     1.8    83.6     2.4   -64.3     4.0
2007.7501  -103.5     1.8    83.5     2.5   -65.0     4.0
2007.7530  -103.4     1.8    82.4     2.4   -60.9     3.9
2007.7560  -101.9     1.9    83.6     2.5   -65.2     4.1
2007.7584  -100.3     1.8    83.7     2.4   -68.4     3.9
2007.7611   -99.6     1.9    83.4     2.5   -65.0     4.0
2007.7640  -100.3     1.8    82.7     2.4   -69.4     4.0
2007.7670   -99.3     1.9    82.4     2.4   -70.3     3.9
2007.7692   -99.4     1.8    80.8     2.5   -68.0     4.2
2007.7720   -99.9     1.9    82.2     2.5   -69.7     4.1
2007.7750   -99.3     1.9    80.8     2.4   -68.5     4.0
2007.7780   -99.7     1.8    81.1     2.4   -68.8     3.8
2007.7802  -101.6     1.9    82.9     2.4   -63.6     3.8
2007.7830  -100.7     1.9    81.8     2.4   -64.3     3.9
2007.7860  -101.6     1.9    82.5     2.4   -62.8     3.9
2007.7884  -101.8     1.8    81.2     2.4   -59.6     3.9
2007.7912   -99.6     1.8    82.0     2.4   -64.7     3.8
2007.7940  -100.0     1.8    81.1     2.4   -61.9     3.9
2007.7970  -100.3     1.8    82.8     2.5   -66.9     4.2
2007.7994   -99.2     1.8    83.5     2.7   -62.0     4.2
2007.8022   -98.0     1.8    84.6     2.5   -67.0     4.0
2007.8050   -98.6     1.8    84.2     2.4   -68.6     3.8
2007.8080  -102.2     1.9    83.5     2.4   -64.4     3.9
2007.8104  -100.3     1.9    84.0     2.5   -58.4     4.0
2007.8131   -99.8     1.9    82.5     2.4   -61.0     3.9
2007.8160   -98.3     1.8    83.9     2.5   -60.9     4.1
2007.8190   -98.7     1.8    83.5     2.7   -64.2     4.3
2007.8214   -99.4     1.9    83.3     2.5   -61.7     4.1
2007.8240   -98.6     1.8    81.4     2.4   -61.8     3.9
2007.8270   -98.5     1.9    82.7     2.5   -62.2     4.1
2007.8300   -98.4     2.0    81.8     2.5   -61.4     4.0
2007.8322   -99.1     1.9    80.7     2.4   -63.6     3.9
2007.8350   -98.4     1.8    82.2     2.4   -66.4     3.9
2007.8380   -99.3     1.9    80.9     2.4   -65.6     3.8
2007.8410   -98.6     1.9    81.5     2.4   -65.0     3.9
2007.8432   -99.6     1.8    78.2     2.4   -67.0     3.9
2007.8460   -96.5     1.8    79.9     2.4   -66.9     3.8
2007.8490   -97.3     1.8    79.0     2.4   -65.9     3.8
2007.8514   -98.1     1.8    79.4     2.4   -68.9     3.9
2007.8542   -98.0     1.8    80.1     2.4   -62.5     3.9
2007.8600   -97.3     1.8    79.4     2.4   -64.6     3.8
2007.8624   -98.1     1.8    80.3     2.4   -65.1     3.9
2007.8651   -97.6     1.8    80.3     2.4   -63.4     3.8
2007.8680   -98.9     1.8    80.2     2.4   -64.7     3.9
2007.8710   -98.4     1.8    80.2     2.4   -64.3     4.0
2007.8760   -98.0     1.8    81.1     2.4   -66.1     3.8
2007.8790   -97.7     1.8    81.5     2.4   -65.9     3.8
2007.8820   -97.7     1.8    80.1     2.4   -63.4     4.0
2007.8842   -99.6     1.8    79.9     2.4   -67.0     3.9
2007.8870   -97.9     1.8    77.3     2.7   -64.6     4.4
2007.8900   -96.6     1.8    78.9     2.5   -68.2     4.0
2007.8930   -97.8     1.9    79.3     2.5   -61.0     4.2
2007.8952   -98.8     1.8    78.8     2.5   -61.0     4.0
2007.8980   -98.8     1.9    80.1     2.5   -62.9     4.0
2007.9010   -99.1     1.9    81.2     2.4   -63.5     4.0
2007.9034   -99.1     1.9    81.6     2.4   -64.5     4.0
2007.9062   -98.9     1.9    80.0     2.4   -64.2     3.8
2007.9090   -97.6     1.9    81.1     2.4   -63.7     3.9
2007.9120   -98.8     1.9    80.3     2.4   -61.8     3.9
2007.9144   -97.4     1.8    79.6     2.4   -62.3     3.9
2007.9200   -97.2     1.8    78.7     2.4   -67.8     3.8
2007.9230   -99.1     1.8    78.0     2.4   -66.6     3.8
