% site name: KULL
% Time      North     err   East      err    Up       err
% year      mm        mm    mm        mm     mm       mm
2007.6214   -46.9     2.3   110.9     2.2   -53.8     4.6
2007.6242   -48.3     2.3   111.0     2.2   -63.2     4.5
2007.6270   -48.3     2.3   110.7     2.2   -50.8     4.5
2007.6300   -47.1     2.2   110.4     2.2   -56.9     4.3
2007.6324   -47.9     2.3   109.6     2.2   -52.0     4.4
2007.6351   -48.2     2.2   112.1     2.0   -59.4     4.2
2007.6380   -48.3     2.2   111.0     2.0   -57.5     4.3
2007.6410   -48.4     2.2   110.8     2.0   -56.4     4.3
2007.6434   -47.5     2.2   111.5     2.0   -56.4     4.2
2007.6461   -47.8     2.3   111.2     2.2   -51.9     4.4
2007.6490   -47.4     2.2   111.6     2.0   -54.2     4.3
2007.6520   -48.1     2.3   112.8     2.2   -53.9     4.4
2007.6542   -48.4     2.3   111.6     2.2   -60.7     4.6
2007.6571   -47.7     2.3   112.4     2.1   -58.2     4.3
2007.6600   -46.6     2.3   111.7     2.1   -55.1     4.4
2007.6630   -48.7     2.2   109.6     2.0   -53.7     4.3
2007.6652   -49.5     2.2   110.2     2.0   -57.1     4.3
2007.6680   -46.9     2.2   111.1     2.0   -53.7     4.3
2007.6710   -48.2     2.3   111.9     2.1   -52.2     4.4
2007.6734   -47.7     2.3   111.8     2.1   -51.5     4.4
2007.6762   -45.7     2.2   110.8     2.0   -46.6     4.3
2007.6790   -49.0     2.2   110.2     2.0   -49.3     4.4
2007.6820   -48.0     2.3   111.9     2.1   -51.5     4.4
2007.6844   -47.4     2.3   110.1     2.1   -55.3     4.4
2007.6872   -48.2     2.3   109.3     2.2   -52.3     4.4
2007.6900   -48.0     2.3   110.0     2.1   -53.4     4.4
2007.6930   -47.2     2.2   109.9     2.0   -49.6     4.3
2007.6954   -48.0     2.2   110.7     2.0   -45.9     4.4
2007.6981   -50.6     2.3   110.8     2.1   -65.5     4.3
2007.7010   -46.0     2.2   111.7     2.0   -50.9     4.3
2007.7040   -46.5     2.2   109.5     2.0   -51.6     4.2
2007.7064   -46.4     2.3   109.7     2.2   -48.4     4.4
2007.7091   -46.6     2.2   110.4     2.0   -47.3     4.3
2007.7120   -48.7     2.2   109.1     2.0   -50.5     4.3
