% site name: KULU
% Time      North     err   East      err    Up       err
% year      mm        mm    mm        mm     mm       mm
2002.0034  -120.3     2.2   124.1     3.4   -55.2     5.4
2002.0061  -118.8     2.3   122.7     3.3   -46.3     5.3
2002.0090  -120.7     2.1   122.6     2.8   -57.0     4.4
2002.0144  -121.3     2.2   122.3     2.9   -57.1     4.7
2002.0170  -123.0     2.2   123.5     2.9   -54.3     4.7
2002.0200  -125.2     2.1   124.3     3.3   -61.5     5.0
2002.0230  -124.4     2.3   125.7     3.1   -59.7     4.9
2002.0252  -125.7     2.2   124.2     2.7   -60.1     4.3
2002.0340  -122.2     2.2   124.3     4.0   -54.6     6.1
2002.0362  -120.9     2.4   124.7     4.1   -65.6     4.9
2002.0390  -121.8     2.1   124.7     3.9   -60.4     5.3
2002.0420  -119.9     2.3   123.6     3.1   -58.6     5.5
2002.0444  -121.9     2.3   124.7     3.2   -56.5     4.8
2002.0472  -123.8     2.2   124.4     3.5   -65.5     4.9
2002.0500  -120.5     2.2   125.5     3.0   -55.2     4.6
2002.0554  -122.9     2.1   125.0     2.9   -59.6     5.2
2002.0582  -122.4     2.3   123.2     3.1   -52.7     5.3
2002.0610  -120.5     2.3   122.5     3.3   -57.9     4.8
2002.0640  -119.8     2.3   121.2     3.3   -57.4     5.5
2002.0664  -122.2     2.2   121.6     3.0   -55.5     4.8
2002.0690  -117.8     2.4   122.9     3.4   -58.1     5.6
2002.0720  -121.7     2.2   122.9     3.0   -53.1     5.2
2002.0750  -120.4     2.4   122.0     3.6   -54.5     5.4
2002.0773  -121.5     2.2   121.9     3.3   -50.1     5.3
2002.0800  -119.6     2.3   120.1     3.5   -53.9     5.1
2002.0830  -120.3     2.3   119.8     3.3   -62.7     4.7
2002.0860  -119.2     2.2   120.8     3.2   -65.3     5.0
2002.0882  -119.0     2.1   121.7     3.0   -57.7     5.5
2002.0910  -121.6     2.3   122.8     3.1   -57.9     6.8
2002.0940  -123.8     2.4   121.6     3.6   -56.4     4.5
2002.0970  -123.8     2.8   124.5     4.1   -55.6     5.3
2002.0992  -126.4     2.1   123.4     2.7   -59.1     6.5
2002.1074  -123.7     2.3   123.7     3.3   -47.7     5.4
2002.1102  -124.2     2.2   123.2     4.3   -54.4     5.1
2002.1130  -122.4     2.3   122.1     3.8   -55.6     4.8
2002.1160  -122.1     2.2   123.3     3.3   -51.4     5.9
2002.1184  -123.8     2.2   123.2     3.6   -49.8     4.8
2002.1210  -125.0     2.4   120.9     3.2   -53.7     5.1
2002.1240  -122.2     2.2   122.1     3.0   -43.0     4.7
2002.1270  -124.2     2.2   123.5     3.8   -49.1     4.8
2002.1293  -124.5     2.1   122.5     3.0   -55.0     4.6
2002.1320  -121.4     2.2   123.5     3.3   -55.0     5.6
2002.1350  -122.4     2.1   122.3     2.9   -52.3     5.4
2002.1380  -122.2     2.4   122.1     3.0   -53.2     4.9
2002.1402  -124.8     2.4   120.2     2.9   -49.4     4.9
2002.1430  -125.6     2.1   122.2     3.6   -52.8     4.8
2002.1460  -122.3     2.1   122.2     3.4   -57.4     5.0
2002.1490  -122.7     2.2   120.9     3.1   -53.7     4.9
2002.1512  -120.2     2.3   121.0     3.2   -60.7     5.2
2002.1540  -118.1     2.2   122.4     3.4   -63.2     5.1
2002.1570  -119.4     2.2   123.7     3.2   -62.0     5.7
2002.1594  -121.0     2.2   120.5     3.1   -56.1     5.1
2002.1622  -121.4     2.4   121.9     3.2   -58.9     5.8
2002.1650  -120.4     2.3   118.5     3.2   -50.7     4.8
2002.1680  -122.2     2.5   119.9     3.8   -47.5     4.8
2002.1704  -124.9     2.2   119.6     3.3   -55.2     6.1
2002.1732  -119.5     2.1   120.4     3.5   -58.2     4.7
2002.1760  -122.7     2.4   122.7     3.0   -58.6     5.8
2002.1790  -121.7     2.1   120.7     3.1   -51.9     5.4
2002.1813  -122.3     2.4   118.9     3.7   -54.8     4.7
2002.1840  -122.6     2.4   118.6     3.0   -57.8     4.5
2002.1870  -118.9     2.1   119.0     3.7   -54.3     4.5
2002.1900  -117.3     2.1   118.5     3.4   -52.3     4.5
2002.1923  -120.7     2.0   119.9     3.0   -56.3     4.9
2002.1950  -122.5     2.0   121.7     2.9   -56.0     4.9
2002.1980  -120.0     2.2   121.0     3.0   -56.5     4.3
2002.2010  -119.3     2.1   119.1     2.9   -56.8     4.4
2002.2032  -120.0     2.1   119.0     3.1   -58.0     4.4
2002.2060  -118.3     2.1   116.3     3.2   -60.7     4.3
2002.2090  -120.2     2.1   116.5     2.8   -53.3     4.3
2002.2120  -119.4     2.0   116.4     2.8   -59.6     5.2
2002.2142  -120.9     2.0   117.2     2.8   -60.0     5.2
2002.2170  -120.8     2.3   118.2     2.7   -56.8     4.4
2002.2200  -120.3     2.3   119.4     2.8   -70.5     4.5
2002.2224  -122.0     2.0   120.9     3.3   -62.0     4.8
2002.2280  -118.5     2.2   122.7     3.1   -63.1     8.2
2002.2310  -121.4     2.2   118.7     2.9   -59.3     4.7
2002.2333  -120.9     2.9   118.8     2.9   -64.9     4.7
2002.2360  -117.1     2.1   118.6     3.0   -62.4     4.4
2002.2390  -119.4     2.1   118.3     3.0   -61.8     4.6
2002.2420  -116.7     2.1   118.3     4.7   -67.1     4.4
2002.2443  -122.7     2.2   116.6     2.9   -57.1     5.3
2002.2470  -120.7     2.0   117.6     2.9   -56.9     5.1
2002.2500  -120.0     2.3   115.9     2.8   -55.7     4.7
2002.2530  -118.7     2.3   117.0     2.8   -62.2     5.1
2002.2552  -121.6     2.1   116.8     2.7   -59.0     4.9
2002.2580  -118.6     2.2   115.4     3.2   -55.1     4.5
2002.2610  -119.0     2.2   118.1     3.3   -58.5     4.6
2002.2640  -117.0     2.1   119.6     3.0   -57.4     4.4
2002.2662  -118.6     2.1   116.6     3.1   -55.4     4.3
2002.2690  -117.4     2.0   117.9     3.0   -59.2     4.5
2002.2720  -120.2     2.1   116.1     2.7   -60.5     4.4
2002.2744  -118.6     2.2   117.2     2.7   -56.9     4.4
2002.2772  -118.7     2.1   116.8     2.7   -55.6     4.2
2002.2800  -115.7     2.0   117.7     2.7   -68.8     4.4
2002.2830  -118.5     2.0   115.2     2.8   -57.0     4.7
2002.2854  -119.1     2.2   116.9     2.8   -55.2     4.5
2002.2882  -118.0     2.1   117.2     2.7   -53.6     4.8
2002.2910  -119.6     2.2   117.0     2.7   -57.1     5.1
2002.2940  -119.1     2.3   118.5     2.7   -59.8     5.7
2002.2963  -117.4     2.4   117.0     2.9   -65.0     8.1
2002.2990  -117.7     2.6   117.9     2.7   -56.0     6.9
2002.3020  -115.9     3.5   114.7     2.9   -65.6     7.0
2002.3050  -117.6     2.7   117.1     2.9   -57.9     4.5
2002.3073  -118.3     3.0   116.4     3.1   -60.9     4.8
2002.3100  -116.5     2.1   116.9     3.9   -62.4     4.8
2002.3130  -117.5     2.2   115.7     4.2   -60.7     4.5
2002.3160  -118.1     2.2   115.1     4.0   -62.0     4.3
2002.3182  -118.2     2.0   113.3     2.7   -56.6     4.3
2002.3210  -119.0     2.1   114.7     2.9   -60.3     4.6
2002.3240  -115.9     2.1   114.5     3.0   -61.3     4.6
2002.3270  -118.3     2.0   114.8     2.8   -64.3     4.5
2002.3292  -116.8     2.2   112.7     2.7   -54.0     4.3
2002.3320  -117.2     2.1   113.9     2.7   -53.6     4.3
2002.3350  -118.3     2.1   114.7     2.9   -58.8     4.2
2002.3374  -120.6     2.1   118.6     2.9   -56.9     4.3
2002.3402  -116.8     2.0   116.5     2.9   -60.6     4.3
2002.3430  -116.8     2.1   115.6     2.7   -57.4     4.3
2002.3460  -119.5     2.1   116.6     2.7   -60.4     4.8
2002.3483  -118.6     2.1   113.0     2.7   -66.0     4.6
2002.3510  -115.2     2.2   117.9     2.7   -67.6     4.5
2002.3570  -114.2     2.2   113.9     2.7   -59.4     4.4
2002.3593  -117.3     2.2   113.5     2.7   -59.6     5.2
2002.3620  -117.5     2.1   111.5     3.0   -58.5     4.6
2002.3650  -116.7     2.4   113.2     2.8   -59.1     4.4
2002.3680  -115.7     2.1   113.3     2.8   -55.6     6.4
2002.3702  -115.3     2.2   113.4     2.8   -55.5     4.6
2002.3730  -116.1     2.7   114.8     3.1   -55.8     4.5
2002.3760  -117.7     2.2   113.8     2.9   -56.2     4.3
2002.3790  -118.4     2.1   113.3     2.7   -60.2     4.3
2002.3812  -117.2     2.1   114.0     4.2   -59.7     4.4
2002.3840  -116.2     2.1   113.3     2.8   -59.5     4.3
2002.3870  -117.2     2.2   114.4     2.7   -57.2     4.3
2002.3894  -117.2     2.1   114.4     2.7   -59.5     4.3
2002.3922  -117.0     2.1   115.4     2.7   -67.9     4.7
2002.3950  -117.1     2.1   113.9     2.7   -60.6     4.2
2002.3980  -115.9     2.2   114.9     2.7   -62.7     4.2
2002.4003  -116.9     2.0   114.3     2.7   -60.7     4.2
2002.4031  -116.3     2.0   117.4     2.7   -51.7     4.7
2002.4060  -115.7     2.0   114.8     2.9   -59.9     4.3
2002.4090  -115.9     2.2   113.9     2.6   -57.7     4.3
2002.4113  -116.4     2.1   113.9     2.7   -57.8     4.3
2002.4140  -114.4     2.1   115.4     2.7   -56.3     4.3
2002.4170  -113.7     2.1   115.9     2.9   -56.3     4.3
2002.4200  -113.0     2.1   115.6     2.7   -55.5     4.8
2002.4223  -115.3     2.1   113.0     2.7   -60.0     4.7
2002.4250  -113.0     2.2   112.4     2.7   -54.8     4.4
2002.4280  -112.8     2.2   115.3     2.7   -67.4     4.4
2002.4310  -114.5     2.1   117.0     2.7   -58.8     4.2
2002.4332  -114.5     2.0   112.6     3.0   -55.1     4.3
2002.4360  -114.5     2.0   113.1     2.9   -61.0     4.4
2002.4390  -112.3     2.1   114.6     2.8   -63.7     4.8
2002.4420  -112.9     2.0   114.7     2.7   -54.5     4.5
2002.4442  -114.5     2.2   111.4     2.7   -62.6     4.3
2002.4470  -114.9     2.2   111.8     2.8   -57.2     4.5
2002.4500  -112.3     2.1   111.7     2.7   -55.7     4.6
2002.4523  -114.1     2.2   112.8     3.0   -59.8     4.3
2002.4552  -113.6     2.2   112.5     2.8   -55.4     4.2
2002.4580  -114.3     2.1   112.5     2.8   -60.1     4.1
2002.4610  -115.0     2.0   112.8     2.8   -57.8     4.2
2002.4633  -112.1     2.0   112.5     2.8   -59.2     4.2
2002.4660  -114.3     2.0   112.8     2.8   -59.2     4.3
2002.4690  -114.8     2.0   112.3     2.7   -51.4     4.3
2002.4720  -115.1     2.1   113.2     2.5   -56.6     4.4
2002.4743  -115.6     2.0   111.1     2.7   -49.2     4.3
2002.4770  -114.5     2.0   111.8     2.6   -47.4     4.0
2002.4800  -115.1     2.0   112.9     2.8   -55.2     4.1
2002.4830  -112.4     1.9   113.3     2.7   -53.0     4.1
2002.4852  -112.2     1.9   112.7     2.7   -54.3     4.4
2002.4880  -111.9     2.0   110.9     2.7   -53.8     4.2
2002.4910  -113.0     2.0   113.1     2.6   -53.9     4.2
2002.4940  -114.0     2.0   113.0     2.6   -59.7     4.2
2002.4962  -112.4     2.0   113.2     2.5   -61.2     4.6
2002.4990  -114.0     2.0   112.4     2.7   -57.3     4.4
2002.5020  -114.8     2.1   112.5     2.7   -54.8     4.2
2002.5043  -114.1     2.1   111.6     2.6   -53.8     4.2
2002.5072  -114.1     2.0   111.4     2.7   -53.8     4.2
2002.5100  -115.1     2.0   111.7     3.0   -52.9     4.4
2002.5130  -113.5     2.0   111.2     2.8   -56.1     4.9
2002.5153  -114.1     2.0   113.3     2.6   -53.5     4.1
2002.5181  -114.7     2.1   110.9     2.7   -56.4     4.1
2002.5210  -115.4     2.0   109.1     2.7   -57.3     4.8
2002.5240  -116.7     1.9   112.2     2.7   -56.4     4.3
2002.5263  -115.0     2.2   111.0     3.1   -59.4     4.1
2002.5290  -115.0     2.1   111.0     2.5   -59.9     4.4
2002.5320  -114.9     1.9   111.2     2.6   -59.1     4.2
2002.5350  -114.9     2.0   112.2     3.0   -58.3     4.0
2002.5373  -112.9     2.0   112.7     2.7   -54.2     4.2
2002.5400  -116.3     2.0   112.6     2.6   -59.8     4.1
2002.5460  -115.9     2.0   109.9     2.7   -51.8     4.2
2002.5482  -115.3     1.9   110.6     2.6   -53.2     4.4
2002.5510  -114.9    40.1   109.9     2.5   -48.5     4.7
2002.5540  -115.8     2.0   112.1     2.7   -46.6     4.5
2002.5570  -114.9     2.2   111.6     2.6   -50.6     4.4
2002.5592  -114.4     2.1   109.9   114.7   -52.3     4.3
2002.5620  -116.1     2.0   111.0     2.7   -55.5     4.4
2002.5650  -116.1     2.0   110.6     2.7   -54.6     4.3
2002.5673  -115.1     2.0   110.8     2.9   -52.3     4.3
2002.5701  -114.3     2.0   111.8     2.9   -59.0     4.6
2002.5730  -116.1     2.0   110.4     2.9   -54.9     4.4
2002.5760  -113.6     2.1   109.3     2.7   -54.7     4.1
2002.5783  -112.7     2.1   110.1     2.7   -47.7     4.2
2002.5810  -114.9     2.1   109.7     2.7   -54.2     4.2
2002.5840  -115.5     1.9   111.0     2.8   -55.6     4.5
2002.5870  -114.8     2.0   108.2     2.7   -56.0     5.0
2002.5893  -115.3     2.0   109.2     2.8   -47.6     4.5
2002.5920  -115.4     2.1   108.7     2.6   -54.8     4.4
2002.5950  -115.6     2.3   109.1     2.7   -51.1     4.2
2002.5980  -114.1     2.1   108.9     2.7   -48.2     4.2
2002.6002  -113.1     2.1   107.8     2.9   -50.9     4.3
2002.6030  -115.1     2.0   107.4     3.3   -52.7     4.3
2002.6060  -116.5     2.0   109.7     2.9   -56.7     4.8
2002.6090  -114.9     2.1   108.7     2.8   -51.0     4.2
2002.6112  -113.2     2.1   110.4     2.7   -43.2     4.6
2002.6140  -114.0     2.2   111.9     2.7   -51.4     4.3
2002.6170  -115.7     2.0   108.6     2.7   -52.4     4.4
2002.6193  -112.7     2.0   109.6     2.7   -52.9     4.6
2002.6221  -114.7     2.0   110.8     2.9   -54.7     4.4
2002.6250  -113.2     2.0   110.4     2.7   -48.8     4.4
2002.6280  -112.6     2.1   110.1     2.9   -46.7     4.2
2002.6303  -113.4     2.1   109.1     2.8   -43.8     4.6
2002.6331  -112.3     2.0   110.9     2.7   -57.1     4.8
2002.6360  -114.0     2.0   108.8     2.9   -47.9     4.9
2002.6413  -113.6     2.1   108.7     2.9   -47.9     4.3
2002.6440  -112.9     2.2   109.4     2.7   -53.7     4.2
2002.6470  -112.6     2.2   109.5     2.7   -45.4     4.3
2002.6500  -112.9     2.1   113.1     2.9   -53.4     4.3
2002.6523  -114.7     2.0   109.3     2.9   -50.1     5.1
2002.6550  -113.2     2.1   111.4     3.0   -52.0     4.4
2002.6580  -116.6     2.1   108.7     2.7   -48.9     4.4
2002.6610  -116.3     2.2   109.6     2.7   -52.7     4.1
2002.6632  -116.1     2.1   109.3     2.8   -43.5     4.4
2002.6660  -115.2     2.1   111.4     2.7   -49.2     4.5
