% site name: LBIB
% Time      North     err   East      err    Up       err
% year      mm        mm    mm        mm     mm       mm
2009.6201   -90.2     1.7    57.4     2.6    -9.2     7.4
2009.6230   -88.1     1.4    57.3     2.0   -14.9     4.7
2009.6260   -87.9     1.4    56.8     2.0   -15.8     4.6
2009.6282   -87.7     1.4    56.4     2.0   -11.4     4.6
2009.6311   -87.9     1.3    58.0     2.0   -12.9     4.5
2009.6340   -89.3     1.4    57.4     2.0   -15.8     4.6
2009.6370   -86.4     1.4    56.9     2.0   -13.4     4.8
2009.6392   -86.3     1.4    58.3     2.0   -14.3     4.7
2009.6420   -86.6     1.4    57.1     2.0   -13.3     4.7
2009.6450   -86.5     1.4    57.3     2.0   -14.4     4.7
2009.6474   -85.3     1.4    58.1     2.0   -15.4     4.6
2009.6502   -86.1     1.4    57.3     2.0   -12.0     4.8
2009.6530   -86.6     1.4    56.5     2.0   -12.6     4.7
2009.6560   -85.5     1.4    56.2     2.0   -14.5     4.9
2009.6584   -87.0     1.4    55.2     2.0   -14.8     4.6
2009.6611   -87.7     1.4    55.8     2.0   -12.7     4.6
2009.6640   -87.1     1.4    55.4     2.0    -9.4     4.7
2009.6670   -87.4     1.4    57.1     2.0   -10.0     4.7
2009.6694   -87.0     1.4    57.8     2.0    -9.6     4.6
2009.6721   -86.7     1.4    57.2     2.0   -11.5     4.7
2009.6750   -86.1     1.4    57.5     2.0   -15.4     4.7
2009.6780   -85.9     1.4    57.6     2.0   -10.9     4.8
2009.6802   -86.1     1.4    58.9     2.0   -12.0     4.7
2009.6831   -86.0     1.4    58.3     2.0   -10.9     4.7
2009.6860   -86.8     1.4    58.4     2.0   -14.5     4.6
2009.6890   -87.2     1.4    58.0     2.0   -11.6     4.6
2009.6912   -87.7     1.4    58.2     2.0   -10.7     4.6
2009.6940   -86.7     1.4    57.3     2.0   -11.9     4.7
2009.6970   -86.6     1.4    57.9     2.0    -9.6     4.8
2009.6994   -86.3     1.4    58.6     2.0   -16.8     4.7
2009.7022   -85.5     1.4    57.2     2.0   -13.3     4.8
2009.7050   -85.0     1.4    57.8     2.0   -15.3     4.7
2009.7080   -85.9     1.4    58.2     2.0   -19.0     4.7
2009.7104   -85.9     1.4    57.9     2.0   -17.6     4.7
2009.7132   -86.4     1.4    57.5     2.0   -11.5     4.7
2009.7160   -86.2     1.4    57.9     2.0   -13.0     4.7
2009.7214   -86.4     1.3    59.0     2.0   -13.1     4.5
2009.7241   -85.8     1.4    57.9     2.0   -14.9     4.7
2009.7270   -85.6     1.4    58.2     2.0   -11.0     4.8
2009.7300   -87.2     1.4    57.4     2.0   -13.2     4.6
2009.7324   -86.6     1.4    57.9     2.0   -11.3     4.6
2009.7351   -84.7     1.4    57.0     2.0   -12.6     4.6
2009.7380   -84.6     1.4    58.2     2.0   -13.5     4.6
2009.7410   -83.1     1.5    57.4     2.0   -17.6     5.1
2009.7432   -84.2     1.4    57.7     2.0   -17.8     4.9
2009.7460   -85.0     1.4    56.9     2.0   -16.5     4.7
2009.7490   -84.6     1.4    55.9     2.0   -18.7     4.6
2009.7520   -84.1     1.4    57.1     2.0   -16.4     4.6
2009.7542   -83.2     1.4    57.6     2.0   -17.1     4.6
2009.7570   -84.1     1.4    55.8     2.0   -15.5     4.6
2009.7600   -83.7     1.4    55.7     2.0   -11.9     4.6
2009.7624   -84.7     1.4    57.4     2.0   -14.3     4.6
2009.7652   -83.6     1.4    57.4     2.0   -16.5     4.6
2009.7680   -82.7     1.4    57.7     2.0   -20.3     4.6
2009.7710   -82.8     1.4    56.4     2.0   -17.9     4.8
2009.7734   -83.6     1.4    55.6     2.0   -22.1     4.7
2009.7761   -82.2     1.4    56.9     2.0   -18.4     4.7
2009.7790   -83.1     1.4    57.2     2.0   -21.0     4.7
2009.7820   -83.0     1.4    58.4     2.0   -19.3     4.6
2009.7844   -83.7     1.4    57.6     2.0   -16.7     4.6
2009.7871   -82.3     1.4    58.9     2.0   -17.6     4.6
2009.7900   -83.5     1.4    57.8     2.0   -16.3     4.8
2009.7930   -84.5     1.4    56.8     2.0   -15.1     4.7
2009.7952   -83.7     1.4    57.4     2.0   -15.3     4.7
2009.7980   -83.9     1.4    56.4     2.0   -16.2     4.8
2009.8010   -82.6     1.4    56.7     2.0   -16.7     4.8
2009.8040   -83.4     1.4    57.6     2.0   -19.3     4.7
2009.8062   -82.7     1.4    57.5     2.0   -17.7     4.7
2009.8090   -82.7     1.4    56.9     2.0   -23.2     5.3
2009.8120   -82.0     1.4    57.9     2.0   -19.8     4.8
2009.8144   -82.5     1.4    58.2     2.0   -19.0     4.8
2009.8172   -82.5     1.5    57.5     2.1   -16.2     5.2
2009.8200   -83.0     1.4    57.8     2.0   -18.1     4.9
2009.8230   -83.3     1.4    57.3     2.0   -15.1     4.8
2009.8254   -81.6     1.4    56.5     2.0   -16.8     4.9
2009.8282   -81.9     1.3    56.3     2.0   -20.0     4.8
2009.8310   -82.5     1.4    57.2     2.0   -15.9     4.9
2009.8340   -82.8     1.4    57.7     2.0   -18.3     4.7
2009.8364   -83.2     1.4    56.3     2.0   -18.5     4.7
2009.8391   -82.6     1.4    55.5     2.0   -10.5     4.8
2009.8420   -82.3     1.4    55.4     2.0   -13.1     4.8
2009.8450   -82.7     1.4    55.2     2.0   -16.9     4.7
2009.8474   -82.5     1.4    56.0     2.0   -20.1     4.8
2009.8500   -83.1     1.4    55.9     2.0   -13.8     4.7
2009.8530   -81.7     1.4    56.3     2.0   -15.7     4.8
2009.8560   -82.0     1.3    55.9     2.0   -16.4     4.9
2009.8582   -82.7     1.4    56.6     2.0   -10.3     4.9
2009.8610   -81.4     1.4    56.3     2.0   -11.8     4.8
2009.8640   -81.5     1.4    55.4     2.0   -11.6     4.7
2009.8670   -79.5     1.4    56.2     2.0   -12.2     4.9
2009.8692   -81.8     1.4    56.5     2.0   -13.1     4.8
2009.8720   -81.7     1.4    56.2     2.0   -14.3     5.0
2009.8750   -81.8     1.4    56.2     2.0   -14.0     4.8
2009.8774   -81.8     1.4    56.5     2.0   -10.9     4.7
2009.8802   -81.9     1.4    55.1     2.0   -12.0     4.8
2009.8830   -81.1     1.3    56.2     2.0   -13.3     4.9
2009.8860   -80.2     1.4    57.1     2.0   -13.6     4.8
2009.8884   -82.0     1.4    56.3     2.0   -16.6     4.7
2009.8911   -82.8     1.4    55.7     2.1   -11.3     5.0
2009.8940   -83.0     1.4    54.4     2.0   -15.2     4.9
2009.8970   -82.5     1.4    55.8     2.0   -16.1     4.6
2009.8994   -80.0     1.5    54.6     2.1   -14.4     5.0
2009.9020   -80.1     1.4    54.7     2.0   -12.1     4.7
2009.9050   -80.1     1.4    54.6     2.0   -11.2     4.8
2009.9080   -80.0     1.4    54.5     2.0    -9.6     4.7
2009.9102   -80.2     1.4    54.9     2.0   -11.0     4.6
2009.9130   -81.0     1.4    54.4     2.0   -14.9     4.6
2009.9160   -80.4     1.4    55.0     2.0   -11.9     4.7
2009.9190   -82.6     1.4    55.5     2.0    -9.5     4.6
2009.9212   -81.3     1.4    54.3     2.0   -10.1     4.6
2009.9240   -80.9     1.4    55.2     2.0   -11.6     4.6
2009.9270   -81.1     1.3    54.4     2.0   -11.9     4.5
2009.9294   -79.7     1.4    55.3     2.0   -13.4     4.6
2009.9322   -79.1     1.4    56.8     2.0   -11.8     4.6
2009.9350   -79.5     1.4    57.3     2.0   -15.5     4.7
2009.9380   -81.7     1.3    55.0     2.0   -14.2     4.5
2009.9404   -81.4     1.4    54.9     2.0   -18.9     4.7
2009.9432   -80.0     1.4    54.9     2.0   -18.8     4.6
2009.9490   -79.8     1.4    55.2     2.0   -16.9     4.7
2009.9541   -80.6     1.4    54.5     2.0   -12.3     4.7
2009.9570   -79.5     1.4    52.7     2.0   -15.6     4.7
2009.9600   -81.1     1.4    52.5     2.0   -12.1     4.7
2009.9624   -80.1     1.4    53.4     2.0   -16.5     4.7
2009.9650   -80.0     1.4    53.9     2.0   -21.6     4.7
2009.9680   -80.4     1.4    52.3     2.0   -18.9     4.8
2009.9710   -79.8     1.4    53.5     2.0   -13.6     4.8
2009.9732   -80.4     1.4    53.7     2.0   -16.4     4.7
2009.9760   -79.4     1.4    53.7     2.0   -14.9     4.7
2009.9790   -78.9     1.4    53.3     2.0   -13.5     4.7
2009.9820   -79.4     1.4    52.9     2.0   -14.3     4.7
2009.9842   -78.9     1.4    54.0     2.0   -15.9     4.8
2009.9870   -78.3     1.4    53.9     2.0   -16.4     4.7
2009.9900   -78.7     1.4    54.2     2.0   -15.4     4.8
2009.9924   -79.1     1.4    52.9     2.0   -14.2     4.7
2009.9952   -79.0     1.4    53.4     2.0   -11.3     4.6
2009.9980   -79.4     1.4    53.2     2.0   -12.7     4.6
2010.0010   -78.9     1.4    51.9     2.0   -15.0     4.7
2010.0034   -79.3     1.4    51.9     2.0   -13.7     4.7
2010.0061   -79.8     1.4    54.3     2.0   -20.3     4.7
2010.0120   -77.7     1.4    53.4     2.0   -19.9     4.7
2010.0144   -77.8     1.4    53.7     2.0    -6.7     4.7
2010.0170   -77.1     1.4    55.2     2.0   -10.5     4.8
2010.0200   -78.2     1.4    54.9     2.0   -11.8     4.6
2010.0230   -78.6     1.4    55.6     2.0    -8.2     4.6
2010.0252   -78.7     1.4    55.3     2.0   -10.0     4.6
2010.0280   -77.1     1.4    58.2     2.0   -10.8     4.6
2010.0310   -77.9     1.4    53.7     2.0   -17.1     5.0
2010.0340   -77.7     1.4    55.0     2.0   -15.5     4.7
2010.0362   -78.1     1.4    53.6     2.0   -10.5     5.0
2010.0390   -77.1     1.4    54.4     2.1   -10.7     5.0
2010.0420   -77.4     1.4    55.0     2.0    -6.4     4.8
2010.0444   -78.3     1.4    55.6     2.0    -4.8     4.7
2010.0472   -77.4     1.4    54.6     2.0    -7.2     4.7
2010.0500   -77.7     1.4    55.6     2.0    -8.1     4.8
2010.0530   -77.9     1.4    57.3     2.0    -8.8     4.8
2010.0554   -77.0     1.4    57.7     2.0   -13.1     5.1
2010.0582   -76.6     1.4    56.0     2.0   -10.0     4.9
2010.0610   -77.7     1.4    54.8     2.0   -17.2     4.8
2010.0640   -77.9     1.4    53.9     2.0   -14.6     4.7
2010.0664   -77.2     1.4    54.5     2.0    -5.5     4.9
2010.0690   -78.5     1.4    53.9     2.0    -9.1     4.8
2010.0720   -79.1     1.4    53.5     2.0   -10.4     4.9
2010.0750   -77.4     1.4    52.7     2.0   -15.8     4.7
2010.0773   -76.9     1.4    52.1     2.0   -15.2     4.7
2010.0800   -77.1     1.4    52.7     2.0   -11.1     4.8
2010.0830   -77.4     1.4    53.4     2.0   -10.5     4.8
2010.0860   -76.0     1.4    54.1     2.0   -11.6     4.8
2010.0882   -76.3     1.3    54.9     2.0   -10.2     4.9
2010.0910   -76.8     1.5    54.8     2.1   -10.9     5.2
2010.0940   -76.2     1.5    53.4     2.1   -13.3     5.1
2010.0970   -76.6     1.4    53.9     2.0   -15.6     4.9
2010.0992   -77.2     1.4    52.7     2.0   -14.6     4.8
2010.1020   -76.8     1.4    52.2     2.0   -19.7     4.8
2010.1050   -77.2     1.4    52.7     2.0   -19.2     4.7
2010.1074   -78.0     1.4    53.7     2.0   -17.8     4.8
2010.1102   -76.1     1.4    54.6     2.0   -16.8     4.8
2010.1130   -77.5     1.4    53.2     2.1   -12.8     5.1
2010.1160   -76.9     1.4    54.7     2.1   -13.7     5.1
2010.1184   -77.2     1.4    54.4     2.0   -18.8     5.0
2010.1210   -77.0     1.3    53.7     2.0   -16.3     4.8
2010.1240   -77.3     1.4    53.1     2.0   -18.2     4.8
2010.1270   -77.9     1.5    51.8     2.1   -15.1     5.3
2010.1293   -77.7     1.4    52.4     2.0   -16.6     4.8
2010.1320   -76.7     1.4    51.0     2.0   -15.1     4.9
2010.1350   -76.9     1.4    49.9     2.0   -14.2     5.0
2010.1380   -76.8     1.3    50.7     2.0   -13.4     4.9
2010.1402   -77.2     1.4    50.5     2.0   -15.7     4.7
2010.1430   -76.0     1.4    51.9     2.0   -15.9     4.8
2010.1460   -77.2     1.4    50.3     2.1   -16.6     5.1
2010.1490   -78.2     1.4    49.9     2.0   -18.2     4.9
2010.1512   -77.0     1.4    50.4     2.0   -16.6     4.9
2010.1540   -76.6     1.4    51.7     2.0   -15.1     4.7
2010.1570   -77.1     1.4    51.1     2.0   -12.8     4.7
2010.1594   -77.0     1.4    51.8     2.0   -11.9     4.7
2010.1622   -76.9     1.4    51.6     2.0   -16.5     4.7
2010.1650   -76.8     1.4    52.0     2.0   -14.9     4.7
2010.1680   -76.8     1.4    52.7     2.0   -15.1     4.8
2010.1704   -76.6     1.4    53.0     2.1   -19.6     5.0
2010.1732   -76.2     1.4    51.5     2.0   -15.8     4.9
2010.1760   -76.5     1.4    52.0     2.0   -11.3     4.8
2010.1790   -75.6     1.4    54.1     2.0   -13.8     4.7
2010.1813   -74.0     1.4    53.5     2.0   -16.2     4.7
2010.1840   -74.5     1.4    53.2     2.0   -16.5     4.8
2010.1870   -74.5     1.4    52.5     2.0   -15.8     4.7
2010.1900   -75.4     1.3    53.1     2.0   -16.0     4.9
2010.1923   -74.2     1.3    52.1     2.0   -17.2     4.9
2010.1950   -75.5     1.5    52.5     2.1   -19.3     5.2
2010.1980   -74.9     1.4    52.5     2.0   -19.7     4.8
2010.2010   -75.8     1.5    52.3     2.1   -20.6     5.2
2010.2032   -75.0     1.4    52.5     2.0   -19.9     4.7
2010.2060   -74.1     1.4    53.6     2.0   -19.0     4.8
2010.2090   -74.2     1.4    53.3     2.0   -19.6     4.8
2010.2120   -73.9     1.4    53.4     2.0   -15.9     4.8
2010.2142   -73.5     1.4    52.2     2.0   -20.0     4.8
2010.2170   -73.8     1.4    51.5     2.0   -17.5     4.8
2010.2200   -75.1     1.4    53.5     2.0   -18.8     4.7
2010.2224   -74.0     1.4    52.4     2.0   -22.1     4.7
2010.2252   -74.4     1.4    51.7     2.0   -21.9     4.7
2010.2280   -73.6     1.4    52.2     2.0   -19.4     4.8
2010.2310   -73.3     1.4    51.7     2.0   -18.0     4.8
2010.2333   -73.8     1.3    50.8     2.0   -21.0     4.8
2010.2360   -74.9     1.4    51.1     2.0   -20.3     4.8
2010.2390   -74.8     1.3    50.7     2.0   -17.8     4.9
2010.2420   -75.2     1.4    51.4     2.0   -21.9     4.8
2010.2443   -74.5     1.5    50.3     2.1   -17.7     5.2
2010.2470   -74.7     1.5    51.0     2.1   -21.4     5.2
2010.2500   -74.4     1.4    51.5     2.1   -15.5     5.1
2010.2530   -74.3     1.4    51.5     2.2   -17.2     5.5
2010.2552   -73.7     1.4    51.4     2.1   -16.6     5.0
2010.2580   -74.0     1.5    50.6     2.1   -18.9     5.2
2010.2610   -73.7     1.5    52.9     2.2   -17.7     5.6
2010.2640   -73.1     1.5    51.2     2.0   -20.2     5.0
2010.2662   -73.7     1.5    52.4     2.1   -18.2     5.2
2010.2690   -73.8     1.4    51.1     2.1   -19.2     5.0
2010.2720   -73.1     1.4    52.2     2.1   -20.5     5.1
2010.2744   -73.1     1.4    51.1     2.0   -16.5     4.9
2010.2772   -72.7     1.4    50.5     2.0   -18.5     5.0
2010.2800   -75.0     1.4    50.7     2.1   -18.7     5.0
2010.2830   -74.8     1.4    49.6     2.0   -16.1     4.8
2010.2854   -73.4     1.5    48.7     2.1   -16.4     4.9
2010.2882   -73.0     1.5    49.8     2.1   -19.9     5.0
2010.2910   -72.7     1.4    48.6     2.0   -16.0     4.8
2010.2940   -72.2     1.4    50.6     2.0   -15.0     4.8
2010.2963   -72.0     1.4    49.8     2.0   -16.0     4.8
2010.2990   -72.5     1.4    49.8     2.0   -17.4     4.8
2010.3020   -72.3     1.4    49.8     2.0   -16.8     4.9
2010.3050   -71.9     1.4    50.1     2.0   -14.8     4.9
2010.3073   -71.4     1.4    50.5     2.1   -17.7     5.1
2010.3100   -71.8     1.5    50.2     2.0   -16.5     5.0
2010.3130   -72.0     1.4    49.7     2.0   -17.5     4.8
2010.3160   -70.5     1.4    50.8     2.0   -17.1     4.7
2010.3182   -68.9     1.4    50.7     2.0   -18.2     4.8
2010.3210   -72.5     1.3    50.1     2.0   -15.6     4.9
2010.3240   -72.3     1.4    50.1     2.0   -14.7     4.9
2010.3270   -71.2     1.3    49.3     2.0   -14.0     4.9
2010.3292   -72.5     1.4    50.1     2.0   -18.7     4.8
2010.3320   -71.3     1.4    48.9     2.0   -17.8     4.9
2010.3350   -70.8     1.5    50.6     2.0   -15.1     5.0
2010.3374   -71.5     1.6    48.8     2.3   -13.7     5.9
2010.3402   -72.5     1.5    49.2     2.1   -20.2     5.5
2010.3430   -71.8     1.4    49.0     2.1   -17.6     5.0
2010.3460   -71.3     1.4    49.0     2.1   -19.2     5.1
2010.3483   -68.7     1.5    48.2     2.1   -20.6     5.3
2010.3510   -70.9     1.4    47.8     2.1   -17.7     5.1
2010.3540   -70.7     1.4    47.3     2.0   -17.4     4.8
2010.3570   -72.4     1.4    47.3     2.0   -16.9     4.8
2010.3593   -72.3     1.5    48.4     2.0   -11.5     5.0
2010.3620   -70.8     1.4    49.5     2.1   -10.7     4.9
2010.3650   -71.6     1.4    48.5     2.0   -15.5     4.8
2010.3680   -71.4     1.3    46.8     2.0   -19.8     4.9
2010.3702   -70.8     1.4    47.6     2.0   -16.9     4.8
2010.3730   -70.9     1.4    47.8     2.0   -14.9     4.8
2010.3760   -71.2     1.4    48.1     2.0   -15.1     4.9
2010.3790   -71.4     1.4    49.9     2.0   -14.7     4.8
2010.3840   -72.4     1.5    48.4     2.1   -19.5     5.2
2010.3870   -71.5     1.4    48.2     2.0   -15.4     4.8
2010.3894   -71.9     1.4    48.0     2.0   -17.5     4.7
2010.3922   -72.2     1.4    47.3     2.0   -19.8     4.7
2010.3950   -71.3     1.4    44.9     2.0   -17.1     4.7
2010.3980   -71.2     1.4    44.2     2.0   -13.7     4.8
2010.4003   -70.0     1.4    46.1     2.0   -15.6     4.9
2010.4031   -70.7     1.4    46.7     2.0   -11.8     4.8
2010.4060   -71.6     1.4    46.5     2.0   -15.0     4.8
2010.4090   -70.2     1.5    49.1     2.1   -14.4     5.1
2010.4113   -70.8     1.5    49.1     2.1   -15.7     5.3
2010.4140   -70.6     1.5    48.0     2.0   -16.4     5.0
2010.4170   -70.1     1.5    47.5     2.2   -12.4     5.2
2010.4200   -69.8     1.5    49.0     2.1   -14.3     5.0
2010.4223   -69.4     1.4    47.3     2.1   -13.6     5.1
2010.4250   -68.5     1.5    48.0     2.2   -14.4     5.4
2010.4280   -69.2     1.4    46.1     2.0   -15.0     4.8
2010.4310   -68.4     1.4    46.8     2.0   -11.7     4.8
2010.4332   -69.4     1.5    47.4     2.1   -12.7     5.0
2010.4360   -68.1     1.4    47.4     2.0   -13.4     4.8
2010.4390   -69.8     1.4    47.4     2.0   -13.8     4.8
2010.4420   -68.7     1.4    47.3     2.0   -11.6     4.8
2010.4442   -69.6     1.4    46.7     2.0   -14.6     4.9
2010.4470   -69.8     1.4    47.3     2.0   -12.8     4.8
2010.4500   -70.5     1.4    46.7     2.0   -13.3     4.9
2010.4523   -70.5     1.4    47.1     2.0   -14.9     4.7
2010.4552   -70.4     1.4    47.4     2.1   -16.3     5.0
2010.4580   -70.7     1.5    47.0     2.1   -16.8     5.4
2010.4610   -69.8     1.5    47.1     2.1   -17.2     4.9
2010.4633   -69.8     1.4    46.1     2.0   -16.3     5.0
2010.4660   -68.9     1.4    47.0     2.0   -12.6     4.7
2010.4690   -71.2     1.4    46.4     2.0   -12.8     4.8
2010.4720   -69.9     1.4    47.2     2.0   -17.1     4.7
2010.4743   -69.6     1.4    46.5     2.0   -17.8     4.9
2010.4770   -70.6     1.4    45.8     2.0   -18.0     4.8
2010.4800   -70.2     1.4    46.1     2.0   -19.9     5.0
2010.4830   -69.9     1.4    46.2     2.1   -16.0     5.1
2010.4852   -69.0     1.4    44.0     2.1   -21.4     5.0
2010.4880   -69.8     1.5    45.7     2.1   -19.9     5.4
2010.4910   -69.6     1.5    45.7     2.1   -18.9     5.0
2010.4940   -69.5     1.4    46.2     2.1   -17.2     5.1
2010.4962   -70.8     1.5    45.2     2.3   -18.7     5.6
2010.4990   -69.8     1.5    46.0     2.1   -17.3     5.3
2010.5020   -70.0     1.5    46.3     2.1   -18.8     5.2
2010.5043   -70.6     1.4    46.1     2.1   -16.6     5.1
2010.5072   -69.1     1.4    46.5     2.0   -17.0     4.8
2010.5100   -70.1     1.4    45.9     2.0   -16.9     4.8
2010.5130   -70.5     1.4    47.1     2.0   -15.2     4.7
2010.5153   -70.2     1.4    45.6     2.0   -14.0     4.8
2010.5181   -69.4     1.4    46.6     2.0   -15.1     4.8
2010.5210   -70.6     1.4    46.3     2.0   -15.9     4.8
2010.5240   -71.5     1.4    47.3     2.0   -16.7     4.7
2010.5263   -71.0     1.4    45.6     2.0   -16.7     4.7
2010.5290   -70.6     1.4    46.5     2.0   -15.8     4.7
2010.5320   -69.8     1.4    45.2     2.0   -22.0     4.8
2010.5350   -69.3     1.4    46.3     2.0   -15.8     4.8
2010.5373   -71.6     1.4    45.4     2.1   -15.3     5.1
2010.5400   -70.1     1.4    45.9     2.0   -13.3     4.7
2010.5430   -71.9     1.4    46.4     2.0   -16.0     4.7
2010.5460   -70.8     1.4    45.0     2.0   -14.2     4.7
2010.5482   -70.2     1.4    43.6     2.0   -13.7     4.7
