% site name: LEFN
% Time      North     err   East      err    Up       err
% year      mm        mm    mm        mm     mm       mm
2008.5060   -97.2     1.7    67.0     3.1   -40.7     9.7
2008.5090   -97.7     1.3    66.8     2.0   -34.5     5.5
2008.5113   -98.1     1.4    66.3     2.0   -36.0     5.6
2008.5140   -97.9     1.4    66.0     2.1   -32.9     5.7
2008.5170   -97.7     1.4    66.9     2.1   -27.9     6.1
2008.5200   -95.9     1.3    67.0     2.0   -28.0     5.5
2008.5222   -98.0     1.3    68.9     2.0   -25.7     5.5
2008.5250   -94.3     1.4    68.8     2.1   -38.2     6.0
2008.5280   -96.9     1.4    66.5     2.1   -29.9     5.8
2008.5310   -93.6     1.4    67.6     2.0   -31.6     5.8
2008.5332   -95.8     1.4    67.4     2.1   -23.7     5.8
2008.5390   -97.4     1.4    67.6     2.1   -26.2     5.7
2008.5413   -97.5     1.4    65.9     2.1   -27.1     5.6
2008.5441   -96.3     1.4    67.3     2.1   -28.9     5.8
2008.5470   -97.7     1.3    66.1     2.1   -26.9     5.7
2008.5500   -96.3     1.3    65.4     2.1   -26.5     5.7
2008.5550   -95.6     1.4    68.0     2.1   -29.4     5.6
2008.5580   -95.7     1.4    65.8     2.1   -22.9     5.8
2008.5610   -96.8     1.4    67.0     2.1   -27.4     6.2
2008.5633   -96.6     1.5    67.2     2.3   -24.3     6.8
2008.5660   -96.3     1.4    66.3     2.1   -25.9     6.2
2008.5690   -96.4     1.3    65.5     2.0   -26.7     5.5
2008.5720   -95.7     1.4    66.6     2.1   -26.5     5.8
2008.5742   -97.5     1.4    64.9     2.0   -30.2     5.8
2008.5770   -96.8     1.4    65.2     2.0   -27.9     5.6
2008.5800   -97.1     1.4    66.0     2.0   -31.2     5.7
2008.5830   -97.6     1.4    66.1     2.1   -28.2     5.6
2008.5880   -96.4     1.4    64.4     2.0   -35.1     5.6
2008.5910   -96.9     1.4    63.2     2.1   -26.3     5.7
2008.5933   -95.7     1.4    65.8     2.1   -27.7     6.4
2008.5961   -98.1     1.4    64.2     2.3   -36.7     6.8
2008.5990   -96.3     1.4    65.4     2.1   -29.9     5.8
2008.6020   -97.2     1.4    64.1     2.1   -29.9     6.0
2008.6043   -98.3     1.4    65.7     2.1   -33.6     5.8
2008.6071   -96.7     1.4    65.5     2.1   -33.1     5.9
2008.6100   -95.5     1.4    64.7     2.1   -30.2     5.9
2008.6130   -96.0     1.4    63.8     2.1   -25.0     5.8
2008.6153   -95.3     1.4    64.0     2.1   -24.6     5.8
2008.6180   -94.3     1.4    64.0     2.1   -27.6     5.8
2008.6210   -95.1     1.4    65.0     2.0   -20.8     5.7
2008.6240   -95.6     1.4    64.2     2.0   -24.7     5.7
2008.6263   -95.3     1.4    64.4     2.0   -24.5     5.6
2008.6290   -94.8     1.4    65.4     2.1   -19.7     5.7
2008.6320   -96.2     1.4    66.1     2.1   -24.4     5.8
2008.6350   -95.5     1.3    65.5     2.1   -24.6     5.7
2008.6372   -95.9     1.4    65.6     2.0   -25.4     5.7
2008.6400   -95.2     1.4    64.5     2.0   -22.4     5.7
2008.6430   -93.8     1.4    66.5     2.0   -22.7     5.8
2008.6460   -93.4     1.4    66.4     2.0   -21.8     5.6
2008.6481   -94.8     1.4    65.3     2.1   -19.7     5.7
2008.6510   -95.0     1.3    64.4     2.1   -22.8     5.7
2008.6540   -96.2     1.4    65.2     2.0   -27.2     5.6
2008.6563   -93.9     1.4    63.2     2.1   -20.9     5.7
2008.6591   -95.0     1.3    64.9     2.0   -28.3     5.7
2008.6620   -94.9     1.4    63.9     2.1   -29.4     6.2
2008.6650   -96.0     1.4    63.3     2.0   -28.5     5.6
2008.6673   -94.5     1.3    64.4     2.0   -29.3     5.4
