% site name: LYNS
% Time      North     err   East      err    Up       err
% year      mm        mm    mm        mm     mm       mm
2007.6600   -86.7     3.6    79.3     4.4   -49.0     7.2
2007.6630   -85.9     2.1    81.6     2.5   -39.6     3.7
2007.6652   -87.3     2.1    80.6     2.5   -43.1     3.7
2007.6680   -84.8     2.2    82.0     2.6   -44.0     3.9
2007.6710   -85.6     2.1    81.9     2.7   -39.6     3.9
2007.6734   -84.9     2.0    78.8     2.5   -38.0     3.6
2007.6762   -84.5     2.1    81.6     2.5   -35.8     3.7
2007.6790   -86.8     2.0    81.7     2.5   -30.4     3.8
2007.6820   -85.5     2.1    80.9     2.7   -36.9     3.9
2007.6844   -84.9     2.0    80.5     2.5   -32.4     3.8
2007.6872   -84.9     2.1    79.4     2.5   -38.1     3.7
2007.6900   -83.2     2.0    78.9     2.5   -36.9     3.6
2007.6930   -83.6     2.0    79.9     2.5   -39.1     3.6
2007.6954   -81.9     2.0    80.0     2.5   -43.7     3.6
2007.6981   -83.8     2.0    81.0     2.5   -36.8     3.6
2007.7010   -83.2     2.0    81.0     2.5   -37.3     3.6
2007.7040   -83.7     2.0    79.5     2.5   -35.0     3.6
2007.7064   -84.2     2.0    80.5     2.5   -34.3     3.8
2007.7091   -82.5     2.1    80.3     2.5   -33.9     3.7
2007.7120   -82.9     2.0    79.8     2.5   -37.6     3.6
2007.7150   -81.8     2.0    80.6     2.5   -33.7     3.6
2007.7172   -83.0     1.9    80.3     2.4   -42.4     3.5
2007.7200   -83.1     2.0    80.2     2.5   -33.8     3.6
2007.7230   -82.6     2.0    80.4     2.5   -35.3     3.6
2007.7260   -81.9     2.0    80.2     2.5   -35.1     3.7
2007.7282   -81.5     2.0    80.4     2.5   -37.8     3.6
2007.7310   -82.2     2.0    80.8     2.5   -42.3     3.6
2007.7340   -84.0     2.0    81.4     2.5   -38.7     3.5
2007.7364   -83.8     1.9    80.6     2.4   -39.3     3.5
2007.7392   -83.2     2.1    81.0     2.5   -35.2     3.7
2007.7420   -81.6     2.0    80.7     2.5   -34.8     3.7
2007.7450   -83.4     2.1    80.2     2.7   -40.0     4.0
2007.7474   -82.8     2.0    81.0     2.5   -37.2     3.5
2007.7530   -83.6     2.0    80.6     2.5   -32.0     3.7
2007.7560   -81.9     2.0    80.7     2.5   -46.6     3.6
2007.7584   -80.8     2.0    78.8     2.5   -45.2     3.6
2007.7611   -81.7     2.0    81.1     2.5   -40.5     3.5
2007.7640   -82.1     2.0    80.3     2.5   -40.4     3.5
2007.7670   -81.2     2.0    80.4     2.4   -39.7     3.5
2007.7692   -81.0     1.9    78.4     2.5   -39.8     3.7
2007.7720   -81.3     2.1    79.8     2.6   -45.3     3.8
2007.7750   -81.0     2.1    78.9     2.5   -41.8     3.7
2007.7780   -81.9     2.1    79.7     2.4   -39.4     3.5
2007.7802   -82.0     1.9    81.0     2.5   -41.3     3.6
2007.7830   -82.2     2.0    80.7     2.5   -40.7     3.5
2007.7860   -82.6     2.0    80.8     2.5   -41.4     3.6
2007.7884   -79.8     2.0    78.9     2.5   -38.5     3.5
2007.7912   -81.8     2.0    79.7     2.5   -41.2     3.5
2007.7940   -82.6     2.0    79.1     2.5   -34.2     3.5
2007.7970   -83.2     2.0    79.2     2.6   -36.1     3.8
2007.7994   -83.0     2.1    80.3     2.6   -32.4     3.7
2007.8022   -80.8     2.1    81.1     2.5   -35.3     3.6
2007.8050   -82.1     2.0    82.6     2.4   -36.1     3.5
2007.8080   -82.3     1.9    80.8     2.5   -39.4     3.5
2007.8104   -80.6     2.0    81.4     2.5   -38.3     3.6
2007.8131   -80.1     2.0    80.9     2.5   -37.9     3.5
2007.8160   -80.0     2.0    81.3     2.5   -38.6     3.8
2007.8190   -80.6     2.0    80.7     2.6   -41.7     3.7
2007.8214   -80.7     2.1    81.0     2.5   -41.6     3.6
2007.8240   -77.2     2.0    78.9     2.5   -44.0     3.6
2007.8270   -78.0     2.0    80.2     2.5   -39.8     3.7
2007.8300   -79.0     2.0    80.4     2.5   -36.7     3.7
2007.8322   -80.4     2.1    78.7     2.5   -37.4     3.6
2007.8350   -80.7     2.0    80.1     2.4   -39.4     3.5
2007.8380   -80.4     1.9    79.1     2.4   -40.0     3.5
2007.8410   -81.2     1.9    79.3     2.4   -41.0     3.5
2007.8432   -79.6     1.9    76.8     2.5   -50.3     3.5
2007.8460   -79.1     2.0    78.4     2.3   -40.7     3.5
2007.8490   -81.1     2.0    76.8     2.4   -38.2     3.5
2007.8514   -78.7     1.9    77.5     2.4   -45.6     3.5
2007.8542   -79.8     1.9    78.9     2.4   -37.4     3.6
2007.8600   -79.1     2.0    77.9     2.4   -38.1     3.5
2007.8624   -78.5     1.9    78.3     2.5   -36.9     3.5
2007.8651   -78.3     2.0    78.9     2.4   -36.9     3.5
2007.8680   -80.4     1.9    78.7     2.5   -38.3     3.6
2007.8710   -79.5     2.0    77.7     2.5   -36.3     3.6
2007.8760   -79.8     2.0    78.3     2.5   -39.9     3.5
2007.8790   -78.1     2.0    79.6     2.4   -36.6     3.5
2007.8820   -79.7     1.9    76.4     2.4   -32.2     3.5
2007.8842   -79.5     1.9    75.9     2.5   -31.6     3.5
2007.8870   -79.8     2.0    76.0     2.7   -31.8     3.8
2007.8900   -78.4     2.0    76.9     2.5   -36.7     3.5
2007.8930   -79.2     2.0    77.0     2.6   -35.5     3.8
2007.8952   -79.5     2.1    78.1     2.5   -40.1     3.6
2007.8980   -79.3     2.0    79.4     2.5   -42.0     3.6
2007.9010   -78.8     2.0    78.7     2.4   -37.8     3.6
2007.9034   -79.8     2.0    79.1     2.5   -37.5     3.5
2007.9062   -77.5     2.0    78.3     2.5   -37.1     3.5
2007.9090   -76.4     2.0    75.9     2.5   -34.8     3.5
2007.9120   -77.1     2.0    76.6     2.4   -39.1     3.5
2007.9144   -75.8     1.9    77.0     2.4   -37.0     3.5
2007.9200   -77.1     1.9    77.4     2.4   -40.3     3.5
2007.9230   -79.6     1.9    76.5     2.5   -36.3     3.5
2007.9254   -79.7     2.0    79.4     2.4   -37.0     3.5
2007.9281   -78.5     1.9    80.2     2.5   -38.4     3.6
2007.9310   -79.0     2.0    78.4     2.4   -41.1     3.5
2007.9340   -78.9     1.9    76.4     2.5   -35.9     3.5
2007.9364   -78.8     2.0    76.9     2.4   -40.3     3.5
2007.9390   -78.3     1.9    77.1     2.5   -40.6     3.5
2007.9420   -75.1     2.0    76.1     2.5   -41.0     3.5
2007.9450   -79.1     2.0    79.6     2.5   -38.4     3.7
2007.9472   -77.5     2.0    76.3     2.5   -46.3     3.7
2007.9500   -80.9     2.0    78.3     2.5   -44.1     3.5
2007.9530   -74.7     2.0    78.2     2.5   -46.7     3.5
2007.9560   -79.6     2.0    77.1     2.4   -40.5     3.5
2007.9582   -75.3     1.9    76.9     2.5   -46.4     3.5
2007.9610   -75.4     2.0    77.2     2.5   -46.6     3.7
2007.9640   -77.0     2.1    77.3     2.5   -37.1     3.7
2007.9664   -78.2     2.0    77.2     2.5   -42.8     3.6
2007.9692   -78.6     2.0    77.5     2.5   -42.2     3.6
2007.9720   -76.7     2.0    76.9     2.5   -40.5     3.5
2007.9750   -77.0     2.0    76.6     2.5   -42.3     3.6
2007.9774   -78.3     2.0    75.9     2.4   -39.6     3.5
2007.9801   -77.4     1.9    75.4     2.4   -44.4     3.5
2007.9830   -77.1     1.9    76.5     2.4   -39.5     3.5
2007.9860   -77.2     1.9    76.9     2.4   -38.1     3.5
2007.9884   -76.0     1.9    76.6     2.5   -37.0     3.5
2007.9910   -77.0     2.0    75.2     2.5   -40.0     3.5
2007.9940   -76.8     2.0    74.5     2.5   -41.4     3.5
2007.9970   -76.8     2.0    75.5     2.5   -41.5     3.5
2007.9992   -75.5     2.0    77.1     2.5   -44.9     3.5
2008.0020   -77.0     2.0    76.2     2.5   -40.0     3.5
2008.0050   -76.0     2.0    75.2     2.4   -41.4     3.5
2008.0102   -77.0     1.9    76.6     2.3   -41.8     3.4
2008.0130   -77.0     2.0    77.2     2.6   -45.4     3.8
2008.0160   -76.8     2.1    76.6     2.5   -41.6     3.7
2008.0184   -77.6     2.0    76.3     2.5   -40.7     3.7
2008.0212   -74.7     2.1    75.9     2.5   -44.6     3.7
2008.0240   -75.3     2.0    76.1     2.5   -47.2     3.5
2008.0270   -75.7     2.0    75.9     2.4   -41.1     3.5
2008.0294   -75.2     1.9    75.4     2.4   -41.0     3.5
2008.0322   -75.1     1.9    74.4     2.4   -39.0     3.5
2008.0350   -75.8     1.9    73.7     2.5   -39.3     3.7
2008.0380   -75.9     2.1    74.7     2.5   -36.6     3.7
2008.0404   -76.6     2.0    74.8     2.5   -39.2     3.6
2008.0430   -74.0     2.0    73.8     2.5   -37.9     3.6
2008.0460   -76.7     2.0    74.2     2.5   -39.2     3.8
2008.0490   -75.3     2.0    74.0     2.5   -43.3     3.7
2008.0513   -76.2     2.0    73.8     2.5   -38.8     3.6
2008.0540   -76.7     2.0    73.6     2.4   -40.4     3.5
2008.0570   -77.2     1.9    75.8     2.4   -39.6     3.5
2008.0600   -78.1     1.9    75.0     2.3   -41.3     3.5
2008.0622   -77.9     2.0    74.8     2.4   -41.0     3.5
2008.0650   -74.7     1.9    75.4     2.4   -36.4     3.5
2008.0680   -76.7     1.9    75.5     2.5   -40.4     3.6
2008.0710   -75.1     2.0    74.2     2.4   -43.0     3.5
2008.0732   -73.7     1.9    75.2     2.4   -41.6     3.5
2008.0760   -69.7     1.9    75.5     2.5   -58.5     3.5
2008.0790   -74.8     2.0    74.8     2.5   -44.1     3.7
2008.0842   -75.7     2.1    72.8     2.5   -45.4     3.7
2008.0870   -76.0     2.1    73.6     2.7   -39.3     3.9
2008.0900   -75.7     2.1    73.4     2.5   -36.7     3.8
2008.0924   -76.0     2.1    73.0     2.5   -37.0     3.7
2008.0950   -75.1     2.0    72.6     2.5   -41.7     3.5
2008.0980   -74.5     2.0    73.1     2.5   -41.1     3.6
2008.1010   -72.7     2.0    74.6     2.5   -44.4     3.6
2008.1033   -73.6     2.0    74.7     2.5   -43.2     3.6
2008.1060   -72.9     2.0    74.3     2.5   -43.2     3.5
2008.1090   -71.7     2.0    73.7     2.4   -46.6     3.5
2008.1120   -72.1     2.0    72.6     2.5   -40.7     3.6
2008.1142   -70.0     1.9    73.2     2.5   -46.4     3.7
2008.1170   -71.8     2.0    71.0     2.5   -42.9     3.5
2008.1200   -70.5     2.0    72.7     2.5   -48.0     3.5
2008.1230   -73.2     2.0    73.7     2.5   -42.0     3.7
2008.1252   -72.5     2.0    72.5     2.5   -40.4     3.6
2008.1280   -72.2     2.1    72.3     2.4   -36.6     3.5
2008.1310   -72.5     2.0    72.1     2.4   -34.5     3.5
2008.1334   -72.1     1.9    73.7     2.5   -33.9     3.6
2008.1362   -70.6     1.9    72.9     2.5   -44.4     3.6
2008.1390   -72.1     2.0    72.8     2.5   -36.5     3.6
2008.1420   -71.1     2.0    72.7     2.4   -37.0     3.5
2008.1444   -71.0     2.0    72.9     2.4   -39.0     3.5
2008.1472   -72.2     1.9    72.2     2.4   -38.3     3.5
2008.1500   -71.8     1.9    72.7     2.4   -38.8     3.5
2008.1530   -71.7     1.9    72.2     2.3   -42.0     3.5
2008.1553   -71.1     1.9    71.0     2.4   -43.5     3.5
2008.1580   -73.6     2.0    71.9     2.5   -44.3     3.6
2008.1610   -72.8     1.9    72.6     2.8   -43.0     4.1
2008.1640   -71.7     2.0    72.0     2.7   -40.7     4.0
2008.1663   -73.3     2.2    71.8     2.5   -44.5     3.7
2008.1690   -71.5     2.1    72.0     2.5   -39.7     3.5
2008.1720   -71.8     2.0    71.5     2.5   -43.8     3.5
2008.1750   -71.8     2.0    72.8     2.3   -43.3     3.4
2008.1772   -71.5     2.0    71.1     2.5   -44.4     3.7
2008.1800   -72.5     2.0    71.4     2.4   -40.9     3.5
2008.1830   -71.8     2.0    70.1     2.5   -41.3     3.5
2008.1860   -69.6     1.9    69.5     2.4   -45.2     3.5
2008.1882   -73.1     2.0    70.4     2.7   -39.9     3.9
2008.1910   -72.8     1.9    72.0     2.5   -37.1     3.8
2008.1940   -72.9     2.1    70.6     2.5   -38.2     3.5
2008.1964   -73.8     2.0    72.4     2.5   -42.5     3.6
2008.1992   -71.9     2.0    71.6     2.5   -39.2     3.6
2008.2020   -71.4     2.0    70.5     2.6   -36.9     3.8
2008.2050   -74.0     2.0    70.1     2.4   -44.4     3.5
2008.2073   -72.5     2.1    68.8     2.5   -42.2     3.6
2008.2100   -74.2     1.9    69.6     2.5   -44.8     3.6
2008.2130   -72.8     2.0    68.8     2.5   -44.1     3.6
2008.2160   -69.8     2.0    70.9     2.5   -48.3     3.7
2008.2183   -70.0     2.0    68.2     2.5   -47.9     3.5
2008.2210   -71.0     2.0    67.9     2.5   -34.2     3.6
2008.2240   -72.4     2.0    68.0     2.5   -37.2     3.6
2008.2270   -72.0     2.0    68.8     2.5   -41.0     3.6
2008.2292   -73.7     2.0    66.0     2.5   -35.9     3.5
2008.2320   -72.8     2.0    69.2     2.5   -38.3     3.6
2008.2350   -74.0     2.0    69.3     2.8   -37.0     4.0
2008.2380   -73.4     2.0    70.2     2.9   -37.2     4.3
2008.2402   -73.9     2.2    70.1     3.0   -41.8     4.4
2008.2430   -71.1     2.3    70.9     2.5   -41.2     3.6
2008.2460   -71.6     2.3    70.4     2.5   -42.9     3.6
2008.2484   -71.8     2.0    70.4     2.5   -41.7     3.5
2008.2512   -70.8     2.0    68.6     2.5   -45.2     3.6
2008.2540   -69.3     2.0    71.1     2.5   -46.4     3.5
2008.2570   -70.5     2.0    69.5     2.5   -45.8     3.5
2008.2593   -70.0     2.0    68.2     2.5   -44.0     3.7
2008.2622   -70.7     2.0    68.9     2.5   -44.1     3.6
2008.2650   -71.7     2.0    68.7     2.5   -40.9     3.7
2008.2680   -71.2     2.0    68.0     2.5   -40.9     3.7
2008.2703   -69.0     2.0    66.8     2.5   -46.0     3.6
2008.2730   -67.7     2.1    68.3     2.5   -52.1     3.6
2008.2760   -70.6     2.0    69.0     2.5   -42.2     3.5
2008.2790   -70.9     2.0    68.5     2.5   -44.3     3.5
2008.2813   -71.7     2.0    68.4     2.5   -45.4     3.6
2008.2840   -70.6     2.0    69.3     2.5   -40.6     3.6
2008.2870   -72.2     2.0    70.1     2.4   -39.5     3.5
2008.2900   -70.9     2.0    70.8     2.5   -37.2     3.6
2008.2922   -73.4     1.9    68.9     2.8   -41.9     4.1
2008.2950   -69.3     2.0    70.2     2.5   -44.6     3.5
2008.2980   -69.4     2.2    68.5     2.5   -44.7     3.6
2008.3010   -71.2     2.0    68.0     2.5   -47.6     3.7
2008.3032   -70.7     2.0    66.8     2.5   -45.7     3.5
2008.3060   -70.8     2.0    68.0     2.5   -47.9     3.6
2008.3090   -69.8     2.0    66.4     2.5   -50.0     3.5
2008.3114   -70.5     2.0    68.7     3.1   -44.6     4.7
2008.3142   -71.2     2.0    67.9     2.6   -47.7     3.8
2008.3170   -70.6     2.4    68.1     2.5   -44.8     3.6
2008.3200   -69.9     2.1    68.2     2.7   -45.5     4.0
2008.3223   -70.0     2.0    66.8     2.5   -54.0     3.6
2008.3250   -69.6     2.1    67.8     2.6   -48.4     3.7
2008.3280   -71.0     2.0    68.0     2.5   -49.3     3.7
2008.3310   -67.4     2.1    67.9     2.5   -53.5     3.5
2008.3333   -70.6     2.0    66.7     2.5   -49.6     3.6
2008.3360   -68.4     2.0    67.4     2.5   -55.8     3.5
2008.3390   -70.2     2.0    67.4     2.5   -49.3     3.6
2008.3420   -70.3     2.0    66.4     2.5   -47.4     3.5
2008.3442   -70.6     2.0    67.4     2.5   -44.3     3.6
2008.3470   -70.2     2.0    67.1     2.5   -43.3     3.6
2008.3500   -70.8     2.0    66.7     2.5   -43.7     3.6
2008.3530   -69.6     2.0    67.4     2.4   -41.9     3.5
2008.3552   -69.4     2.0    67.6     2.4   -38.5     3.5
2008.3580   -69.9     1.9    66.9     2.4   -43.4     3.5
2008.3610   -70.5     1.9    68.0     2.5   -41.9     3.5
2008.3634   -70.4     1.9    67.7     2.4   -41.8     3.5
2008.3662   -69.9     2.0    67.2     2.5   -45.9     3.6
2008.3690   -68.0     1.9    67.3     2.4   -38.2     3.5
2008.3720   -70.5     2.0    65.4     2.5   -42.0     3.5
2008.3743   -70.8     1.9    67.1     2.5   -42.4     3.5
2008.3771   -69.7     2.0    67.0     2.4   -39.8     3.5
2008.3800   -69.2     2.0    67.4     2.4   -37.1     3.5
2008.3830   -68.7     1.9    67.2     2.5   -37.4     3.5
2008.3853   -69.5     1.9    67.2     2.5   -42.6     3.7
2008.3880   -69.6     2.0    68.2     2.5   -39.2     3.6
