% site name: MARG
% Time      North     err   East      err    Up       err
% year      mm        mm    mm        mm     mm       mm
2007.6630   -39.1     3.5   117.3     2.8   -54.9     8.0
2007.6652   -38.6     2.3   117.8     2.0   -54.4     4.7
2007.6680   -36.3     2.3   116.9     2.0   -52.5     4.6
2007.6710   -37.9     2.3   118.6     2.0   -49.6     4.7
2007.6734   -38.2     2.3   118.5     2.0   -47.6     4.7
2007.6762   -37.4     2.4   117.7     2.0   -47.2     4.9
2007.6790   -37.8     2.3   117.4     2.0   -43.0     4.8
2007.6820   -36.4     2.3   118.2     2.0   -45.4     4.8
2007.6844   -37.7     2.3   117.2     2.0   -47.8     4.7
2007.6872   -37.5     2.4   116.3     2.0   -45.7     4.8
2007.6900   -36.9     2.4   116.7     2.0   -47.5     4.7
2007.6930   -37.0     2.3   116.5     2.0   -50.8     4.7
2007.6954   -37.1     2.3   117.9     2.0   -47.6     4.7
2007.6981   -37.2     2.4   116.2     2.0   -43.3     4.8
2007.7010   -36.8     2.3   118.4     2.0   -45.6     4.6
2007.7040   -36.1     2.4   116.8     2.0   -50.0     4.7
2007.7064   -35.8     2.4   115.8     2.0   -43.3     4.8
2007.7091   -36.6     2.3   116.3     2.0   -46.5     4.8
2007.7120   -37.5     2.3   116.4     2.0   -48.7     4.7
2007.7150   -38.2     2.3   116.4     2.0   -42.9     4.7
2007.7172   -36.9     2.3   116.2     2.0   -44.2     4.6
2007.7200   -35.9     2.3   116.7     2.0   -43.3     4.6
2007.7230   -36.2     2.3   116.4     2.0   -45.4     4.6
2007.7260   -36.4     2.3   116.9     2.0   -48.1     4.7
2007.7282   -36.6     2.4   116.5     2.0   -48.4     4.7
2007.7310   -36.1     2.3   116.9     2.0   -51.0     4.6
2007.7340   -36.3     2.4   117.9     2.0   -46.4     4.9
2007.7364   -35.8     2.3   116.2     2.0   -49.4     4.7
2007.7392   -35.8     2.4   116.3     2.0   -45.8     4.7
2007.7420   -36.2     2.3   115.5     2.0   -49.7     4.7
2007.7450   -36.5     2.3   115.8     2.0   -44.8     4.6
2007.7474   -35.8     2.3   117.5     2.0   -46.7     4.6
2007.7501   -36.0     2.4   117.5     2.0   -44.0     4.8
2007.7530   -36.9     2.4   116.2     2.0   -42.1     4.8
2007.7560   -35.6     2.3   117.4     2.0   -50.3     4.7
2007.7584   -34.6     2.3   117.0     2.0   -50.3     4.7
2007.7611   -35.8     2.3   117.3     2.0   -49.9     4.6
2007.7640   -34.3     2.3   117.3     2.0   -44.3     4.6
2007.7670   -33.6     2.3   116.7     2.0   -47.6     4.7
2007.7692   -35.2     2.4   114.7     2.0   -50.5     4.9
2007.7720   -35.3     2.5   116.8     2.0   -52.8     5.0
2007.7750   -36.3     2.4   114.6     2.0   -51.3     4.8
2007.7780   -35.7     2.3   114.9     2.0   -51.9     4.6
2007.7802   -36.8     2.3   115.9     2.0   -51.3     4.7
2007.7830   -35.6     2.3   115.2     2.0   -46.0     4.7
2007.7860   -36.4     2.3   116.4     2.0   -47.0     4.6
2007.7884   -37.0     2.3   114.3     2.0   -50.1     4.7
2007.7912   -35.7     2.3   114.4     2.0   -51.6     4.6
2007.7940   -35.7     2.3   114.3     2.0   -48.8     4.7
2007.7970   -36.5     2.4   114.4     2.0   -50.6     4.8
2007.7994   -33.9     2.3   115.3     2.0   -46.5     4.7
2007.8022   -32.9     2.3   114.5     2.0   -49.5     4.6
2007.8050   -34.6     2.3   114.7     2.0   -51.8     4.7
2007.8080   -35.8     2.4   115.3     2.0   -48.7     4.8
2007.8104   -33.9     2.4   115.0     2.0   -48.3     4.8
2007.8131   -35.6     2.3   114.1     2.0   -43.0     4.6
2007.8160   -34.4     2.4   114.1     2.0   -44.3     4.7
2007.8190   -34.2     2.3   114.4     2.0   -49.3     4.7
2007.8214   -36.0     2.3   114.1     2.0   -48.1     4.7
2007.8240   -35.0     2.3   114.1     2.0   -46.9     4.7
2007.8270   -34.6     2.4   114.9     2.0   -47.3     4.7
2007.8300   -34.5     2.3   114.6     2.0   -46.2     4.6
2007.8322   -35.5     2.3   114.2     2.0   -46.1     4.7
2007.8350   -35.1     2.3   115.1     2.0   -53.0     4.6
2007.8380   -35.9     2.3   114.0     2.0   -54.1     4.6
2007.8410   -35.5     2.3   114.2     2.0   -50.8     4.6
2007.8432   -35.4     2.3   113.0     2.0   -49.4     4.6
2007.8460   -35.2     2.3   112.0     2.0   -50.3     4.6
2007.8490   -36.9     2.3   112.9     2.0   -56.0     4.6
2007.8514   -36.3     2.3   113.2     2.0   -55.2     4.6
2007.8542   -36.4     2.3   113.6     2.0   -52.3     4.7
2007.8600   -36.3     2.3   113.6     2.0   -46.9     4.7
2007.8624   -34.4     2.3   113.2     2.0   -42.5     4.6
2007.8651   -37.1     2.3   113.9     2.0   -49.2     4.7
2007.8680   -35.8     2.3   114.0     2.0   -51.5     4.7
2007.8710   -36.7     2.3   113.0     2.0   -46.3     4.6
2007.8760   -35.8     2.3   113.2     2.0   -51.0     4.6
2007.8790   -35.1     2.3   113.2     2.0   -50.0     4.6
2007.8820   -37.4     2.3   113.2     2.0   -48.5     4.7
2007.8842   -36.4     2.4   113.3     2.0   -46.2     4.8
2007.8870   -36.5     2.3   111.9     2.0   -50.4     4.7
2007.8900   -36.8     2.3   112.1     2.0   -46.4     4.7
2007.8930   -37.2     2.3   111.4     2.0   -47.5     4.7
2007.8952   -37.0     2.4   110.8     2.0   -38.4     4.8
2007.8980   -36.5     2.3   113.1     2.0   -49.2     4.7
2007.9010   -36.5     2.3   113.8     2.0   -47.1     4.6
2007.9034   -36.5     2.3   112.7     2.0   -41.4     4.6
2007.9062   -36.8     2.3   112.7     2.0   -46.3     4.7
2007.9090   -36.2     2.3   112.2     2.0   -46.4     4.6
2007.9120   -34.8     2.3   111.4     2.0   -51.9     4.7
2007.9144   -34.9     2.3   111.8     2.0   -51.8     4.6
2007.9200   -37.3     2.3   112.3     2.0   -53.0     4.7
2007.9230   -37.2     2.4   111.5     2.0   -48.0     4.7
2007.9254   -36.2     2.3   111.1     2.0   -43.1     4.6
2007.9281   -35.1     2.3   112.0     2.0   -39.3     4.7
2007.9310   -36.0     2.3   111.0     2.0   -44.1     4.6
2007.9340   -37.2     2.3   110.3     2.0   -39.1     4.6
2007.9364   -37.1     2.3   110.5     2.0   -45.1     4.7
2007.9390   -36.2     2.3   110.9     2.0   -48.0     4.7
2007.9420   -33.2     2.4   110.6     2.0   -44.9     4.7
2007.9450   -34.4     2.3   112.6     2.0   -40.9     4.6
2007.9472   -35.1     2.3   110.8     2.0   -44.8     4.7
2007.9500   -36.3     2.3   111.9     2.0   -46.5     4.7
2007.9530   -34.8     2.4   110.7     2.0   -45.2     4.7
2007.9560   -35.6     2.3   110.0     2.0   -41.5     4.7
2007.9582   -33.9     2.3   111.0     2.0   -43.8     4.6
2007.9610   -34.5     2.4   110.5     2.0   -46.0     4.7
2007.9640   -34.1     2.3   110.7     2.0   -46.5     4.7
2007.9664   -34.1     2.3   111.5     2.0   -42.2     4.7
2007.9692   -35.6     2.3   111.0     2.0   -47.7     4.7
2007.9720   -35.3     2.3   110.5     2.0   -43.8     4.7
2007.9750   -34.0     2.4   110.8     2.0   -44.0     4.7
2007.9774   -36.0     2.3   110.6     2.0   -37.3     4.6
2007.9801   -34.9     2.3   109.5     2.0   -38.3     4.6
2007.9830   -33.9     2.3   109.1     2.0   -40.5     4.6
2007.9860   -35.0     2.3   109.4     2.0   -45.4     4.5
2007.9884   -32.7     2.4   109.7     2.0   -42.0     4.7
2007.9910   -34.7     2.4   110.0     2.0   -40.7     4.7
2007.9940   -36.6     2.4   109.8     2.0   -49.1     4.7
2007.9970   -35.6     2.3   109.7     2.0   -43.0     4.7
2007.9992   -34.9     2.3   109.6     2.0   -47.8     4.6
2008.0020   -35.1     2.3   109.3     2.0   -44.3     4.7
2008.0050   -34.3     2.3   110.5     2.0   -40.9     4.6
2008.0102   -34.9     2.3   110.7     2.0   -42.2     4.6
2008.0130   -34.5     2.3   111.0     2.0   -45.5     4.7
2008.0160   -34.6     2.3   110.2     2.0   -45.8     4.6
2008.0184   -34.6     2.3   110.7     2.0   -44.5     4.6
2008.0212   -34.8     2.3   110.0     2.0   -48.8     4.7
2008.0240   -33.3     2.3   110.6     2.0   -46.0     4.6
2008.0270   -34.0     2.3   110.5     2.0   -48.5     4.6
2008.0294   -33.2     2.3   109.9     2.0   -49.2     4.5
2008.0322   -34.0     2.3   108.4     2.0   -48.0     4.6
2008.0350   -35.1     2.3   108.9     2.0   -42.2     4.6
2008.0380   -35.0     2.3   108.5     2.0   -43.7     4.6
2008.0404   -34.7     2.3   108.5     2.0   -43.1     4.6
2008.0430   -34.5     2.3   108.0     2.0   -41.5     4.7
2008.0460   -35.9     2.3   107.6     2.0   -43.5     4.7
2008.0490   -35.1     2.4   107.2     2.0   -42.2     4.8
2008.0513   -36.2     2.3   108.0     2.0   -40.5     4.6
2008.0540   -35.9     2.3   107.7     2.0   -45.1     4.6
2008.0570   -35.6     2.3   109.0     2.0   -43.5     4.6
2008.0600   -36.5     2.3   109.1     2.0   -45.3     4.6
2008.0622   -36.3     2.3   108.5     2.0   -40.8     4.6
2008.0650   -35.9     2.3   108.7     2.0   -40.5     4.6
2008.0680   -35.2     2.3   108.4     2.0   -44.5     4.6
2008.0710   -35.4     2.3   108.3     2.0   -45.9     4.7
2008.0732   -35.0     2.3   108.3     2.0   -48.2     4.7
2008.0760   -34.0     2.3   108.7     2.0   -45.9     4.6
2008.0790   -35.0     2.4   109.2     2.0   -44.0     4.8
2008.0814   -35.0     2.4   109.0     2.0   -46.4     4.8
2008.0842   -35.9     2.3   109.8     2.0   -49.7     4.7
2008.0870   -35.5     2.3   109.2     2.0   -42.6     4.7
2008.0900   -36.9     2.3   110.8     2.0   -41.7     4.7
2008.0924   -35.7     2.4   109.3     2.0   -45.2     4.7
2008.0950   -34.8     2.3   107.6     2.0   -51.0     4.7
2008.0980   -34.2     2.4   106.7     2.0   -48.1     4.8
2008.1010   -32.0     2.3   107.2     2.0   -45.0     4.7
2008.1033   -33.9     2.3   107.5     2.0   -44.7     4.7
2008.1060   -35.2     2.3   108.2     2.0   -39.6     4.6
2008.1090   -34.4     2.3   106.3     2.0   -46.2     4.6
2008.1120   -33.3     2.3   106.9     2.0   -45.0     4.7
2008.1142   -32.0     2.3   106.8     2.0   -44.4     4.7
2008.1170   -32.8     2.3   106.0     2.0   -45.9     4.7
2008.1200   -32.3     2.3   108.0     2.0   -42.2     4.6
2008.1230   -31.9     2.3   107.9     2.0   -43.2     4.7
2008.1252   -33.3     2.3   107.6     2.0   -38.6     4.6
2008.1280   -33.7     2.3   108.0     2.0   -38.2     4.6
2008.1310   -33.9     2.3   107.7     2.0   -37.2     4.7
2008.1334   -32.7     2.3   108.9     2.0   -40.9     4.6
2008.1362   -33.2     2.4   107.0     2.0   -38.3     4.6
2008.1390   -33.1     2.4   106.0     2.0   -35.2     4.6
2008.1420   -33.1     2.3   105.8     2.0   -33.4     4.7
2008.1444   -32.1     2.3   105.6     2.0   -37.7     4.6
2008.1472   -32.0     2.3   105.5     2.0   -28.9     4.6
2008.1500   -34.9     2.3   107.0     2.0   -44.5     4.6
2008.1530   -33.1     2.3   106.5     2.0   -40.0     4.7
2008.1553   -33.6     2.3   105.7     2.0   -42.0     4.6
2008.1580   -33.9     2.4   106.5     2.0   -40.9     4.8
2008.1610   -33.3     2.3   106.5     2.0   -40.8     4.7
2008.1640   -32.7     2.4   105.9     2.0   -40.1     4.8
