% site name: MIK2
% Time      North     err   East      err    Up       err
% year      mm        mm    mm        mm     mm       mm
2009.6040   -80.1     1.7    63.4    45.5   -72.3     4.0
2009.6064   -78.8     1.7    63.4     2.3   -68.5     4.1
2009.6091   -80.1     1.6    64.2     2.3   -67.9     4.0
2009.6120   -81.1     1.7    64.3     2.3   -69.1     4.1
2009.6150   -80.5     1.7    64.6     2.3   -68.1     4.0
2009.6174   -80.4     1.6    65.3     2.3   -67.2     4.0
2009.6201   -79.0     1.6    64.8     2.3   -60.1     3.9
2009.6230   -78.5     1.6    64.5     2.3   -63.1     3.9
2009.6260   -78.8     1.7    63.7     2.3   -62.2     4.0
2009.6282   -78.8     1.6    63.7     2.3   -59.9     3.9
2009.6311   -77.7     1.6    64.9     2.3   -61.7     4.0
2009.6340   -80.1     1.6    64.9     2.3   -63.0     4.0
2009.6370   -79.0     1.7    63.5     2.3   -67.8     4.0
2009.6392   -77.6     1.7    66.0     2.3   -66.4     4.0
2009.6420   -78.5     1.6    65.2     2.3   -66.8     4.0
2009.6450   -77.4     1.6    64.7     2.3   -64.2     4.0
2009.6474   -75.9     1.6    65.4     2.3   -63.7     4.0
2009.6502   -75.7     1.6    64.2     2.3   -60.0     3.9
2009.6530   -76.5     1.7    63.6     2.3   -58.6     4.0
2009.6560   -76.4     1.7    64.5     2.3   -63.4     4.2
2009.6584   -78.2     1.6    62.7     2.4   -62.8     3.9
2009.6611   -77.5     1.6    63.2     2.3   -61.5     3.9
2009.6640   -78.4     1.7    62.7     2.3   -59.1     4.0
2009.6670   -77.3     1.6    63.7     2.3   -61.7     3.9
2009.6694   -77.1     1.7    65.3     2.3   -61.7     3.9
2009.6721   -77.4     1.6    64.2     2.2   -61.0     4.0
2009.6750   -77.7     1.6    64.5     2.3   -62.8     4.0
2009.6780   -77.3     1.6    64.8     2.3   -58.6     3.9
2009.6802   -76.9     1.6    65.4     2.3   -61.9     4.0
2009.6831   -76.5     1.6    64.5     2.3   -62.9     3.9
2009.6860   -77.5     1.6    65.4     2.3   -65.8     3.9
