% site name: MSVG
% Time      North     err   East      err    Up       err
% year      mm        mm    mm        mm     mm       mm
2009.6091   -94.2     1.9    51.1     2.7   -18.4     6.9
2009.6120   -92.2     1.4    51.9     2.0   -19.4     4.3
2009.6150   -92.2     1.4    51.8     2.0   -23.0     4.4
2009.6174   -92.9     1.4    52.5     2.0   -23.5     4.4
2009.6201   -91.7     1.4    52.3     2.0   -19.7     4.4
2009.6230   -91.4     1.4    52.5     2.0   -24.1     4.4
2009.6260   -90.7     1.4    52.9     2.0   -25.5     4.4
2009.6282   -90.2     1.4    51.9     2.0   -19.2     4.4
2009.6311   -91.1     1.4    53.3     2.0   -21.7     4.4
2009.6340   -93.7     1.5    53.3     2.0   -26.7     4.5
2009.6370   -90.2     1.5    52.1     2.1   -24.7     4.5
2009.6392   -90.8     1.5    54.4     2.1   -22.2     4.5
2009.6420   -89.3     1.5    53.7     2.0   -20.0     4.5
2009.6450   -90.2     1.4    53.0     2.0   -25.5     4.4
2009.6474   -88.7     1.4    53.7     2.0   -19.3     4.4
2009.6502   -88.9     1.5    52.4     2.0   -18.2     4.5
2009.6530   -90.1     1.5    51.4     2.1   -21.4     4.5
2009.6560   -87.9     1.5    51.0     2.2   -24.3     4.8
2009.6584   -89.7     1.4    50.2     2.0   -23.3     4.3
2009.6611   -89.7     1.4    51.1     2.0   -19.2     4.3
2009.6640   -90.2     1.4    50.5     2.2   -19.4     4.6
2009.6670   -90.8     1.4    51.6     2.0   -21.6     4.4
2009.6694   -90.4     1.4    52.9     2.0   -24.3     4.3
2009.6721   -89.1     1.5    52.9     2.1   -20.2     4.5
2009.6750   -89.5     1.4    53.1     2.0   -23.4     4.4
2009.6780   -90.1     1.4    53.4     2.2   -19.9     4.5
2009.6802   -89.3     1.4    54.2     2.0   -19.9     4.4
2009.6831   -89.2     1.4    53.2     2.0   -17.6     4.4
2009.6860   -89.8     1.4    53.7     2.0   -21.7     4.3
2009.6890   -90.2     1.4    53.6     2.0   -20.6     4.4
2009.6912   -90.5     1.4    53.5     2.0   -19.3     4.4
2009.6940   -90.1     1.4    51.8     2.0   -18.5     4.4
2009.6970   -89.8     1.5    52.4     2.1   -17.1     4.5
2009.6994   -89.2     1.4    52.6     2.0   -26.0     4.4
2009.7022   -88.5     1.4    52.4     2.2   -26.0     4.5
2009.7050   -88.5     1.5    52.7     2.1   -25.3     4.4
2009.7080   -89.9     1.4    54.2     2.0   -26.1     4.3
2009.7104   -89.0     1.4    52.8     2.0   -24.0     4.3
2009.7132   -90.2     1.4    53.3     2.0   -22.3     4.4
2009.7160   -90.4     1.4    52.6     2.0   -18.3     4.4
2009.7214   -90.3     1.4    53.7     2.0   -21.3     4.3
2009.7241   -88.7     1.4    53.8     2.0   -20.2     4.4
2009.7270   -88.6     1.4    53.4     2.0   -19.6     4.4
2009.7300   -90.2     1.4    52.6     2.0   -20.3     4.3
2009.7324   -90.4     1.4    53.2     2.0   -21.6     4.3
2009.7351   -89.4     1.4    52.7     2.0   -19.0     4.3
2009.7380   -88.2     1.4    53.4     2.0   -19.9     4.4
2009.7410   -89.1     1.4    52.0     2.2   -20.9     4.6
2009.7432   -87.9     1.5    51.9     2.1   -21.0     4.5
2009.7460   -88.6     1.4    52.1     2.0   -24.1     4.4
2009.7490   -88.2     1.4    50.9     2.0   -25.4     4.4
2009.7520   -86.6     1.4    51.8     2.0   -22.6     4.3
2009.7542   -86.4     1.4    52.3     2.0   -20.3     4.4
2009.7570   -87.3     1.4    51.0     2.0   -20.7     4.3
2009.7600   -87.7     1.4    51.2     2.0   -18.2     4.3
2009.7624   -87.9     1.4    52.4     2.0   -19.2     4.4
2009.7652   -86.5     1.4    52.5     2.0   -19.1     4.4
2009.7680   -85.6     1.4    52.4     2.0   -23.1     4.3
2009.7710   -85.8     1.5    51.6     2.1   -22.6     4.5
2009.7734   -86.7     1.4    51.4     2.0   -26.1     4.4
2009.7761   -86.6     1.5    52.2     2.1   -25.0     4.5
2009.7790   -86.4     1.5    52.0     2.0   -26.1     4.6
2009.7820   -85.5     1.4    53.3     2.0   -24.6     4.3
2009.7844   -85.5     1.4    52.6     2.0   -19.6     4.4
2009.7871   -86.3     1.4    53.8     2.0   -26.9     4.3
2009.7900   -87.7     1.4    52.8     2.0   -23.9     4.4
2009.7930   -88.2     1.4    51.5     2.0   -18.6     4.4
2009.7952   -87.4     1.4    52.0     2.0   -24.2     4.4
2009.7980   -87.1     1.4    51.8     2.0   -27.8     4.4
2009.8010   -86.4     1.4    51.8     2.0   -27.4     4.4
2009.8040   -86.8     1.5    52.0     2.0   -23.7     4.5
2009.8062   -86.4     1.5    52.0     2.0   -24.0     4.5
2009.8090   -86.2     1.6    51.3     2.3   -27.2     5.1
2009.8120   -85.5     1.4    52.6     2.2   -25.8     4.6
2009.8144   -85.5     1.5    52.3     2.0   -26.1     4.5
2009.8172   -86.7     1.4    51.9     2.2   -24.7     4.5
2009.8200   -87.0     1.4    52.4     2.2   -27.5     4.6
2009.8230   -86.2     1.5    51.2     2.1   -26.4     4.5
2009.8254   -85.8     1.4    51.0     2.0   -23.8     4.4
2009.8282   -85.9     1.4    51.3     2.2   -31.5     4.6
2009.8310   -86.7     1.5    52.3     2.2   -25.2     4.9
2009.8340   -85.9     1.5    52.6     2.1   -21.8     4.5
2009.8364   -86.9     1.4    51.7     2.0   -16.3     4.4
2009.8391   -87.2     1.4    50.6     2.0   -18.6     4.3
2009.8420   -86.8     1.4    50.1     2.0   -21.0     4.4
2009.8450   -87.7     1.4    49.6     2.0   -24.8     4.4
2009.8474   -86.1     1.4    50.1     2.0   -23.6     4.4
2009.8500   -86.3     1.4    49.4     2.0   -20.5     4.4
2009.8530   -86.1     1.4    50.9     2.0   -19.1     4.4
2009.8560   -86.6     1.4    50.7     2.2   -17.9     4.6
2009.8582   -86.0     1.5    51.2     2.0   -20.5     4.5
2009.8610   -85.0     1.4    51.3     2.2   -18.5     4.5
2009.8640   -85.6     1.4    50.5     2.0   -19.8     4.4
2009.8670   -83.6     1.4    50.7     2.2   -18.5     4.6
2009.8692   -85.5     1.5    50.9     2.1   -21.0     4.6
2009.8720   -85.8     1.4    49.8     2.2   -19.3     4.6
2009.8750   -86.0     1.5    50.7     2.1   -21.7     4.6
2009.8774   -85.9     1.5    50.5     2.1   -18.4     4.5
2009.8802   -85.6     1.5    50.0     2.1   -17.9     4.6
2009.8830   -84.5     1.5    50.6     2.1   -18.8     4.5
2009.8860   -84.3     1.4    51.8     2.2   -22.4     4.5
2009.8884   -85.6     1.4    49.8     2.0   -22.4     4.4
2009.8911   -86.7     1.4    50.5     2.2   -21.3     4.5
2009.8940   -85.9     1.4    48.6     2.0   -20.7     4.4
2009.8970   -85.7     1.4    50.0     2.0   -22.7     4.4
2009.8994   -84.4     1.4    50.0     2.2   -26.1     4.6
2009.9020   -86.2     1.4    49.1     2.2   -21.2     4.5
2009.9050   -85.5     1.4    48.9     2.1   -18.8     4.5
2009.9080   -85.2     1.4    48.8     2.0   -18.2     4.3
2009.9102   -85.0     1.4    49.4     2.0   -19.7     4.3
2009.9130   -85.0     1.5    48.7     2.1   -20.7     4.4
2009.9160   -84.8     1.4    48.9     2.0   -20.7     4.3
2009.9190   -86.7     1.4    49.6     2.0   -19.6     4.3
2009.9212   -85.5     1.4    48.3     2.0   -19.0     4.3
2009.9240   -84.7     1.5    48.9     2.1   -18.1     4.4
2009.9270   -84.7     1.4    48.3     2.0   -20.4     4.4
2009.9294   -83.9     1.4    50.0     2.0   -21.1     4.3
2009.9322   -84.0     1.5    51.4     2.0   -22.6     4.5
2009.9350   -83.1     1.5    51.0     2.1   -23.5     4.4
2009.9380   -86.5     1.5    49.9     2.0   -24.1     4.2
2009.9404   -84.9     1.4    50.0     2.0   -27.1     4.3
2009.9432   -84.3     1.4    50.4     2.0   -24.7     4.3
2009.9490   -84.1     1.4    49.6     2.0   -28.0     4.4
2009.9541   -84.5     1.4    48.5     2.0   -24.5     4.4
2009.9570   -83.1     1.4    47.5     2.0   -23.4     4.4
2009.9600   -84.0     1.5    47.3     2.0   -18.9     4.5
2009.9624   -84.7     1.5    48.2     2.0   -22.5     4.5
2009.9650   -82.8     1.4    47.7     2.0   -24.2     4.4
2009.9680   -85.9     1.4    47.6     2.1   -26.1     4.6
2009.9710   -83.7     1.4    47.0     2.2   -20.2     4.6
2009.9732   -84.9     1.5    48.4     2.0   -22.9     4.5
2009.9760   -83.7     1.5    48.7     2.0   -18.8     4.5
2009.9790   -82.8     1.5    47.1     2.0   -15.8     4.6
2009.9820   -85.3     1.4    46.8     2.0   -12.3     4.4
2009.9842   -83.2     1.5    47.6     2.0   -20.5     4.5
2009.9870   -82.1     1.4    48.9     2.0   -18.5     4.4
2009.9900   -83.0     1.4    48.9     2.0   -20.4     4.4
2009.9924   -82.7     1.4    47.2     2.0   -20.7     4.4
2009.9952   -83.5     1.4    47.9     2.0   -18.9     4.3
2009.9980   -83.2     1.4    46.2     2.0   -23.4     4.4
2010.0010   -82.7     1.4    45.8     2.0   -23.2     4.4
2010.0034   -82.5     1.4    45.4     2.0   -20.0     4.4
2010.0061   -82.4     1.4    47.1     2.0   -25.6     4.4
2010.0120   -81.4     1.4    46.9     2.0   -26.9     4.4
2010.0144   -80.8     1.4    47.2     2.0   -17.2     4.3
2010.0170   -81.4     1.4    48.5     2.0   -20.3     4.4
2010.0200   -82.4     1.4    49.2     2.0   -20.6     4.4
2010.0230   -82.7     1.5    51.0     2.0   -17.1     4.5
2010.0252   -82.8     1.4    49.4     2.0   -15.8     4.3
2010.0280   -80.9     1.5    52.7     2.0   -12.0     4.5
2010.0310   -81.1     1.5    49.0     2.2   -15.3     4.8
2010.0340   -81.9     1.4    48.6     2.0   -22.3     4.4
2010.0362   -81.4     1.6    47.5     2.2   -19.0     5.0
2010.0390   -80.7     1.5    49.7     2.2   -17.8     4.7
2010.0420   -81.5     1.4    49.2     2.2   -16.4     4.5
2010.0444   -81.6     1.4    49.9     2.0   -14.8     4.3
2010.0472   -81.3     1.4    49.2     2.0   -16.8     4.4
2010.0500   -81.7     1.4    49.6     2.0   -17.3     4.4
2010.0530   -80.9     1.4    51.2     2.0   -16.1     4.4
2010.0554   -81.3     1.5    51.0     2.2   -21.0     4.8
2010.0582   -80.2     1.4    49.3     2.0   -19.8     4.4
2010.0610   -80.9     1.4    48.6     2.0   -23.6     4.4
2010.0640   -81.3     1.6    48.3     2.1   -19.9     4.7
2010.0664   -81.3     1.7    48.3     2.3   -14.8     5.2
2010.0690   -82.6     1.5    48.2     2.0   -20.6     4.5
2010.0720   -83.0     1.5    48.1     2.1   -20.5     4.6
2010.0750   -81.0     1.5    46.8     2.0   -19.7     4.5
2010.0773   -81.0     1.5    46.7     2.0   -20.4     4.6
2010.0800   -81.6     1.5    46.8     2.0   -19.6     4.6
2010.0830   -81.4     1.4    47.1     2.0   -16.4     4.4
2010.0860   -79.8     1.6    48.0     2.1   -18.3     4.7
2010.0882   -80.9     1.5    48.9     2.2   -16.2     4.8
2010.0910   -79.9     1.5    49.5     2.2   -19.5     4.9
2010.0940   -80.2     1.5    48.5     2.2   -18.9     4.8
2010.0970   -81.2     1.6    48.6     2.1   -23.7     4.7
2010.0992   -80.8     1.5    46.9     2.1   -21.4     4.5
2010.1020   -81.2     1.5    46.4     2.1   -26.5     4.6
2010.1050   -81.9     1.5    47.1     2.1   -26.7     4.6
2010.1074   -80.5     1.5    47.1     2.2   -22.0     4.8
2010.1102   -80.9     1.5    48.5     2.0   -18.8     4.6
2010.1130   -82.2     1.5    48.7     2.2   -19.3     4.9
2010.1160   -81.0     1.5    47.5     2.2   -20.4     4.7
2010.1184   -80.6     1.6    48.5     2.3   -22.6     5.1
2010.1210   -81.3     1.5    48.1     2.1   -24.0     4.6
2010.1240   -81.4     1.5    46.8     2.2   -22.8     4.8
2010.1270   -82.1     1.7    46.3     2.3   -21.7     5.5
2010.1293   -81.3     1.5    46.5     2.2   -23.0     4.7
2010.1320   -80.7     1.6    45.1     2.1   -24.5     4.9
2010.1350   -80.7     1.4    43.9     2.2   -21.3     4.6
2010.1380   -80.3     1.5    44.3     2.0   -18.4     4.5
2010.1402   -81.4     1.4    43.9     2.0   -22.8     4.4
2010.1430   -80.7     1.4    45.9     2.0   -21.4     4.4
2010.1460   -80.3     1.5    44.6     2.2   -23.3     4.8
2010.1490   -81.9     1.5    43.8     2.2   -23.7     4.7
2010.1512   -81.9     1.5    44.8     2.2   -23.1     4.8
2010.1540   -82.0     1.5    46.2     2.2   -24.0     4.9
2010.1570   -81.6     1.5    44.4     2.1   -18.9     4.5
2010.1594   -81.3     1.5    45.7     2.0   -19.2     4.5
2010.1622   -81.3     1.4    45.6     2.0   -23.0     4.4
2010.1650   -81.7     1.4    46.7     2.0   -20.0     4.4
2010.1680   -81.9     1.4    46.2     2.1   -21.7     4.6
2010.1704   -80.3     1.5    46.3     2.2   -23.6     4.7
2010.1732   -80.2     1.5    45.5     2.1   -24.3     4.6
2010.1760   -80.6     1.4    46.2     2.0   -19.7     4.4
2010.1790   -81.0     1.5    48.7     2.0   -21.7     4.5
2010.1813   -80.3     1.5    48.2     2.0   -23.0     4.5
2010.1840   -79.4     1.5    47.7     2.0   -23.1     4.5
2010.1870   -80.3     1.5    46.9     2.0   -17.7     4.5
2010.1900   -80.4     1.5    47.4     2.2   -20.0     4.7
2010.1923   -79.0     1.4    46.7     2.2   -27.3     4.6
2010.1950   -80.3     1.5    46.6     2.2   -23.0     4.9
2010.1980   -80.2     1.5    46.8     2.2   -27.5     4.8
2010.2010   -79.7     1.4    46.6     2.2   -23.1     4.9
2010.2032   -80.3     1.5    46.7     2.0   -25.5     4.5
2010.2060   -78.8     1.5    48.1     2.0   -23.4     4.5
2010.2090   -78.3     1.5    48.2     2.1   -22.2     4.5
2010.2120   -78.5     1.4    47.9     2.2   -21.6     4.6
2010.2142   -78.0     1.5    46.9     2.1   -23.1     4.6
2010.2170   -78.9     1.5    45.6     2.0   -22.1     4.5
2010.2200   -80.0     1.4    47.9     2.0   -26.7     4.4
2010.2224   -78.9     1.4    46.8     2.0   -28.9     4.4
2010.2252   -79.4     1.4    46.1     2.0   -28.9     4.4
2010.2280   -79.0     1.4    46.3     2.2   -26.3     4.6
2010.2310   -78.0     1.5    46.2     2.0   -22.3     4.5
2010.2333   -77.9     1.5    45.6     2.1   -27.9     4.4
2010.2360   -79.8     1.5    46.1     2.1   -29.1     4.6
2010.2390   -79.2     1.5    45.0     2.1   -24.6     4.6
2010.2420   -79.2     1.4    45.2     2.2   -27.4     4.6
2010.2443   -79.2     1.6    45.7     2.3   -24.7     5.3
2010.2470   -78.8     1.5    46.1     2.3   -23.4     5.0
2010.2500   -79.2     1.5    46.2     2.3   -21.2     4.9
2010.2530   -78.6     1.5    45.7     2.3   -26.8     5.2
2010.2552   -78.0     1.5    45.6     2.2   -25.8     5.0
2010.2580   -79.2     1.5    45.5     2.2   -22.2     5.0
2010.2610   -78.5     1.6    48.1     2.3   -22.3     5.5
2010.2640   -78.6     1.6    46.3     2.3   -28.5     5.1
2010.2662   -76.5     1.6    46.4     2.3   -21.2     5.4
2010.2690   -77.8     1.5    46.4     2.2   -24.7     4.7
2010.2720   -77.6     1.4    47.3     2.2   -22.2     4.9
2010.2744   -77.8     1.6    46.2     2.1   -24.6     4.7
2010.2772   -77.2     1.6    45.7     2.2   -26.5     5.0
2010.2800   -79.4     1.5    45.8     2.2   -24.9     4.8
2010.2830   -78.7     1.5    44.6     2.1   -19.7     4.5
2010.2854   -77.8     1.5    43.9     2.2   -19.5     4.7
2010.2882   -78.0     1.6    44.4     2.1   -22.9     4.7
2010.2910   -77.2     1.5    44.1     2.0   -23.5     4.5
2010.2940   -75.9     1.5    44.9     2.1   -21.9     4.6
2010.2963   -76.7     1.5    45.1     2.1   -20.6     4.5
2010.2990   -76.9     1.5    44.8     2.0   -23.0     4.6
2010.3020   -76.7     1.5    44.8     2.2   -22.5     4.9
2010.3050   -77.4     1.5    44.5     2.1   -23.0     4.6
2010.3073   -76.9     1.5    44.8     2.2   -23.2     4.8
2010.3100   -76.7     1.5    45.3     2.2   -25.3     4.7
2010.3130   -76.8     1.5    44.2     2.1   -20.2     4.6
2010.3160   -75.4     1.5    45.6     2.0   -21.9     4.5
2010.3182   -77.1     1.4    46.1     2.0   -20.7     4.4
2010.3210   -77.8     1.4    45.0     2.2   -21.5     4.6
2010.3240   -76.6     1.5    45.8     2.2   -23.5     4.7
2010.3270   -75.6     1.5    44.3     2.2   -22.9     4.8
2010.3292   -75.4     1.4    44.5     2.2   -22.3     4.6
2010.3320   -76.0     1.5    44.3     2.1   -27.2     4.6
2010.3350   -75.6     1.5    45.8     2.2   -27.9     4.9
2010.3374   -75.9     1.6    44.4     2.5   -26.7     6.0
2010.3402   -76.6     1.5    44.1     2.2   -25.6     4.9
2010.3430   -76.2     1.5    43.9     2.2   -23.0     4.8
2010.3460   -76.8     1.5    44.2     2.2   -24.6     5.2
2010.3483   -75.6     1.5    42.8     2.2   -21.2     5.0
2010.3510   -76.3     1.4    43.3     2.2   -32.2     4.9
2010.3540   -74.8     1.5    42.6     2.1   -24.7     4.6
2010.3570   -76.7     1.5    42.6     2.0   -22.7     4.5
2010.3593   -78.0     1.4    44.3     2.2   -21.4     4.9
2010.3620   -76.4     1.4    44.7     2.2   -19.4     4.6
2010.3650   -75.9     1.5    44.4     2.0   -22.2     4.5
2010.3680   -76.4     1.4    42.8     2.2   -26.6     4.6
2010.3702   -75.7     1.4    42.9     2.2   -26.8     4.6
2010.3730   -76.3     1.5    42.9     2.1   -24.6     4.5
2010.3760   -78.1     1.4    42.1     2.2   -23.3     4.6
2010.3790   -76.2     1.5    44.8     2.2   -25.3     4.8
2010.3840   -76.4     1.5    42.9     2.2   -26.7     4.9
2010.3870   -75.0     1.4    43.5     2.0   -22.9     4.4
2010.3894   -75.8     1.5    42.8     2.0   -23.7     4.5
