% site name: NNVN
% Time      North     err   East      err    Up       err
% year      mm        mm    mm        mm     mm       mm
2007.6190   -93.0     5.4    98.9     6.0   -45.0     8.1
2007.6214   -94.7     2.4   100.4     2.7   -42.9     3.6
2007.6242   -95.4     2.3   100.2     2.7   -39.3     3.5
2007.6270   -95.3     2.3    99.1     2.6   -39.4     3.4
2007.6300   -94.0     2.3   100.1     2.6   -38.6     3.4
2007.6324   -95.3     2.3    98.0     2.6   -37.8     3.4
2007.6351   -96.8     2.2    99.9     2.6   -41.1     3.3
2007.6380   -94.3     2.2    99.6     2.6   -37.5     3.3
2007.6410   -95.4     2.2   100.2     2.6   -37.0     3.3
2007.6434   -95.9     2.2   100.1     2.5   -41.1     3.2
2007.6461   -95.3     2.3   100.5     2.6   -40.0     3.4
2007.6490   -94.5     2.3   100.3     2.6   -40.2     3.4
2007.6520   -94.6     2.3   100.9     2.7   -37.8     3.5
2007.6542   -94.3     2.4   100.1     2.7   -39.4     3.6
2007.6571   -94.8     2.3   101.1     2.6   -40.9     3.4
2007.6600   -97.0     2.3   101.1     2.6   -44.9     3.5
2007.6630   -95.2     2.3    99.4     2.6   -40.8     3.4
2007.6652   -95.6     2.3   101.0     2.6   -36.6     3.5
2007.6680   -93.7     2.3   100.6     2.6   -39.1     3.5
2007.6710   -94.8     2.3    99.6     2.7   -36.8     3.5
2007.6734   -96.1     2.3   101.2     2.6   -34.7     3.4
2007.6762   -96.0     2.3   101.5     2.6   -34.7     3.4
2007.6790   -94.9     2.3    99.1     2.6   -35.6     3.4
2007.6820   -95.1     2.3    99.9     2.7   -37.8     3.5
2007.6844   -94.0     2.3    99.6     2.6   -38.0     3.5
2007.6872   -93.9     2.3    98.2     2.6   -35.1     3.4
2007.6900   -94.6     2.3    97.9     2.6   -41.8     3.5
2007.6954   -94.5     2.3   103.0     2.6   -38.5     3.4
2007.6981   -93.3     2.3   100.1     2.6   -38.9     3.4
2007.7010   -92.9     2.3    99.4     2.6   -37.5     3.4
2007.7040   -92.6     2.3    98.2     2.6   -40.7     3.4
2007.7064   -93.1     2.3    98.3     2.6   -34.0     3.5
2007.7091   -92.8     2.3    98.8     2.7   -34.8     3.5
2007.7120   -94.9     2.3   100.3     2.6   -36.8     3.4
2007.7260   -89.2     2.3   103.7     2.6   -32.0     3.4
2007.7282   -90.1     2.2   101.0     2.6   -39.2     3.3
2007.7310   -90.2     2.3    99.9     2.6   -43.0     3.4
2007.7340   -92.7     2.2   102.4     2.6   -43.4     3.3
2007.7364   -93.5     2.2    99.9     2.6   -42.5     3.3
2007.7392   -91.2     2.3   100.4     2.6   -37.6     3.4
2007.7420   -92.2     2.3    99.2     2.6   -33.7     3.4
2007.7450   -91.6     2.4    98.5     2.6   -38.0     3.6
2007.7474   -93.0     2.3    99.9     2.6   -38.7     3.4
2007.7501   -94.0     2.3   101.0     2.6   -37.7     3.4
2007.7530   -93.6     2.3   101.5     2.6   -32.8     3.4
2007.7584   -93.2     2.3   101.1     2.7   -40.7     3.4
2007.7611   -91.3     2.2    99.2     2.7   -37.0     3.3
2007.7640   -92.5     2.2    99.8     2.6   -40.4     3.3
2007.7670   -91.7     2.2    98.6     2.6   -42.5     3.3
2007.7692   -89.5     2.4    97.0     2.6   -40.2     3.6
2007.7720   -96.4     2.4   100.3     2.6   -48.4     3.6
2007.7750   -91.1     2.3    96.5     2.6   -35.6     3.5
2007.7780   -92.4     2.2    98.3     2.6   -40.7     3.3
2007.7802   -93.5     2.2    99.4     2.6   -38.2     3.3
2007.7830   -91.7     2.2    98.7     2.6   -35.4     3.3
2007.7860   -91.4     2.2    98.6     2.7   -33.3     3.3
2007.7884   -92.1     2.2    98.7     2.7   -30.7     3.3
2007.7912   -92.0     2.2    98.9     2.6   -35.7     3.3
2007.7940   -92.9     2.3    97.6     2.6   -35.8     3.4
2007.7970   -92.7     2.3    99.4     2.6   -39.2     3.4
2007.7994   -91.0     2.2    99.8     2.6   -34.1     3.3
2007.8022   -90.8     2.2    99.2     2.6   -35.4     3.3
2007.8050   -90.8     2.2    99.7     2.6   -34.6     3.3
2007.8080   -92.4     2.2    98.9     2.6   -35.1     3.3
2007.8104   -92.4     2.3    98.8     2.6   -32.9     3.4
