% site name: NORD
% Time      North     err   East      err    Up       err
% year      mm        mm    mm        mm     mm       mm
2006.7210  -136.0     1.1    53.7     1.8   -75.7     5.2
2006.7240  -136.8     1.2    54.8     1.9   -85.2     5.3
2006.7261  -136.6     1.2    53.2     1.9   -87.0     5.3
2006.7290  -137.3     1.2    54.2     1.9   -86.8     5.4
2006.7320  -136.1     1.2    53.7     1.9   -82.6     5.4
2006.7343  -134.5     1.1    53.2     1.9   -83.7     5.4
2006.7371  -136.0     1.2    52.4     1.9   -85.5     5.3
2006.7400  -136.2     1.1    53.2     1.9   -82.4     5.2
2006.7430  -136.0     1.1    54.4     1.9   -81.8     5.2
2006.7453  -135.7     1.1    54.3     1.8   -84.5     5.2
2006.7481  -136.4     1.1    54.1     1.9   -81.5     5.6
2006.7510  -135.9     1.1    53.2     1.8   -84.2     5.2
2006.7540  -135.1     1.1    54.4     1.9   -81.4     5.5
2006.7563  -134.5     1.2    52.5     1.9   -83.4     5.5
2006.7590  -136.3     1.1    53.8     1.8   -86.5     5.3
2006.7620  -136.4     1.1    54.3     1.8   -83.6     5.2
2006.7650  -135.4     1.1    53.3     1.8   -82.3     5.3
2006.7673  -135.8     1.1    53.8     1.9   -81.0     5.5
2006.7700  -135.7     1.1    54.4     1.9   -77.7     5.5
2006.7730  -135.7     1.2    54.1     1.9   -83.7     5.3
2006.7760  -135.7     1.2    53.2     1.9   -84.5     5.3
2006.7781  -136.0     1.1    52.7     1.8   -80.6     5.2
2006.7810  -135.6     1.1    54.3     1.8   -83.9     5.4
2006.7840  -135.3     1.2    55.3     1.9   -86.8     5.3
2006.7864  -134.8     1.2    54.0     1.9   -92.4     5.3
2006.7891  -133.2     1.2    54.2     1.9   -90.6     5.4
2006.7920  -133.9     1.1    55.3     1.8   -90.1     5.3
2006.7950  -134.8     1.1    54.4     1.8   -91.9     5.2
2006.7973  -134.2     1.2    55.3     1.9   -96.1     5.3
2006.8001  -135.2     1.1    55.1     1.8   -89.8     5.4
2006.8030  -134.1     1.1    53.4     1.9   -92.8     5.7
2006.8060  -133.9     1.1    54.0     1.9   -88.7     5.5
2006.8083  -134.7     1.1    55.5     1.8   -89.8     5.4
2006.8110  -133.3     1.1    53.7     1.8   -89.9     5.3
2006.8140  -134.6     1.1    53.5     1.9   -89.2     5.5
2006.8170  -134.8     1.1    52.6     1.9   -89.2     5.5
2006.8193  -133.1     1.1    55.4     1.8   -90.6     5.3
2006.8220  -133.3     1.1    55.6     1.8   -84.9     5.2
2006.8250  -134.2     1.1    55.2     1.8   -89.9     5.4
2006.8280  -132.1     1.1    55.0     1.8   -92.2     5.4
2006.8302  -132.2     1.1    55.3     1.8   -92.8     5.2
2006.8330  -132.9     1.1    54.9     1.8   -94.8     5.1
2006.8360  -133.0     1.1    54.8     1.8   -95.1     5.2
2006.8390  -132.7     1.1    54.8     1.8   -94.2     5.2
2006.8411  -131.9     1.1    55.0     1.8   -90.3     5.3
2006.8440  -131.2     1.1    54.1     1.9   -94.4     5.5
2006.8470  -130.9     1.1    53.3     1.8   -91.5     5.4
2006.8493  -131.6     1.1    52.8     1.8   -86.6     5.2
2006.8521  -131.4     1.0    52.6     1.8   -91.5     5.3
2006.8550  -131.6     1.1    54.7     1.8   -91.1     5.3
2006.8580  -131.0     1.1    54.5     1.9   -92.0     5.5
2006.8603  -131.1     1.1    54.4     1.9   -95.7     5.4
2006.8631  -131.2     1.1    53.0     1.9   -87.0     5.5
2006.8660  -130.7     1.1    53.5     1.9   -87.8     5.6
2006.8690  -131.0     1.0    53.9     1.8   -94.7     5.3
2006.8713  -132.8     1.1    53.3     1.8   -85.4     5.3
2006.8740  -131.9     1.1    54.1     1.9   -89.7     5.6
2006.8770  -131.5     1.1    53.6     1.8   -88.2     5.3
2006.8800  -131.6     1.1    54.8     1.8   -86.6     5.2
2006.8823  -131.7     1.1    55.6     1.9   -88.0     5.6
2006.8850  -132.3     1.2    55.4     1.9   -87.2     5.5
2006.8880  -131.8     1.1    54.9     1.9   -90.6     5.4
2006.8910  -133.0     1.1    54.8     1.8   -96.1     5.3
2006.8931  -131.4     1.1    55.5     1.9   -94.7     5.4
2006.8960  -131.4     1.1    55.0     1.9   -95.1     5.6
2006.8990  -131.5     1.1    54.4     1.9   -97.3     5.7
2006.9014  -132.4     1.2    54.8     1.8   -94.8     5.5
2006.9041  -132.5     1.2    55.2     1.8   -91.8     5.5
2006.9070  -131.5     1.1    53.8     1.9   -89.4     5.5
2006.9100  -132.5     1.1    55.6     1.8   -99.6     5.5
2006.9123  -133.6     1.1    55.9     1.9  -103.1     5.6
