% site name: NRSK
% Time      North     err   East      err    Up       err
% year      mm        mm    mm        mm     mm       mm
2008.5170  -104.5     1.6    48.2     3.1   -15.4    11.4
2008.5200  -102.5     1.2    48.1     1.9   -23.7     5.5
2008.5222  -104.5     1.3    49.0     2.0   -23.8     5.6
2008.5250  -104.0     1.3    49.7     2.0   -31.2     5.8
2008.5280  -104.2     1.3    49.4     2.0   -27.0     5.6
2008.5310  -104.1     1.3    49.3     2.0   -38.4     6.0
2008.5332  -103.9     1.3    50.2     2.0   -28.3     6.0
2008.5390  -104.0     1.2    50.0     2.1   -26.9     6.0
2008.5413  -104.5     1.3    47.2     2.0   -26.4     5.9
2008.5441  -104.3     1.3    49.4     2.0   -25.9     5.7
2008.5470  -105.1     1.3    47.7     2.0   -28.5     5.8
2008.5500  -104.3     1.2    46.9     2.1   -29.6     5.8
2008.5550  -103.2     1.3    50.4     2.0   -28.8     5.8
2008.5580  -103.5     1.3    47.5     2.0   -27.0     5.9
2008.5610  -103.8     1.3    48.4     2.0   -27.5     6.0
2008.5633  -105.1     1.3    48.9     2.0   -27.3     5.8
2008.5660  -104.2     1.3    48.9     2.0   -26.2     5.6
2008.5690  -104.2     1.3    48.2     2.0   -29.9     5.8
2008.5720  -103.8     1.3    48.8     2.0   -27.8     5.8
2008.5742  -105.8     1.3    46.7     2.0   -35.0     5.9
2008.5770  -104.3     1.3    47.1     2.0   -29.3     5.7
2008.5800  -104.1     1.2    48.0     1.9   -32.2     5.6
2008.5830  -105.2     1.3    48.1     2.0   -28.4     5.7
2008.5880  -103.7     1.2    47.0     1.9   -28.9     5.5
2008.5910  -103.7     1.3    45.7     2.0   -35.5     5.8
2008.5933  -103.7     1.2    47.2     1.9   -22.2     5.6
2008.5961  -104.5     1.3    47.0     2.0   -34.4     5.6
2008.5990  -104.9     1.3    48.7     2.0   -31.3     5.7
2008.6020  -105.0     1.3    47.9     2.0   -32.6     6.0
2008.6043  -105.0     1.3    47.3     2.0   -37.9     5.7
2008.6071  -104.5     1.4    47.4     2.2   -26.3     6.5
2008.6100  -104.6     1.3    47.7     2.0   -30.4     6.0
2008.6130  -104.5     1.3    47.9     2.1   -23.8     6.1
2008.6153  -104.3     1.2    46.9     2.1   -29.0     6.0
2008.6180  -104.5     1.3    47.8     2.0   -30.1     5.7
2008.6210  -104.3     1.2    49.1     1.9   -28.2     5.6
2008.6240  -104.4     1.3    47.7     2.0   -30.4     5.7
2008.6263  -104.6     1.3    48.1     1.9   -29.7     5.7
2008.6290  -104.2     1.3    48.7     1.9   -27.3     5.7
2008.6320  -106.5     1.4    49.7     2.0   -34.1     6.2
2008.6350  -104.4     1.3    50.1     2.1   -32.4     6.2
2008.6372  -103.3     1.3    49.1     2.0   -24.9     5.9
2008.6400  -104.3     1.3    48.7     2.0   -28.8     5.7
2008.6430  -103.4     1.3    50.2     2.0   -31.1     5.9
2008.6460  -102.5     1.2    49.3     1.9   -24.5     5.5
2008.6481  -103.7     1.3    49.2     2.0   -26.0     5.6
2008.6510  -103.2     1.3    48.3     1.9   -29.4     5.7
2008.6540  -104.0     1.2    48.4     1.9   -20.7     5.6
2008.6563  -101.9     1.2    46.9     1.9   -26.9     5.6
2008.6591  -106.1     1.7    48.2     2.3   -34.1     9.0
2008.6620  -104.0     1.2    47.1     1.9   -29.3     5.6
2008.6650  -104.1     1.2    45.8     1.9   -31.3     5.6
2008.6673  -103.0     1.3    48.2     2.0   -32.4     5.8
2008.6700  -103.3     1.2    47.1     1.9   -26.9     5.6
2008.6730  -102.2     1.3    45.9     1.9   -29.3     5.7
2008.6760  -102.8     1.3    46.1     2.0   -30.1     5.9
2008.6783  -102.4     1.4    48.2     2.0   -27.2     6.2
2008.6810  -101.6     1.3    47.5     2.0   -25.3     5.8
2008.6840  -102.9     1.3    47.9     2.0   -29.7     5.9
2008.6870  -103.1     1.3    47.7     2.0   -30.5     5.8
2008.6892  -101.9     1.4    47.8     2.0   -26.2     6.1
2008.6920  -102.8     1.3    47.9     2.0   -26.3     5.6
2008.6950  -102.3     1.2    47.7     1.9   -30.1     5.6
