% site name: NUUK
% Time      North     err   East      err    Up       err
% year      mm        mm    mm        mm     mm       mm
2009.0041   -57.1     2.3    89.3     2.3   -34.5     3.2
2009.0070   -56.5     2.5    89.4     2.4   -36.2     3.3
2009.0100   -55.6     2.5    88.2     2.4   -32.9     3.3
2009.0123   -55.7     2.3    88.0     2.3   -30.0     3.2
2009.0150   -55.2     2.4    87.6     2.3   -32.1     3.3
2009.0180   -55.3     2.3    88.1     2.3   -32.6     3.2
2009.0210   -56.5     2.3    86.9     2.3   -28.7     3.2
2009.0233   -56.8     2.4    87.5     2.3   -33.6     3.3
2009.0260   -57.6     2.5    86.6     2.4   -25.1     3.3
2009.0290   -56.1     2.4    86.5     2.3   -26.1     3.3
2009.0314   -55.0     2.3    87.9     2.3   -28.9     3.2
2009.0341   -57.4     2.3    87.3     2.3   -29.1     3.2
2009.0370   -56.3     2.3    85.9     2.3   -30.7     3.2
2009.0400   -56.4     2.5    87.1     2.4   -27.3     3.3
2009.0424   -54.8     2.4    86.8     2.5   -30.5     3.3
2009.0451   -55.9     2.3    86.8     2.3   -27.2     3.2
2009.0480   -57.7     2.3    86.6     2.3   -28.1     3.2
2009.0510   -57.7     2.3    86.9     2.3   -30.2     3.2
2009.0533   -57.5     2.5    87.0     2.4   -29.4     3.3
2009.0561   -55.4     2.3    85.5     2.3   -30.4     3.2
2009.0590   -56.8     2.3    85.2     2.3   -29.0     3.2
2009.0620   -56.8     2.3    87.1     2.3   -31.3     3.2
2009.0670   -58.2     2.3    83.9     2.3   -34.8     3.2
2009.0700   -57.3     2.3    84.9     2.3   -32.4     3.2
2009.0730   -57.6     2.3    86.0     2.3   -34.0     3.2
2009.0753   -56.7     2.3    86.5     2.3   -32.1     3.2
2009.0780   -56.3     2.3    86.1     2.3   -30.1     3.2
2009.0810   -56.2     2.3    87.1     2.3   -30.3     3.2
2009.0834   -55.7     2.3    86.4     2.3   -30.5     3.2
2009.0861   -55.0     2.3    85.4     2.3   -32.4     3.2
