% site name: PLPK
% Time      North     err   East      err    Up       err
% year      mm        mm    mm        mm     mm       mm
2007.6110   -95.3     2.5    81.3     4.4   -58.8     8.3
2007.6132   -97.1     1.8    82.1     2.4   -60.1     4.0
2007.6160   -98.0     1.8    82.0     2.4   -54.7     4.0
2007.6190   -97.7     1.8    81.1     2.6   -60.5     4.2
2007.6214   -97.2     1.9    81.9     2.6   -56.8     4.5
2007.6242   -98.6     1.9    82.7     2.6   -59.4     4.4
2007.6270   -98.3     1.8    82.3     2.4   -56.5     4.1
2007.6300   -97.4     1.8    82.7     2.5   -55.8     4.3
2007.6324   -97.9     1.8    81.4     2.4   -55.0     4.2
2007.6351   -98.3     1.8    82.9     2.4   -55.0     4.1
2007.6380   -98.0     1.8    82.8     2.4   -55.0     4.1
2007.6410   -98.0     1.8    83.1     2.4   -54.0     4.1
2007.6434   -99.3     1.8    83.4     2.4   -56.7     4.0
2007.6461   -99.1     1.8    83.1     2.4   -53.9     4.1
2007.6490   -96.4     1.9    82.2     2.6   -59.5     4.3
2007.6520   -98.2     1.8    83.3     2.6   -58.2     4.5
2007.6542   -97.5     1.9    82.1     2.6   -55.9     4.6
2007.6571   -98.0     1.8    83.3     2.5   -59.0     4.3
2007.6600   -95.6     1.9    83.2     2.6   -55.0     4.3
2007.6630   -98.8     1.9    82.2     2.5   -52.7     4.2
2007.6652   -99.1     1.8    81.7     2.5   -52.6     4.4
2007.6680   -97.7     1.8    83.1     2.6   -53.4     4.5
2007.6710   -98.4     1.9    83.3     2.6   -52.2     4.5
2007.6734   -98.8     1.8    82.2     2.5   -53.1     4.3
2007.6762   -98.1     1.8    82.7     2.4   -51.9     4.1
2007.6790   -98.1     1.9    81.7     2.6   -50.7     4.3
2007.6820   -98.4     2.0    82.4     2.7   -54.0     4.6
2007.6844   -97.3     1.8    82.3     2.5   -52.8     4.3
2007.6872   -96.9     1.9    81.0     2.6   -52.2     4.3
2007.6900   -97.5     1.8    81.7     2.4   -55.7     4.2
2007.6930   -97.3     1.8    81.9     2.4   -53.1     4.2
2007.6954   -97.4     1.8    81.8     2.5   -55.1     4.3
2007.6981   -97.5     1.8    81.7     2.4   -53.1     4.1
2007.7010   -96.5     1.8    82.2     2.4   -51.2     4.1
2007.7040   -96.8     1.9    81.8     2.6   -48.7     4.3
2007.7064   -96.6     1.9    81.1     2.5   -48.4     4.2
2007.7091   -96.2     1.8    82.5     2.4   -49.1     4.1
2007.7120   -99.1     1.8    83.7     2.4   -51.2     4.1
2007.7150   -97.5     1.8    81.6     2.4   -53.0     4.1
2007.7172   -96.6     1.7    81.9     2.4   -49.0     4.0
2007.7200   -96.1     1.8    82.2     2.6   -52.1     4.2
2007.7230   -95.2     1.8    82.0     2.5   -51.2     4.3
2007.7260   -95.2     1.8    81.5     2.6   -53.2     4.2
2007.7282   -95.9     1.8    82.1     2.4   -51.4     4.1
2007.7310   -94.7     1.8    82.9     2.6   -53.7     4.2
2007.7340   -97.8     1.8    82.9     2.4   -57.6     4.1
2007.7364   -96.4     1.8    82.9     2.4   -52.9     4.1
2007.7392   -96.4     1.9    82.6     2.5   -53.3     4.2
2007.7420   -96.7     1.8    82.6     2.6   -56.6     4.2
2007.7450   -95.9     1.9    82.1     2.8   -55.8     4.6
2007.7474   -96.1     1.8    83.0     2.6   -54.1     4.1
2007.7501   -98.1     1.8    83.3     2.4   -51.9     4.1
2007.7530   -97.9     1.8    82.8     2.4   -50.1     4.1
2007.7560   -97.5     1.9    84.9     2.6   -50.8     4.3
2007.7584   -95.7     1.8    81.8     2.4   -57.4     4.1
2007.7611   -95.2     1.9    82.4     2.5   -58.8     4.1
2007.7640   -96.0     1.8    82.4     2.4   -56.8     4.1
2007.7670   -93.2     1.8    82.4     2.4   -54.5     4.0
2007.7692   -93.4     1.9    80.4     2.6   -52.3     4.4
2007.7720   -93.8     1.9    81.9     2.6   -57.6     4.3
2007.7750   -94.0     1.8    80.4     2.4   -53.2     4.2
2007.7780   -95.8     1.8    81.7     2.4   -55.2     4.0
2007.7802   -97.5     1.8    81.5     2.4   -54.8     4.1
2007.7830   -96.4     1.8    81.7     2.4   -53.4     4.0
2007.7860   -96.1     1.8    81.4     2.4   -53.1     4.0
2007.7884   -96.2     1.8    81.2     2.4   -48.8     4.0
2007.7912   -95.4     1.8    81.7     2.4   -52.9     4.0
2007.7940   -95.7     1.8    80.7     2.4   -49.8     4.1
2007.7970   -95.4     1.9    81.4     2.6   -48.5     4.4
2007.7994   -95.0     1.8    83.4     2.6   -52.8     4.5
2007.8022   -94.1     1.8    83.4     2.6   -50.9     4.2
2007.8050   -94.6     1.8    83.4     2.4   -51.4     4.0
2007.8080   -96.2     1.7    83.1     2.5   -51.8     4.2
2007.8104   -93.2     1.7    83.9     2.5   -52.7     4.2
2007.8131   -94.0     1.8    81.8     2.4   -48.8     4.1
2007.8160   -92.9     1.9    83.4     2.6   -51.5     4.3
2007.8190   -94.3     1.9    84.0     2.7   -52.6     4.5
2007.8214   -95.4     1.8    82.9     2.6   -46.2     4.2
2007.8240   -94.4     1.8    82.5     2.4   -49.5     4.1
2007.8270   -94.4     1.9    82.8     2.6   -49.4     4.3
2007.8300   -93.6     1.8    81.5     2.4   -46.3     4.1
2007.8322   -94.3     1.8    80.3     2.4   -52.4     4.0
2007.8350   -92.6     1.8    82.6     2.4   -52.6     4.0
2007.8380   -95.0     1.8    81.5     2.4   -55.6     4.1
2007.8410   -93.1     1.8    82.6     2.4   -55.8     4.0
2007.8432   -90.7     1.8    78.4     2.4   -62.5     4.0
2007.8460   -91.8     1.8    80.7     2.4   -56.3     4.0
2007.8490   -94.8     1.8    80.9     2.4   -50.4     4.0
2007.8514   -93.0     1.8    79.5     2.4   -53.4     4.0
2007.8542   -93.8     1.8    80.2     2.4   -53.1     4.1
2007.8600   -92.9     1.8    80.0     2.4   -50.8     4.1
2007.8624   -92.5     1.8    80.5     2.4   -50.5     4.2
2007.8651   -93.5     1.8    81.3     2.4   -52.1     4.0
2007.8680   -93.9     1.9    81.4     2.5   -53.8     4.2
2007.8710   -94.1     1.8    80.5     2.5   -53.4     4.3
2007.8760   -93.1     1.8    82.1     2.4   -51.0     4.1
2007.8790   -92.5     1.8    82.0     2.4   -53.9     4.1
2007.8820   -92.7     1.8    78.6     2.4   -51.7     4.1
2007.8842   -93.4     1.8    80.2     2.6   -53.4     4.2
2007.8870   -92.3     1.8    79.3     2.8   -47.9     4.7
2007.8900   -93.2     1.8    80.2     2.5   -50.6     4.3
2007.8930   -93.1     1.9    79.8     2.6   -48.6     4.4
2007.8952   -94.3     1.8    79.5     2.6   -50.1     4.2
2007.8980   -93.7     1.9    81.3     2.6   -49.8     4.3
2007.9010   -94.0     1.8    81.6     2.4   -50.6     4.1
2007.9034   -92.8     1.8    82.6     2.5   -48.8     4.3
2007.9062   -93.4     1.8    81.1     2.4   -49.5     4.1
2007.9090   -91.6     1.8    81.6     2.4   -48.1     4.1
2007.9120   -92.9     1.8    81.2     2.4   -53.4     4.1
2007.9144   -91.5     1.8    80.2     2.4   -53.7     4.1
2007.9200   -92.2     1.8    79.0     2.4   -53.7     4.0
2007.9230   -93.6     1.8    78.4     2.4   -51.6     4.0
2007.9254   -94.0     1.8    81.2     2.4   -48.0     4.1
2007.9281   -93.8     1.8    82.6     2.5   -44.0     4.3
2007.9310   -92.5     1.8    80.5     2.4   -51.2     4.0
2007.9340   -94.7     1.8    78.6     2.4   -48.7     4.1
2007.9364   -93.9     1.8    79.3     2.4   -49.3     4.0
2007.9390   -92.2     1.8    79.4     2.6   -48.3     4.2
2007.9420   -91.1     1.9    79.9     2.6   -52.4     4.3
2007.9450   -92.5     1.8    81.8     2.6   -48.1     4.5
2007.9472   -91.6     1.8    78.6     2.7   -54.0     4.3
2007.9500   -94.4     1.9    81.4     2.6   -53.7     4.3
2007.9530   -90.8     1.7    81.1     2.5   -49.1     4.2
2007.9560   -92.0     1.8    78.6     2.4   -48.0     4.0
2007.9582   -90.9     1.7    80.0     2.5   -52.0     4.2
2007.9610   -90.8     1.8    80.4     2.6   -54.0     4.2
2007.9640   -90.2     1.8    81.0     2.6   -54.5     4.4
2007.9664   -91.7     1.8    80.9     2.6   -51.9     4.2
2007.9692   -93.5     1.8    79.6     2.6   -52.4     4.1
2007.9720   -92.9     1.8    81.0     2.6   -60.1     4.1
2007.9750   -91.1     1.8    81.3     2.6   -64.6     4.2
2007.9774   -92.1     1.8    79.9     2.4   -59.3     4.0
2007.9801   -91.7     1.8    80.2     2.4   -61.7     4.0
2007.9830   -90.2     1.8    81.0     2.4   -57.3     4.0
2007.9860   -91.5     1.8    81.6     2.4   -60.9     4.0
2007.9884   -89.3     1.8    82.5     2.6   -61.3     4.4
2007.9910   -90.3     1.8    80.7     2.6   -59.3     4.1
2007.9940   -90.3     1.8    80.1     2.4   -63.4     4.1
2007.9970   -92.6     1.7    79.5     2.6   -55.7     4.1
2007.9992   -92.6     1.8    79.5     2.6   -59.7     4.1
2008.0020   -92.0     1.8    79.1     2.5   -55.9     4.3
2008.0050   -91.4     1.8    78.2     2.4   -53.7     4.0
2008.0102   -92.7     1.7    79.3     2.4   -55.6     4.0
2008.0130   -90.9     1.9    78.9     2.7   -56.0     4.5
2008.0160   -91.4     1.8    78.6     2.6   -54.2     4.4
2008.0184   -90.6     1.8    80.2     2.5   -56.8     4.3
2008.0212   -92.9     1.8    81.1     2.7   -55.9     4.6
2008.0240   -91.5     1.8    78.2     2.4   -61.0     4.1
2008.0270   -90.9     1.8    78.1     2.4   -58.3     4.0
2008.0294   -91.6     1.8    78.4     2.4   -58.2     4.1
2008.0322   -90.4     1.7    76.7     2.5   -63.1     4.2
2008.0350   -90.6     1.9    76.5     2.6   -61.8     4.3
2008.0380   -90.8     1.8    76.9     2.8   -59.2     4.6
2008.0404   -91.3     1.8    77.4     2.4   -58.6     4.1
2008.0430   -90.2     1.8    76.7     2.6   -55.5     4.2
2008.0460   -92.4     1.9    77.2     2.6   -59.4     4.3
2008.0490   -91.3     1.8    77.0     2.6   -64.2     4.5
2008.0513   -91.3     1.7    77.2     2.5   -64.3     4.2
2008.0540   -91.1     1.8    76.5     2.4   -65.9     4.2
2008.0570   -90.8     1.8    77.3     2.4   -62.4     4.1
2008.0622   -92.0     1.8    77.2     2.4   -52.0     4.0
2008.0650   -91.7     1.7    78.1     2.4   -52.0     4.0
2008.0680   -91.8     1.8    78.2     2.6   -53.9     4.2
2008.0710   -91.5     1.8    76.8     2.4   -54.5     4.0
2008.0732   -89.7     1.8    78.0     2.4   -55.8     4.0
2008.0760   -89.5     1.8    78.6     2.6   -57.8     4.1
2008.0790   -90.7     1.8    77.1     2.5   -56.3     4.3
2008.0814   -90.8     1.8    76.1     2.5   -56.5     4.3
2008.0842   -91.6     1.8    75.8     2.6   -60.4     4.3
2008.0870   -91.2     1.9    76.1     2.8   -53.0     4.6
2008.0900   -91.7     1.9    75.9     2.7   -51.7     4.3
2008.0924   -90.7     1.8    76.2     2.6   -47.2     4.4
2008.0950   -89.4     1.8    76.0     2.6   -53.0     4.3
2008.0980   -89.4     1.7    76.7     2.6   -54.3     4.2
2008.1010   -88.8     1.8    78.6     2.6   -55.2     4.5
2008.1033   -89.7     1.8    79.0     2.5   -50.9     4.3
2008.1060   -89.1     1.8    78.1     2.4   -49.5     4.0
2008.1090   -88.8     1.8    77.8     2.5   -55.7     4.2
2008.1120   -88.8     1.7    76.8     2.6   -49.6     4.2
2008.1142   -87.6     1.8    76.6     2.6   -52.6     4.3
2008.1170   -86.4     1.9    74.8     2.6   -52.6     4.1
2008.1200   -85.8     1.7    75.6     2.6   -55.7     4.1
2008.1230   -86.9     1.8    75.8     2.6   -56.7     4.3
2008.1252   -87.1     1.9    74.9     2.6   -57.3     4.2
2008.1280   -87.4     1.8    75.7     2.4   -55.8     4.1
2008.1310   -88.4     1.8    75.6     2.4   -54.5     4.0
2008.1334   -88.5     1.7    79.4     2.6   -52.4     4.2
2008.1362   -87.3     1.8    76.4     2.6   -51.5     4.2
2008.1390   -87.2     1.8    75.8     2.4   -49.6     4.1
2008.1420   -88.3     1.8    76.4     2.4   -49.2     4.0
2008.1444   -87.6     1.7    76.5     2.4   -50.9     4.0
2008.1472   -86.8     1.7    75.6     2.4   -51.1     4.1
2008.1500   -88.1     1.8    75.6     2.4   -56.1     4.0
2008.1530   -87.6     1.7    76.0     2.4   -55.7     4.0
2008.1553   -88.3     1.7    75.1     2.4   -57.0     4.0
2008.1580   -88.8     1.8    76.2     2.6   -57.2     4.1
2008.1610   -88.7     1.8    76.4     2.8   -59.9     4.8
2008.1640   -86.9     2.0    76.2     2.9   -54.9     5.1
2008.1663   -89.0     2.0    75.4     2.6   -56.2     4.5
2008.1690   -88.1     1.8    74.4     2.5   -56.8     4.2
2008.1720   -86.9     1.7    75.2     2.4   -58.9     4.1
2008.1750   -87.1     1.8    76.0     2.4   -57.3     4.0
2008.1772   -87.3     1.8    76.1     2.6   -57.4     4.4
2008.1800   -88.9     1.8    74.8     2.4   -57.3     4.1
2008.1830   -88.2     1.8    76.0     2.5   -54.4     4.2
2008.1860   -88.1     1.7    75.3     2.4   -53.3     4.0
2008.1882   -90.5     1.8    75.7     2.8   -49.5     4.6
2008.1910   -89.3     1.8    77.3     2.6   -48.8     4.5
2008.1940   -89.4     1.9    75.3     2.6   -51.1     4.1
2008.1964   -89.6     1.8    75.4     2.6   -56.3     4.2
2008.1992   -87.0     1.8    75.5     2.6   -58.1     4.2
2008.2020   -87.2     1.8    74.0     2.7   -56.0     4.5
2008.2050   -89.2     1.9    73.6     2.4   -61.0     4.0
2008.2073   -87.1     1.8    72.1     2.4   -61.0     4.1
2008.2100   -89.3     1.8    72.9     2.5   -62.5     4.2
2008.2130   -89.3     1.7    73.4     2.4   -58.9     4.0
2008.2160   -85.7     1.8    76.6     2.7   -58.3     4.4
2008.2183   -86.7     1.9    71.8     2.6   -63.8     4.2
2008.2210   -86.0     1.8    71.1     2.6   -51.6     4.4
2008.2240   -86.9     1.8    71.0     2.6   -54.6     4.3
2008.2270   -87.9     1.9    72.2     2.6   -52.9     4.2
2008.2292   -89.4     1.8    71.0     2.4   -55.5     4.1
2008.2320   -88.6     1.8    74.1     2.6   -54.3     4.3
2008.2350   -90.3     1.9    73.6     2.8   -48.4     4.7
2008.2380   -87.8     1.9    74.2     3.0   -49.5     5.1
2008.2402   -89.3     2.0    73.8     3.2   -54.6     5.6
2008.2430   -87.2     2.1    74.4     2.6   -53.1     4.4
2008.2460   -87.1     1.9    74.0     2.6   -60.8     4.4
2008.2484   -87.9     1.8    73.2     2.6   -59.1     4.1
2008.2512   -87.3     1.8    73.4     2.6   -60.2     4.5
2008.2540   -85.8     1.8    74.2     2.5   -59.1     4.2
2008.2570   -87.2     1.7    73.1     2.5   -63.1     4.0
2008.2593   -86.6     1.8    71.7     2.6   -62.1     4.4
2008.2622   -86.6     1.9    71.7     2.6   -63.4     4.3
2008.2650   -87.7     1.9    72.7     2.6   -60.8     4.5
2008.2680   -87.1     1.9    72.0     2.7   -56.8     4.4
2008.2703   -87.7     1.9    72.4     2.6   -58.9     4.4
2008.2730   -88.4     1.8    72.6     2.6   -58.3     4.2
2008.2760   -87.0     1.8    72.4     2.6   -58.3     4.2
2008.2790   -87.5     1.8    72.0     2.4   -59.7     4.0
2008.2813   -87.8     1.8    71.9     2.6   -58.9     4.3
2008.2840   -87.0     1.9    73.2     2.6   -59.0     4.2
2008.2870   -89.3     1.8    72.8     2.5   -56.5     4.3
2008.2900   -87.5     1.8    73.0     2.6   -57.5     4.3
2008.2922   -88.7     1.9    73.3     2.8   -58.9     5.0
2008.2950   -86.6     2.1    73.2     2.6   -57.4     4.2
2008.2980   -85.1     1.8    73.3     2.6   -60.7     4.2
2008.3010   -86.6     1.8    73.1     2.6   -58.4     4.5
2008.3032   -86.1     1.8    71.0     2.6   -57.5     4.2
2008.3060   -85.8     1.8    73.0     2.4   -58.8     4.1
2008.3090   -85.2     1.8    72.4     2.6   -64.0     4.2
2008.3114   -84.6     1.8    72.2     3.2   -59.3     5.6
2008.3142   -85.8     2.2    72.2     2.6   -58.6     4.5
2008.3170   -84.8     1.9    71.6     2.6   -62.9     4.3
2008.3200   -86.0     1.9    71.4     2.8   -60.1     5.0
2008.3223   -86.0     1.9    71.7     2.6   -68.0     4.2
2008.3250   -83.9     1.8    71.5     2.7   -62.2     4.3
2008.3280   -85.3     1.8    71.5     2.6   -64.0     4.5
2008.3310   -84.0     1.8    71.3     2.6   -63.9     4.2
2008.3333   -84.3     1.8    70.1     2.6   -64.3     4.2
2008.3360   -83.5     1.8    70.0     2.4   -69.2     4.1
2008.3390   -84.3     1.8    70.9     2.6   -67.5     4.2
2008.3420   -85.5     1.8    70.3     2.6   -63.8     4.1
2008.3442   -84.1     1.8    69.5     2.6   -57.3     4.5
2008.3470   -83.6     1.8    68.9     2.6   -58.8     4.3
2008.3500   -84.3     1.7    69.4     2.6   -58.5     4.2
2008.3530   -82.5     1.8    71.0     2.5   -54.6     4.2
2008.3552   -84.1     1.7    70.9     2.4   -57.7     4.0
2008.3580   -85.2     1.8    69.6     2.4   -56.7     4.1
2008.3610   -83.7     1.8    71.0     2.6   -54.7     4.2
2008.3634   -84.5     1.8    71.7     2.4   -57.2     4.1
2008.3662   -83.4     1.8    70.4     2.6   -59.8     4.2
2008.3690   -82.7     1.8    70.3     2.4   -57.3     4.0
2008.3720   -84.0     1.8    69.9     2.5   -57.5     4.1
2008.3743   -84.6     1.9    70.3     2.4   -56.4     4.1
2008.3771   -83.6     1.8    70.3     2.4   -57.0     4.0
2008.3800   -82.4     1.8    70.4     2.4   -53.4     4.1
2008.3830   -81.8     1.8    69.8     2.6   -56.4     4.2
2008.3853   -83.6     1.8    70.7     2.6   -56.2     4.2
2008.3880   -82.5     1.8    71.7     2.6   -54.4     4.2
2008.3910   -82.5     1.8    72.0     2.6   -56.8     4.2
2008.3940   -82.0     1.8    70.6     2.6   -54.4     4.2
2008.3963   -84.5     1.8    69.5     2.5   -58.5     4.3
2008.3990   -83.6     1.8    70.2     2.4   -56.1     4.1
2008.4020   -82.5     1.8    68.7     2.5   -52.5     4.2
2008.4050   -81.6     1.7    69.8     2.5   -53.7     4.2
2008.4072   -82.0     1.7    69.1     2.6   -52.6     4.3
2008.4100   -81.7     1.9    70.7     2.6   -52.7     4.3
2008.4130   -83.5     1.9    70.2     2.6   -53.2     4.3
2008.4160   -82.7     1.9    70.2     2.6   -52.2     4.3
2008.4182   -82.7     1.9    69.6     2.6   -49.4     4.2
2008.4210   -82.5     1.8    70.1     2.4   -54.6     4.1
2008.4240   -80.0     1.8    68.9     2.4   -52.7     4.1
2008.4263   -80.7     1.8    71.8     2.4   -59.0     4.1
2008.4291   -81.3     1.8    70.3     2.4   -62.0     4.0
2008.4320   -83.6     1.8    69.6     2.6   -59.8     4.4
2008.4350   -82.9     1.9    72.5     2.7   -53.7     4.6
2008.4373   -82.7     2.0    71.2     2.6   -54.9     4.4
2008.4430   -82.3     1.9    69.6     2.4   -58.3     4.1
2008.4460   -81.4     1.8    68.8     2.4   -56.3     4.1
2008.4483   -81.4     1.8    68.0     2.5   -57.2     4.3
2008.4510   -80.8     1.8    67.8     2.4   -55.2     4.1
2008.4540   -81.0     1.8    69.4     2.6   -55.5     4.5
2008.4570   -80.7     1.8    68.0     2.7   -56.9     4.6
2008.4592   -82.4     2.0    67.6     2.6   -53.4     4.5
2008.4620   -82.5     1.8    67.6     2.6   -58.4     4.5
2008.4650   -83.0     1.9    67.4     2.4   -59.6     4.1
2008.4680   -82.7     1.8    66.7     2.5   -55.6     4.2
2008.4702   -82.1     1.7    68.3     2.6   -56.2     4.4
2008.4730   -81.7     1.9    68.0     2.5   -56.0     4.3
2008.4760   -81.0     1.8    68.4     2.4   -55.9     4.1
2008.4783   -82.9     1.8    68.6     2.4   -57.7     4.1
2008.4812   -82.3     1.8    68.9     2.5   -57.8     4.3
2008.4840   -81.6     1.8    68.1     2.6   -59.0     4.5
2008.4870   -81.9     1.8    68.1     2.6   -58.7     4.2
2008.4893   -81.4     1.8    68.4     2.6   -57.0     4.2
2008.4921   -81.6     1.8    68.4     2.4   -55.5     4.1
2008.4950   -80.7     1.8    68.0     2.6   -55.5     4.3
2008.4980   -80.1     1.9    68.8     2.4   -53.3     4.1
2008.5003   -81.4     1.8    68.8     2.4   -52.5     4.2
2008.5030   -81.3     1.8    67.7     2.4   -50.5     4.2
2008.5060   -81.3     1.8    68.2     2.4   -62.3     4.1
2008.5090   -82.2     1.8    67.7     2.4   -64.0     4.2
2008.5113   -81.5     1.8    67.5     2.6   -58.6     4.2
2008.5140   -82.0     1.8    68.0     2.4   -56.9     4.1
2008.5170   -80.7     1.8    69.2     2.5   -52.5     4.3
2008.5200   -79.9     1.8    68.1     2.4   -52.9     4.1
2008.5222   -80.6     1.8    68.2     2.4   -50.3     4.1
2008.5250   -80.8     1.8    69.8     2.6   -52.9     4.3
2008.5280   -81.2     1.9    67.8     2.4   -51.9     4.2
2008.5310   -81.1     1.8    68.7     2.7   -54.9     4.7
2008.5332   -81.0     2.0    69.0     2.6   -47.5     4.5
2008.5390   -80.3     1.9    68.7     2.6   -52.7     4.3
2008.5413   -80.3     1.9    66.8     2.6   -51.4     4.2
2008.5441   -80.5     1.8    69.1     2.4   -48.6     4.1
2008.5470   -81.6     1.8    66.9     2.5   -52.0     4.3
2008.5500   -81.0     1.8    66.3     2.4   -51.4     4.1
2008.5550   -80.4     1.8    68.9     2.6   -52.9     4.2
2008.5580   -81.2     1.8    67.5     2.6   -53.9     4.3
2008.5610   -79.7     1.9    70.3     2.6   -50.0     4.5
2008.5633   -81.9     1.9    66.0     2.5   -53.7     4.2
2008.5660   -81.1     1.7    67.4     2.4   -47.5     4.1
2008.5690   -80.0     1.8    66.4     2.6   -52.5     4.2
2008.5720   -79.6     1.8    68.1     2.6   -48.2     4.3
2008.5742   -81.5     1.9    66.3     2.5   -52.9     4.2
2008.5770   -81.1     1.9    65.5     2.5   -51.4     4.1
2008.5800   -79.8     1.9    66.8     2.5   -52.3     4.1
2008.5830   -81.5     1.9    66.5     2.4   -55.0     4.1
2008.5880   -80.9     1.8    65.8     2.4   -57.4     4.1
2008.5910   -81.0     1.8    66.3     2.6   -51.8     4.2
2008.5933   -80.3     1.8    66.5     2.4   -49.5     4.1
2008.5961   -80.6     1.8    66.8     2.4   -50.7     4.1
2008.5990   -81.3     1.8    67.6     2.4   -52.2     4.1
2008.6020   -81.2     1.8    67.6     2.6   -46.4     4.3
2008.6043   -81.8     1.9    66.2     2.4   -46.8     4.2
2008.6071   -81.2     1.8    67.1     2.6   -46.5     4.5
2008.6100   -83.1     1.8    66.6     2.6   -49.1     4.3
2008.6130   -82.3     1.9    66.6     2.4   -48.5     4.2
2008.6153   -82.6     1.8    66.6     2.4   -47.7     4.2
2008.6180   -82.5     1.8    67.0     2.5   -44.7     4.3
2008.6210   -83.3     1.9    67.8     2.4   -44.9     4.2
2008.6240   -83.1     1.8    68.5     2.4   -48.5     4.2
2008.6263   -83.6     1.8    66.6     2.4   -45.3     4.1
2008.6290   -83.4     1.8    68.7     2.6   -50.3     4.2
2008.6320   -83.1     1.8    69.1     2.6   -44.5     4.3
2008.6350   -82.5     1.9    68.4     2.6   -52.7     4.3
2008.6372   -80.6     1.9    68.3     2.4   -48.2     4.2
2008.6400   -81.6     1.8    67.4     2.4   -46.8     4.1
2008.6430   -81.8     1.8    68.8     2.4   -45.6     4.2
2008.6460   -81.5     1.8    69.7     2.4   -42.7     4.2
2008.6481   -82.2     1.8    70.1     2.4   -44.9     4.2
2008.6510   -81.8     1.8    69.0     2.4   -45.8     4.1
2008.6540   -82.5     1.8    68.8     2.4   -45.8     4.1
2008.6563   -81.1     1.8    67.1     2.4   -46.5     4.2
2008.6591   -81.9     1.8    67.4     2.6   -46.6     4.3
2008.6620   -79.6     1.9    67.8     2.4   -47.9     4.1
2008.6650   -81.5     1.8    66.5     2.4   -51.6     4.1
2008.6673   -80.9     1.8    67.0     2.4   -49.9     4.1
2008.6700   -81.3     1.8    66.2     2.4   -46.0     4.1
2008.6730   -79.4     1.8    65.2     2.4   -45.4     4.1
2008.6760   -80.0     1.8    67.7     2.4   -43.5     4.2
2008.6783   -79.6     1.8    67.2     2.8   -44.7     4.7
2008.6810   -80.4     1.9    66.7     2.4   -41.5     4.1
2008.6840   -81.2     1.8    67.0     2.5   -40.5     4.3
2008.6870   -81.7     1.8    66.9     2.5   -45.1     4.3
2008.6892   -79.7     1.8    65.8     2.6   -44.8     4.2
2008.6920   -80.1     1.8    66.5     2.4   -50.4     4.2
2008.6950   -81.7     1.8    66.0     2.4   -49.9     4.1
2008.6980   -82.1     1.8    65.6     2.4   -45.5     4.1
2008.7001   -80.0     1.8    66.7     2.4   -48.8     4.1
2008.7030   -80.9     1.8    65.4     2.4   -46.8     4.1
2008.7060   -79.9     1.8    65.9     2.6   -46.9     4.3
2008.7083   -79.6     1.9    66.1     2.6   -45.7     4.5
2008.7111   -80.2     1.8    67.5     2.5   -42.6     4.3
2008.7140   -80.0     1.8    66.7     2.6   -44.5     4.2
2008.7170   -81.2     1.8    67.2     2.6   -46.4     4.2
2008.7193   -81.0     1.8    66.7     2.4   -49.8     4.1
2008.7221   -81.9     1.8    67.7     2.4   -46.9     4.1
2008.7250   -81.2     1.8    66.6     2.4   -45.6     4.1
2008.7280   -79.5     1.8    65.7     2.4   -43.5     4.2
2008.7303   -78.4     1.8    66.9     2.4   -45.7     4.2
2008.7330   -76.8     1.8    65.5     2.5   -47.8     4.2
2008.7360   -77.8     1.9    68.0     2.4   -46.4     4.2
2008.7390   -78.0     1.8    68.3     2.4   -50.9     4.2
2008.7413   -78.0     1.8    67.4     2.4   -50.8     4.2
2008.7440   -78.7     1.8    66.4     2.4   -46.5     4.1
2008.7470   -79.0     1.8    65.4     2.4   -44.1     4.1
2008.7500   -77.6     1.8    67.1     2.4   -44.0     4.1
2008.7521   -78.1     1.8    65.0     2.4   -43.4     4.2
2008.7550   -77.2     1.8    64.5     2.6   -49.2     4.5
2008.7604   -77.9     1.8    65.8     2.5   -36.9     4.2
2008.7631   -78.5     1.9    65.8     2.4   -37.4     4.1
2008.7660   -79.6     1.8    65.6     2.4   -43.0     4.1
2008.7690   -77.6     1.8    66.7     2.6   -53.2     4.2
