% site name: QAAR
% Time      North     err   East      err    Up       err
% year      mm        mm    mm        mm     mm       mm
2007.6600   -69.1     3.3   108.3     3.0   -50.6     6.6
2007.6630   -69.7     2.5   107.7     2.3   -50.1     4.5
2007.6652   -70.7     2.5   107.4     2.3   -48.8     4.5
2007.6680   -68.5     2.5   108.9     2.3   -50.8     4.5
2007.6710   -68.3     2.6   109.2     2.3   -40.9     4.8
2007.6734   -69.1     2.6   109.2     2.5   -40.2     4.9
2007.6762   -68.8     2.5   108.9     2.3   -42.9     4.5
2007.6790   -70.0     2.5   107.4     2.4   -46.3     4.7
2007.6820   -68.6     2.5   109.4     2.3   -44.1     4.6
2007.6844   -67.8     2.5   108.1     2.3   -46.9     4.5
2007.6872   -68.8     2.5   106.8     2.4   -43.3     4.7
2007.6900   -68.2     2.5   107.7     2.3   -44.7     4.5
2007.6930   -68.8     2.5   107.2     2.3   -45.3     4.4
2007.6954   -68.6     2.5   108.3     2.3   -47.9     4.4
2007.6981   -65.3     2.5   109.3     2.3   -32.2     4.4
2007.7010   -66.8     2.4   108.4     2.3   -40.7     4.4
2007.7040   -68.4     2.4   107.3     2.3   -48.7     4.4
2007.7064   -67.1     2.5   107.7     2.3   -37.5     4.5
2007.7091   -66.5     2.4   107.6     2.3   -40.0     4.4
2007.7120   -69.2     2.4   106.7     2.3   -47.5     4.4
2007.7150   -67.4     2.3   106.8     2.3   -40.3     4.3
2007.7172   -68.3     2.4   107.4     2.2   -43.9     4.3
2007.7200   -67.2     2.3   107.4     2.3   -41.6     4.3
2007.7230   -66.6     2.3   106.3     2.3   -37.4     4.3
2007.7260   -66.8     2.5   107.4     2.3   -40.4     4.5
2007.7282   -66.8     2.5   107.7     2.3   -42.7     4.6
2007.7310   -67.5     2.5   107.5     2.3   -49.9     4.6
2007.7340   -68.2     2.4   108.8     2.3   -46.5     4.3
2007.7364   -67.4     2.3   106.4     2.3   -45.5     4.3
2007.7392   -65.9     2.4   107.3     2.2   -44.8     4.2
2007.7420   -66.1     2.5   106.5     2.3   -39.2     4.5
2007.7450   -66.1     2.7   106.9     2.4   -40.2     4.9
2007.7474   -66.8     2.5   108.1     2.3   -42.7     4.4
2007.7501   -67.1     2.5   108.1     2.3   -36.6     4.6
2007.7530   -67.0     2.5   106.9     2.3   -37.9     4.4
2007.7560   -65.9     2.6   108.6     2.3   -44.6     4.7
2007.7584   -65.2     2.6   108.6     2.3   -42.6     4.7
2007.7611   -66.3     2.5   107.6     2.3   -41.0     4.5
2007.7640   -66.8     2.3   107.8     2.3   -46.1     4.3
2007.7670   -64.2     2.4   106.9     2.2   -39.3     4.3
2007.7692   -65.4     2.5   105.3     2.3   -46.8     4.6
2007.7720   -65.8     2.5   108.4     2.3   -46.9     4.6
2007.7750   -65.6     2.5   105.7     2.3   -43.7     4.5
2007.7780   -66.6     2.4   105.4     2.2   -49.3     4.3
2007.7802   -66.2     2.3   106.7     2.3   -39.1     4.3
2007.7830   -65.2     2.3   106.6     2.3   -40.5     4.3
2007.7860   -66.6     2.4   107.1     2.3   -41.9     4.5
2007.7884   -67.8     2.3   106.1     2.3   -43.4     4.3
2007.7912   -65.2     2.5   106.0     2.3   -42.2     4.5
2007.7940   -66.5     2.4   105.3     2.3   -42.7     4.4
2007.7970   -65.9     2.5   105.7     2.3   -42.6     4.5
2007.7994   -64.2     2.6   107.2     2.3   -39.4     4.7
2007.8022   -64.0     2.5   106.6     2.3   -41.7     4.6
2007.8050   -64.7     2.3   106.1     2.3   -42.9     4.3
2007.8080   -66.4     2.3   105.8     2.3   -44.3     4.3
2007.8104   -64.2     2.5   105.8     2.3   -40.2     4.5
2007.8131   -64.5     2.3   105.2     2.3   -39.7     4.3
2007.8160   -63.3     2.5   105.4     2.3   -35.0     4.4
2007.8190   -63.6     2.6   105.4     2.5   -42.6     4.9
2007.8214   -65.1     2.5   105.7     2.3   -40.0     4.6
2007.8240   -64.6     2.3   105.4     2.3   -37.3     4.3
2007.8270   -64.7     2.5   105.8     2.3   -38.6     4.6
2007.8300   -64.3     2.3   105.6     2.3   -39.7     4.3
2007.8322   -64.4     2.3   104.8     2.3   -37.4     4.3
2007.8350   -64.1     2.5   106.8     2.3   -43.2     4.4
2007.8380   -65.7     2.4   104.8     2.2   -46.2     4.2
2007.8410   -64.8     2.4   104.6     2.2   -47.2     4.2
2007.8432   -64.7     2.3   104.3     2.3   -44.6     4.3
2007.8460   -62.6     2.3   104.0     2.3   -43.3     4.2
2007.8490   -65.6     2.4   103.1     2.2   -45.7     4.2
2007.8514   -65.4     2.3   104.4     2.2   -48.0     4.1
2007.8542   -65.7     2.3   104.9     2.3   -46.7     4.2
2007.8600   -67.4     2.4   106.4     2.3   -51.8     4.3
2007.8624   -64.9     2.3   104.7     2.2   -40.4     4.1
2007.8651   -64.7     2.3   105.0     2.3   -40.1     4.3
2007.8680   -65.0     2.5   105.1     2.3   -38.7     4.5
2007.8710   -65.0     2.5   104.6     2.3   -39.2     4.5
2007.8760   -62.9     5.3   104.9     5.0   -33.9    11.4
2007.8900   -69.7     3.4   102.7     2.9   -60.0     6.5
2007.8952   -66.2     2.5   103.4     2.3   -40.8     4.5
2007.8980   -66.7     2.5   104.6     2.3   -41.5     4.5
2007.9010   -65.4     2.5   105.3     2.4   -42.6     4.7
2007.9034   -66.0     2.6   104.6     2.3   -41.7     4.5
2007.9062   -66.2     2.5   104.5     2.2   -42.7     4.2
2007.9090   -65.5     2.4   104.0     2.3   -44.2     4.4
2007.9120   -65.3     2.5   104.1     2.3   -43.5     4.3
2007.9144   -63.6     2.3   103.7     2.3   -43.7     4.2
2007.9200   -65.2     2.3   103.9     2.3   -48.4     4.3
2007.9230   -66.4     2.3   103.1     2.3   -42.2     4.4
2007.9254   -65.5     2.4   103.6     2.2   -37.7     4.2
2007.9281   -63.7     2.4   103.9     2.3   -37.9     4.2
2007.9310   -65.9     2.3   104.4     3.4   -37.5     7.0
2007.9340   -65.9     3.5   101.8     2.7   -44.5     6.0
2007.9364   -65.4     3.1   102.0     2.3   -43.1     4.2
2007.9390   -64.2     2.3   100.5     5.0   -39.3    12.2
2007.9450   -64.5     5.4   103.7     3.2   -45.7     7.7
2007.9472   -65.1     3.8   101.8     2.3   -55.6     4.5
2007.9500   -65.2     2.5   102.9     2.3   -42.0     4.5
2007.9530   -63.0     2.5   102.7     2.3   -40.9     4.4
2007.9560   -65.1     2.5   101.4     2.2   -40.4     4.3
2007.9582   -63.2     2.4   102.8     2.3   -42.2     4.2
2007.9610   -62.9     2.3   102.1     2.3   -41.2     4.4
2007.9640   -63.0     2.5   102.2     2.5   -44.5     4.8
2007.9664   -64.0     2.6   102.7     2.3   -41.9     4.4
2007.9692   -65.4     2.5   103.3     2.4   -44.2     4.8
2007.9720   -65.0     2.7   102.3     2.3   -40.8     4.5
2007.9750   -63.8     2.5   102.1     2.3   -37.3     4.5
2007.9774   -65.4     2.5   102.2     2.3   -36.8     4.4
2007.9801   -65.3     2.5   100.1     2.3   -37.5     4.3
2007.9830   -63.1     2.3   101.3     2.3   -32.5     4.2
2007.9860   -63.3     2.3   101.5     2.3   -39.7     4.3
2007.9884   -62.0     2.3   102.2     2.3   -37.4     4.3
2007.9910   -63.5     2.3   100.9     2.3   -36.1     4.4
2007.9940   -65.5     2.5   100.4     2.3   -45.3     4.3
2007.9970   -64.8     2.3   100.9     2.3   -39.5     4.3
2007.9992   -64.0     2.3   100.7     2.2   -43.3     4.3
2008.0020   -63.9     2.4   100.5     2.2   -39.5     4.2
2008.0050   -64.3     2.4   101.6     2.2   -39.9     4.2
2008.0102   -64.5     2.4   101.9     2.2   -40.1     4.3
2008.0130   -63.4     2.5   102.2     2.3   -40.7     4.6
2008.0160   -63.7     2.5   101.4     2.3   -39.3     4.6
2008.0184   -64.2     2.5   102.1     2.4   -40.0     4.6
2008.0212   -64.5     2.6   101.6     2.3   -44.2     4.6
2008.0240   -63.4     2.5   102.1     2.3   -42.8     4.5
2008.0270   -63.6     2.5   102.3     2.3   -44.6     4.3
2008.0294   -63.8     2.4   101.5     2.2   -46.2     4.2
2008.0322   -63.0     2.4   100.2     2.3   -45.5     4.2
2008.0350   -64.0     2.4   100.0     2.3   -43.0     4.5
2008.0380   -64.4     2.5    99.2     2.3   -38.1     4.6
2008.0404   -63.9     2.5   100.4     2.5   -38.6     4.7
2008.0430   -63.1     2.6    99.5     2.4   -34.6     4.7
2008.0460   -64.9     2.6   100.0     2.5   -40.8     4.8
2008.0490   -63.4     2.6    99.2     2.4   -38.3     4.8
2008.0513   -63.7     2.7    99.5     2.3   -41.0     4.6
2008.0540   -63.9     2.5    99.1     2.3   -41.9     4.4
2008.0570   -67.0     2.5   102.8     2.3   -41.8     4.3
2008.0600   -66.2     2.4   100.2     2.3   -42.7     4.3
2008.0622   -64.4     2.4    99.5     2.2   -36.0     4.3
2008.0650   -63.5     2.4   100.0     2.3   -33.1     4.4
2008.0680   -63.3     2.5   100.0     2.3   -36.5     4.3
2008.0710   -64.2     2.4    99.6     2.3   -39.7     4.4
2008.0732   -63.2     2.4    99.4     2.2   -40.5     4.3
2008.0760   -62.7     2.4   100.8     2.3   -43.7     4.3
2008.0790   -64.0     2.3   100.8     2.3   -40.3     4.5
2008.0814   -64.6     2.5   100.5     2.3   -43.9     4.4
2008.0842   -64.9     2.5   101.5     2.2   -46.5     4.2
2008.0870   -65.2     2.4   101.1     2.3   -42.4     4.5
2008.0900   -65.6     2.5   101.7     2.3   -39.4     4.5
2008.0924   -65.0     2.5   100.9     2.3   -42.9     4.5
2008.0950   -63.2     2.5    99.8     2.3   -40.6     4.5
2008.0980   -63.2     2.4    98.1     2.3   -44.3     4.4
2008.1010   -62.3     2.5    98.3     2.3   -47.5     4.5
2008.1033   -62.2     2.5    99.3     2.3   -38.3     4.3
2008.1060   -64.0     2.4    99.2     2.3   -40.8     4.3
2008.1090   -62.0     2.4    97.8     2.3   -38.5     4.3
2008.1120   -63.2     2.4    98.2     2.3   -42.0     4.4
2008.1142   -60.9     2.5    98.6     2.3   -43.5     4.6
2008.1170   -61.4     2.5    97.8     2.3   -45.0     4.7
2008.1200   -61.7     2.6    99.9     2.3   -42.4     4.4
2008.1230   -60.7     2.5    99.5     2.3   -44.1     4.4
2008.1252   -62.2     2.5   100.3     2.3   -38.9     4.5
2008.1280   -62.1     2.5   100.0     2.3   -36.3     4.3
2008.1310   -62.8     2.4    99.5     2.3   -36.4     4.3
2008.1334   -60.7     2.4   101.3     2.4   -37.2     4.5
2008.1362   -61.4     2.6    99.2     2.4   -41.5     4.8
2008.1390   -61.0     2.7    98.2     2.3   -36.3     4.2
2008.1420   -61.9     2.4    97.9     2.3   -34.9     4.4
2008.1444   -62.0     2.5    98.7     2.2   -37.7     4.2
2008.1472   -60.0     2.4    97.7     2.3   -35.2     4.3
2008.1500   -61.4     2.4    97.7     2.3   -37.1     4.3
2008.1530   -60.7     2.4    98.4     2.3   -40.9     4.4
2008.1553   -62.1     2.5    97.7     2.3   -39.0     4.3
2008.1580   -62.4     2.4    98.3     2.3   -38.4     4.4
2008.1610   -62.6     2.5    97.5     2.3   -40.5     4.4
2008.1640   -61.5     2.5    97.0     2.4   -39.2     4.7
2008.1663   -62.8     2.6    98.2     2.4   -42.8     4.7
2008.1690   -64.1     2.6    97.8     2.3   -44.6     4.6
2008.1720   -62.4     2.5    98.7     2.3   -44.3     4.5
2008.1750   -61.3     2.5    98.0     2.2   -41.8     4.3
2008.1772   -61.0     2.5    98.1     2.4   -38.9     4.7
2008.1800   -62.7     2.6    97.3     2.3   -38.9     4.3
2008.1830   -62.5     2.4    97.5     2.3   -37.8     4.4
2008.1860   -61.7     2.5    97.3     2.3   -36.2     4.3
2008.1882   -64.3     2.4    96.5     2.5   -40.3     5.1
2008.1910   -60.7     2.7    97.8     2.4   -31.6     4.7
2008.1940   -62.8     2.6    98.1     2.5   -35.2     5.1
2008.1964   -63.2     2.8    98.8     2.4   -43.6     4.5
