% site name: QAQ1
% Time      North     err   East      err    Up       err
% year      mm        mm    mm        mm     mm       mm
2002.0034  -118.9     2.4   139.8     2.8   -35.2     3.5
2002.0061  -117.7     2.5   139.9     3.1   -43.4     3.6
2002.0090  -119.0     2.3   139.7     2.7   -41.3     3.3
2002.0120  -119.1     2.4   140.8     2.8   -37.8     3.5
2002.0144  -121.5     2.4   141.8     2.8   -41.2     3.5
2002.0170  -120.0     2.2   141.2     2.6   -43.0     3.2
2002.0200  -120.0     2.4   142.2     2.8   -38.4     3.4
2002.0230  -119.0     2.5   143.1     3.1   -41.7     3.7
2002.0252  -121.3     2.3   142.4     2.6   -38.4     3.3
2002.0280  -120.8     2.6   143.2     3.4   -35.2     4.0
2002.0310  -118.3     2.5   144.4     3.2   -46.2     3.8
2002.0340  -117.8     2.5   140.2     3.1   -37.3     3.7
2002.0362  -117.2     2.3   141.4     2.8   -41.3     3.5
2002.0390  -117.2     2.4   140.9     2.8   -40.6     3.5
2002.0420  -117.7     2.5   139.9     3.0   -34.9     3.6
2002.0444  -116.4     2.4   139.6     2.8   -32.9     3.5
2002.0472  -117.0     2.4   140.3     2.8   -36.9     3.4
2002.0500  -117.2     2.5   139.6     2.8   -34.6     3.4
2002.0530  -115.3     2.4   139.3     2.8   -36.6     3.5
2002.0554  -118.2     2.5   140.4     3.0   -36.4     3.6
2002.0582  -119.4     2.4   140.7     3.1   -37.5     3.6
2002.0610  -117.3     2.3   139.6     2.8   -37.3     3.4
2002.0640  -116.1     2.6   139.3     3.1   -40.6     3.8
2002.0664  -120.1     2.4   138.2     2.9   -35.4     3.5
2002.0690  -118.1     2.5   139.9     3.1   -35.4     3.7
2002.0720  -116.8     2.4   140.3     2.9   -32.8     3.6
2002.0750  -118.1     2.5   139.9     3.1   -28.2     3.7
2002.0773  -115.8     2.5   139.7     3.0   -30.9     3.7
2002.0800  -115.3     2.4   138.8     2.8   -38.2     3.4
2002.0830  -115.7     2.3   137.5     2.8   -32.3     3.4
2002.0860  -117.8     2.5   140.9     3.0   -38.7     3.6
2002.0882  -117.6     2.6   138.9     3.2   -30.7     3.9
2002.0910  -117.7     2.8   140.4     3.5   -40.3     4.4
2002.0940  -118.2     2.3   139.4     2.7   -38.4     3.3
2002.0970  -118.8     2.5   141.9     3.0   -35.6     3.5
2002.0992  -119.8     2.9   141.6     3.7   -40.4     4.5
2002.1020  -116.6     2.5   142.6     3.2   -39.9     3.8
2002.1050  -118.0     2.5   142.7     3.0   -29.1     3.6
2002.1074  -116.9     2.4   141.4     3.1   -32.1     3.6
2002.1102  -117.4     2.4   141.4     2.9   -32.0     3.5
2002.1130  -116.3     2.4   139.5     2.9   -35.0     3.5
2002.1160  -116.6     2.5   143.0     3.2   -32.5     3.7
2002.1210  -117.8     2.3   140.3     2.9   -33.1     3.5
2002.1240  -117.5     2.4   141.6     2.8   -30.0     3.4
2002.1270  -117.4     2.3   141.0     2.8   -33.6     3.4
2002.1293  -117.7     2.3   141.0     2.7   -35.0     3.3
2002.1320  -116.0     2.6   141.8     3.1   -39.0     3.9
2002.1350  -117.3     2.7   142.2     3.2   -36.0     3.7
2002.1380  -116.8     2.4   139.0     2.8   -32.2     3.4
2002.1402  -119.0     2.5   139.6     3.0   -36.3     3.5
2002.1430  -117.7     2.5   139.7     3.0   -33.5     3.5
2002.1790  -117.8     2.5   139.0     3.2   -36.0     3.7
2002.1813  -117.2     2.3   137.7     2.9   -35.5     3.5
2002.1840  -116.8     2.3   137.8     2.8   -39.0     3.3
2002.1870  -115.2     2.3   137.8     2.8   -38.8     3.4
2002.1900  -113.5     2.4   138.8     2.8   -36.7     3.4
2002.1923  -114.6     2.5   138.7     3.0   -33.2     3.5
2002.1950  -116.8     2.4   136.7     3.0   -25.7     3.4
2002.1980  -114.1     2.3   137.7     2.7   -37.3     3.3
2002.2010  -112.8     2.2   137.8     2.6   -39.5     3.2
