% site name: QEQE
% Time      North     err   East      err    Up       err
% year      mm        mm    mm        mm     mm       mm
2005.9432   -74.1     4.9   126.8     5.0   -57.7     9.4
2005.9460   -72.5     2.6   127.1     2.6   -42.1     4.3
2005.9490   -72.6     2.7   126.5     2.5   -44.6     4.3
2005.9514   -71.6     2.4   127.0     2.5   -40.0     4.0
2005.9570   -71.2     2.4   127.6     2.5   -45.8     4.0
2005.9600   -70.7     2.6   126.6     2.5   -40.6     4.1
2005.9624   -71.1     2.4   126.9     2.5   -40.2     4.0
2005.9650   -71.4     2.4   126.5     2.5   -39.4     4.0
2005.9680   -71.0     2.5   126.3     2.5   -37.4     4.1
2005.9710   -70.9     2.8   125.7     2.9   -45.1     4.7
2005.9732   -72.8     2.7   125.7     2.7   -41.2     4.3
2005.9760   -73.5     2.6   126.5     2.5   -42.9     4.1
2005.9790   -71.6     2.4   125.0     2.5   -41.0     4.0
2005.9820   -72.5     2.6   126.0     2.5   -42.3     4.1
2005.9842   -70.9     2.7   125.8     2.5   -40.3     4.3
2005.9870   -70.8     2.6   126.7     2.5   -42.8     4.2
2005.9900   -71.5     2.7   128.5     2.7   -40.2     4.5
2005.9924   -69.0     2.9   126.8     2.9   -32.4     4.9
2005.9952   -69.5     3.0   128.5     3.1   -33.0     5.0
2006.0061   -68.3     3.4   126.6     3.6   -39.9     6.1
2006.0090   -68.8     2.4   125.6     2.5   -42.5     4.0
2006.0120   -67.9     2.4   126.0     2.4   -37.4     3.8
2006.0144   -69.4     2.4   125.8     2.5   -38.3     4.0
2006.0170   -69.4     2.8   126.3     2.8   -41.7     4.6
2006.0252   -70.5     3.5   126.3     3.6   -42.2     6.1
2006.0280   -69.3     2.9   125.5     3.0   -35.7     5.0
2006.0310   -69.4     2.5   125.5     2.4   -35.7     4.0
2006.0340   -67.4     2.4   125.4     2.5   -39.5     4.0
2006.0362   -68.7     2.4   125.4     2.5   -40.1     4.0
2006.0390   -69.0     2.4   125.1     2.5   -41.9     3.9
2006.0420   -69.1     2.4   125.7     2.5   -38.7     4.0
