% site name: RINK
% Time      North     err   East      err    Up       err
% year      mm        mm    mm        mm     mm       mm
2007.6630   -79.5     2.8    89.5     3.0   -55.5     5.7
2007.6652   -78.8     2.3    89.0     2.5   -53.7     4.4
2007.6680   -78.2     2.3    89.6     2.3   -52.8     4.2
2007.6710   -78.5     2.4    89.9     2.5   -47.7     4.6
2007.6734   -78.2     2.5    90.0     2.6   -49.5     4.9
2007.6762   -77.9     2.3    90.3     2.3   -47.2     4.3
2007.6790   -79.6     2.4    88.8     2.5   -46.9     4.5
2007.6820   -78.7     2.3    90.1     2.3   -55.4     4.4
2007.6844   -78.7     2.4    88.7     2.5   -51.1     4.4
2007.6872   -79.0     2.4    87.7     2.5   -46.0     4.4
2007.6900   -78.3     2.2    88.9     2.4   -49.0     4.3
2007.6930   -77.5     2.2    88.8     2.4   -50.9     4.3
2007.6954   -77.8     2.3    89.1     2.4   -49.5     4.4
2007.6981   -77.4     2.3    89.7     2.3   -49.2     4.3
2007.7010   -77.2     2.2    90.3     2.3   -48.8     4.1
2007.7040   -76.1     2.3    88.5     2.3   -56.3     4.2
2007.7064   -76.1     2.3    88.9     2.3   -54.9     4.3
2007.7091   -76.8     2.3    88.6     2.3   -51.0     4.2
2007.7120   -78.1     2.3    88.2     2.3   -49.3     4.2
2007.7150   -78.1     2.2    88.5     2.3   -44.7     4.2
2007.7172   -77.7     2.2    88.4     2.3   -48.9     4.1
2007.7200   -76.1     2.3    88.6     2.3   -49.2     4.2
2007.7230   -75.7     2.3    87.5     2.3   -48.5     4.2
2007.7260   -75.6     2.3    88.6     2.4   -49.6     4.5
2007.7282   -75.5     2.4    88.8     2.5   -50.4     4.6
2007.7310   -76.2     2.4    89.3     2.5   -56.3     4.5
2007.7340   -76.7     2.2    90.4     2.4   -54.4     4.3
2007.7364   -75.5     2.2    88.4     2.3   -47.4     4.1
2007.7392   -76.6     2.2    88.5     2.3   -48.9     4.1
2007.7420   -75.4     2.3    87.8     2.4   -50.6     4.6
2007.7450   -76.0     2.5    87.1     2.5   -50.9     4.8
2007.7474   -75.3     2.3    89.2     2.4   -53.3     4.5
2007.7501   -77.2     2.3    89.6     2.5   -49.0     4.6
2007.7530   -76.6     2.2    88.2     2.4   -44.6     4.3
2007.7560   -76.5     2.5    89.3     2.5   -52.1     4.7
2007.7584   -75.3     2.4    89.2     2.5   -56.0     4.5
2007.7611   -74.9     2.3    90.1     2.4   -53.9     4.4
2007.7640   -75.4     2.2    90.1     2.4   -52.6     4.3
2007.7692   -74.2     2.2    87.0     2.4   -57.5     4.4
2007.7720   -74.4     2.3    89.5     2.4   -60.9     4.4
2007.7750   -73.7     2.3    87.9     2.4   -58.4     4.4
2007.7780   -75.5     2.3    88.2     2.3   -55.6     4.1
2007.7802   -75.7     2.2    89.0     2.4   -50.9     4.2
2007.7830   -75.3     2.2    88.4     2.3   -54.9     4.1
2007.7860   -75.9     2.2    88.6     2.3   -50.8     4.3
2007.7884   -76.2     2.3    88.0     2.4   -46.4     4.2
2007.7912   -74.4     2.2    87.6     2.3   -51.9     4.2
2007.7940   -75.5     2.3    87.3     2.3   -52.0     4.2
2007.7970   -75.1     2.2    87.9     2.4   -48.5     4.5
2007.7994   -73.3     2.3    88.2     2.4   -48.3     4.6
2007.8022   -72.8     2.3    88.5     2.5   -48.1     4.4
2007.8050   -74.7     2.4    87.8     2.4   -51.1     4.4
2007.8080   -75.8     2.3    87.4     2.4   -51.7     4.3
2007.8131   -74.5     2.2    87.1     2.4   -47.1     4.3
2007.8190   -72.8     2.3    87.5     2.6   -45.2     5.0
2007.8214   -75.4     2.2    87.4     2.5   -40.6     4.5
2007.8240   -74.7     2.3    86.5     2.5   -44.5     4.4
2007.8270   -74.4     2.6    87.4     2.5   -47.7     4.4
2007.8300   -72.6     2.4    87.5     2.5   -49.2     4.4
2007.8322   -74.0     2.3    86.7     2.4   -50.5     4.3
2007.8350   -75.3     2.3    89.0     2.3   -60.1     4.2
2007.8380   -75.5     2.4    86.8     2.3   -56.4     4.2
2007.8410   -74.9     2.2    87.4     2.3   -53.4     4.2
2007.8432   -74.8     2.3    86.6     2.3   -55.3     4.3
2007.8460   -74.1     2.3    85.9     2.3   -59.9     4.2
2007.8490   -75.1     2.3    85.8     2.3   -52.5     4.1
2007.8514   -74.7     2.3    86.6     2.3   -53.7     4.1
2007.8542   -75.0     2.2    87.2     2.3   -53.6     4.3
2007.8600   -74.0     2.2    87.4     2.4   -45.9     4.3
2007.8624   -73.6     2.2    86.5     2.3   -52.2     4.1
2007.8651   -74.6     2.3    86.6     2.3   -51.4     4.2
2007.8680   -75.2     2.2    86.8     2.6   -51.7     4.8
2007.8710   -75.2     2.2    86.2     2.5   -53.0     4.7
2007.8760   -74.7     2.3    87.1     2.5   -50.7     4.4
2007.8790   -74.4     2.5    87.8     2.4   -56.2     4.2
2007.8870   -74.7     2.4    85.4     2.5   -53.4     4.2
2007.8900   -74.2     2.4    85.3     2.5   -46.7     4.3
2007.8930   -73.1     2.2    84.2     2.3   -40.9     4.8
2007.8952   -75.9     2.3    84.5     2.5   -49.8     4.7
2007.8980   -75.5     2.2    86.5     2.5   -48.8     4.4
2007.9010   -74.5     2.5    87.0     2.5   -54.1     4.5
2007.9034   -72.7     2.5    86.6     2.6   -30.5     4.4
2007.9062   -74.7     2.4    85.7     2.3   -52.0     4.7
2007.9090   -73.6     2.4    85.7     2.4   -45.2     4.6
2007.9120   -73.2     2.4    85.9     2.4   -41.8     4.3
2007.9200   -73.8     2.4    85.3     2.3   -56.6     4.3
2007.9230   -74.9     2.4    84.7     2.3   -52.1     4.2
2007.9254   -74.4     2.3    85.2     2.3   -45.3     4.1
2007.9281   -74.1     2.2    85.8     2.3   -45.6     4.2
2007.9310   -74.6     2.2    85.2     2.3   -49.2     4.2
