% site name: SCOR
% Time      North     err   East      err    Up       err
% year      mm        mm    mm        mm     mm       mm
2004.6980  -132.4     1.4    73.2     2.2   -21.7     4.5
2004.7001  -135.7     1.4    71.3     2.1   -24.3     4.3
2004.7030  -135.5     1.4    70.5     2.2   -28.6     4.5
2004.7060  -135.4     1.4    72.4     2.4   -27.6     5.1
2004.7083  -136.0     1.4    73.0     2.3   -23.8     4.8
2004.7111  -135.5     1.4    73.7     2.4   -27.6     4.9
2004.7140  -133.1     1.4    74.4     2.3   -25.4     4.8
2004.7170  -139.3     1.5    73.6     2.2   -28.0     4.4
2004.7193  -134.8     1.3    73.8     2.2   -38.6     4.4
2004.7280  -134.1     1.4    70.5     2.2   -14.4     4.9
2004.7303  -133.4     1.4    70.6     2.3   -22.1     4.6
2004.7330  -133.0     1.5    71.8     2.2   -23.6     4.5
2004.7360  -136.3     1.4    72.5     2.2   -24.2     4.4
2004.7390  -134.4     1.4    72.1     2.2   -30.7     4.4
2004.7413  -135.0     1.4    72.8     2.1   -25.4     4.3
2004.7440  -134.7     1.4    73.8     2.1   -23.6     4.3
2004.7470  -134.4     1.4    74.1     2.1   -25.7     4.5
2004.7500  -135.9     1.4    71.7     2.2   -24.9     4.3
2004.7521  -135.7     1.4    71.5     2.1   -26.7     4.3
2004.7550  -133.9     1.4    71.6     2.1   -23.4     4.5
2004.7604  -134.0     1.4    69.8     2.2   -20.2     5.0
2004.7631  -133.7     1.4    69.2     2.4   -24.3     4.5
2004.7660  -133.2     1.4    71.8     2.2   -23.5     4.5
2004.7690  -132.5     1.4    71.4     2.2   -21.0     4.3
2004.7713  -132.6     1.4    72.4     2.1   -26.6     4.5
2004.7741  -132.4     1.4    70.7     2.2   -25.5     4.6
2004.7770  -133.8     1.4    71.5     2.2   -30.3     4.6
2004.7800  -133.8     1.4    72.2     2.2   -30.4     4.7
2004.7823  -132.9     1.4    72.8     2.2   -27.9     4.5
2004.7850  -133.4     1.4    71.6     2.2   -21.1     5.9
2004.7880  -134.0     1.4    72.3     2.6   -31.0     5.2
2004.7933  -133.7     1.6    72.2     2.4   -23.5     4.3
2004.7960  -133.7     1.5    72.3     2.1   -20.5     4.3
2004.7990  -129.7     1.4    72.2     2.1   -20.1     4.5
2004.8020  -133.1     1.4    70.7     2.2   -19.6     4.6
2004.8041  -131.3     1.4    71.3     2.2   -17.6     4.6
2004.8070  -131.3     1.4    71.1     2.2   -18.1     4.7
2004.8100  -131.2     1.4    72.6     2.2   -20.3     4.6
2004.8124  -133.9     1.4    71.8     2.2   -23.7     4.3
2004.8151  -132.4     1.4    70.2     2.1   -25.2     4.7
2004.8180  -133.7     1.4    70.4     2.4   -23.9     4.6
2004.8210  -132.8     1.3    70.8     2.2   -24.0     4.5
2004.8233  -132.4     1.3    72.3     2.2   -20.4     4.5
2004.8261  -134.8     1.4    73.0     2.2   -20.8     4.4
2004.8290  -133.0     1.4    71.8     2.2   -24.7     4.6
2004.8320  -134.8     1.3    75.5     2.2   -22.3     5.0
2004.8343  -135.4     1.3    73.0     2.4   -18.2     4.7
2004.8371  -133.7     1.4    72.8     2.3   -17.6     4.5
2004.8400  -132.1     1.4    72.7     2.1   -17.5     4.6
2004.8430  -131.2     1.4    73.0     2.2   -19.9     4.8
2004.8453  -132.6     1.4    72.3     2.4   -23.8     4.6
2004.8480  -132.7     1.3    72.6     2.2   -20.8     4.4
2004.8510  -131.7     1.4    73.3     2.2   -21.9     4.4
2004.8540  -133.2     1.4    70.6     2.1   -20.9     4.9
2004.8563  -134.8     1.4    73.9     2.3   -20.7     5.7
2004.8590  -132.1     1.5    71.5     2.6   -29.0     6.6
2004.8620  -133.0     1.6    77.0     2.9   -21.1     6.5
2004.8650  -135.0     1.5    72.6     2.9   -23.1     4.9
2004.8671  -132.6     1.7    72.6     2.3   -19.2     5.1
2004.8700  -134.0     1.5    73.1     2.4   -21.2     4.5
2004.8730  -132.3     1.4    74.5     2.2   -21.2     4.6
2004.8754  -131.6     1.4    70.1     2.2   -22.2     4.3
2004.8781  -130.3     1.4    70.9     2.1   -24.0     4.6
2004.8810  -130.6     1.4    69.7     2.2   -22.9     4.5
2004.8840  -132.0     1.3    69.6     2.2   -23.9     4.4
2004.8863  -130.6     1.4    69.7     2.2   -23.6     4.5
2004.8920  -130.8     1.3    69.8     2.2   -28.2     4.9
2004.8950  -130.7     1.4    71.9     2.4   -30.5     4.5
2004.8973  -131.6     1.4    70.3     2.2   -26.4     4.5
2004.9000  -132.7     1.4    71.2     2.2   -25.1     4.8
2004.9030  -132.3     1.4    71.8     2.2   -22.7     5.4
2004.9060  -132.6     1.4    72.9     2.5   -25.4     4.9
2004.9083  -128.9     1.4    72.1     2.4   -23.8     5.0
2004.9110  -132.5     1.4    74.1     2.4   -20.2     5.1
2004.9140  -129.7     1.4    72.0     2.4   -19.6     4.6
2004.9170  -129.5     1.4    71.6     2.2   -23.8     4.9
2004.9191  -128.8     1.4    71.7     2.4   -16.4     4.8
2004.9220  -129.6     1.4    72.6     2.2   -19.4     4.4
2004.9250  -130.3     1.4    71.2     2.2   -21.3     4.4
2004.9274  -130.6     1.4    71.5     2.2   -23.4     4.3
2004.9301  -129.9     1.4    71.3     2.1   -22.8     4.5
2004.9330  -130.8     1.4    70.8     2.1   -17.7     5.4
2004.9360  -131.1     1.3    71.8     2.5   -21.4     4.8
2004.9383  -132.1     1.5    72.0     2.2   -26.3     4.7
2004.9411  -131.2     1.4    72.3     2.2   -22.6     4.6
2004.9440  -130.7     1.4    73.0     2.2   -20.2     5.1
2004.9470  -131.1     1.4    73.1     2.4   -15.8     4.7
2004.9493  -128.8     1.4    72.9     2.2   -17.3     5.0
2004.9521  -130.3     1.4    74.8     2.3   -21.1     4.7
2004.9550  -130.0     1.5    71.0     2.2   -22.8     4.5
2004.9580  -129.5     1.4    70.1     2.2   -19.4     4.7
2004.9603  -128.7     1.4    68.6     2.2   -21.8     4.7
2004.9630  -130.9     1.4    68.4     2.2   -22.0     5.0
2004.9660  -129.7     1.3    69.8     2.4   -24.4     4.6
2004.9690  -131.1     1.4    70.4     2.2   -24.9     4.4
2004.9713  -130.8     1.3    71.9     2.1   -26.7     4.4
2004.9740  -132.0     1.3    72.1     2.1   -24.0     4.9
2004.9770  -130.8     1.4    69.9     2.2   -27.3     4.9
2004.9821  -127.8     1.4    72.3     2.2   -24.2     4.5
2004.9850  -131.1     1.4    69.6     2.2   -19.3     4.7
2004.9880  -129.6     1.4    69.9     2.2   -13.8     4.7
2004.9904  -130.2     1.3    72.0     2.2   -18.6     4.7
2004.9931  -129.5     1.3    72.6     2.2   -21.3     5.3
2004.9960  -128.5     1.4    73.2     2.5   -22.2     5.2
2004.9990  -129.5     1.5    70.2     2.4   -22.8     5.3
2005.0013  -129.8     1.4    71.4     2.4   -24.1     4.4
2005.0041  -131.7     1.4    69.6     2.2   -21.6     4.7
2005.0070  -131.7     1.4    69.7     2.2   -25.6     5.5
2005.0100  -130.7     1.4    70.3     2.5   -29.1     5.3
2005.0150  -126.4     1.4    71.8     2.5   -46.2     4.8
2005.0180  -129.0     1.4    72.2     2.4   -24.0     4.4
2005.0210  -129.5     1.4    71.3     2.2   -23.3     4.9
2005.0233  -127.9     1.3    70.7     2.3   -22.5     4.7
2005.0260  -130.4     1.4    69.9     2.2   -21.0     4.4
2005.0290  -127.0     1.5    70.6     2.1   -19.5     4.7
2005.0314  -127.5     1.4    70.7     2.2   -28.3     4.6
2005.0341  -128.1     1.4    69.6     2.2   -20.4     5.6
2005.0370  -128.1     1.4    69.0     2.5   -25.9     4.8
2005.0400  -128.7     1.4    69.7     2.3   -26.3     4.6
2005.0424  -130.8     1.5    69.6     2.2   -23.6     4.8
2005.0451  -124.5     1.4    71.0     2.3   -25.1     4.9
2005.0510  -126.7     1.4    74.4     2.3   -29.8     6.0
2005.0533  -129.0     1.5    70.3     2.8   -23.0     6.8
2005.0561  -128.6     1.5    69.7     2.8   -23.9     4.9
2005.0590  -127.9     1.5    70.1     2.9   -22.1     4.8
2005.0620  -127.8     1.6    72.9     2.3   -27.3     5.2
2005.0643  -126.0     1.5    69.9     2.2   -22.7     5.2
2005.0670  -128.0     1.4    69.0     2.5   -21.9     4.7
2005.0700  -128.4     1.4    68.6     2.5   -20.6     4.8
2005.0730  -126.0     1.3    70.6     2.3   -24.3     4.6
2005.0753  -125.2     1.4    69.9     2.2   -22.7     4.4
2005.0780  -123.5     1.4    69.2     2.2   -26.5     4.7
2005.0810  -127.3     1.4    69.0     2.1   -37.3     4.8
2005.0834  -128.7     1.4    70.4     2.2   -20.5     4.6
2005.0861  -127.2     1.4    68.1     2.2   -25.3     4.7
2005.0890  -126.4     1.4    70.3     2.2   -23.4     4.3
2005.0920  -126.5     1.4    69.7     2.3   -26.5     4.4
2005.0944  -128.6     1.4    70.2     2.1   -24.1     4.5
2005.0971  -127.5     1.4    68.7     2.2   -20.4     4.3
2005.1000  -126.8     1.3    70.2     2.2   -20.3     4.3
2005.1030  -126.8     1.4    69.7     2.1   -17.4     5.1
2005.1053  -127.9     1.4    72.0     2.1   -30.3     6.2
