% site name: SENU
% Time      North     err   East      err    Up       err
% year      mm        mm    mm        mm     mm       mm
2008.3743   -66.0     3.0    88.9     3.6   -57.3     4.3
2008.3771   -65.2     2.3    89.3     2.7   -55.9     3.2
2008.3800   -63.9     2.3    89.1     2.7   -55.1     3.2
2008.3830   -63.8     2.3    88.7     2.7   -54.8     3.2
2008.3853   -64.9     2.3    88.7     2.7   -56.6     3.2
2008.3880   -64.1     2.4    89.5     2.8   -52.6     3.3
2008.3910   -63.8     2.4    89.2     2.8   -57.1     3.3
2008.3940   -64.4     2.4    88.5     2.8   -56.3     3.3
2008.3963   -64.8     2.3    89.1     2.7   -56.2     3.2
2008.3990   -67.8     2.3    91.0     2.7   -54.1     3.2
2008.4020   -63.0     2.3    88.2     2.7   -51.4     3.2
2008.4050   -61.5     2.3    88.1     2.7   -57.7     3.2
2008.4072   -63.1     3.8    88.3     4.4   -54.5     5.8
2008.4100   -64.6     2.3    89.9     2.7   -57.9     3.2
2008.4130   -64.3     2.4    88.5     2.8   -58.0     3.3
2008.4160   -63.5     2.3    87.6     2.7   -53.7     3.2
2008.4182   -64.0     2.4    88.0     2.8   -55.0     3.2
2008.4210   -63.5     2.5    88.1     2.8   -54.4     3.4
2008.4240   -61.7     2.4    87.3     2.7   -54.2     3.3
2008.4263   -60.1     2.3    90.1     2.7   -54.5     3.2
2008.4291   -62.3     2.3    89.0     2.7   -56.5     3.2
2008.4320   -62.7     2.5    89.0     2.8   -53.4     3.5
2008.4350   -63.1     2.4    90.4     2.8   -57.6     3.4
2008.4373   -62.5     2.4    89.2     2.8   -58.2     3.3
2008.4430   -62.6     2.3    88.9     2.7   -57.2     3.2
2008.4460   -62.4     2.3    88.0     2.7   -56.6     3.2
2008.4483   -62.6     2.4    87.3     2.8   -54.5     3.3
2008.4510   -63.1     2.3    87.0     2.7   -52.3     3.2
2008.4540   -64.2     2.4    88.3     2.8   -54.0     3.4
2008.4570   -62.3     2.5    86.8     3.0   -58.5     3.6
2008.4592   -64.5     2.3    86.8     2.7   -54.0     3.2
2008.4620   -64.1     2.3    86.0     2.7   -55.0     3.2
2008.4650   -64.9     2.4    85.9     2.7   -57.9     3.3
2008.4680   -66.0     2.3    85.8     2.7   -51.7     3.2
