% site name: SRMP
% Time      North     err   East      err    Up       err
% year      mm        mm    mm        mm     mm       mm
2007.6160   -54.9     5.4   117.0     5.2   -99.1    11.6
2007.6190   -52.9     2.4   117.6     2.2   -93.2     4.4
2007.6214   -51.9     2.4   117.7     2.2   -95.9     4.5
2007.6242   -52.1     2.3   117.6     2.2   -95.1     4.4
2007.6270   -53.4     2.3   117.4     2.2   -93.5     4.3
2007.6300   -51.9     2.3   117.5     2.2   -94.9     4.2
2007.6324   -52.0     2.3   116.5     2.2   -91.8     4.3
2007.6351   -53.4     2.3   118.7     2.2   -95.4     4.2
2007.6380   -52.5     2.3   117.5     2.2   -91.6     4.3
2007.6410   -52.4     2.3   118.5     2.2   -92.4     4.2
2007.6434   -52.2     2.3   118.3     2.2   -93.9     4.5
2007.6461   -52.6     2.3   118.3     2.2   -92.4     4.2
2007.6490   -52.4     2.3   118.2     2.2   -93.5     4.2
2007.6520   -51.5     2.4   119.6     2.3   -94.2     4.5
2007.6542   -51.7     2.5   118.7     2.3   -92.6     4.7
2007.6571   -52.5     2.3   118.8     2.2   -95.3     4.4
2007.6600   -51.5     2.4   118.0     2.3   -93.3     4.5
2007.6630   -53.1     2.3   117.5     2.2   -93.5     4.3
2007.6652   -53.6     2.3   117.8     2.2   -97.6     4.5
2007.6680   -51.3     2.4   118.0     2.2   -97.5     4.5
2007.6710   -52.7     2.3   118.7     2.2   -92.5     4.5
2007.6734   -52.9     2.5   118.4     2.3   -89.7     4.7
2007.6762   -51.6     2.3   117.7     2.2   -84.2     4.4
2007.6790   -52.8     2.3   117.3     2.2   -90.8     4.5
2007.6820   -52.5     2.4   118.1     2.2   -88.8     4.4
2007.6844   -52.0     2.4   116.9     2.2   -90.6     4.4
2007.6872   -51.6     2.3   115.9     2.2   -90.6     4.3
2007.6900   -52.2     2.4   116.9     2.3   -91.4     4.5
2007.6930   -51.2     2.3   116.9     2.2   -90.3     4.4
2007.6954   -51.0     2.3   117.3     2.2   -91.6     4.4
2007.6981   -52.2     2.3   118.1     2.2   -90.1     4.2
2007.7010   -50.4     2.3   117.9     2.2   -91.3     4.2
2007.7040   -50.8     2.3   116.2     2.2   -88.2     4.2
2007.7064   -50.5     2.3   116.6     2.2   -87.7     4.3
2007.7091   -50.6     2.3   116.9     2.2   -86.6     4.2
2007.7120   -50.8     2.7   116.0     2.5   -84.7     5.2
2007.7150   -51.8     2.3   116.1     2.2   -86.6     4.3
2007.7172   -51.8     2.3   115.8     2.2   -90.4     4.2
2007.7200   -50.8     2.6   115.5     2.6   -84.5     5.2
2007.7230   -50.5     2.7   116.2     2.6   -88.8     5.5
2007.7260   -50.6     2.4   116.6     2.2   -85.7     4.6
2007.7282   -50.2     2.4   116.6     2.2   -87.4     4.5
2007.7310   -50.3     2.5   118.1     2.3   -95.3     4.7
2007.7340   -51.4     2.3   117.7     2.2   -90.8     4.3
2007.7364   -50.7     2.3   116.3     2.2   -89.7     4.2
2007.7392   -50.3     2.3   116.3     2.2   -91.7     4.2
2007.7420   -50.2     2.4   115.8     2.2   -90.6     4.6
2007.7450   -50.9     2.3   116.1     2.2   -88.1     4.5
2007.7474   -50.6     2.3   117.7     2.2   -88.7     4.5
2007.7501   -51.3     2.3   117.5     2.2   -86.1     4.3
2007.7530   -51.1     2.3   115.8     2.2   -83.9     4.3
2007.7560   -50.7     2.3   117.6     2.2   -89.5     4.5
2007.7584   -49.6     2.3   117.6     2.2   -93.0     4.5
2007.7611   -49.9     2.3   117.4     2.2   -89.0     4.4
2007.7640   -49.2     2.3   117.0     2.2   -89.4     4.2
2007.7670   -49.7     2.2   117.0     2.2   -92.2     4.1
2007.7692   -49.5     2.3   114.8     2.2   -94.7     4.4
2007.7720   -50.0     2.3   117.1     2.2   -93.9     4.4
2007.7750   -49.5     2.3   114.8     2.2   -91.6     4.4
2007.7780   -48.1     3.3   114.8     2.9   -94.0     6.8
2007.7802   -50.5     2.3   116.1     2.2   -90.8     4.2
2007.7830   -50.0     2.2   115.5     2.2   -90.4     4.1
2007.7860   -49.8     2.7   116.3     2.5   -86.4     5.3
2007.7884   -49.6     2.5   115.9     2.5   -83.7     4.9
2007.7912   -49.7     3.5   115.8     3.1   -85.7     7.4
2007.7940   -49.6     2.3   114.8     2.2   -88.0     4.4
2007.7970   -50.3     2.3   114.7     2.2   -89.7     4.5
2007.7994   -48.5     2.4   115.7     2.2   -89.9     4.5
2007.8022   -47.1     2.3   114.9     2.3   -87.6     4.5
2007.8050   -47.7     2.3   114.7     2.2   -89.0     4.3
2007.8080   -50.7     2.3   114.7     2.2   -87.1     4.3
2007.8104   -48.8     2.3   115.8     2.2   -88.0     4.4
2007.8131   -49.0     2.3   114.3     2.2   -85.0     4.3
2007.8160   -47.3     2.4   115.3     2.2   -84.5     4.4
2007.8190   -47.4     2.5   115.5     2.2   -88.9     4.6
2007.8214   -49.8     2.3   114.7     2.2   -85.4     4.5
2007.8240   -49.3     2.3   114.8     2.2   -84.0     4.3
2007.8270   -48.9     2.3   115.5     2.2   -85.6     4.3
2007.8300   -48.9     2.3   115.0     2.2   -87.1     4.4
2007.8322   -49.1     2.3   115.1     2.2   -86.8     4.3
2007.8350   -48.7     2.3   116.4     2.2   -90.6     4.2
2007.8380   -50.2     2.2   114.6     2.2   -93.8     4.1
2007.8410   -49.9     2.3   114.3     2.2   -90.8     4.3
2007.8432   -48.8     2.3   114.2     2.2   -93.2     4.2
2007.8460   -48.1     2.2   113.3     2.2   -90.7     4.1
2007.8490   -49.6     2.3   113.3     2.2   -90.3     4.2
2007.8514   -50.3     3.3   113.9     3.1   -93.1     6.9
2007.8542   -49.9     2.3   114.6     2.2   -91.0     4.3
2007.8600   -49.4     2.3   114.8     2.2   -88.1     4.4
2007.8624   -48.8     2.2   114.8     2.2   -84.8     4.1
2007.8651   -49.0     2.3   114.6     2.2   -86.6     4.2
2007.8680   -50.0     2.4   114.3     2.2   -90.2     4.4
2007.8710   -49.6     2.3   114.5     2.2   -87.7     4.5
2007.8760   -48.9     2.3   114.6     2.2   -90.0     4.3
2007.8790   -48.7     2.3   114.7     2.2   -89.9     4.2
2007.8820   -51.1     2.2   114.1     2.2   -95.9     4.1
2007.8842   -50.7     2.2   115.7     2.1   -84.3     4.2
2007.8870   -50.6     2.3   111.6     2.2   -90.8     4.5
2007.8900   -50.0     2.3   112.3     2.2   -92.5     4.3
2007.8930   -50.7     2.3   112.3     2.2   -86.2     4.3
2007.8952   -50.8     2.3   112.6     2.2   -86.7     4.4
2007.8980   -50.1     2.3   113.8     2.2   -83.3     4.2
2007.9010   -50.8     2.3   114.6     2.2   -88.6     4.4
2007.9034   -50.5     2.4   113.4     2.2   -85.2     4.5
2007.9062   -50.3     2.3   113.5     2.2   -85.2     4.3
2007.9090   -48.7     2.3   113.3     2.2   -83.4     4.3
2007.9120   -49.0     2.3   113.2     2.2   -86.0     4.2
2007.9144   -47.9     2.3   112.8     2.2   -87.2     4.2
2007.9200   -49.0     2.3   112.8     2.2   -91.9     4.2
2007.9230   -51.1     2.3   112.2     2.2   -88.3     4.2
2007.9254   -50.0     2.2   112.5     2.2   -84.2     4.1
2007.9281   -48.2     2.2   112.6     2.2   -81.1     4.1
2007.9310   -49.7     2.1   111.8     2.1   -87.2     4.1
2007.9340   -50.2     2.2   110.7     2.2   -83.6     4.1
2007.9364   -49.6     2.2   111.2     2.2   -88.8     4.1
2007.9390   -49.1     2.3   111.2     2.2   -85.2     4.2
2007.9420   -47.9     2.3   111.8     2.2   -88.3     4.2
2007.9450   -48.1     2.3   113.4     2.2   -82.3     4.4
2007.9472   -48.2     2.3   110.5     2.2   -87.2     4.4
2007.9500   -49.1     2.3   112.3     2.2   -86.3     4.4
2007.9530   -47.6     2.3   111.7     2.2   -82.9     4.3
2007.9560   -48.7     2.3   111.3     2.2   -82.8     4.3
2007.9582   -47.6     2.3   112.1     2.2   -85.3     4.2
2007.9610   -47.2     2.3   111.6     2.2   -86.4     4.2
2007.9640   -46.8     2.3   111.3     2.2   -85.4     4.4
2007.9664   -47.5     2.4   113.2     2.2   -84.1     4.3
2007.9692   -49.4     2.3   112.8     2.2   -83.2     4.4
2007.9720   -48.9     2.3   111.8     2.2   -82.7     4.4
2007.9750   -49.3     2.3   111.1     2.2   -86.1     4.3
2007.9774   -49.3     2.3   111.2     2.2   -77.6     4.3
2007.9801   -48.6     2.2   109.9     2.2   -79.7     4.1
2007.9830   -47.4     2.2   110.7     2.2   -78.9     4.1
2007.9860   -47.6     2.2   110.5     2.2   -81.9     4.1
2007.9884   -46.5     2.3   111.0     2.2   -83.0     4.2
2007.9910   -48.2     2.3   110.0     2.2   -79.2     4.2
2007.9940   -48.7     2.3   110.1     2.2   -85.4     4.2
2007.9970   -48.6     2.3   110.7     2.2   -83.8     4.2
2007.9992   -47.9     2.3   110.7     2.2   -82.4     4.2
2008.0020   -48.3     2.2   110.5     2.2   -83.3     4.1
2008.0050   -48.0     2.2   110.8     2.2   -84.2     4.1
2008.0102   -48.4     2.1   111.6     2.1   -84.7     4.1
2008.0130   -47.1     2.3   111.9     2.3   -85.7     4.5
2008.0160   -47.5     2.3   111.3     2.2   -84.9     4.4
