% site name: THU2
% Time      North     err   East      err    Up       err
% year      mm        mm    mm        mm     mm       mm
2002.0034   -40.8     4.3   190.5     3.3   -62.7     8.4
2002.0230   -41.9     5.0   191.1     3.7   -57.9    10.6
2002.0252   -40.4     3.7   194.4     2.9   -53.2     7.5
2002.0280   -43.4     4.9   189.4     3.8   -54.2    10.5
2002.0340   -39.3     6.1   194.6     4.1   -67.8    10.7
2002.0362   -44.8     5.2   191.4     4.5   -66.8    12.2
2002.0420   -40.8     6.5   189.4     4.3   -51.5     9.7
2002.0444   -39.4     5.0   190.8     2.8   -45.5     7.6
2002.0472   -44.9     3.6   192.8     3.7   -64.7    11.0
2002.0500   -39.2     5.5   194.3     4.6   -53.0    13.1
2002.0530   -39.6     6.0   190.0     3.5   -60.1     9.1
2002.0554   -39.5     4.6   190.7     3.2   -52.0     8.3
2002.0582   -41.8     4.1   193.3     3.8   -60.0     9.9
2002.0610   -38.7     4.9   192.3     3.3   -53.6     9.1
2002.0640   -38.0     4.3   190.6     3.3   -60.6     9.0
2002.0664   -40.7     4.4   193.8     3.1   -56.6     8.1
2002.0690   -40.9     4.0   192.3     3.2   -54.5     8.2
2002.0720   -39.1     4.2   192.1     3.6   -52.4     9.0
2002.0750   -40.2     4.5   192.1     4.3   -48.2    11.3
2002.0773   -38.4     5.5   190.3     3.9   -46.6     9.8
2002.0800   -40.8     4.9   190.7     3.7   -57.5     9.4
2002.0830   -42.9     4.8   188.0     3.3   -56.8     8.5
2002.0860   -41.7     4.2   192.3     3.2   -53.5     8.7
2002.0882   -38.2     4.2   192.7     3.5   -63.8     9.4
2002.0910   -41.3     4.6   191.5     4.0   -54.1    10.4
2002.0940   -42.3     4.8   190.9     2.7   -64.2     6.8
2002.0970   -40.6     3.5   193.5     3.2   -56.5     8.8
2002.0992   -36.5     4.2   195.3     8.7   -55.8    14.7
2002.1020   -40.2    10.3   188.3     5.8   -61.3    13.3
2002.1050   -42.6     6.3   194.4     4.4   -47.4    11.2
2002.1074   -41.5     5.4   191.7     4.7   -49.8    13.2
2002.1102   -43.8     6.1   194.8     5.4   -66.1    15.1
2002.1130   -41.2     6.4   191.6     3.4   -56.7     9.8
2002.1160   -43.5     4.5   195.2     7.6   -48.0    14.4
2002.1184   -39.0     7.6   193.0     3.4   -52.0    10.1
2002.1210   -41.5     4.4   189.4     4.7   -54.6    13.3
2002.1240   -37.9     5.9   193.8     3.4   -46.9    10.3
2002.1270   -39.8     4.6   189.5     3.7   -47.0    10.4
2002.1293   -40.5     4.6   193.1     4.0   -57.8    11.9
2002.1320   -40.3     5.6   194.8     3.5   -51.1     9.3
2002.1350   -39.3     4.6   194.7     3.6   -47.3    10.2
2002.1380   -41.0     4.7   191.9     3.7   -55.7    12.1
2002.1402   -42.6     5.3   191.5     5.3   -47.0    14.4
