% site name: TIMM
% Time      North     err   East      err    Up       err
% year      mm        mm    mm        mm     mm       mm
2007.6324   -88.2     3.0    78.2     3.5   -39.3     5.2
2007.6351   -86.6     2.1    80.2     2.5   -48.4     3.5
2007.6380   -87.4     2.1    79.0     2.5   -50.0     3.5
2007.6410   -87.0     2.1    80.0     2.5   -47.2     3.5
2007.6434   -87.4     2.1    80.6     2.5   -43.9     3.4
2007.6461   -86.8     2.2    80.2     2.6   -40.6     3.5
2007.6490   -85.5     2.2    79.3     2.6   -41.5     3.6
2007.6520   -86.4     2.2    80.3     2.6   -41.8     3.6
2007.6542   -86.7     2.3    80.2     2.8   -42.7     3.8
2007.6571   -87.5     2.2    80.2     2.6   -45.8     3.6
2007.6600   -85.9     2.2    80.2     2.6   -42.4     3.6
2007.6630   -86.2     2.2    79.2     2.6   -43.8     3.5
2007.6652   -87.3     2.2    79.3     2.6   -42.4     3.6
2007.6680   -85.8     2.2    80.5     2.6   -40.1     3.6
2007.6710   -86.9     2.1    79.6     2.7   -48.3     3.7
2007.6734   -88.4     2.2    79.9     2.6   -38.3     3.4
2007.6762   -84.5     2.1    80.4     2.5   -37.9     3.5
2007.6790   -85.3     2.2    78.6     2.6   -34.1     3.6
2007.6820   -88.4     2.2    80.8     2.6   -43.4     3.6
2007.6844   -85.5     2.2    79.9     2.6   -42.3     3.6
2007.6872   -86.1     2.2    79.0     2.6   -41.0     3.6
2007.6900   -86.7     2.2    78.5     2.6   -45.0     3.6
2007.6930   -86.0     2.1    78.9     2.5   -43.5     3.5
2007.6954   -84.7     2.2    79.4     2.6   -38.3     3.5
2007.6981   -86.1     2.2    79.5     2.5   -42.0     3.5
2007.7010   -83.9     2.1    79.7     2.5   -39.8     3.5
2007.7040   -84.4     2.1    79.5     2.5   -39.2     3.5
2007.7064   -84.6     2.2    78.8     2.6   -34.9     3.6
2007.7091   -84.6     2.2    79.5     2.6   -38.3     3.6
2007.7120   -84.7     2.2    78.8     2.5   -35.6     3.5
2007.7150   -85.0     2.2    79.4     2.6   -33.1     3.6
2007.7172   -85.7     2.1    80.0     2.5   -39.3     3.5
2007.7200   -83.1     2.1    79.2     2.5   -37.8     3.5
2007.7230   -83.2     2.1    79.5     2.5   -39.2     3.5
2007.7260   -82.7     2.1    79.4     2.6   -36.1     3.5
2007.7282   -82.9     2.2    79.3     2.6   -39.0     3.4
2007.7310   -82.6     2.1    79.8     2.6   -42.1     3.5
2007.7364   -84.5     2.1    79.3     2.5   -47.8     3.4
2007.7392   -83.6     2.1    79.7     2.6   -39.4     3.6
2007.7420   -82.7     2.2    79.8     2.6   -38.5     3.6
2007.7450   -82.6     2.2    79.1     2.8   -39.7     3.8
2007.7474   -84.2     2.3    81.1     2.6   -41.4     3.4
2007.7501   -85.6     2.2    81.1     2.5   -40.4     3.5
2007.7530   -84.6     2.1    80.8     2.6   -37.3     3.6
2007.7560   -84.1     2.2    80.5     2.6   -39.9     3.6
2007.7584   -81.7     2.2    80.7     2.6   -43.6     3.6
2007.7611   -83.0     2.2    79.9     2.5   -43.5     3.5
2007.7640   -83.0     2.1    79.9     2.5   -41.5     3.4
2007.7670   -82.0     2.1    78.8     2.5   -47.3     3.5
2007.7692   -81.7     2.1    77.1     2.6   -42.5     3.6
2007.7720   -83.7     2.2    78.2     2.6   -45.6     3.6
2007.7750   -82.5     2.2    76.8     2.6   -40.8     3.5
2007.7780   -82.3     2.2    78.5     2.5   -42.1     3.4
2007.7802   -83.3     2.1    78.8     2.5   -38.7     3.4
2007.7830   -82.4     2.1    79.2     2.5   -40.6     3.5
2007.7860   -82.4     2.1    79.2     2.5   -40.1     3.4
2007.7884   -82.9     2.1    78.1     2.5   -39.2     3.5
2007.7912   -82.1     2.1    78.8     2.5   -41.0     3.4
2007.7940   -82.2     2.1    78.4     2.5   -39.5     3.5
2007.7970   -83.9     2.1    79.1     2.6   -38.9     3.6
2007.7994   -82.4     2.2    80.2     2.6   -46.5     3.6
2007.8022   -81.2     2.2    80.6     2.5   -41.5     3.5
2007.8050   -80.7     2.1    80.4     2.5   -36.4     3.4
2007.8080   -83.0     2.1    79.9     2.5   -38.1     3.4
2007.8104   -79.6     2.1    80.8     2.5   -37.6     3.5
2007.8131   -80.2     2.1    79.3     2.5   -37.9     3.5
2007.8160   -77.9     2.1    80.6     2.6   -33.9     3.6
2007.8190   -80.1     2.2    80.5     2.6   -38.2     3.6
2007.8214   -80.5     2.2    80.5     2.5   -38.0     3.5
2007.8240   -80.6     2.1    78.8     2.5   -38.7     3.5
2007.8270   -80.1     2.1    79.3     2.5   -38.2     3.5
2007.8300   -79.9     2.2    78.7     2.5   -35.6     3.5
2007.8322   -80.3     2.1    77.9     2.5   -38.6     3.4
2007.8350   -80.1     2.1    79.1     2.5   -41.6     3.4
2007.8380   -81.1     2.1    78.8     2.5   -42.4     3.4
2007.8410   -81.6     2.1    80.1     2.5   -44.9     3.4
2007.8432   -81.7     2.1    77.2     2.5   -43.0     3.5
2007.8460   -82.5     2.1    76.0     2.5   -44.5     3.5
2007.8490   -86.2     2.1    76.4     2.5   -42.3     3.4
2007.8514   -80.8     2.1    77.2     2.5   -42.7     3.5
2007.8542   -81.6     2.1    76.3     2.5   -46.4     3.5
2007.8600   -80.1     2.2    77.0     2.5   -39.4     3.4
2007.8624   -79.6     2.1    77.7     2.5   -37.5     3.4
2007.8651   -80.2     2.1    78.1     2.5   -40.0     3.4
2007.8680   -81.0     2.1    78.3     2.6   -38.1     3.5
2007.8710   -82.0     2.1    78.0     2.5   -35.9     3.5
2007.8760   -81.4     2.1    78.7     2.5   -39.0     3.4
2007.8790   -79.9     2.1    79.8     2.5   -38.9     3.4
2007.8820   -80.9     2.1    77.5     2.5   -39.5     3.4
2007.8842   -82.3     2.1    78.0     2.5   -40.2     3.5
2007.8870   -79.5     2.1    76.2     2.6   -35.7     3.6
2007.8900   -80.4     2.2    76.7     2.5   -41.5     3.5
2007.8930   -81.3     2.1    76.3     2.6   -38.2     3.6
2007.8952   -81.7     2.2    77.3     2.6   -38.2     3.5
2007.8980   -80.0     2.1    78.4     2.5   -39.5     3.5
2007.9010   -81.0     2.1    79.6     2.5   -40.7     3.5
2007.9034   -81.7     2.1    80.0     2.5   -41.3     3.5
