% site name: TREO
% Time      North     err   East      err    Up       err
% year      mm        mm    mm        mm     mm       mm
2007.6680   -89.5     2.3    89.8     2.8   -41.1     4.1
2007.6710   -90.1     2.2    90.8     2.8   -45.8     3.9
2007.6734   -91.4     2.2    93.4     2.6   -49.1     3.7
2007.6762   -90.5     2.1    91.2     2.5   -35.3     3.7
2007.6790   -89.7     2.2    89.0     2.6   -38.6     3.7
2007.6820   -89.8     2.1    90.2     2.7   -42.8     3.9
2007.6844   -88.7     2.2    89.8     2.6   -45.9     3.7
2007.6872   -89.4     2.1    88.0     2.6   -46.1     3.8
2007.6900   -89.1     2.1    89.2     2.5   -50.4     3.7
2007.6930   -89.9     2.1    89.4     2.5   -46.0     3.6
2007.6954   -91.1     2.1    89.8     2.5   -41.2     3.7
2007.6981   -88.7     2.1    90.5     2.5   -46.5     3.7
2007.7010   -88.7     2.1    90.6     2.5   -45.0     3.7
2007.7040   -89.7     2.2    89.7     2.6   -44.3     3.7
2007.7064   -88.7     2.3    89.5     2.7   -39.1     3.9
2007.7091   -88.7     2.2    89.7     2.6   -42.1     3.7
2007.7120   -90.5     2.1    91.1     2.5   -42.9     3.7
2007.7150   -87.4     2.1    91.3     2.5   -32.6     3.7
2007.7172   -88.1     2.1    89.2     2.5   -40.8     3.6
2007.7200   -87.6     2.2    89.9     2.6   -39.9     3.7
2007.7230   -87.9     2.2    89.8     2.6   -51.1     3.7
2007.7260   -87.2     2.2    90.8     2.6   -42.2     3.9
2007.7282   -86.8     2.2    90.3     2.6   -43.1     3.7
2007.7310   -86.3     2.1    90.9     2.6   -47.3     3.7
2007.7340   -88.6     2.1    92.0     2.5   -47.7     3.6
2007.7364   -87.7     2.1    90.7     2.5   -50.9     3.6
2007.7392   -87.2     2.2    90.5     2.6   -47.3     3.7
2007.7420   -86.4     2.2    90.2     2.6   -46.4     3.9
2007.7450   -86.4     2.2    89.3     2.8   -43.0     4.0
2007.7474   -88.6     2.1    91.0     2.6   -49.6     3.6
2007.7501   -91.3     2.1    92.4     2.6   -42.3     3.7
2007.7530   -87.2     2.2    90.3     2.6   -49.9     3.7
2007.7560   -89.1     2.1    91.7     2.6   -42.4     3.7
2007.7584   -87.0     2.1    91.2     2.5   -44.4     3.7
2007.7611   -86.5     2.2    91.0     2.6   -49.7     3.7
2007.7640   -86.6     2.1    90.9     2.5   -48.5     3.6
2007.7670   -85.6     2.1    89.8     2.5   -49.8     3.6
2007.7692   -84.4     2.2    88.5     2.6   -47.2     3.9
2007.7720   -85.6     2.2    90.8     2.7   -49.6     3.8
2007.7750   -84.7     2.1    89.4     2.5   -46.0     3.7
2007.7780   -86.2     2.1    90.0     2.4   -50.2     3.5
2007.7802   -87.2     2.1    91.2     2.5   -49.9     3.6
2007.7830   -86.6     2.1    90.9     2.5   -48.1     3.6
2007.7860   -87.8     2.1    91.0     2.5   -43.2     3.6
2007.7884   -87.7     2.1    89.1     2.5   -40.7     3.6
2007.7912   -86.9     2.1    90.2     2.5   -43.0     3.6
2007.7940   -86.9     2.1    89.8     2.5   -39.7     3.6
2007.7970   -84.6     2.2    91.1     2.7   -50.3     3.8
2007.7994   -85.5     2.2    92.3     2.8   -51.2     4.0
2007.8022   -84.8     2.2    91.2     2.6   -40.2     3.7
2007.8050   -85.0     2.1    90.9     2.5   -41.6     3.6
2007.8080   -87.4     2.1    90.0     2.5   -45.0     3.6
2007.8104   -85.7     2.1    90.6     2.6   -37.6     3.6
2007.8131   -84.9     2.1    90.1     2.5   -43.7     3.6
