% site name: UPVK
% Time      North     err   East      err    Up       err
% year      mm        mm    mm        mm     mm       mm
2007.4190   -54.5     2.7   123.5     2.5   -44.0     5.0
2007.4220   -54.1     2.3   123.4     2.1   -47.6     4.0
2007.4243   -54.7     2.2   122.3     2.0   -47.2     4.0
2007.4271   -53.3     2.3   123.2     2.1   -47.4     4.0
2007.4300   -52.9     2.2   123.3     2.0   -45.7     3.9
2007.4330   -52.5     2.2   123.5     2.0   -47.4     4.0
2007.4353   -56.0     2.3   121.5     2.1   -59.5     4.0
2007.4381   -54.1     2.2   122.1     2.0   -48.1     4.0
2007.4410   -55.0     2.3   120.3     2.2   -48.7     4.2
2007.4462   -54.4     2.3   121.2     2.1   -46.3     4.0
2007.4490   -54.2     2.3   122.4     2.1   -46.3     4.0
2007.4520   -54.9     2.3   121.6     2.1   -46.4     4.1
2007.4544   -53.5     2.3   121.4     2.1   -40.8     4.0
2007.4572   -54.6     2.3   122.0     2.1   -44.8     4.0
2007.4600   -53.5     2.3   122.2     2.1   -44.9     4.0
2007.4630   -54.0     2.3   119.3     2.1   -55.3     4.0
2007.4654   -54.1     2.3   121.6     2.0   -47.8     4.0
2007.4681   -52.8     2.2   121.7     2.0   -48.7     4.0
2007.4710   -57.8     2.2   119.4     2.2   -59.7     4.2
2007.4740   -54.3     2.3   120.8     2.1   -47.8     4.0
2007.4764   -53.2     2.3   120.4     2.1   -47.1     4.0
2007.4791   -53.8     2.3   120.9     2.2   -48.7     4.2
2007.4820   -53.8     2.3   120.9     2.0   -49.7     3.9
2007.4850   -53.5     2.2   120.5     2.1   -45.1     4.0
2007.4873   -54.8     2.3   119.8     2.0   -38.1     3.9
2007.4901   -53.5     2.2   119.6     2.0   -45.6     4.0
2007.4930   -53.2     2.2   120.4     2.0   -45.2     4.0
2007.4960   -53.5     2.2   120.6     2.0   -46.0     4.0
2007.4982   -53.1     2.2   121.0     2.0   -46.2     3.9
2007.5010   -53.8     2.2   119.4     2.0   -46.3     4.0
2007.5040   -53.3     2.2   119.6     2.0   -47.2     4.0
2007.5064   -53.3     2.2   121.2     2.1   -47.2     4.0
2007.5092   -52.6     2.3   120.2     2.1   -44.5     4.0
2007.5120   -53.2     2.3   120.8     2.0   -44.7     4.0
2007.5150   -52.4     2.2   121.2     2.0   -45.7     4.0
2007.5174   -53.2     2.2   120.5     2.0   -42.3     4.0
2007.5201   -53.6     2.2   120.0     2.1   -47.8     3.9
2007.5230   -53.2     2.3   120.1     2.0   -45.0     3.9
2007.5284   -52.8     2.2   120.6     2.1   -43.5     4.0
