% site name: UTMG
% Time      North     err   East      err    Up       err
% year      mm        mm    mm        mm     mm       mm
2007.6324  -124.7     3.9   119.0     4.3   -53.3     7.0
2007.6351  -122.1     2.1   120.6     2.5   -61.0     3.5
2007.6380  -123.7     2.1   121.3     2.5   -63.5     3.5
2007.6410  -123.9     2.2   121.9     2.5   -56.2     3.5
2007.6434  -123.7     2.1   121.3     2.5   -58.9     3.5
2007.6461  -125.5     2.2   121.9     2.6   -53.8     3.5
2007.6490  -121.6     2.2   121.2     2.6   -62.4     3.6
2007.6520  -122.0     2.2   122.0     2.7   -57.8     3.8
2007.6542  -123.2     2.3   120.5     2.8   -58.8     3.8
2007.6571  -124.1     2.2   120.8     2.6   -63.7     3.6
2007.6600  -123.4     2.2   120.3     2.6   -62.8     3.5
2007.6630  -123.0     2.2   118.7     2.6   -65.6     3.5
2007.6652  -123.7     2.2   120.4     2.6   -50.5     3.6
2007.6680  -122.0     2.3   120.4     2.6   -61.1     3.7
2007.6710  -123.4     2.3   120.9     2.8   -54.4     3.7
2007.6734  -123.6     2.2   122.3     2.6   -52.6     3.5
2007.6762  -123.6     2.2   121.2     2.6   -50.8     3.6
2007.6790  -123.9     2.2   120.9     2.6   -56.1     3.6
2007.6820  -123.3     2.2   121.9     2.6   -61.1     3.6
2007.6844  -121.5     2.2   120.1     2.6   -59.0     3.6
2007.6872  -123.9     2.2   117.7     2.7   -54.0     3.8
2007.6900  -122.5     2.2   119.7     2.6   -64.6     3.6
2007.6930  -122.3     2.2   119.4     2.6   -61.2     3.5
2007.6954  -121.9     2.2   120.8     2.6   -55.9     3.5
2007.6981  -121.8     2.2   120.6     2.6   -56.2     3.5
2007.7010  -120.2     2.2   121.2     2.6   -52.7     3.5
2007.7040  -121.5     2.2   120.4     2.6   -55.5     3.5
2007.7064  -121.8     2.3   120.0     2.6   -53.1     3.7
2007.7091  -121.1     2.2   120.3     2.6   -54.2     3.6
2007.7120  -121.9     2.2   119.3     2.6   -59.2     3.5
2007.7150  -121.5     2.2   120.4     2.6   -46.6     3.5
2007.7172  -120.4     2.1   121.5     2.6   -61.5     3.6
2007.7200  -120.5     2.2   121.0     2.6   -52.1     3.5
2007.7230  -120.4     2.2   120.7     2.6   -58.0     3.5
2007.7260  -119.7     2.1   120.5     2.6   -54.3     3.5
2007.7282  -118.8     2.2   121.3     2.6   -54.2     3.5
2007.7310  -120.1     2.2   120.7     2.6   -62.9     3.5
2007.7340  -122.7     2.1   122.1     2.5   -58.7     3.5
2007.7364  -120.7     2.1   120.4     2.6   -61.7     3.5
2007.7392  -119.9     2.2   121.3     2.6   -55.7     3.5
2007.7420  -120.0     2.2   122.3     2.7   -49.7     3.8
2007.7450  -120.6     2.3   120.9     2.8   -53.4     3.9
2007.7474  -119.5     2.2   122.0     2.6   -54.8     3.5
2007.7501  -123.6     2.2   123.6     2.6   -50.9     3.5
2007.7530  -120.0     2.2   120.6     2.6   -52.5     3.5
2007.7560  -121.0     2.2   123.8     2.6   -59.6     3.5
2007.7584  -118.3     2.2   123.8     2.6   -59.8     3.5
2007.7611  -119.2     2.2   121.4     2.6   -57.7     3.5
2007.7640  -119.1     2.1   120.8     2.5   -58.5     3.5
2007.7670  -118.1     2.1   120.3     2.5   -61.5     3.5
2007.7692  -118.0     2.2   118.7     2.6   -56.4     3.6
2007.7720  -119.3     2.2   122.0     2.7   -65.4     3.8
2007.7750  -118.0     2.2   119.0     2.6   -55.9     3.6
2007.7780  -119.6     2.1   119.5     2.5   -58.2     3.5
2007.7802  -120.3     2.1   121.2     2.5   -56.0     3.5
2007.7830  -119.7     2.1   120.9     2.6   -52.9     3.5
2007.7860  -119.7     2.1   123.1     2.6   -58.3     3.6
2007.7884  -122.9     2.2   122.5     2.6   -40.5     3.5
2007.7912  -119.1     2.1   120.1     2.5   -51.8     3.5
2007.7940  -119.9     2.1   120.0     2.6   -55.8     3.6
2007.7970  -120.0     2.2   121.4     2.6   -52.1     3.5
2007.7994  -118.8     2.2   120.7     2.6   -58.4     3.5
2007.8022  -116.9     2.1   120.8     2.5   -54.4     3.5
2007.8050  -117.9     2.1   123.8     2.6   -48.5     3.5
2007.8080  -120.4     2.1   121.0     2.6   -51.1     3.5
2007.8104  -118.6     2.1   122.7     2.6   -53.2     3.6
2007.8131  -117.7     2.1   120.8     2.6   -51.3     3.5
2007.8160  -115.0     2.2   121.0     2.7   -50.6     3.8
2007.8190  -115.5     2.2   120.9     2.6   -56.6     3.5
2007.8214  -118.9     2.2   120.3     2.6   -48.2     3.5
2007.8240  -118.4     2.2   119.2     2.6   -50.0     3.5
2007.8270  -117.8     2.2   120.5     2.6   -51.4     3.5
2007.8300  -117.4     2.2   119.8     2.6   -54.0     3.5
2007.8322  -117.6     2.1   119.1     2.5   -55.6     3.5
2007.8350  -117.1     2.1   120.4     2.5   -53.9     3.5
2007.8380  -117.9     2.1   119.0     2.5   -56.6     3.5
2007.8410  -119.0     2.1   120.0     2.5   -58.1     3.5
2007.8432  -118.6     2.1   118.5     2.6   -50.3     3.5
2007.8460  -117.4     2.1   118.3     2.5   -62.8     3.4
2007.8490  -117.3     2.1   119.7     2.5   -58.6     3.5
2007.8514  -117.5     2.1   117.7     2.6   -61.4     3.5
2007.8542  -118.0     2.1   120.3     2.6   -55.2     3.6
2007.8600  -117.8     2.1   118.2     2.5   -60.8     3.5
2007.8624  -117.2     2.1   118.4     2.5   -55.2     3.5
2007.8651  -117.8     2.1   118.9     2.5   -52.7     3.5
2007.8680  -118.4     2.2   119.5     2.6   -54.8     3.6
2007.8710  -117.6     2.2   117.9     2.6   -57.5     3.5
2007.8760  -116.3     2.1   119.2     2.5   -58.4     3.4
2007.8790  -115.4     2.1   119.2     2.5   -60.1     3.5
2007.8820  -117.9     2.1   118.3     2.5   -53.9     3.5
2007.8842  -117.6     2.1   117.4     2.6   -58.8     3.6
2007.8870  -117.9     2.3   116.4     2.8   -53.7     3.7
2007.8900  -118.1     2.2   118.1     2.6   -58.1     3.5
2007.8930  -117.3     2.2   117.8     2.8   -55.3     3.6
2007.8952  -118.1     2.2   118.2     2.6   -56.2     3.5
2007.8980  -117.8     2.2   119.0     2.6   -55.2     3.5
2007.9010  -118.4     2.1   119.7     2.6   -53.9     3.6
2007.9034  -118.2     2.1   119.4     2.6   -55.1     3.5
2007.9062  -116.7     2.1   119.3     2.5   -54.2     3.5
2007.9090  -114.8     2.1   119.8     2.6   -54.4     3.5
2007.9120  -116.7     2.1   119.7     2.5   -58.1     3.5
2007.9144  -115.1     2.1   119.2     2.5   -56.6     3.5
2007.9200  -116.3     2.1   117.4     2.5   -59.7     3.5
2007.9230  -118.8     2.1   116.6     2.5   -57.2     3.5
2007.9254  -117.9     2.1   118.8     2.5   -51.2     3.4
2007.9281  -117.1     2.2   119.9     2.6   -51.3     3.5
2007.9310  -117.8     2.1   118.7     2.5   -53.2     3.5
2007.9340  -117.8     2.1   116.7     2.6   -51.3     3.5
2007.9364  -117.3     2.1   117.6     2.5   -55.9     3.4
2007.9390  -116.4     2.1   117.2     2.5   -53.9     3.4
2007.9420  -114.7     2.2   119.6     2.6   -56.2     3.5
2007.9450  -117.7     2.2   119.9     2.6   -51.2     3.5
2007.9472  -115.6     2.2   117.3     2.6   -54.7     3.5
2007.9500  -117.3     2.1   119.3     2.6   -58.1     3.3
2007.9530  -114.3     2.1   119.2     2.5   -55.1     3.4
2007.9560  -117.4     2.1   118.1     2.5   -53.8     3.4
2007.9582  -115.7     2.0   117.9     2.6   -56.6     3.4
2007.9610  -114.9     2.1   117.8     2.6   -57.6     3.5
2007.9640  -115.8     2.2   117.0     2.6   -55.7     3.5
2007.9664  -116.5     2.2   117.3     2.6   -56.9     3.4
2007.9692  -118.2     2.1   118.6     2.5   -53.1     3.4
2007.9720  -116.5     2.1   117.4     2.6   -53.9     3.5
2007.9750  -116.8     2.1   117.5     2.6   -58.6     3.5
2007.9774  -117.7     2.1   116.0     2.5   -48.1     3.5
2007.9801  -117.3     2.1   116.7     2.5   -53.1     3.4
2007.9830  -116.8     2.1   116.8     2.5   -45.4     3.5
2007.9860  -116.7     2.1   116.0     2.5   -51.4     3.4
2007.9884  -115.4     2.0   116.8     2.6   -53.7     3.4
2007.9910  -115.8     2.1   115.5     2.6   -53.0     3.5
2007.9940  -116.3     2.1   114.7     2.5   -53.2     3.5
2007.9970  -117.0     2.1   116.0     2.5   -51.4     3.4
2007.9992  -116.3     2.1   117.2     2.5   -54.6     3.5
2008.0020  -116.8     2.1   116.3     2.5   -53.6     3.5
2008.0050  -115.6     2.1   116.0     2.5   -50.7     3.4
2008.0102  -116.3     2.1   116.3     2.5   -52.7     3.4
2008.0130  -115.5     2.1   117.3     2.7   -54.8     3.7
2008.0160  -115.9     2.2   116.3     2.6   -55.4     3.5
2008.0184  -115.9     2.2   116.9     2.6   -56.2     3.5
2008.0212  -114.9     2.1   115.9     2.6   -56.8     3.5
2008.0240  -115.4     2.1   117.7     2.6   -58.3     3.5
2008.0270  -115.7     2.1   117.7     2.5   -55.6     3.4
2008.0294  -114.7     2.1   116.4     2.5   -56.4     3.5
2008.0322  -114.2     2.1   114.8     2.5   -56.9     3.5
2008.0350  -114.6     2.2   114.3     2.6   -56.3     3.5
2008.0380  -115.5     2.1   114.9     2.7   -50.9     3.7
2008.0404  -115.6     2.1   115.6     2.6   -49.7     3.5
2008.0430  -113.8     2.2   114.8     2.6   -50.3     3.6
2008.0460  -117.5     2.1   115.9     2.7   -44.4     3.7
2008.0490  -115.8     2.2   115.7     2.6   -52.7     3.5
2008.0513  -115.8     2.1   114.9     2.5   -49.2     3.5
2008.0540  -117.2     2.1   114.2     2.5   -55.2     3.5
2008.0570  -117.8     2.1   115.5     2.5   -53.4     3.4
2008.0600  -118.2     2.1   117.0     2.5   -53.9     3.5
2008.0622  -115.8     2.1   116.9     2.5   -49.9     3.5
2008.0650  -114.8     2.1   116.3     2.5   -48.8     3.5
2008.0680  -115.3     2.2   116.2     2.6   -50.9     3.5
2008.0710  -116.3     2.1   115.2     2.5   -53.9     3.5
2008.0732  -115.1     2.1   115.4     2.5   -56.8     3.5
2008.0760  -113.7     2.1   114.9     2.5   -53.3     3.5
2008.0790  -116.9     2.3   113.2     2.6   -56.0     3.7
2008.0814  -115.7     2.2   117.2     2.6   -50.9     3.6
2008.0842  -115.3     2.2   114.4     2.6   -57.4     3.5
2008.0870  -116.2     2.3   115.3     2.8   -54.3     3.7
2008.0900  -117.4     2.2   114.9     2.6   -50.9     3.6
2008.0924  -116.3     2.2   113.9     2.6   -52.3     3.6
2008.0950  -116.1     2.2   111.4     2.6   -47.6     3.5
2008.0980  -114.7     2.2   113.8     2.6   -53.4     3.5
2008.1010  -113.3     2.2   115.7     2.6   -55.8     3.5
2008.1033  -114.4     2.2   116.4     2.6   -54.8     3.6
2008.1060  -113.9     2.1   116.1     2.6   -48.6     3.5
2008.1090  -113.6     2.1   114.4     2.5   -52.0     3.5
2008.1120  -113.0     2.1   113.5     2.7   -51.8     3.6
2008.1142  -111.8     2.2   114.1     2.6   -48.9     3.6
2008.1170  -112.4     2.1   112.7     2.6   -57.8     3.5
2008.1200  -112.3     2.1   114.4     2.6   -60.0     3.5
2008.1230  -111.8     2.1   114.6     2.6   -57.1     3.5
2008.1252  -112.4     2.1   113.9     2.5   -57.3     3.5
2008.1280  -112.6     2.1   114.4     2.5   -54.2     3.4
2008.1310  -112.4     2.1   112.5     2.5   -55.9     3.4
2008.1334  -111.8     2.2   115.7     2.6   -53.3     3.4
2008.1362  -111.7     2.2   115.2     2.6   -51.0     3.5
2008.1390  -112.6     2.2   113.8     2.6   -49.2     3.5
2008.1420  -113.2     2.1   113.9     2.5   -48.3     3.5
2008.1444  -114.2     2.1   114.4     2.5   -48.9     3.5
2008.1472  -112.2     2.1   113.7     2.5   -52.8     3.5
2008.1500  -112.5     2.1   113.5     2.5   -52.2     3.4
2008.1530  -111.8     2.1   113.9     2.5   -53.5     3.5
2008.1553  -112.5     2.1   113.4     2.5   -54.1     3.4
2008.1580  -112.6     2.1   114.0     2.6   -55.8     3.5
2008.1610  -113.4     2.2   113.9     2.8   -54.8     3.8
2008.1640  -111.8     2.2   113.1     2.8   -52.4     3.8
2008.1663  -113.0     2.2   113.8     2.6   -58.0     3.6
2008.1690  -111.6     2.1   113.2     2.5   -54.7     3.5
2008.1720  -112.5     2.1   113.3     2.6   -60.8     3.5
2008.1750  -112.2     2.1   113.8     2.5   -59.3     3.4
2008.1772  -112.0     2.2   113.2     2.6   -54.1     3.5
2008.1800  -112.3     2.1   112.5     2.5   -54.7     3.5
2008.1830  -112.4     2.1   112.2     2.6   -54.1     3.5
2008.1860  -111.9     2.1   112.3     2.5   -44.5     3.5
2008.1882  -113.3     2.3   112.8     2.9   -52.0     3.8
2008.1910  -112.4     2.1   114.5     2.6   -51.3     3.5
2008.1940  -112.8     2.1   113.9     2.6   -47.4     3.5
2008.1964  -113.9     2.2   113.5     2.6   -55.8     3.5
2008.1992  -111.7     2.1   113.7     2.6   -55.8     3.5
2008.2020  -112.0     2.1   112.7     2.6   -55.2     3.5
2008.2050  -115.6     2.1   112.9     2.5   -61.1     3.4
2008.2073  -114.4     2.1   111.8     2.5   -60.0     3.4
2008.2100  -112.6     2.1   112.3     2.5   -58.6     3.5
2008.2130  -113.9     2.2   112.7     2.6   -63.1     3.5
2008.2160  -115.3     2.1   114.6     2.6   -59.0     3.5
2008.2183  -113.0     2.1   111.0     2.5   -64.6     3.5
2008.2210  -111.2     2.2   110.0     2.6   -57.5     3.5
2008.2240  -112.9     2.2   110.6     2.6   -57.7     3.5
2008.2270  -113.8     2.2   111.3     2.6   -54.9     3.5
2008.2292  -115.0     2.1   110.0     2.5   -59.3     3.5
2008.2320  -113.8     2.2   113.6     2.6   -57.0     3.5
2008.2350  -115.3     2.3   113.5     2.8   -54.1     3.9
2008.2380  -113.8     2.4   112.7     3.0   -54.2     4.1
2008.2402  -113.6     2.4   111.9     3.0   -55.0     4.1
2008.2430  -111.6     2.2   112.8     2.6   -56.4     3.7
2008.2460  -112.0     2.2   112.6     2.6   -61.4     3.5
2008.2484  -112.7     2.1   112.7     2.6   -57.2     3.5
2008.2512  -112.5     2.1   112.3     2.7   -60.3     3.7
2008.2540  -110.5     2.1   114.9     2.6   -61.8     3.5
