% site name: VFDG
% Time      North     err   East      err    Up       err
% year      mm        mm    mm        mm     mm       mm
2009.6040   -92.3     2.4    61.7     3.2   -35.2     7.6
2009.6064   -91.0     1.7    62.7     2.2   -35.4     4.5
2009.6091   -91.9     1.6    63.3     2.2   -38.9     4.4
2009.6120   -92.1     1.6    62.5     2.2   -37.6     4.4
2009.6150   -91.4     1.7    63.2     2.2   -38.1     4.4
2009.6174   -91.2     1.7    63.8     2.2   -38.9     4.3
2009.6201   -91.1     1.7    63.9     2.2   -34.3     4.3
2009.6230   -90.5     1.7    63.5     2.2   -34.1     4.3
2009.6260   -89.2     1.7    63.0     2.2   -35.8     4.4
2009.6282   -89.5     1.7    63.1     2.2   -35.1     4.3
2009.6311   -89.4     1.7    64.1     2.2   -31.3     4.3
2009.6340   -91.4     1.7    63.8     2.2   -34.0     4.5
2009.6370   -89.2     1.6    63.1     2.2   -31.6     4.4
2009.6392   -88.0     1.6    65.2     2.2   -32.7     4.4
2009.6420   -87.6     1.7    63.9     2.2   -31.7     4.5
2009.6450   -88.2     1.7    63.3     2.2   -35.7     4.5
2009.6474   -86.6     1.7    63.7     2.2   -30.6     4.3
2009.6502   -88.3     1.6    63.5     2.2   -32.1     4.4
2009.6530   -87.1     1.6    63.2     2.2   -35.7     4.4
2009.6560   -87.7     1.7    62.7     2.3   -41.5     4.4
2009.6584   -88.8     1.6    61.3     2.2   -39.3     4.2
2009.6611   -88.4     1.6    61.6     2.2   -32.8     4.2
2009.6640   -88.3     1.7    60.9     2.3   -29.4     4.5
2009.6670   -88.8     1.6    61.4     2.2   -30.2     4.2
2009.6694   -89.2     1.6    63.1     2.2   -29.9     4.1
2009.6721   -88.1     1.6    63.0     2.2   -30.3     4.4
2009.6750   -88.0     1.6    62.9     2.2   -30.9     4.2
2009.6780   -87.8     1.6    63.0     2.2   -29.7     4.2
2009.6802   -87.0     1.6    64.2     2.2   -27.9     4.2
2009.6831   -88.3     1.6    63.6     2.2   -29.4     4.3
2009.6860   -88.6     1.7    63.6     2.2   -31.2     4.3
2009.6890   -88.5     1.6    63.7     2.2   -31.0     4.2
2009.6912   -88.9     1.7    64.3     2.2   -27.7     4.3
2009.6940   -88.9     1.6    62.6     2.2   -31.5     4.2
2009.6970   -86.9     1.7    62.2     2.2   -29.0     4.5
2009.6994   -87.6     1.7    61.3     2.2   -28.9     4.3
2009.7022   -89.5     1.7    60.9     2.2   -32.0     4.6
2009.7050   -86.0     1.6    63.5     2.2   -35.6     4.4
2009.7080   -85.4     1.6    64.3     2.2   -39.4     4.2
2009.7104   -87.1     1.6    63.1     2.2   -32.8     4.2
2009.7132   -88.5     1.7    63.2     2.2   -36.1     4.3
2009.7160   -88.7     1.6    63.3     2.2   -30.1     4.2
2009.7214   -87.9     1.6    64.0     2.2   -29.1     4.1
2009.7241   -87.4     1.6    63.9     2.2   -29.3     4.2
2009.7270   -88.0     1.7    63.9     2.2   -27.4     4.4
2009.7300   -89.4     1.7    63.0     2.2   -31.2     4.4
2009.7324   -90.2     1.7    63.9     2.2   -31.7     4.3
2009.7351   -87.7     1.7    62.6     2.2   -27.1     4.3
2009.7380   -87.6     1.7    63.2     2.2   -29.3     4.3
2009.7410   -87.0     1.8    61.8     2.3   -31.3     4.7
2009.7432   -86.7     1.7    62.4     2.2   -34.6     4.4
2009.7460   -86.8     1.7    62.3     2.2   -31.7     4.3
2009.7490   -87.1     1.6    61.5     2.2   -39.1     4.4
2009.7520   -86.6     1.6    62.4     2.2   -32.2     4.2
2009.7542   -85.9     1.7    62.7     2.2   -30.8     4.3
2009.7570   -86.0     1.7    61.8     2.2   -30.7     4.3
2009.7600   -86.6     1.6    61.8     2.2   -30.7     4.4
2009.7624   -86.0     1.7    63.0     2.2   -30.0     4.3
2009.7652   -85.0     1.7    62.8     2.2   -31.3     4.3
2009.7680   -84.6     1.7    62.8     2.2   -34.3     4.3
2009.7710   -84.4     1.7    62.4     2.2   -33.9     4.4
2009.7734   -84.8     1.7    61.2     2.2   -34.8     4.3
2009.7761   -83.3     1.7    62.8     2.2   -36.4     4.3
2009.7790   -85.1     1.7    62.1     2.2   -36.2     4.5
2009.7820   -84.8     1.6    63.5     2.2   -33.4     4.2
