% site name: WTHG
% Time      North     err   East      err    Up       err
% year      mm        mm    mm        mm     mm       mm
2009.6174   -93.7     1.8    55.1     2.6   -15.9     6.6
2009.6201   -92.0     1.4    54.0     2.0   -16.9     4.4
2009.6230   -91.0     1.4    54.5     2.0   -17.7     4.4
2009.6260   -90.9     1.4    54.5     2.0   -18.3     4.4
2009.6282   -90.7     1.4    54.3     2.0   -15.9     4.4
2009.6311   -91.3     1.4    55.4     2.0   -16.9     4.3
2009.6340   -92.7     1.4    55.0     2.0   -19.3     4.3
2009.6370   -91.0     1.5    54.5     2.0   -16.3     4.5
2009.6392   -88.4     1.4    56.4     2.0   -20.7     4.5
2009.6420   -90.3     1.5    55.4     2.0   -17.3     4.5
2009.6450   -89.8     1.4    55.4     2.0   -18.7     4.4
2009.6474   -88.8     1.4    55.3     2.0   -20.4     4.4
2009.6502   -90.0     1.5    54.4     2.0   -17.0     4.5
2009.6530   -89.4     1.5    54.0     2.0   -15.1     4.5
2009.6560   -89.0     1.5    53.9     2.0   -19.2     4.7
2009.6584   -89.8     1.4    52.9     2.0   -19.4     4.4
2009.6611   -90.2     1.4    53.1     2.0   -16.7     4.3
2009.6640   -89.7     1.5    52.9     2.0   -14.0     4.5
2009.6670   -90.8     1.5    53.8     2.0   -14.5     4.5
2009.6694   -90.3     1.4    55.5     2.0   -15.8     4.3
2009.6721   -89.4     1.4    55.0     2.0   -16.6     4.4
2009.6750   -88.8     1.5    55.1     2.0   -16.8     4.5
2009.6780   -89.2     1.5    55.3     2.0   -13.6     4.5
2009.6802   -89.6     1.4    56.1     2.0   -15.6     4.4
2009.6831   -90.1     1.4    55.8     2.0   -16.1     4.4
2009.6860   -89.6     1.4    55.9     2.0   -15.3     4.3
2009.6890   -90.4     1.4    55.2     2.0   -17.2     4.4
2009.6912   -91.1     1.4    55.2     2.0   -16.5     4.4
2009.6940   -90.3     1.4    54.1     2.0   -20.0     4.4
2009.6970   -90.2     1.5    54.5     2.0   -13.3     4.5
2009.6994   -88.9     1.4    55.0     2.0   -16.0     4.4
2009.7022   -88.9     1.5    54.4     2.0   -16.9     4.5
2009.7050   -88.5     1.4    55.5     2.0   -17.2     4.4
2009.7080   -89.8     1.5    55.5     2.0   -27.5     4.5
2009.7104   -89.8     1.4    55.5     2.0   -21.3     4.4
2009.7132   -90.0     1.5    55.3     2.0   -17.8     4.5
2009.7160   -90.2     1.4    55.4     2.0   -12.5     4.4
2009.7214   -90.7     1.4    56.2     2.0   -18.0     4.4
2009.7241   -89.3     1.4    56.0     2.0   -15.7     4.4
2009.7270   -89.0     1.5    55.5     2.0   -15.5     4.5
2009.7300   -90.2     1.5    54.5     2.0   -15.3     4.5
2009.7324   -89.8     1.4    55.2     2.0   -15.6     4.3
2009.7351   -88.4     1.4    54.2     2.0   -24.4     4.4
2009.7380   -88.4     1.5    56.3     2.0   -14.1     4.5
