% site name: YMER
% Time      North     err   East      err    Up       err
% year      mm        mm    mm        mm     mm       mm
2009.6311   -89.2     1.7    59.6     2.6    -6.2     8.3
2009.6340   -89.6     1.4    59.4     2.0   -13.5     4.7
2009.6370   -88.0     1.4    57.5     2.0   -18.4     5.2
2009.6392   -86.1     1.4    59.6     2.0   -13.3     4.9
2009.6420   -86.6     1.4    58.4     2.0   -13.4     4.9
2009.6450   -86.7     1.4    59.6     2.0   -11.9     5.0
2009.6474   -86.1     1.4    58.8     2.0   -13.9     4.9
2009.6502   -86.9     1.4    58.8     2.0   -10.8     4.9
2009.6530   -87.1     1.4    57.6     2.0   -12.2     5.0
2009.6560   -85.6     1.4    57.7     2.0   -10.2     5.0
2009.6584   -87.6     1.4    56.1     2.0   -12.1     4.8
2009.6611   -88.5     1.4    56.8     2.0   -11.2     4.8
2009.6640   -87.3     1.4    56.9     2.0    -9.3     4.9
2009.6670   -88.0     1.4    57.8     2.0    -9.1     4.9
2009.6694   -87.4     1.4    58.8     2.0    -8.4     4.8
2009.6721   -87.1     1.4    57.9     2.0   -11.0     4.9
2009.6750   -86.2     1.4    58.8     2.0   -10.6     4.9
2009.6780   -86.8     1.4    58.7     2.0   -13.0     5.0
2009.6802   -86.7     1.4    61.0     2.0   -12.9     4.9
2009.6831   -86.5     1.4    60.2     2.0   -12.9     4.9
2009.6860   -87.1     1.4    59.4     2.0   -10.7     4.8
2009.6890   -87.4     1.4    59.4     2.0    -9.2     4.8
2009.6912   -88.0     1.4    59.7     2.0    -8.7     4.7
2009.6940   -87.2     1.4    58.7     2.0   -15.4     4.9
2009.6970   -86.8     1.4    59.8     2.0    -8.7     4.9
2009.6994   -85.2     1.4    59.5     2.0   -12.2     4.9
2009.7022   -86.1     1.4    58.1     2.0   -11.9     5.0
2009.7050   -85.7     1.4    59.5     2.0   -13.6     4.8
2009.7080   -86.2     1.4    59.5     2.0   -19.6     4.9
2009.7104   -86.3     1.4    59.3     2.0   -20.6     4.8
2009.7132   -87.8     1.4    59.0     2.0   -18.0     4.9
2009.7160   -87.1     1.4    59.4     2.0   -10.0     4.9
2009.7214   -87.3     1.4    59.4     2.0   -14.8     4.8
2009.7241   -86.3     1.4    59.1     2.0   -15.0     4.8
2009.7270   -86.2     1.4    58.9     2.0   -11.0     5.1
2009.7300   -87.3     1.4    58.5     2.0    -9.7     4.8
2009.7324   -86.8     1.4    59.0     2.0   -11.8     4.7
2009.7351   -86.7     1.4    58.0     2.0   -13.5     4.8
2009.7380   -86.1     1.4    57.6     2.0   -11.2     4.9
2009.7410   -86.7     1.4    56.1     2.0   -16.9     5.2
2009.7432   -85.8     1.4    57.7     2.0   -15.0     4.9
2009.7460   -85.9     1.4    57.4     2.0   -14.7     4.8
2009.7490   -86.1     1.3    56.4     2.0   -20.4     4.8
2009.7520   -85.4     1.4    58.0     2.0   -17.3     4.8
2009.7542   -84.1     1.4    58.3     2.0   -16.7     4.8
